game,2015,6,20151018,201510180sea,car,"Carolina Panthers",27,sea,"Seattle Seahawks",23
player,201510180sea,car,CotcJe00,rec_td,0,,,,,
player,201510180sea,car,CotcJe00,rec_long,14,,,,,
player,201510180sea,car,CotcJe00,fumbles,0,,,,,
player,201510180sea,car,CotcJe00,fumbles_lost,0,,,,,
player,201510180sea,car,GinnTe00,pass_cmp,0,,,,,
player,201510180sea,car,GinnTe00,pass_att,0,,,,,
player,201510180sea,car,GinnTe00,pass_yds,0,,,,,
player,201510180sea,car,GinnTe00,pass_td,0,,,,,
player,201510180sea,car,GinnTe00,pass_int,0,,,,,
player,201510180sea,car,GinnTe00,pass_sacked,0,,,,,
player,201510180sea,car,GinnTe00,pass_sacked_yds,0,,,,,
player,201510180sea,car,GinnTe00,pass_long,0,,,,,
player,201510180sea,car,GinnTe00,pass_rating,,,,,,
player,201510180sea,car,GinnTe00,rush_att,0,,,,,
player,201510180sea,car,GinnTe00,rush_yds,0,,,,,
player,201510180sea,car,GinnTe00,rush_td,0,,,,,
player,201510180sea,car,GinnTe00,rush_long,0,,,,,
player,201510180sea,car,GinnTe00,targets,4,,,,,
player,201510180sea,car,GinnTe00,rec,1,,,,,
player,201510180sea,car,GinnTe00,rec_yds,18,,,,,
player,201510180sea,car,GinnTe00,rec_td,0,,,,,
player,201510180sea,car,GinnTe00,rec_long,18,,,,,
player,201510180sea,car,GinnTe00,fumbles,0,,,,,
player,201510180sea,car,GinnTe00,fumbles_lost,0,,,,,
player,201510180sea,sea,WilsRu00,pass_cmp,18,,,,,
player,201510180sea,sea,WilsRu00,pass_att,30,,,,,
player,201510180sea,sea,WilsRu00,pass_yds,241,,,,,
player,201510180sea,sea,WilsRu00,pass_td,1,,,,,
player,201510180sea,sea,WilsRu00,pass_int,0,,,,,
player,201510180sea,sea,WilsRu00,pass_sacked,4,,,,,
player,201510180sea,sea,WilsRu00,pass_sacked_yds,22,,,,,
player,201510180sea,sea,WilsRu00,pass_long,45,,,,,
player,201510180sea,sea,WilsRu00,pass_rating,96.7,,,,,
player,201510180sea,sea,WilsRu00,rush_att,8,,,,,
player,201510180sea,sea,WilsRu00,rush_yds,53,,,,,
player,201510180sea,sea,WilsRu00,rush_td,0,,,,,
player,201510180sea,sea,WilsRu00,rush_long,24,,,,,
player,201510180sea,sea,WilsRu00,targets,0,,,,,
player,201510180sea,sea,WilsRu00,rec,0,,,,,
player,201510180sea,sea,WilsRu00,rec_yds,0,,,,,
player,201510180sea,sea,WilsRu00,rec_td,0,,,,,
player,201510180sea,sea,WilsRu00,rec_long,0,,,,,
player,201510180sea,sea,WilsRu00,fumbles,0,,,,,
player,201510180sea,sea,WilsRu00,fumbles_lost,0,,,,,
player,201510180sea,sea,LyncMa00,pass_cmp,0,,,,,
player,201510180sea,sea,LyncMa00,pass_att,0,,,,,
player,201510180sea,sea,LyncMa00,pass_yds,0,,,,,
player,201510180sea,sea,LyncMa00,pass_td,0,,,,,
player,201510180sea,sea,LyncMa00,pass_int,0,,,,,
player,201510180sea,sea,LyncMa00,pass_sacked,0,,,,,
player,201510180sea,sea,LyncMa00,pass_sacked_yds,0,,,,,
player,201510180sea,sea,LyncMa00,pass_long,0,,,,,
player,201510180sea,sea,LyncMa00,pass_rating,,,,,,
player,201510180sea,sea,LyncMa00,rush_att,17,,,,,
player,201510180sea,sea,LyncMa00,rush_yds,54,,,,,
player,201510180sea,sea,LyncMa00,rush_td,1,,,,,
player,201510180sea,sea,LyncMa00,rush_long,17,,,,,
player,201510180sea,sea,LyncMa00,targets,3,,,,,
player,201510180sea,sea,LyncMa00,rec,1,,,,,
player,201510180sea,sea,LyncMa00,rec_yds,0,,,,,
player,201510180sea,sea,LyncMa00,rec_td,0,,,,,
player,201510180sea,sea,LyncMa00,rec_long,0,,,,,
player,201510180sea,sea,LyncMa00,fumbles,0,,,,,
player,201510180sea,sea,LyncMa00,fumbles_lost,0,,,,,
player,201510180sea,sea,RawlTh00,pass_cmp,0,,,,,
player,201510180sea,sea,RawlTh00,pass_att,0,,,,,
player,201510180sea,sea,RawlTh00,pass_yds,0,,,,,
player,201510180sea,sea,RawlTh00,pass_td,0,,,,,
player,201510180sea,sea,RawlTh00,pass_int,0,,,,,
player,201510180sea,sea,RawlTh00,pass_sacked,0,,,,,
player,201510180sea,sea,RawlTh00,pass_sacked_yds,0,,,,,
player,201510180sea,sea,RawlTh00,pass_long,0,,,,,
player,201510180sea,sea,RawlTh00,pass_rating,,,,,,
player,201510180sea,sea,RawlTh00,rush_att,1,,,,,
player,201510180sea,sea,RawlTh00,rush_yds,8,,,,,
player,201510180sea,sea,RawlTh00,rush_td,0,,,,,
player,201510180sea,sea,RawlTh00,rush_long,8,,,,,
player,201510180sea,sea,RawlTh00,targets,0,,,,,
player,201510180sea,sea,RawlTh00,rec,0,,,,,
player,201510180sea,sea,RawlTh00,rec_yds,0,,,,,
player,201510180sea,sea,RawlTh00,rec_td,0,,,,,
player,201510180sea,sea,RawlTh00,rec_long,0,,,,,
player,201510180sea,sea,RawlTh00,fumbles,0,,,,,
player,201510180sea,sea,RawlTh00,fumbles_lost,0,,,,,
player,201510180sea,sea,GrahJi00,pass_cmp,0,,,,,
player,201510180sea,sea,GrahJi00,pass_att,0,,,,,
player,201510180sea,sea,GrahJi00,pass_yds,0,,,,,
player,201510180sea,sea,GrahJi00,pass_td,0,,,,,
player,201510180sea,sea,GrahJi00,pass_int,0,,,,,
player,201510180sea,sea,GrahJi00,pass_sacked,0,,,,,
player,201510180sea,sea,GrahJi00,pass_sacked_yds,0,,,,,
player,201510180sea,sea,GrahJi00,pass_long,0,,,,,
player,201510180sea,sea,GrahJi00,pass_rating,,,,,,
player,201510180sea,sea,GrahJi00,rush_att,0,,,,,
player,201510180sea,sea,GrahJi00,rush_yds,0,,,,,
player,201510180sea,sea,GrahJi00,rush_td,0,,,,,
player,201510180sea,sea,GrahJi00,rush_long,0,,,,,
player,201510180sea,sea,GrahJi00,targets,12,,,,,
player,201510180sea,sea,GrahJi00,rec,8,,,,,
player,201510180sea,sea,GrahJi00,rec_yds,140,,,,,
player,201510180sea,sea,GrahJi00,rec_td,0,,,,,
player,201510180sea,sea,GrahJi00,rec_long,45,,,,,
player,201510180sea,sea,GrahJi00,fumbles,0,,,,,
player,201510180sea,sea,GrahJi00,fumbles_lost,0,,,,,
player,201510180sea,sea,LockRi00,pass_cmp,0,,,,,
player,201510180sea,sea,LockRi00,pass_att,0,,,,,
player,201510180sea,sea,LockRi00,pass_yds,0,,,,,
player,201510180sea,sea,LockRi00,pass_td,0,,,,,
player,201510180sea,sea,LockRi00,pass_int,0,,,,,
player,201510180sea,sea,LockRi00,pass_sacked,0,,,,,
player,201510180sea,sea,LockRi00,pass_sacked_yds,0,,,,,
player,201510180sea,sea,LockRi00,pass_long,0,,,,,
player,201510180sea,sea,LockRi00,pass_rating,,,,,,
player,201510180sea,sea,LockRi00,rush_att,0,,,,,
player,201510180sea,sea,LockRi00,rush_yds,0,,,,,
player,201510180sea,sea,LockRi00,rush_td,0,,,,,
player,201510180sea,sea,LockRi00,rush_long,0,,,,,
player,201510180sea,sea,LockRi00,targets,2,,,,,
player,201510180sea,sea,LockRi00,rec,2,,,,,
player,201510180sea,sea,LockRi00,rec_yds,43,,,,,
player,201510180sea,sea,LockRi00,rec_td,1,,,,,
player,201510180sea,sea,LockRi00,rec_long,40,,,,,
player,201510180sea,sea,LockRi00,fumbles,0,,,,,
player,201510180sea,sea,LockRi00,fumbles_lost,0,,,,,
player,201510180sea,sea,BaldDo00,pass_cmp,0,,,,,
player,201510180sea,sea,BaldDo00,pass_att,0,,,,,
player,201510180sea,sea,BaldDo00,pass_yds,0,,,,,
player,201510180sea,sea,BaldDo00,pass_td,0,,,,,
player,201510180sea,sea,BaldDo00,pass_int,0,,,,,
player,201510180sea,sea,BaldDo00,pass_sacked,0,,,,,
player,201510180sea,sea,BaldDo00,pass_sacked_yds,0,,,,,
player,201510180sea,sea,BaldDo00,pass_long,0,,,,,
player,201510180sea,sea,BaldDo00,pass_rating,,,,,,
player,201510180sea,sea,BaldDo00,rush_att,0,,,,,
player,201510180sea,sea,BaldDo00,rush_yds,0,,,,,
player,201510180sea,sea,BaldDo00,rush_td,0,,,,,
player,201510180sea,sea,BaldDo00,rush_long,0,,,,,
player,201510180sea,sea,BaldDo00,targets,4,,,,,
player,201510180sea,sea,BaldDo00,rec,3,,,,,
player,201510180sea,sea,BaldDo00,rec_yds,23,,,,,
player,201510180sea,sea,BaldDo00,rec_td,0,,,,,
