game,2015,5,20151011,201510110atl,was,"Washington Redskins",19,atl,"Atlanta Falcons",25
player,201510110atl,atl,WardTe00,fumbles,0,,,,,
player,201510110atl,atl,WardTe00,fumbles_lost,0,,,,,
player,201510110atl,was,BreeBa00,def_int,1,,,,,
player,201510110atl,was,BreeBa00,def_int_yds,28,,,,,
player,201510110atl,was,BreeBa00,def_int_td,0,,,,,
player,201510110atl,was,BreeBa00,def_int_long,28,,,,,
player,201510110atl,was,BreeBa00,pass_defended,4,,,,,
player,201510110atl,was,BreeBa00,sacks,0.0,,,,,
player,201510110atl,was,BreeBa00,tackles_combined,8,,,,,
player,201510110atl,was,BreeBa00,tackles_solo,6,,,,,
player,201510110atl,was,BreeBa00,tackles_assists,2,,,,,
player,201510110atl,was,BreeBa00,tackles_loss,0,,,,,
player,201510110atl,was,BreeBa00,qb_hits,0,,,,,
player,201510110atl,was,BreeBa00,fumbles_rec,0,,,,,
player,201510110atl,was,BreeBa00,fumbles_rec_yds,0,,,,,
player,201510110atl,was,BreeBa00,fumbles_rec_td,0,,,,,
player,201510110atl,was,BreeBa00,fumbles_forced,0,,,,,
player,201510110atl,was,RobiTr02,def_int,1,,,,,
player,201510110atl,was,RobiTr02,def_int_yds,8,,,,,
player,201510110atl,was,RobiTr02,def_int_td,0,,,,,
player,201510110atl,was,RobiTr02,def_int_long,8,,,,,
player,201510110atl,was,RobiTr02,pass_defended,1,,,,,
player,201510110atl,was,RobiTr02,sacks,0.0,,,,,
player,201510110atl,was,RobiTr02,tackles_combined,6,,,,,
player,201510110atl,was,RobiTr02,tackles_solo,4,,,,,
player,201510110atl,was,RobiTr02,tackles_assists,2,,,,,
player,201510110atl,was,RobiTr02,tackles_loss,0,,,,,
player,201510110atl,was,RobiTr02,qb_hits,0,,,,,
player,201510110atl,was,RobiTr02,fumbles_rec,0,,,,,
player,201510110atl,was,RobiTr02,fumbles_rec_yds,0,,,,,
player,201510110atl,was,RobiTr02,fumbles_rec_td,0,,,,,
player,201510110atl,was,RobiTr02,fumbles_forced,0,,,,,
player,201510110atl,was,KerrRy00,def_int,0,,,,,
player,201510110atl,was,KerrRy00,def_int_yds,0,,,,,
player,201510110atl,was,KerrRy00,def_int_td,0,,,,,
player,201510110atl,was,KerrRy00,def_int_long,0,,,,,
player,201510110atl,was,KerrRy00,pass_defended,0,,,,,
player,201510110atl,was,KerrRy00,sacks,2.0,,,,,
player,201510110atl,was,KerrRy00,tackles_combined,3,,,,,
