game,2015,14,20151213,201512130rav,sea,"Seattle Seahawks",35,rav,"Baltimore Ravens",6
player,201512130rav,rav,MattCh00,pass_sacked,0,,,,,
player,201512130rav,rav,MattCh00,pass_sacked_yds,0,,,,,
player,201512130rav,rav,MattCh00,pass_long,0,,,,,
player,201512130rav,rav,MattCh00,pass_rating,,,,,,
player,201512130rav,rav,MattCh00,rush_att,0,,,,,
player,201512130rav,rav,MattCh00,rush_yds,0,,,,,
player,201512130rav,rav,MattCh00,rush_td,0,,,,,
player,201512130rav,rav,MattCh00,rush_long,0,,,,,
player,201512130rav,rav,MattCh00,targets,2,,,,,
player,201512130rav,rav,MattCh00,rec,1,,,,,
player,201512130rav,rav,MattCh00,rec_yds,21,,,,,
player,201512130rav,rav,MattCh00,rec_td,0,,,,,
player,201512130rav,rav,MattCh00,rec_long,21,,,,,
player,201512130rav,rav,MattCh00,fumbles,0,,,,,
player,201512130rav,rav,MattCh00,fumbles_lost,0,,,,,
player,201512130rav,rav,JuszKy00,pass_cmp,0,,,,,
player,201512130rav,rav,JuszKy00,pass_att,0,,,,,
player,201512130rav,rav,JuszKy00,pass_yds,0,,,,,
player,201512130rav,rav,JuszKy00,pass_td,0,,,,,
player,201512130rav,rav,JuszKy00,pass_int,0,,,,,
player,201512130rav,rav,JuszKy00,pass_sacked,0,,,,,
player,201512130rav,rav,JuszKy00,pass_sacked_yds,0,,,,,
player,201512130rav,rav,JuszKy00,pass_long,0,,,,,
player,201512130rav,rav,JuszKy00,pass_rating,,,,,,
player,201512130rav,rav,JuszKy00,rush_att,0,,,,,
player,201512130rav,rav,JuszKy00,rush_yds,0,,,,,
player,201512130rav,rav,JuszKy00,rush_td,0,,,,,
player,201512130rav,rav,JuszKy00,rush_long,0,,,,,
player,201512130rav,rav,JuszKy00,targets,1,,,,,
player,201512130rav,rav,JuszKy00,rec,0,,,,,
player,201512130rav,rav,JuszKy00,rec_yds,0,,,,,
player,201512130rav,rav,JuszKy00,rec_td,0,,,,,
player,201512130rav,rav,JuszKy00,rec_long,0,,,,,
player,201512130rav,rav,JuszKy00,fumbles,0,,,,,
player,201512130rav,rav,JuszKy00,fumbles_lost,0,,,,,
player,201512130rav,rav,GiveCh00,pass_cmp,0,,,,,
player,201512130rav,rav,GiveCh00,pass_att,0,,,,,
player,201512130rav,rav,GiveCh00,pass_yds,0,,,,,
player,201512130rav,rav,GiveCh00,pass_td,0,,,,,
player,201512130rav,rav,GiveCh00,pass_int,0,,,,,
player,201512130rav,rav,GiveCh00,pass_sacked,0,,,,,
player,201512130rav,rav,GiveCh00,pass_sacked_yds,0,,,,,
player,201512130rav,rav,GiveCh00,pass_long,0,,,,,
player,201512130rav,rav,GiveCh00,pass_rating,,,,,,
player,201512130rav,rav,GiveCh00,rush_att,0,,,,,
player,201512130rav,rav,GiveCh00,rush_yds,0,,,,,
player,201512130rav,rav,GiveCh00,rush_td,0,,,,,
player,201512130rav,rav,GiveCh00,rush_long,0,,,,,
player,201512130rav,rav,GiveCh00,targets,5,,,,,
player,201512130rav,rav,GiveCh00,rec,0,,,,,
player,201512130rav,rav,GiveCh00,rec_yds,0,,,,,
player,201512130rav,rav,GiveCh00,rec_td,0,,,,,
player,201512130rav,rav,GiveCh00,rec_long,0,,,,,
player,201512130rav,rav,GiveCh00,fumbles,0,,,,,
player,201512130rav,rav,GiveCh00,fumbles_lost,0,,,,,
player,201512130rav,sea,SherRi00,def_int,1,,,,,
player,201512130rav,sea,SherRi00,def_int_yds,4,,,,,
player,201512130rav,sea,SherRi00,def_int_td,0,,,,,
player,201512130rav,sea,SherRi00,def_int_long,4,,,,,
player,201512130rav,sea,SherRi00,pass_defended,1,,,,,
player,201512130rav,sea,SherRi00,sacks,0.0,,,,,
player,201512130rav,sea,SherRi00,tackles_combined,2,,,,,
player,201512130rav,sea,SherRi00,tackles_solo,2,,,,,
player,201512130rav,sea,SherRi00,tackles_assists,0,,,,,
player,201512130rav,sea,SherRi00,tackles_loss,0,,,,,
player,201512130rav,sea,SherRi00,qb_hits,0,,,,,
player,201512130rav,sea,SherRi00,fumbles_rec,0,,,,,
