game,2015,4,20151004,201510040crd,ram,"St. Louis Rams",24,crd,"Arizona Cardinals",22
player,201510040crd,crd,BrowJa03,rush_att,0,,,,,
player,201510040crd,crd,BrowJa03,rush_yds,0,,,,,
player,201510040crd,crd,BrowJa03,rush_td,0,,,,,
player,201510040crd,crd,BrowJa03,rush_long,0,,,,,
player,201510040crd,crd,BrowJa03,targets,2,,,,,
player,201510040crd,crd,BrowJa03,rec,1,,,,,
player,201510040crd,crd,BrowJa03,rec_yds,20,,,,,
player,201510040crd,crd,BrowJa03,rec_td,0,,,,,
player,201510040crd,crd,BrowJa03,rec_long,20,,,,,
player,201510040crd,crd,BrowJa03,fumbles,0,,,,,
player,201510040crd,crd,BrowJa03,fumbles_lost,0,,,,,
player,201510040crd,crd,FellDa01,pass_cmp,0,,,,,
player,201510040crd,crd,FellDa01,pass_att,0,,,,,
player,201510040crd,crd,FellDa01,pass_yds,0,,,,,
player,201510040crd,crd,FellDa01,pass_td,0,,,,,
player,201510040crd,crd,FellDa01,pass_int,0,,,,,
player,201510040crd,crd,FellDa01,pass_sacked,0,,,,,
player,201510040crd,crd,FellDa01,pass_sacked_yds,0,,,,,
player,201510040crd,crd,FellDa01,pass_long,0,,,,,
player,201510040crd,crd,FellDa01,pass_rating,,,,,,
player,201510040crd,crd,FellDa01,rush_att,0,,,,,
player,201510040crd,crd,FellDa01,rush_yds,0,,,,,
player,201510040crd,crd,FellDa01,rush_td,0,,,,,
player,201510040crd,crd,FellDa01,rush_long,0,,,,,
player,201510040crd,crd,FellDa01,targets,1,,,,,
player,201510040crd,crd,FellDa01,rec,1,,,,,
player,201510040crd,crd,FellDa01,rec_yds,17,,,,,
player,201510040crd,crd,FellDa01,rec_td,0,,,,,
player,201510040crd,crd,FellDa01,rec_long,17,,,,,
player,201510040crd,crd,FellDa01,fumbles,0,,,,,
player,201510040crd,crd,FellDa01,fumbles_lost,0,,,,,
player,201510040crd,crd,GresJe00,pass_cmp,0,,,,,
player,201510040crd,crd,GresJe00,pass_att,0,,,,,
player,201510040crd,crd,GresJe00,pass_yds,0,,,,,
player,201510040crd,crd,GresJe00,pass_td,0,,,,,
