game,2015,6,20151018,201510180oti,mia,"Miami Dolphins",38,oti,"Tennessee Titans",10
player,201510180oti,oti,WrigKe01,targets,5,,,,,
player,201510180oti,oti,WrigKe01,rec,4,,,,,
player,201510180oti,oti,WrigKe01,rec_yds,34,,,,,
player,201510180oti,oti,WrigKe01,rec_td,0,,,,,
player,201510180oti,oti,WrigKe01,rec_long,16,,,,,
player,201510180oti,oti,WrigKe01,fumbles,0,,,,,
player,201510180oti,oti,WrigKe01,fumbles_lost,0,,,,,
player,201510180oti,oti,DougHa00,pass_cmp,0,,,,,
player,201510180oti,oti,DougHa00,pass_att,0,,,,,
player,201510180oti,oti,DougHa00,pass_yds,0,,,,,
player,201510180oti,oti,DougHa00,pass_td,0,,,,,
player,201510180oti,oti,DougHa00,pass_int,0,,,,,
player,201510180oti,oti,DougHa00,pass_sacked,0,,,,,
player,201510180oti,oti,DougHa00,pass_sacked_yds,0,,,,,
player,201510180oti,oti,DougHa00,pass_long,0,,,,,
player,201510180oti,oti,DougHa00,pass_rating,,,,,,
player,201510180oti,oti,DougHa00,rush_att,0,,,,,
player,201510180oti,oti,DougHa00,rush_yds,0,,,,,
player,201510180oti,oti,DougHa00,rush_td,0,,,,,
player,201510180oti,oti,DougHa00,rush_long,0,,,,,
player,201510180oti,oti,DougHa00,targets,4,,,,,
player,201510180oti,oti,DougHa00,rec,1,,,,,
player,201510180oti,oti,DougHa00,rec_yds,11,,,,,
player,201510180oti,oti,DougHa00,rec_td,0,,,,,
player,201510180oti,oti,DougHa00,rec_long,11,,,,,
player,201510180oti,oti,DougHa00,fumbles,0,,,,,
player,201510180oti,oti,DougHa00,fumbles_lost,0,,,,,
player,201510180oti,oti,FasaAn00,pass_cmp,0,,,,,
player,201510180oti,oti,FasaAn00,pass_att,0,,,,,
player,201510180oti,oti,FasaAn00,pass_yds,0,,,,,
player,201510180oti,oti,FasaAn00,pass_td,0,,,,,
player,201510180oti,oti,FasaAn00,pass_int,0,,,,,
player,201510180oti,oti,FasaAn00,pass_sacked,0,,,,,
player,201510180oti,oti,FasaAn00,pass_sacked_yds,0,,,,,
player,201510180oti,oti,FasaAn00,pass_long,0,,,,,
player,201510180oti,oti,FasaAn00,pass_rating,,,,,,
player,201510180oti,oti,FasaAn00,rush_att,0,,,,,
player,201510180oti,oti,FasaAn00,rush_yds,0,,,,,
player,201510180oti,oti,FasaAn00,rush_td,0,,,,,
player,201510180oti,oti,FasaAn00,rush_long,0,,,,,
player,201510180oti,oti,FasaAn00,targets,3,,,,,
player,201510180oti,oti,FasaAn00,rec,2,,,,,
player,201510180oti,oti,FasaAn00,rec_yds,1,,,,,
player,201510180oti,oti,FasaAn00,rec_td,0,,,,,
player,201510180oti,oti,FasaAn00,rec_long,10,,,,,
player,201510180oti,oti,FasaAn00,fumbles,0,,,,,
player,201510180oti,oti,FasaAn00,fumbles_lost,0,,,,,
player,201510180oti,mia,JoneRe99,def_int,1,,,,,
player,201510180oti,mia,JoneRe99,def_int_yds,30,,,,,
player,201510180oti,mia,JoneRe99,def_int_td,1,,,,,
player,201510180oti,mia,JoneRe99,def_int_long,30,,,,,
player,201510180oti,mia,JoneRe99,pass_defended,1,,,,,
player,201510180oti,mia,JoneRe99,sacks,0.0,,,,,
player,201510180oti,mia,JoneRe99,tackles_combined,8,,,,,
player,201510180oti,mia,JoneRe99,tackles_solo,5,,,,,
player,201510180oti,mia,JoneRe99,tackles_assists,3,,,,,
player,201510180oti,mia,JoneRe99,tackles_loss,0,,,,,
player,201510180oti,mia,JoneRe99,qb_hits,0,,,,,
player,201510180oti,mia,JoneRe99,fumbles_rec,0,,,,,
player,201510180oti,mia,JoneRe99,fumbles_rec_yds,0,,,,,
player,201510180oti,mia,JoneRe99,fumbles_rec_td,0,,,,,
player,201510180oti,mia,JoneRe99,fumbles_forced,0,,,,,
