game,2015,11,20151122,201511220rav,ram,"St. Louis Rams",13,rav,"Baltimore Ravens",16
player,201511220rav,rav,FlacJo00,pass_int,2,,,,,
player,201511220rav,rav,FlacJo00,pass_sacked,1,,,,,
player,201511220rav,rav,FlacJo00,pass_sacked_yds,7,,,,,
player,201511220rav,rav,FlacJo00,pass_long,46,,,,,
player,201511220rav,rav,FlacJo00,pass_rating,70.2,,,,,
player,201511220rav,rav,FlacJo00,rush_att,0,,,,,
player,201511220rav,rav,FlacJo00,rush_yds,0,,,,,
player,201511220rav,rav,FlacJo00,rush_td,0,,,,,
player,201511220rav,rav,FlacJo00,rush_long,0,,,,,
player,201511220rav,rav,FlacJo00,targets,0,,,,,
player,201511220rav,rav,FlacJo00,rec,0,,,,,
player,201511220rav,rav,FlacJo00,rec_yds,0,,,,,
player,201511220rav,rav,FlacJo00,rec_td,0,,,,,
player,201511220rav,rav,FlacJo00,rec_long,0,,,,,
player,201511220rav,rav,FlacJo00,fumbles,0,,,,,
player,201511220rav,rav,FlacJo00,fumbles_lost,0,,,,,
player,201511220rav,rav,AlleJa01,pass_cmp,0,,,,,
player,201511220rav,rav,AlleJa01,pass_att,0,,,,,
player,201511220rav,rav,AlleJa01,pass_yds,0,,,,,
player,201511220rav,rav,AlleJa01,pass_td,0,,,,,
player,201511220rav,rav,AlleJa01,pass_int,0,,,,,
player,201511220rav,rav,AlleJa01,pass_sacked,0,,,,,
player,201511220rav,rav,AlleJa01,pass_sacked_yds,0,,,,,
player,201511220rav,rav,AlleJa01,pass_long,0,,,,,
player,201511220rav,rav,AlleJa01,pass_rating,,,,,,
player,201511220rav,rav,AlleJa01,rush_att,22,,,,,
player,201511220rav,rav,AlleJa01,rush_yds,67,,,,,
player,201511220rav,rav,AlleJa01,rush_td,0,,,,,
player,201511220rav,rav,AlleJa01,rush_long,17,,,,,
player,201511220rav,rav,AlleJa01,targets,6,,,,,
player,201511220rav,rav,AlleJa01,rec,5,,,,,
player,201511220rav,rav,AlleJa01,rec_yds,48,,,,,
player,201511220rav,rav,AlleJa01,rec_td,0,,,,,
player,201511220rav,rav,AlleJa01,rec_long,14,,,,,
player,201511220rav,rav,AlleJa01,fumbles,0,,,,,
player,201511220rav,rav,AlleJa01,fumbles_lost,0,,,,,
player,201511220rav,rav,ForsJu00,pass_cmp,0,,,,,
player,201511220rav,rav,ForsJu00,pass_att,0,,,,,
player,201511220rav,rav,ForsJu00,pass_yds,0,,,,,
player,201511220rav,rav,ForsJu00,pass_td,0,,,,,
player,201511220rav,rav,ForsJu00,pass_int,0,,,,,
player,201511220rav,rav,ForsJu00,pass_sacked,0,,,,,
player,201511220rav,rav,ForsJu00,pass_sacked_yds,0,,,,,
player,201511220rav,rav,ForsJu00,pass_long,0,,,,,
player,201511220rav,rav,ForsJu00,pass_rating,,,,,,
player,201511220rav,rav,ForsJu00,rush_att,4,,,,,
player,201511220rav,rav,ForsJu00,rush_yds,26,,,,,
player,201511220rav,rav,ForsJu00,rush_td,0,,,,,
player,201511220rav,rav,ForsJu00,rush_long,18,,,,,
player,201511220rav,rav,ForsJu00,targets,0,,,,,
player,201511220rav,rav,ForsJu00,rec,0,,,,,
player,201511220rav,rav,ForsJu00,rec_yds,0,,,,,
player,201511220rav,rav,ForsJu00,rec_td,0,,,,,
player,201511220rav,rav,ForsJu00,rec_long,0,,,,,
player,201511220rav,rav,ForsJu00,fumbles,0,,,,,
player,201511220rav,rav,ForsJu00,fumbles_lost,0,,,,,
player,201511220rav,rav,JuszKy00,pass_cmp,0,,,,,
player,201511220rav,rav,JuszKy00,pass_att,0,,,,,
player,201511220rav,rav,JuszKy00,pass_yds,0,,,,,
player,201511220rav,rav,JuszKy00,pass_td,0,,,,,
player,201511220rav,rav,JuszKy00,pass_int,0,,,,,
player,201511220rav,rav,JuszKy00,pass_sacked,0,,,,,
player,201511220rav,rav,JuszKy00,pass_sacked_yds,0,,,,,
player,201511220rav,rav,JuszKy00,pass_long,0,,,,,
player,201511220rav,rav,JuszKy00,pass_rating,,,,,,
player,201511220rav,rav,JuszKy00,rush_att,2,,,,,
player,201511220rav,rav,JuszKy00,rush_yds,3,,,,,
player,201511220rav,rav,JuszKy00,rush_td,0,,,,,
player,201511220rav,rav,JuszKy00,rush_long,2,,,,,
player,201511220rav,rav,JuszKy00,targets,5,,,,,
player,201511220rav,rav,JuszKy00,rec,3,,,,,
player,201511220rav,rav,JuszKy00,rec_yds,10,,,,,
player,201511220rav,rav,JuszKy00,rec_td,0,,,,,
player,201511220rav,rav,JuszKy00,rec_long,7,,,,,
player,201511220rav,rav,JuszKy00,fumbles,0,,,,,
player,201511220rav,rav,JuszKy00,fumbles_lost,0,,,,,
player,201511220rav,rav,GillCr00,pass_cmp,0,,,,,
player,201511220rav,rav,GillCr00,pass_att,0,,,,,
player,201511220rav,rav,GillCr00,pass_yds,0,,,,,
player,201511220rav,rav,GillCr00,pass_td,0,,,,,
player,201511220rav,rav,GillCr00,pass_int,0,,,,,
player,201511220rav,rav,GillCr00,pass_sacked,0,,,,,
player,201511220rav,rav,GillCr00,pass_sacked_yds,0,,,,,
player,201511220rav,rav,GillCr00,pass_long,0,,,,,
player,201511220rav,rav,GillCr00,pass_rating,,,,,,
player,201511220rav,rav,GillCr00,rush_att,0,,,,,
player,201511220rav,rav,GillCr00,rush_yds,0,,,,,
player,201511220rav,rav,GillCr00,rush_td,0,,,,,
player,201511220rav,rav,GillCr00,rush_long,0,,,,,
player,201511220rav,rav,GillCr00,targets,8,,,,,
player,201511220rav,rav,GillCr00,rec,5,,,,,
player,201511220rav,rav,GillCr00,rec_yds,101,,,,,
player,201511220rav,rav,GillCr00,rec_td,0,,,,,
player,201511220rav,rav,GillCr00,rec_long,46,,,,,
player,201511220rav,rav,GillCr00,fumbles,0,,,,,
player,201511220rav,rav,GillCr00,fumbles_lost,0,,,,,
player,201511220rav,rav,AikeKa00,pass_cmp,0,,,,,
player,201511220rav,rav,AikeKa00,pass_att,0,,,,,
player,201511220rav,rav,AikeKa00,pass_yds,0,,,,,
player,201511220rav,rav,AikeKa00,pass_td,0,,,,,
player,201511220rav,rav,AikeKa00,pass_int,0,,,,,
player,201511220rav,rav,AikeKa00,pass_sacked,0,,,,,
player,201511220rav,rav,AikeKa00,pass_sacked_yds,0,,,,,
player,201511220rav,rav,AikeKa00,pass_long,0,,,,,
player,201511220rav,rav,AikeKa00,pass_rating,,,,,,
player,201511220rav,rav,AikeKa00,rush_att,0,,,,,
player,201511220rav,rav,AikeKa00,rush_yds,0,,,,,
player,201511220rav,rav,AikeKa00,rush_td,0,,,,,
player,201511220rav,rav,AikeKa00,rush_long,0,,,,,
player,201511220rav,rav,AikeKa00,targets,8,,,,,
player,201511220rav,rav,AikeKa00,rec,5,,,,,
player,201511220rav,rav,AikeKa00,rec_yds,50,,,,,
player,201511220rav,rav,AikeKa00,rec_td,1,,,,,
player,201511220rav,rav,AikeKa00,rec_long,18,,,,,
player,201511220rav,rav,AikeKa00,fumbles,0,,,,,
player,201511220rav,rav,AikeKa00,fumbles_lost,0,,,,,
player,201511220rav,rav,ButlJe01,pass_cmp,0,,,,,
player,201511220rav,rav,ButlJe01,pass_att,0,,,,,
player,201511220rav,rav,ButlJe01,pass_yds,0,,,,,
player,201511220rav,rav,ButlJe01,pass_td,0,,,,,
player,201511220rav,rav,ButlJe01,pass_int,0,,,,,
player,201511220rav,rav,ButlJe01,pass_sacked,0,,,,,
player,201511220rav,rav,ButlJe01,pass_sacked_yds,0,,,,,
player,201511220rav,rav,ButlJe01,pass_long,0,,,,,
player,201511220rav,rav,ButlJe01,pass_rating,,,,,,
player,201511220rav,rav,ButlJe01,rush_att,0,,,,,
player,201511220rav,rav,ButlJe01,rush_yds,0,,,,,
player,201511220rav,rav,ButlJe01,rush_td,0,,,,,
player,201511220rav,rav,ButlJe01,rush_long,0,,,,,
player,201511220rav,rav,ButlJe01,targets,5,,,,,
player,201511220rav,rav,ButlJe01,rec,4,,,,,
player,201511220rav,rav,ButlJe01,rec_yds,45,,,,,
player,201511220rav,rav,ButlJe01,rec_td,0,,,,,
player,201511220rav,rav,ButlJe01,rec_long,25,,,,,
player,201511220rav,rav,ButlJe01,fumbles,1,,,,,
player,201511220rav,rav,ButlJe01,fumbles_lost,0,,,,,
player,201511220rav,rav,GiveCh00,pass_cmp,0,,,,,
player,201511220rav,rav,GiveCh00,pass_att,0,,,,,
player,201511220rav,rav,GiveCh00,pass_yds,0,,,,,
player,201511220rav,rav,GiveCh00,pass_td,0,,,,,
player,201511220rav,rav,GiveCh00,pass_int,0,,,,,
player,201511220rav,rav,GiveCh00,pass_sacked,0,,,,,
player,201511220rav,rav,GiveCh00,pass_sacked_yds,0,,,,,
player,201511220rav,rav,GiveCh00,pass_long,0,,,,,
player,201511220rav,rav,GiveCh00,pass_rating,,,,,,
player,201511220rav,rav,GiveCh00,rush_att,0,,,,,
player,201511220rav,rav,GiveCh00,rush_yds,0,,,,,
player,201511220rav,rav,GiveCh00,rush_td,0,,,,,
player,201511220rav,rav,GiveCh00,rush_long,0,,,,,
player,201511220rav,rav,GiveCh00,targets,7,,,,,
player,201511220rav,rav,GiveCh00,rec,2,,,,,
player,201511220rav,rav,GiveCh00,rec_yds,25,,,,,
player,201511220rav,rav,GiveCh00,rec_td,0,,,,,
player,201511220rav,rav,GiveCh00,rec_long,20,,,,,
player,201511220rav,rav,GiveCh00,fumbles,0,,,,,
player,201511220rav,rav,GiveCh00,fumbles_lost,0,,,,,
player,201511220rav,rav,WillMa04,pass_cmp,0,,,,,
player,201511220rav,rav,WillMa04,pass_att,0,,,,,
player,201511220rav,rav,WillMa04,pass_yds,0,,,,,
player,201511220rav,rav,WillMa04,pass_td,0,,,,,
player,201511220rav,rav,WillMa04,pass_int,0,,,,,
player,201511220rav,rav,WillMa04,pass_sacked,0,,,,,
player,201511220rav,rav,WillMa04,pass_sacked_yds,0,,,,,
player,201511220rav,rav,WillMa04,pass_long,0,,,,,
player,201511220rav,rav,WillMa04,pass_rating,,,,,,
player,201511220rav,rav,WillMa04,rush_att,0,,,,,
player,201511220rav,rav,WillMa04,rush_yds,0,,,,,
player,201511220rav,rav,WillMa04,rush_td,0,,,,,
player,201511220rav,rav,WillMa04,rush_long,0,,,,,
player,201511220rav,rav,WillMa04,targets,4,,,,,
player,201511220rav,rav,WillMa04,rec,3,,,,,
player,201511220rav,rav,WillMa04,rec_yds,20,,,,,
player,201511220rav,rav,WillMa04,rec_td,0,,,,,
player,201511220rav,rav,WillMa04,rec_long,12,,,,,
player,201511220rav,rav,WillMa04,fumbles,1,,,,,
player,201511220rav,rav,WillMa04,fumbles_lost,0,,,,,
player,201511220rav,ram,McLeRo00,def_int,1,,,,,
player,201511220rav,ram,McLeRo00,def_int_yds,4,,,,,
player,201511220rav,ram,McLeRo00,def_int_td,0,,,,,
player,201511220rav,ram,McLeRo00,def_int_long,4,,,,,
player,201511220rav,ram,McLeRo00,pass_defended,1,,,,,
player,201511220rav,ram,McLeRo00,sacks,0.0,,,,,
player,201511220rav,ram,McLeRo00,tackles_combined,9,,,,,
player,201511220rav,ram,McLeRo00,tackles_solo,6,,,,,
player,201511220rav,ram,McLeRo00,tackles_assists,3,,,,,
player,201511220rav,ram,McLeRo00,tackles_loss,0,,,,,
player,201511220rav,ram,McLeRo00,qb_hits,0,,,,,
player,201511220rav,ram,McLeRo00,fumbles_rec,0,,,,,
player,201511220rav,ram,McLeRo00,fumbles_rec_yds,0,,,,,
player,201511220rav,ram,McLeRo00,fumbles_rec_td,0,,,,,
player,201511220rav,ram,McLeRo00,fumbles_forced,1,,,,,
player,201511220rav,ram,JohnTr05,def_int,1,,,,,
player,201511220rav,ram,JohnTr05,def_int_yds,25,,,,,
player,201511220rav,ram,JohnTr05,def_int_td,0,,,,,
player,201511220rav,ram,JohnTr05,def_int_long,25,,,,,
player,201511220rav,ram,JohnTr05,pass_defended,1,,,,,
player,201511220rav,ram,JohnTr05,sacks,0.0,,,,,
player,201511220rav,ram,JohnTr05,tackles_combined,3,,,,,
player,201511220rav,ram,JohnTr05,tackles_solo,1,,,,,
player,201511220rav,ram,JohnTr05,tackles_assists,2,,,,,
player,201511220rav,ram,JohnTr05,tackles_loss,0,,,,,
player,201511220rav,ram,JohnTr05,qb_hits,0,,,,,
player,201511220rav,ram,JohnTr05,fumbles_rec,0,,,,,
player,201511220rav,ram,JohnTr05,fumbles_rec_yds,0,,,,,
player,201511220rav,ram,JohnTr05,fumbles_rec_td,0,,,,,
player,201511220rav,ram,JohnTr05,fumbles_forced,0,,,,,
player,201511220rav,ram,DonaAa00,def_int,0,,,,,
player,201511220rav,ram,DonaAa00,def_int_yds,0,,,,,
player,201511220rav,ram,DonaAa00,def_int_td,0,,,,,
player,201511220rav,ram,DonaAa00,def_int_long,0,,,,,
player,201511220rav,ram,DonaAa00,pass_defended,0,,,,,
player,201511220rav,ram,DonaAa00,sacks,1.0,,,,,
player,201511220rav,ram,DonaAa00,tackles_combined,9,,,,,
player,201511220rav,ram,DonaAa00,tackles_solo,4,,,,,
player,201511220rav,ram,DonaAa00,tackles_assists,5,,,,,
player,201511220rav,ram,DonaAa00,tackles_loss,2,,,,,
player,201511220rav,ram,DonaAa00,qb_hits,2,,,,,
player,201511220rav,ram,DonaAa00,fumbles_rec,0,,,,,
player,201511220rav,ram,DonaAa00,fumbles_rec_yds,0,,,,,
player,201511220rav,ram,DonaAa00,fumbles_rec_td,0,,,,,
player,201511220rav,ram,DonaAa00,fumbles_forced,0,,,,,
player,201511220rav,ram,BarrMa00,def_int,0,,,,,
player,201511220rav,ram,BarrMa00,def_int_yds,0,,,,,
player,201511220rav,ram,BarrMa00,def_int_td,0,,,,,
player,201511220rav,ram,BarrMa00,def_int_long,0,,,,,
player,201511220rav,ram,BarrMa00,pass_defended,0,,,,,
player,201511220rav,ram,BarrMa00,sacks,0.0,,,,,
player,201511220rav,ram,BarrMa00,tackles_combined,8,,,,,
player,201511220rav,ram,BarrMa00,tackles_solo,7,,,,,
player,201511220rav,ram,BarrMa00,tackles_assists,1,,,,,
player,201511220rav,ram,BarrMa00,tackles_loss,3,,,,,
player,201511220rav,ram,BarrMa00,qb_hits,0,,,,,
player,201511220rav,ram,BarrMa00,fumbles_rec,0,,,,,
player,201511220rav,ram,BarrMa00,fumbles_rec_yds,0,,,,,
player,201511220rav,ram,BarrMa00,fumbles_rec_td,0,,,,,
player,201511220rav,ram,BarrMa00,fumbles_forced,0,,,,,
player,201511220rav,ram,LaurJa99,def_int,0,,,,,
