game,2015,13,20151206,201512060min,sea,"Seattle Seahawks",38,min,"Minnesota Vikings",7
player,201512060min,min,RudoKy00,pass_long,0,,,,,
player,201512060min,min,RudoKy00,pass_rating,,,,,,
player,201512060min,min,RudoKy00,rush_att,0,,,,,
player,201512060min,min,RudoKy00,rush_yds,0,,,,,
player,201512060min,min,RudoKy00,rush_td,0,,,,,
player,201512060min,min,RudoKy00,rush_long,0,,,,,
player,201512060min,min,RudoKy00,targets,4,,,,,
player,201512060min,min,RudoKy00,rec,3,,,,,
player,201512060min,min,RudoKy00,rec_yds,13,,,,,
player,201512060min,min,RudoKy00,rec_td,0,,,,,
player,201512060min,min,RudoKy00,rec_long,6,,,,,
player,201512060min,min,RudoKy00,fumbles,0,,,,,
player,201512060min,min,RudoKy00,fumbles_lost,0,,,,,
player,201512060min,min,PruiMy00,pass_cmp,0,,,,,
player,201512060min,min,PruiMy00,pass_att,0,,,,,
player,201512060min,min,PruiMy00,pass_yds,0,,,,,
player,201512060min,min,PruiMy00,pass_td,0,,,,,
player,201512060min,min,PruiMy00,pass_int,0,,,,,
player,201512060min,min,PruiMy00,pass_sacked,0,,,,,
player,201512060min,min,PruiMy00,pass_sacked_yds,0,,,,,
player,201512060min,min,PruiMy00,pass_long,0,,,,,
player,201512060min,min,PruiMy00,pass_rating,,,,,,
player,201512060min,min,PruiMy00,rush_att,0,,,,,
player,201512060min,min,PruiMy00,rush_yds,0,,,,,
player,201512060min,min,PruiMy00,rush_td,0,,,,,
player,201512060min,min,PruiMy00,rush_long,0,,,,,
player,201512060min,min,PruiMy00,targets,1,,,,,
player,201512060min,min,PruiMy00,rec,1,,,,,
player,201512060min,min,PruiMy00,rec_yds,4,,,,,
player,201512060min,min,PruiMy00,rec_td,0,,,,,
player,201512060min,min,PruiMy00,rec_long,4,,,,,
player,201512060min,min,PruiMy00,fumbles,0,,,,,
player,201512060min,min,PruiMy00,fumbles_lost,0,,,,,
player,201512060min,min,ElliRh00,pass_cmp,0,,,,,
player,201512060min,min,ElliRh00,pass_att,0,,,,,
player,201512060min,min,ElliRh00,pass_yds,0,,,,,
player,201512060min,min,ElliRh00,pass_td,0,,,,,
player,201512060min,min,ElliRh00,pass_int,0,,,,,
player,201512060min,min,ElliRh00,pass_sacked,0,,,,,
player,201512060min,min,ElliRh00,pass_sacked_yds,0,,,,,
player,201512060min,min,ElliRh00,pass_long,0,,,,,
player,201512060min,min,ElliRh00,pass_rating,,,,,,
player,201512060min,min,ElliRh00,rush_att,0,,,,,
player,201512060min,min,ElliRh00,rush_yds,0,,,,,
player,201512060min,min,ElliRh00,rush_td,0,,,,,
player,201512060min,min,ElliRh00,rush_long,0,,,,,
player,201512060min,min,ElliRh00,targets,1,,,,,
player,201512060min,min,ElliRh00,rec,0,,,,,
player,201512060min,min,ElliRh00,rec_yds,0,,,,,
player,201512060min,min,ElliRh00,rec_td,0,,,,,
player,201512060min,min,ElliRh00,rec_long,0,,,,,
player,201512060min,min,ElliRh00,fumbles,0,,,,,
player,201512060min,min,ElliRh00,fumbles_lost,0,,,,,
player,201512060min,min,AsiaMa00,pass_cmp,0,,,,,
player,201512060min,min,AsiaMa00,pass_att,0,,,,,
player,201512060min,min,AsiaMa00,pass_yds,0,,,,,
player,201512060min,min,AsiaMa00,pass_td,0,,,,,
player,201512060min,min,AsiaMa00,pass_int,0,,,,,
player,201512060min,min,AsiaMa00,pass_sacked,0,,,,,
player,201512060min,min,AsiaMa00,pass_sacked_yds,0,,,,,
player,201512060min,min,AsiaMa00,pass_long,0,,,,,
player,201512060min,min,AsiaMa00,pass_rating,,,,,,
player,201512060min,min,AsiaMa00,rush_att,2,,,,,
player,201512060min,min,AsiaMa00,rush_yds,-1,,,,,
player,201512060min,min,AsiaMa00,rush_td,0,,,,,
player,201512060min,min,AsiaMa00,rush_long,3,,,,,
player,201512060min,min,AsiaMa00,targets,1,,,,,
player,201512060min,min,AsiaMa00,rec,0,,,,,
player,201512060min,min,AsiaMa00,rec_yds,0,,,,,
player,201512060min,min,AsiaMa00,rec_td,0,,,,,
player,201512060min,min,AsiaMa00,rec_long,0,,,,,
player,201512060min,min,AsiaMa00,fumbles,0,,,,,
player,201512060min,min,AsiaMa00,fumbles_lost,0,,,,,
player,201512060min,min,DiggSt00,pass_cmp,0,,,,,
player,201512060min,min,DiggSt00,pass_att,0,,,,,
player,201512060min,min,DiggSt00,pass_yds,0,,,,,
player,201512060min,min,DiggSt00,pass_td,0,,,,,
player,201512060min,min,DiggSt00,pass_int,0,,,,,
player,201512060min,min,DiggSt00,pass_sacked,0,,,,,
player,201512060min,min,DiggSt00,pass_sacked_yds,0,,,,,
player,201512060min,min,DiggSt00,pass_long,0,,,,,
player,201512060min,min,DiggSt00,pass_rating,,,,,,
player,201512060min,min,DiggSt00,rush_att,1,,,,,
player,201512060min,min,DiggSt00,rush_yds,-6,,,,,
player,201512060min,min,DiggSt00,rush_td,0,,,,,
player,201512060min,min,DiggSt00,rush_long,-6,,,,,
player,201512060min,min,DiggSt00,targets,6,,,,,
player,201512060min,min,DiggSt00,rec,2,,,,,
player,201512060min,min,DiggSt00,rec_yds,22,,,,,
player,201512060min,min,DiggSt00,rec_td,0,,,,,
player,201512060min,min,DiggSt00,rec_long,14,,,,,
player,201512060min,min,DiggSt00,fumbles,0,,,,,
player,201512060min,min,DiggSt00,fumbles_lost,0,,,,,
player,201512060min,sea,ThomEa99,def_int,1,,,,,
player,201512060min,sea,ThomEa99,def_int_yds,25,,,,,
player,201512060min,sea,ThomEa99,def_int_td,0,,,,,
player,201512060min,sea,ThomEa99,def_int_long,25,,,,,
player,201512060min,sea,ThomEa99,pass_defended,1,,,,,
player,201512060min,sea,ThomEa99,sacks,0.0,,,,,
player,201512060min,sea,ThomEa99,tackles_combined,2,,,,,
player,201512060min,sea,ThomEa99,tackles_solo,1,,,,,
player,201512060min,sea,ThomEa99,tackles_assists,1,,,,,
player,201512060min,sea,ThomEa99,tackles_loss,0,,,,,
player,201512060min,sea,ThomEa99,qb_hits,0,,,,,
player,201512060min,sea,ThomEa99,fumbles_rec,0,,,,,
