game,2017,11,20171119,201711190htx,crd,"Arizona Cardinals",21,htx,"Houston Texans",31
player,201711190htx,crd,BrowJo02,pass_yds,0,,,,,
player,201711190htx,crd,BrowJo02,pass_td,0,,,,,
player,201711190htx,crd,BrowJo02,pass_int,0,,,,,
player,201711190htx,crd,BrowJo02,pass_sacked,0,,,,,
player,201711190htx,crd,BrowJo02,pass_sacked_yds,0,,,,,
player,201711190htx,crd,BrowJo02,pass_long,0,,,,,
player,201711190htx,crd,BrowJo02,pass_rating,,,,,,
player,201711190htx,crd,BrowJo02,rush_att,0,,,,,
player,201711190htx,crd,BrowJo02,rush_yds,0,,,,,
player,201711190htx,crd,BrowJo02,rush_td,0,,,,,
player,201711190htx,crd,BrowJo02,rush_long,0,,,,,
player,201711190htx,crd,BrowJo02,targets,6,,,,,
player,201711190htx,crd,BrowJo02,rec,3,,,,,
player,201711190htx,crd,BrowJo02,rec_yds,18,,,,,
player,201711190htx,crd,BrowJo02,rec_td,0,,,,,
player,201711190htx,crd,BrowJo02,rec_long,9,,,,,
player,201711190htx,crd,BrowJo02,fumbles,0,,,,,
player,201711190htx,crd,BrowJo02,fumbles_lost,0,,,,,
player,201711190htx,crd,NelsJJ00,pass_cmp,0,,,,,
player,201711190htx,crd,NelsJJ00,pass_att,0,,,,,
player,201711190htx,crd,NelsJJ00,pass_yds,0,,,,,
player,201711190htx,crd,NelsJJ00,pass_td,0,,,,,
player,201711190htx,crd,NelsJJ00,pass_int,0,,,,,
player,201711190htx,crd,NelsJJ00,pass_sacked,0,,,,,
player,201711190htx,crd,NelsJJ00,pass_sacked_yds,0,,,,,
player,201711190htx,crd,NelsJJ00,pass_long,0,,,,,
player,201711190htx,crd,NelsJJ00,pass_rating,,,,,,
player,201711190htx,crd,NelsJJ00,rush_att,0,,,,,
player,201711190htx,crd,NelsJJ00,rush_yds,0,,,,,
player,201711190htx,crd,NelsJJ00,rush_td,0,,,,,
player,201711190htx,crd,NelsJJ00,rush_long,0,,,,,
player,201711190htx,crd,NelsJJ00,targets,3,,,,,
player,201711190htx,crd,NelsJJ00,rec,1,,,,,
player,201711190htx,crd,NelsJJ00,rec_yds,14,,,,,
player,201711190htx,crd,NelsJJ00,rec_td,0,,,,,
player,201711190htx,crd,NelsJJ00,rec_long,14,,,,,
player,201711190htx,crd,NelsJJ00,fumbles,0,,,,,
player,201711190htx,crd,NelsJJ00,fumbles_lost,0,,,,,
player,201711190htx,crd,GresJe00,pass_cmp,0,,,,,
