game,2017,10,20171112,201711120det,cle,"Cleveland Browns",24,det,"Detroit Lions",38
player,201711120det,cle,NjokDa00,targets,6,,,,,
player,201711120det,cle,NjokDa00,rec,1,,,,,
player,201711120det,cle,NjokDa00,rec_yds,3,,,,,
player,201711120det,cle,NjokDa00,rec_td,0,,,,,
player,201711120det,cle,NjokDa00,rec_long,3,,,,,
player,201711120det,cle,NjokDa00,fumbles,0,,,,,
player,201711120det,cle,NjokDa00,fumbles_lost,0,,,,,
player,201711120det,cle,TregBr00,pass_cmp,0,,,,,
player,201711120det,cle,TregBr00,pass_att,0,,,,,
player,201711120det,cle,TregBr00,pass_yds,0,,,,,
player,201711120det,cle,TregBr00,pass_td,0,,,,,
player,201711120det,cle,TregBr00,pass_int,0,,,,,
player,201711120det,cle,TregBr00,pass_sacked,0,,,,,
player,201711120det,cle,TregBr00,pass_sacked_yds,0,,,,,
player,201711120det,cle,TregBr00,pass_long,0,,,,,
player,201711120det,cle,TregBr00,pass_rating,,,,,,
player,201711120det,cle,TregBr00,rush_att,0,,,,,
player,201711120det,cle,TregBr00,rush_yds,0,,,,,
player,201711120det,cle,TregBr00,rush_td,0,,,,,
player,201711120det,cle,TregBr00,rush_long,0,,,,,
player,201711120det,cle,TregBr00,targets,3,,,,,
player,201711120det,cle,TregBr00,rec,0,,,,,
player,201711120det,cle,TregBr00,rec_yds,0,,,,,
player,201711120det,cle,TregBr00,rec_td,0,,,,,
player,201711120det,cle,TregBr00,rec_long,0,,,,,
player,201711120det,cle,TregBr00,fumbles,0,,,,,
player,201711120det,cle,TregBr00,fumbles_lost,0,,,,,
player,201711120det,cle,VitaDa00,pass_cmp,0,,,,,
player,201711120det,cle,VitaDa00,pass_att,0,,,,,
player,201711120det,cle,VitaDa00,pass_yds,0,,,,,
player,201711120det,cle,VitaDa00,pass_td,0,,,,,
player,201711120det,cle,VitaDa00,pass_int,0,,,,,
player,201711120det,cle,VitaDa00,pass_sacked,0,,,,,
player,201711120det,cle,VitaDa00,pass_sacked_yds,0,,,,,
player,201711120det,cle,VitaDa00,pass_long,0,,,,,
player,201711120det,cle,VitaDa00,pass_rating,,,,,,
player,201711120det,cle,VitaDa00,rush_att,0,,,,,
player,201711120det,cle,VitaDa00,rush_yds,0,,,,,
player,201711120det,cle,VitaDa00,rush_td,0,,,,,
player,201711120det,cle,VitaDa00,rush_long,0,,,,,
player,201711120det,cle,VitaDa00,targets,1,,,,,
player,201711120det,cle,VitaDa00,rec,0,,,,,
player,201711120det,cle,VitaDa00,rec_yds,0,,,,,
player,201711120det,cle,VitaDa00,rec_td,0,,,,,
player,201711120det,cle,VitaDa00,rec_long,0,,,,,
player,201711120det,cle,VitaDa00,fumbles,0,,,,,
player,201711120det,cle,VitaDa00,fumbles_lost,0,,,,,
player,201711120det,det,StafMa00,pass_cmp,17,,,,,
player,201711120det,det,StafMa00,pass_att,26,,,,,
player,201711120det,det,StafMa00,pass_yds,249,,,,,
player,201711120det,det,StafMa00,pass_td,3,,,,,
player,201711120det,det,StafMa00,pass_int,1,,,,,
player,201711120det,det,StafMa00,pass_sacked,4,,,,,
player,201711120det,det,StafMa00,pass_sacked_yds,8,,,,,
player,201711120det,det,StafMa00,pass_long,50,,,,,
player,201711120det,det,StafMa00,pass_rating,118.9,,,,,
player,201711120det,det,StafMa00,rush_att,4,,,,,
player,201711120det,det,StafMa00,rush_yds,17,,,,,
player,201711120det,det,StafMa00,rush_td,0,,,,,
player,201711120det,det,StafMa00,rush_long,10,,,,,
player,201711120det,det,StafMa00,targets,0,,,,,
player,201711120det,det,StafMa00,rec,0,,,,,
player,201711120det,det,StafMa00,rec_yds,0,,,,,
player,201711120det,det,StafMa00,rec_td,0,,,,,
player,201711120det,det,StafMa00,rec_long,0,,,,,
player,201711120det,det,StafMa00,fumbles,0,,,,,
player,201711120det,det,StafMa00,fumbles_lost,0,,,,,
player,201711120det,det,AbduAm00,pass_cmp,0,,,,,
player,201711120det,det,AbduAm00,pass_att,0,,,,,
player,201711120det,det,AbduAm00,pass_yds,0,,,,,
player,201711120det,det,AbduAm00,pass_td,0,,,,,
player,201711120det,det,AbduAm00,pass_int,0,,,,,
