game,2017,8,20171029,201710290sea,htx,"Houston Texans",38,sea,"Seattle Seahawks",41
player,201710290sea,sea,RichPa01,rush_yds,0,,,,,
player,201710290sea,sea,RichPa01,rush_td,0,,,,,
player,201710290sea,sea,RichPa01,rush_long,0,,,,,
player,201710290sea,sea,RichPa01,targets,7,,,,,
player,201710290sea,sea,RichPa01,rec,6,,,,,
player,201710290sea,sea,RichPa01,rec_yds,105,,,,,
player,201710290sea,sea,RichPa01,rec_td,2,,,,,
player,201710290sea,sea,RichPa01,rec_long,48,,,,,
player,201710290sea,sea,RichPa01,fumbles,0,,,,,
player,201710290sea,sea,RichPa01,fumbles_lost,0,,,,,
player,201710290sea,sea,MaddTr01,pass_cmp,0,,,,,
player,201710290sea,sea,MaddTr01,pass_att,0,,,,,
player,201710290sea,sea,MaddTr01,pass_yds,0,,,,,
player,201710290sea,sea,MaddTr01,pass_td,0,,,,,
player,201710290sea,sea,MaddTr01,pass_int,0,,,,,
player,201710290sea,sea,MaddTr01,pass_sacked,0,,,,,
player,201710290sea,sea,MaddTr01,pass_sacked_yds,0,,,,,
player,201710290sea,sea,MaddTr01,pass_long,0,,,,,
player,201710290sea,sea,MaddTr01,pass_rating,,,,,,
player,201710290sea,sea,MaddTr01,rush_att,0,,,,,
player,201710290sea,sea,MaddTr01,rush_yds,0,,,,,
player,201710290sea,sea,MaddTr01,rush_td,0,,,,,
player,201710290sea,sea,MaddTr01,rush_long,0,,,,,
player,201710290sea,sea,MaddTr01,targets,1,,,,,
player,201710290sea,sea,MaddTr01,rec,1,,,,,
player,201710290sea,sea,MaddTr01,rec_yds,66,,,,,
player,201710290sea,sea,MaddTr01,rec_td,0,,,,,
player,201710290sea,sea,MaddTr01,rec_long,66,,,,,
player,201710290sea,sea,MaddTr01,fumbles,0,,,,,
player,201710290sea,sea,MaddTr01,fumbles_lost,0,,,,,
player,201710290sea,sea,BaldDo00,pass_cmp,0,,,,,
player,201710290sea,sea,BaldDo00,pass_att,0,,,,,
player,201710290sea,sea,BaldDo00,pass_yds,0,,,,,
player,201710290sea,sea,BaldDo00,pass_td,0,,,,,
player,201710290sea,sea,BaldDo00,pass_int,0,,,,,
player,201710290sea,sea,BaldDo00,pass_sacked,0,,,,,
player,201710290sea,sea,BaldDo00,pass_sacked_yds,0,,,,,
player,201710290sea,sea,BaldDo00,pass_long,0,,,,,
player,201710290sea,sea,BaldDo00,pass_rating,,,,,,
player,201710290sea,sea,BaldDo00,rush_att,0,,,,,
player,201710290sea,sea,BaldDo00,rush_yds,0,,,,,
player,201710290sea,sea,BaldDo00,rush_td,0,,,,,
player,201710290sea,sea,BaldDo00,rush_long,0,,,,,
player,201710290sea,sea,BaldDo00,targets,10,,,,,
player,201710290sea,sea,BaldDo00,rec,6,,,,,
player,201710290sea,sea,BaldDo00,rec_yds,54,,,,,
player,201710290sea,sea,BaldDo00,rec_td,0,,,,,
player,201710290sea,sea,BaldDo00,rec_long,13,,,,,
player,201710290sea,sea,BaldDo00,fumbles,0,,,,,
player,201710290sea,sea,BaldDo00,fumbles_lost,0,,,,,
player,201710290sea,sea,McEvTa01,pass_cmp,0,,,,,
player,201710290sea,sea,McEvTa01,pass_att,0,,,,,
player,201710290sea,sea,McEvTa01,pass_yds,0,,,,,
player,201710290sea,sea,McEvTa01,pass_td,0,,,,,
player,201710290sea,sea,McEvTa01,pass_int,0,,,,,
player,201710290sea,sea,McEvTa01,pass_sacked,0,,,,,
player,201710290sea,sea,McEvTa01,pass_sacked_yds,0,,,,,
player,201710290sea,sea,McEvTa01,pass_long,0,,,,,
player,201710290sea,sea,McEvTa01,pass_rating,,,,,,
player,201710290sea,sea,McEvTa01,rush_att,0,,,,,
player,201710290sea,sea,McEvTa01,rush_yds,0,,,,,
player,201710290sea,sea,McEvTa01,rush_td,0,,,,,
player,201710290sea,sea,McEvTa01,rush_long,0,,,,,
player,201710290sea,sea,McEvTa01,targets,1,,,,,
player,201710290sea,sea,McEvTa01,rec,1,,,,,
player,201710290sea,sea,McEvTa01,rec_yds,53,,,,,
player,201710290sea,sea,McEvTa01,rec_td,0,,,,,
player,201710290sea,sea,McEvTa01,rec_long,53,,,,,
player,201710290sea,sea,McEvTa01,fumbles,0,,,,,
player,201710290sea,sea,McEvTa01,fumbles_lost,0,,,,,
player,201710290sea,sea,GrahJi00,pass_cmp,0,,,,,
player,201710290sea,sea,GrahJi00,pass_att,0,,,,,
player,201710290sea,sea,GrahJi00,pass_yds,0,,,,,
player,201710290sea,sea,GrahJi00,pass_td,0,,,,,
player,201710290sea,sea,GrahJi00,pass_int,0,,,,,
player,201710290sea,sea,GrahJi00,pass_sacked,0,,,,,
player,201710290sea,sea,GrahJi00,pass_sacked_yds,0,,,,,
player,201710290sea,sea,GrahJi00,pass_long,0,,,,,
player,201710290sea,sea,GrahJi00,pass_rating,,,,,,
