game,2017,14,20171210,201712100htx,sfo,"San Francisco 49ers",26,htx,"Houston Texans",16
player,201712100htx,sfo,KittGe00,pass_int,0,,,,,
player,201712100htx,sfo,KittGe00,pass_sacked,0,,,,,
player,201712100htx,sfo,KittGe00,pass_sacked_yds,0,,,,,
player,201712100htx,sfo,KittGe00,pass_long,0,,,,,
player,201712100htx,sfo,KittGe00,pass_rating,,,,,,
player,201712100htx,sfo,KittGe00,rush_att,0,,,,,
player,201712100htx,sfo,KittGe00,rush_yds,0,,,,,
player,201712100htx,sfo,KittGe00,rush_td,0,,,,,
player,201712100htx,sfo,KittGe00,rush_long,0,,,,,
player,201712100htx,sfo,KittGe00,targets,2,,,,,
player,201712100htx,sfo,KittGe00,rec,2,,,,,
player,201712100htx,sfo,KittGe00,rec_yds,10,,,,,
player,201712100htx,sfo,KittGe00,rec_td,0,,,,,
player,201712100htx,sfo,KittGe00,rec_long,8,,,,,
player,201712100htx,sfo,KittGe00,fumbles,0,,,,,
player,201712100htx,sfo,KittGe00,fumbles_lost,0,,,,,
player,201712100htx,htx,YateT.00,pass_cmp,14,,,,,
player,201712100htx,htx,YateT.00,pass_att,26,,,,,
player,201712100htx,htx,YateT.00,pass_yds,175,,,,,
player,201712100htx,htx,YateT.00,pass_td,2,,,,,
player,201712100htx,htx,YateT.00,pass_int,0,,,,,
player,201712100htx,htx,YateT.00,pass_sacked,1,,,,,
player,201712100htx,htx,YateT.00,pass_sacked_yds,7,,,,,
player,201712100htx,htx,YateT.00,pass_long,29,,,,,
player,201712100htx,htx,YateT.00,pass_rating,100.6,,,,,
player,201712100htx,htx,YateT.00,rush_att,3,,,,,
player,201712100htx,htx,YateT.00,rush_yds,31,,,,,
player,201712100htx,htx,YateT.00,rush_td,0,,,,,
player,201712100htx,htx,YateT.00,rush_long,15,,,,,
player,201712100htx,htx,YateT.00,targets,0,,,,,
player,201712100htx,htx,YateT.00,rec,0,,,,,
player,201712100htx,htx,YateT.00,rec_yds,0,,,,,
player,201712100htx,htx,YateT.00,rec_td,0,,,,,
player,201712100htx,htx,YateT.00,rec_long,0,,,,,
player,201712100htx,htx,YateT.00,fumbles,0,,,,,
player,201712100htx,htx,YateT.00,fumbles_lost,0,,,,,
player,201712100htx,htx,SavaTo00,pass_cmp,6,,,,,
player,201712100htx,htx,SavaTo00,pass_att,12,,,,,
player,201712100htx,htx,SavaTo00,pass_yds,63,,,,,
player,201712100htx,htx,SavaTo00,pass_td,0,,,,,
player,201712100htx,htx,SavaTo00,pass_int,0,,,,,
player,201712100htx,htx,SavaTo00,pass_sacked,2,,,,,
player,201712100htx,htx,SavaTo00,pass_sacked_yds,10,,,,,
player,201712100htx,htx,SavaTo00,pass_long,22,,,,,
player,201712100htx,htx,SavaTo00,pass_rating,65.6,,,,,
player,201712100htx,htx,SavaTo00,rush_att,0,,,,,
player,201712100htx,htx,SavaTo00,rush_yds,0,,,,,
player,201712100htx,htx,SavaTo00,rush_td,0,,,,,
player,201712100htx,htx,SavaTo00,rush_long,0,,,,,
player,201712100htx,htx,SavaTo00,targets,0,,,,,
player,201712100htx,htx,SavaTo00,rec,0,,,,,
player,201712100htx,htx,SavaTo00,rec_yds,0,,,,,
player,201712100htx,htx,SavaTo00,rec_td,0,,,,,
player,201712100htx,htx,SavaTo00,rec_long,0,,,,,
player,201712100htx,htx,SavaTo00,fumbles,0,,,,,
player,201712100htx,htx,SavaTo00,fumbles_lost,0,,,,,
player,201712100htx,htx,MillLa01,pass_cmp,0,,,,,
player,201712100htx,htx,MillLa01,pass_att,0,,,,,
player,201712100htx,htx,MillLa01,pass_yds,0,,,,,
player,201712100htx,htx,MillLa01,pass_td,0,,,,,
player,201712100htx,htx,MillLa01,pass_int,0,,,,,
player,201712100htx,htx,MillLa01,pass_sacked,0,,,,,
player,201712100htx,htx,MillLa01,pass_sacked_yds,0,,,,,
player,201712100htx,htx,MillLa01,pass_long,0,,,,,
player,201712100htx,htx,MillLa01,pass_rating,,,,,,
player,201712100htx,htx,MillLa01,rush_att,17,,,,,
player,201712100htx,htx,MillLa01,rush_yds,53,,,,,
player,201712100htx,htx,MillLa01,rush_td,0,,,,,
player,201712100htx,htx,MillLa01,rush_long,11,,,,,
player,201712100htx,htx,MillLa01,targets,2,,,,,
player,201712100htx,htx,MillLa01,rec,2,,,,,
player,201712100htx,htx,MillLa01,rec_yds,7,,,,,
player,201712100htx,htx,MillLa01,rec_td,0,,,,,
player,201712100htx,htx,MillLa01,rec_long,8,,,,,
player,201712100htx,htx,MillLa01,fumbles,0,,,,,
player,201712100htx,htx,MillLa01,fumbles_lost,0,,,,,
player,201712100htx,htx,ElliAn00,pass_cmp,0,,,,,
player,201712100htx,htx,ElliAn00,pass_att,0,,,,,
player,201712100htx,htx,ElliAn00,pass_yds,0,,,,,
player,201712100htx,htx,ElliAn00,pass_td,0,,,,,
player,201712100htx,htx,ElliAn00,pass_int,0,,,,,
player,201712100htx,htx,ElliAn00,pass_sacked,0,,,,,
player,201712100htx,htx,ElliAn00,pass_sacked_yds,0,,,,,
player,201712100htx,htx,ElliAn00,pass_long,0,,,,,
player,201712100htx,htx,ElliAn00,pass_rating,,,,,,
player,201712100htx,htx,ElliAn00,rush_att,3,,,,,
player,201712100htx,htx,ElliAn00,rush_yds,6,,,,,
player,201712100htx,htx,ElliAn00,rush_td,0,,,,,
player,201712100htx,htx,ElliAn00,rush_long,7,,,,,
player,201712100htx,htx,ElliAn00,targets,2,,,,,
player,201712100htx,htx,ElliAn00,rec,1,,,,,
player,201712100htx,htx,ElliAn00,rec_yds,16,,,,,
player,201712100htx,htx,ElliAn00,rec_td,0,,,,,
player,201712100htx,htx,ElliAn00,rec_long,16,,,,,
player,201712100htx,htx,ElliAn00,fumbles,0,,,,,
player,201712100htx,htx,ElliAn00,fumbles_lost,0,,,,,
player,201712100htx,htx,HopkDe00,pass_cmp,0,,,,,
player,201712100htx,htx,HopkDe00,pass_att,0,,,,,
player,201712100htx,htx,HopkDe00,pass_yds,0,,,,,
player,201712100htx,htx,HopkDe00,pass_td,0,,,,,
player,201712100htx,htx,HopkDe00,pass_int,0,,,,,
player,201712100htx,htx,HopkDe00,pass_sacked,0,,,,,
player,201712100htx,htx,HopkDe00,pass_sacked_yds,0,,,,,
player,201712100htx,htx,HopkDe00,pass_long,0,,,,,
player,201712100htx,htx,HopkDe00,pass_rating,,,,,,
player,201712100htx,htx,HopkDe00,rush_att,0,,,,,
player,201712100htx,htx,HopkDe00,rush_yds,0,,,,,
player,201712100htx,htx,HopkDe00,rush_td,0,,,,,
player,201712100htx,htx,HopkDe00,rush_long,0,,,,,
player,201712100htx,htx,HopkDe00,targets,16,,,,,
player,201712100htx,htx,HopkDe00,rec,11,,,,,
player,201712100htx,htx,HopkDe00,rec_yds,149,,,,,
player,201712100htx,htx,HopkDe00,rec_td,2,,,,,
player,201712100htx,htx,HopkDe00,rec_long,29,,,,,
player,201712100htx,htx,HopkDe00,fumbles,1,,,,,
player,201712100htx,htx,HopkDe00,fumbles_lost,1,,,,,
player,201712100htx,htx,FullWi01,pass_cmp,0,,,,,
player,201712100htx,htx,FullWi01,pass_att,0,,,,,
player,201712100htx,htx,FullWi01,pass_yds,0,,,,,
player,201712100htx,htx,FullWi01,pass_td,0,,,,,
player,201712100htx,htx,FullWi01,pass_int,0,,,,,
player,201712100htx,htx,FullWi01,pass_sacked,0,,,,,
player,201712100htx,htx,FullWi01,pass_sacked_yds,0,,,,,
player,201712100htx,htx,FullWi01,pass_long,0,,,,,
player,201712100htx,htx,FullWi01,pass_rating,,,,,,
player,201712100htx,htx,FullWi01,rush_att,0,,,,,
player,201712100htx,htx,FullWi01,rush_yds,0,,,,,
player,201712100htx,htx,FullWi01,rush_td,0,,,,,
player,201712100htx,htx,FullWi01,rush_long,0,,,,,
player,201712100htx,htx,FullWi01,targets,5,,,,,
player,201712100htx,htx,FullWi01,rec,3,,,,,
player,201712100htx,htx,FullWi01,rec_yds,26,,,,,
player,201712100htx,htx,FullWi01,rec_td,0,,,,,
player,201712100htx,htx,FullWi01,rec_long,14,,,,,
player,201712100htx,htx,FullWi01,fumbles,0,,,,,
player,201712100htx,htx,FullWi01,fumbles_lost,0,,,,,
player,201712100htx,htx,WhitDe01,pass_cmp,0,,,,,
player,201712100htx,htx,WhitDe01,pass_att,0,,,,,
player,201712100htx,htx,WhitDe01,pass_yds,0,,,,,
player,201712100htx,htx,WhitDe01,pass_td,0,,,,,
player,201712100htx,htx,WhitDe01,pass_int,0,,,,,
player,201712100htx,htx,WhitDe01,pass_sacked,0,,,,,
player,201712100htx,htx,WhitDe01,pass_sacked_yds,0,,,,,
player,201712100htx,htx,WhitDe01,pass_long,0,,,,,
player,201712100htx,htx,WhitDe01,pass_rating,,,,,,
player,201712100htx,htx,WhitDe01,rush_att,0,,,,,
player,201712100htx,htx,WhitDe01,rush_yds,0,,,,,
player,201712100htx,htx,WhitDe01,rush_td,0,,,,,
player,201712100htx,htx,WhitDe01,rush_long,0,,,,,
player,201712100htx,htx,WhitDe01,targets,6,,,,,
player,201712100htx,htx,WhitDe01,rec,1,,,,,
player,201712100htx,htx,WhitDe01,rec_yds,24,,,,,
player,201712100htx,htx,WhitDe01,rec_td,0,,,,,
player,201712100htx,htx,WhitDe01,rec_long,24,,,,,
player,201712100htx,htx,WhitDe01,fumbles,1,,,,,
player,201712100htx,htx,WhitDe01,fumbles_lost,0,,,,,
player,201712100htx,htx,AndeSt01,pass_cmp,0,,,,,
player,201712100htx,htx,AndeSt01,pass_att,0,,,,,
player,201712100htx,htx,AndeSt01,pass_yds,0,,,,,
player,201712100htx,htx,AndeSt01,pass_td,0,,,,,
player,201712100htx,htx,AndeSt01,pass_int,0,,,,,
player,201712100htx,htx,AndeSt01,pass_sacked,0,,,,,
player,201712100htx,htx,AndeSt01,pass_sacked_yds,0,,,,,
player,201712100htx,htx,AndeSt01,pass_long,0,,,,,
player,201712100htx,htx,AndeSt01,pass_rating,,,,,,
player,201712100htx,htx,AndeSt01,rush_att,0,,,,,
player,201712100htx,htx,AndeSt01,rush_yds,0,,,,,
player,201712100htx,htx,AndeSt01,rush_td,0,,,,,
player,201712100htx,htx,AndeSt01,rush_long,0,,,,,
player,201712100htx,htx,AndeSt01,targets,6,,,,,
player,201712100htx,htx,AndeSt01,rec,2,,,,,
player,201712100htx,htx,AndeSt01,rec_yds,16,,,,,
player,201712100htx,htx,AndeSt01,rec_td,0,,,,,
player,201712100htx,htx,AndeSt01,rec_long,9,,,,,
player,201712100htx,htx,AndeSt01,fumbles,0,,,,,
player,201712100htx,htx,AndeSt01,fumbles_lost,0,,,,,
player,201712100htx,sfo,BuckDe00,def_int,0,,,,,
player,201712100htx,sfo,BuckDe00,def_int_yds,0,,,,,
player,201712100htx,sfo,BuckDe00,def_int_td,0,,,,,
player,201712100htx,sfo,BuckDe00,def_int_long,0,,,,,
player,201712100htx,sfo,BuckDe00,pass_defended,0,,,,,
player,201712100htx,sfo,BuckDe00,sacks,1.0,,,,,
player,201712100htx,sfo,BuckDe00,tackles_combined,2,,,,,
player,201712100htx,sfo,BuckDe00,tackles_solo,1,,,,,
player,201712100htx,sfo,BuckDe00,tackles_assists,1,,,,,
player,201712100htx,sfo,BuckDe00,tackles_loss,1,,,,,
player,201712100htx,sfo,BuckDe00,qb_hits,2,,,,,
player,201712100htx,sfo,BuckDe00,fumbles_rec,0,,,,,
player,201712100htx,sfo,BuckDe00,fumbles_rec_yds,0,,,,,
player,201712100htx,sfo,BuckDe00,fumbles_rec_td,0,,,,,
player,201712100htx,sfo,BuckDe00,fumbles_forced,0,,,,,
player,201712100htx,sfo,HaroEl00,def_int,0,,,,,
player,201712100htx,sfo,HaroEl00,def_int_yds,0,,,,,
player,201712100htx,sfo,HaroEl00,def_int_td,0,,,,,
player,201712100htx,sfo,HaroEl00,def_int_long,0,,,,,
player,201712100htx,sfo,HaroEl00,pass_defended,0,,,,,
player,201712100htx,sfo,HaroEl00,sacks,1.0,,,,,
player,201712100htx,sfo,HaroEl00,tackles_combined,2,,,,,
player,201712100htx,sfo,HaroEl00,tackles_solo,2,,,,,
player,201712100htx,sfo,HaroEl00,tackles_assists,0,,,,,
player,201712100htx,sfo,HaroEl00,tackles_loss,1,,,,,
player,201712100htx,sfo,HaroEl00,qb_hits,1,,,,,
player,201712100htx,sfo,HaroEl00,fumbles_rec,0,,,,,
player,201712100htx,sfo,HaroEl00,fumbles_rec_yds,0,,,,,
player,201712100htx,sfo,HaroEl00,fumbles_rec_td,0,,,,,
player,201712100htx,sfo,HaroEl00,fumbles_forced,0,,,,,
player,201712100htx,sfo,WillKW00,def_int,0,,,,,
player,201712100htx,sfo,WillKW00,def_int_yds,0,,,,,
player,201712100htx,sfo,WillKW00,def_int_td,0,,,,,
player,201712100htx,sfo,WillKW00,def_int_long,0,,,,,
