game,2017,13,20171203,201712030sdg,cle,"Cleveland Browns",10,sdg,"Los Angeles Chargers",19
player,201712030sdg,cle,DevaSe00,rush_td,0,,,,,
player,201712030sdg,cle,DevaSe00,rush_long,0,,,,,
player,201712030sdg,cle,DevaSe00,targets,3,,,,,
player,201712030sdg,cle,DevaSe00,rec,2,,,,,
player,201712030sdg,cle,DevaSe00,rec_yds,33,,,,,
player,201712030sdg,cle,DevaSe00,rec_td,0,,,,,
player,201712030sdg,cle,DevaSe00,rec_long,25,,,,,
player,201712030sdg,cle,DevaSe00,fumbles,0,,,,,
player,201712030sdg,cle,DevaSe00,fumbles_lost,0,,,,,
player,201712030sdg,cle,BritKe00,pass_cmp,0,,,,,
player,201712030sdg,cle,BritKe00,pass_att,0,,,,,
player,201712030sdg,cle,BritKe00,pass_yds,0,,,,,
player,201712030sdg,cle,BritKe00,pass_td,0,,,,,
player,201712030sdg,cle,BritKe00,pass_int,0,,,,,
player,201712030sdg,cle,BritKe00,pass_sacked,0,,,,,
player,201712030sdg,cle,BritKe00,pass_sacked_yds,0,,,,,
player,201712030sdg,cle,BritKe00,pass_long,0,,,,,
player,201712030sdg,cle,BritKe00,pass_rating,,,,,,
player,201712030sdg,cle,BritKe00,rush_att,0,,,,,
player,201712030sdg,cle,BritKe00,rush_yds,0,,,,,
player,201712030sdg,cle,BritKe00,rush_td,0,,,,,
player,201712030sdg,cle,BritKe00,rush_long,0,,,,,
player,201712030sdg,cle,BritKe00,targets,3,,,,,
player,201712030sdg,cle,BritKe00,rec,2,,,,,
player,201712030sdg,cle,BritKe00,rec_yds,10,,,,,
player,201712030sdg,cle,BritKe00,rec_td,0,,,,,
player,201712030sdg,cle,BritKe00,rec_long,7,,,,,
player,201712030sdg,cle,BritKe00,fumbles,0,,,,,
player,201712030sdg,cle,BritKe00,fumbles_lost,0,,,,,
player,201712030sdg,cle,ColeCo00,pass_cmp,0,,,,,
player,201712030sdg,cle,ColeCo00,pass_att,0,,,,,
player,201712030sdg,cle,ColeCo00,pass_yds,0,,,,,
player,201712030sdg,cle,ColeCo00,pass_td,0,,,,,
player,201712030sdg,cle,ColeCo00,pass_int,0,,,,,
player,201712030sdg,cle,ColeCo00,pass_sacked,0,,,,,
player,201712030sdg,cle,ColeCo00,pass_sacked_yds,0,,,,,
player,201712030sdg,cle,ColeCo00,pass_long,0,,,,,
player,201712030sdg,cle,ColeCo00,pass_rating,,,,,,
player,201712030sdg,cle,ColeCo00,rush_att,0,,,,,
player,201712030sdg,cle,ColeCo00,rush_yds,0,,,,,
player,201712030sdg,cle,ColeCo00,rush_td,0,,,,,
player,201712030sdg,cle,ColeCo00,rush_long,0,,,,,
player,201712030sdg,cle,ColeCo00,targets,4,,,,,
player,201712030sdg,cle,ColeCo00,rec,0,,,,,
player,201712030sdg,cle,ColeCo00,rec_yds,0,,,,,
player,201712030sdg,cle,ColeCo00,rec_td,0,,,,,
player,201712030sdg,cle,ColeCo00,rec_long,0,,,,,
player,201712030sdg,cle,ColeCo00,fumbles,0,,,,,
player,201712030sdg,cle,ColeCo00,fumbles_lost,0,,,,,
player,201712030sdg,sdg,RivePh00,pass_cmp,31,,,,,
player,201712030sdg,sdg,RivePh00,pass_att,43,,,,,
player,201712030sdg,sdg,RivePh00,pass_yds,344,,,,,
player,201712030sdg,sdg,RivePh00,pass_td,1,,,,,
player,201712030sdg,sdg,RivePh00,pass_int,0,,,,,
player,201712030sdg,sdg,RivePh00,pass_sacked,1,,,,,
player,201712030sdg,sdg,RivePh00,pass_sacked_yds,9,,,,,
player,201712030sdg,sdg,RivePh00,pass_long,39,,,,,
player,201712030sdg,sdg,RivePh00,pass_rating,103.2,,,,,
player,201712030sdg,sdg,RivePh00,rush_att,2,,,,,
player,201712030sdg,sdg,RivePh00,rush_yds,-2,,,,,
player,201712030sdg,sdg,RivePh00,rush_td,0,,,,,
player,201712030sdg,sdg,RivePh00,rush_long,-1,,,,,
player,201712030sdg,sdg,RivePh00,targets,0,,,,,
player,201712030sdg,sdg,RivePh00,rec,0,,,,,
player,201712030sdg,sdg,RivePh00,rec_yds,0,,,,,
player,201712030sdg,sdg,RivePh00,rec_td,0,,,,,
player,201712030sdg,sdg,RivePh00,rec_long,0,,,,,
player,201712030sdg,sdg,RivePh00,fumbles,1,,,,,
player,201712030sdg,sdg,RivePh00,fumbles_lost,0,,,,,
player,201712030sdg,sdg,GordMe00,pass_cmp,0,,,,,
player,201712030sdg,sdg,GordMe00,pass_att,0,,,,,
player,201712030sdg,sdg,GordMe00,pass_yds,0,,,,,
player,201712030sdg,sdg,GordMe00,pass_td,0,,,,,
player,201712030sdg,sdg,GordMe00,pass_int,0,,,,,
player,201712030sdg,sdg,GordMe00,pass_sacked,0,,,,,
player,201712030sdg,sdg,GordMe00,pass_sacked_yds,0,,,,,
player,201712030sdg,sdg,GordMe00,pass_long,0,,,,,
player,201712030sdg,sdg,GordMe00,pass_rating,,,,,,
player,201712030sdg,sdg,GordMe00,rush_att,19,,,,,
player,201712030sdg,sdg,GordMe00,rush_yds,77,,,,,
player,201712030sdg,sdg,GordMe00,rush_td,0,,,,,
player,201712030sdg,sdg,GordMe00,rush_long,29,,,,,
player,201712030sdg,sdg,GordMe00,targets,4,,,,,
player,201712030sdg,sdg,GordMe00,rec,4,,,,,
player,201712030sdg,sdg,GordMe00,rec_yds,29,,,,,
player,201712030sdg,sdg,GordMe00,rec_td,0,,,,,
player,201712030sdg,sdg,GordMe00,rec_long,14,,,,,
player,201712030sdg,sdg,GordMe00,fumbles,0,,,,,
player,201712030sdg,sdg,GordMe00,fumbles_lost,0,,,,,
player,201712030sdg,sdg,EkelAu00,pass_cmp,0,,,,,
player,201712030sdg,sdg,EkelAu00,pass_att,0,,,,,
player,201712030sdg,sdg,EkelAu00,pass_yds,0,,,,,
player,201712030sdg,sdg,EkelAu00,pass_td,0,,,,,
player,201712030sdg,sdg,EkelAu00,pass_int,0,,,,,
player,201712030sdg,sdg,EkelAu00,pass_sacked,0,,,,,
player,201712030sdg,sdg,EkelAu00,pass_sacked_yds,0,,,,,
player,201712030sdg,sdg,EkelAu00,pass_long,0,,,,,
player,201712030sdg,sdg,EkelAu00,pass_rating,,,,,,
player,201712030sdg,sdg,EkelAu00,rush_att,4,,,,,
player,201712030sdg,sdg,EkelAu00,rush_yds,19,,,,,
player,201712030sdg,sdg,EkelAu00,rush_td,0,,,,,
player,201712030sdg,sdg,EkelAu00,rush_long,9,,,,,
player,201712030sdg,sdg,EkelAu00,targets,3,,,,,
player,201712030sdg,sdg,EkelAu00,rec,2,,,,,
player,201712030sdg,sdg,EkelAu00,rec_yds,21,,,,,
player,201712030sdg,sdg,EkelAu00,rec_td,0,,,,,
player,201712030sdg,sdg,EkelAu00,rec_long,16,,,,,
player,201712030sdg,sdg,EkelAu00,fumbles,0,,,,,
player,201712030sdg,sdg,EkelAu00,fumbles_lost,0,,,,,
player,201712030sdg,sdg,AlleKe00,pass_cmp,0,,,,,
player,201712030sdg,sdg,AlleKe00,pass_att,0,,,,,
player,201712030sdg,sdg,AlleKe00,pass_yds,0,,,,,
player,201712030sdg,sdg,AlleKe00,pass_td,0,,,,,
player,201712030sdg,sdg,AlleKe00,pass_int,0,,,,,
player,201712030sdg,sdg,AlleKe00,pass_sacked,0,,,,,
player,201712030sdg,sdg,AlleKe00,pass_sacked_yds,0,,,,,
player,201712030sdg,sdg,AlleKe00,pass_long,0,,,,,
player,201712030sdg,sdg,AlleKe00,pass_rating,,,,,,
player,201712030sdg,sdg,AlleKe00,rush_att,0,,,,,
player,201712030sdg,sdg,AlleKe00,rush_yds,0,,,,,
player,201712030sdg,sdg,AlleKe00,rush_td,0,,,,,
player,201712030sdg,sdg,AlleKe00,rush_long,0,,,,,
player,201712030sdg,sdg,AlleKe00,targets,14,,,,,
player,201712030sdg,sdg,AlleKe00,rec,10,,,,,
player,201712030sdg,sdg,AlleKe00,rec_yds,105,,,,,
player,201712030sdg,sdg,AlleKe00,rec_td,1,,,,,
player,201712030sdg,sdg,AlleKe00,rec_long,26,,,,,
player,201712030sdg,sdg,AlleKe00,fumbles,1,,,,,
player,201712030sdg,sdg,AlleKe00,fumbles_lost,0,,,,,
player,201712030sdg,sdg,HenrHu00,pass_cmp,0,,,,,
player,201712030sdg,sdg,HenrHu00,pass_att,0,,,,,
player,201712030sdg,sdg,HenrHu00,pass_yds,0,,,,,
player,201712030sdg,sdg,HenrHu00,pass_td,0,,,,,
player,201712030sdg,sdg,HenrHu00,pass_int,0,,,,,
player,201712030sdg,sdg,HenrHu00,pass_sacked,0,,,,,
player,201712030sdg,sdg,HenrHu00,pass_sacked_yds,0,,,,,
player,201712030sdg,sdg,HenrHu00,pass_long,0,,,,,
player,201712030sdg,sdg,HenrHu00,pass_rating,,,,,,
player,201712030sdg,sdg,HenrHu00,rush_att,0,,,,,
player,201712030sdg,sdg,HenrHu00,rush_yds,0,,,,,
player,201712030sdg,sdg,HenrHu00,rush_td,0,,,,,
player,201712030sdg,sdg,HenrHu00,rush_long,0,,,,,
player,201712030sdg,sdg,HenrHu00,targets,9,,,,,
player,201712030sdg,sdg,HenrHu00,rec,7,,,,,
player,201712030sdg,sdg,HenrHu00,rec_yds,81,,,,,
player,201712030sdg,sdg,HenrHu00,rec_td,0,,,,,
player,201712030sdg,sdg,HenrHu00,rec_long,25,,,,,
player,201712030sdg,sdg,HenrHu00,fumbles,0,,,,,
player,201712030sdg,sdg,HenrHu00,fumbles_lost,0,,,,,
player,201712030sdg,sdg,BenjTr00,pass_cmp,0,,,,,
player,201712030sdg,sdg,BenjTr00,pass_att,0,,,,,
player,201712030sdg,sdg,BenjTr00,pass_yds,0,,,,,
player,201712030sdg,sdg,BenjTr00,pass_td,0,,,,,
player,201712030sdg,sdg,BenjTr00,pass_int,0,,,,,
player,201712030sdg,sdg,BenjTr00,pass_sacked,0,,,,,
player,201712030sdg,sdg,BenjTr00,pass_sacked_yds,0,,,,,
player,201712030sdg,sdg,BenjTr00,pass_long,0,,,,,
player,201712030sdg,sdg,BenjTr00,pass_rating,,,,,,
player,201712030sdg,sdg,BenjTr00,rush_att,0,,,,,
player,201712030sdg,sdg,BenjTr00,rush_yds,0,,,,,
player,201712030sdg,sdg,BenjTr00,rush_td,0,,,,,
player,201712030sdg,sdg,BenjTr00,rush_long,0,,,,,
player,201712030sdg,sdg,BenjTr00,targets,6,,,,,
player,201712030sdg,sdg,BenjTr00,rec,4,,,,,
player,201712030sdg,sdg,BenjTr00,rec_yds,68,,,,,
player,201712030sdg,sdg,BenjTr00,rec_td,0,,,,,
player,201712030sdg,sdg,BenjTr00,rec_long,39,,,,,
player,201712030sdg,sdg,BenjTr00,fumbles,0,,,,,
player,201712030sdg,sdg,BenjTr00,fumbles_lost,0,,,,,
player,201712030sdg,sdg,GateAn00,pass_cmp,0,,,,,
player,201712030sdg,sdg,GateAn00,pass_att,0,,,,,
player,201712030sdg,sdg,GateAn00,pass_yds,0,,,,,
player,201712030sdg,sdg,GateAn00,pass_td,0,,,,,
player,201712030sdg,sdg,GateAn00,pass_int,0,,,,,
player,201712030sdg,sdg,GateAn00,pass_sacked,0,,,,,
player,201712030sdg,sdg,GateAn00,pass_sacked_yds,0,,,,,
player,201712030sdg,sdg,GateAn00,pass_long,0,,,,,
player,201712030sdg,sdg,GateAn00,pass_rating,,,,,,
player,201712030sdg,sdg,GateAn00,rush_att,0,,,,,
player,201712030sdg,sdg,GateAn00,rush_yds,0,,,,,
player,201712030sdg,sdg,GateAn00,rush_td,0,,,,,
player,201712030sdg,sdg,GateAn00,rush_long,0,,,,,
player,201712030sdg,sdg,GateAn00,targets,4,,,,,
player,201712030sdg,sdg,GateAn00,rec,3,,,,,
player,201712030sdg,sdg,GateAn00,rec_yds,32,,,,,
player,201712030sdg,sdg,GateAn00,rec_td,0,,,,,
player,201712030sdg,sdg,GateAn00,rec_long,12,,,,,
player,201712030sdg,sdg,GateAn00,fumbles,0,,,,,
player,201712030sdg,sdg,GateAn00,fumbles_lost,0,,,,,
player,201712030sdg,sdg,WillTy00,pass_cmp,0,,,,,
player,201712030sdg,sdg,WillTy00,pass_att,0,,,,,
player,201712030sdg,sdg,WillTy00,pass_yds,0,,,,,
player,201712030sdg,sdg,WillTy00,pass_td,0,,,,,
player,201712030sdg,sdg,WillTy00,pass_int,0,,,,,
player,201712030sdg,sdg,WillTy00,pass_sacked,0,,,,,
player,201712030sdg,sdg,WillTy00,pass_sacked_yds,0,,,,,
player,201712030sdg,sdg,WillTy00,pass_long,0,,,,,
player,201712030sdg,sdg,WillTy00,pass_rating,,,,,,
player,201712030sdg,sdg,WillTy00,rush_att,0,,,,,
player,201712030sdg,sdg,WillTy00,rush_yds,0,,,,,
player,201712030sdg,sdg,WillTy00,rush_td,0,,,,,
player,201712030sdg,sdg,WillTy00,rush_long,0,,,,,
player,201712030sdg,sdg,WillTy00,targets,3,,,,,
player,201712030sdg,sdg,WillTy00,rec,1,,,,,
player,201712030sdg,sdg,WillTy00,rec_yds,8,,,,,
player,201712030sdg,sdg,WillTy00,rec_td,0,,,,,
player,201712030sdg,sdg,WillTy00,rec_long,8,,,,,
player,201712030sdg,sdg,WillTy00,fumbles,0,,,,,
player,201712030sdg,sdg,WillTy00,fumbles_lost,0,,,,,
player,201712030sdg,cle,SchoJo00,def_int,0,,,,,
player,201712030sdg,cle,SchoJo00,def_int_yds,0,,,,,
player,201712030sdg,cle,SchoJo00,def_int_td,0,,,,,
player,201712030sdg,cle,SchoJo00,def_int_long,0,,,,,
player,201712030sdg,cle,SchoJo00,pass_defended,0,,,,,
player,201712030sdg,cle,SchoJo00,sacks,1.0,,,,,
player,201712030sdg,cle,SchoJo00,tackles_combined,12,,,,,
player,201712030sdg,cle,SchoJo00,tackles_solo,7,,,,,
player,201712030sdg,cle,SchoJo00,tackles_assists,5,,,,,
player,201712030sdg,cle,SchoJo00,tackles_loss,1,,,,,
player,201712030sdg,cle,SchoJo00,qb_hits,0,,,,,
player,201712030sdg,cle,SchoJo00,fumbles_rec,0,,,,,
player,201712030sdg,cle,SchoJo00,fumbles_rec_yds,0,,,,,
player,201712030sdg,cle,SchoJo00,fumbles_rec_td,0,,,,,
player,201712030sdg,cle,SchoJo00,fumbles_forced,1,,,,,
player,201712030sdg,cle,McCoJa99,def_int,0,,,,,
player,201712030sdg,cle,McCoJa99,def_int_yds,0,,,,,
player,201712030sdg,cle,McCoJa99,def_int_td,0,,,,,
player,201712030sdg,cle,McCoJa99,def_int_long,0,,,,,
player,201712030sdg,cle,McCoJa99,pass_defended,1,,,,,
player,201712030sdg,cle,McCoJa99,sacks,0.0,,,,,
player,201712030sdg,cle,McCoJa99,tackles_combined,9,,,,,
player,201712030sdg,cle,McCoJa99,tackles_solo,9,,,,,
player,201712030sdg,cle,McCoJa99,tackles_assists,0,,,,,
player,201712030sdg,cle,McCoJa99,tackles_loss,1,,,,,
player,201712030sdg,cle,McCoJa99,qb_hits,0,,,,,
player,201712030sdg,cle,McCoJa99,fumbles_rec,0,,,,,
player,201712030sdg,cle,McCoJa99,fumbles_rec_yds,0,,,,,
player,201712030sdg,cle,McCoJa99,fumbles_rec_td,0,,,,,
player,201712030sdg,cle,McCoJa99,fumbles_forced,0,,,,,
player,201712030sdg,cle,KirkCh00,def_int,0,,,,,
player,201712030sdg,cle,KirkCh00,def_int_yds,0,,,,,
player,201712030sdg,cle,KirkCh00,def_int_td,0,,,,,
player,201712030sdg,cle,KirkCh00,def_int_long,0,,,,,
player,201712030sdg,cle,KirkCh00,pass_defended,0,,,,,
player,201712030sdg,cle,KirkCh00,sacks,0.0,,,,,
player,201712030sdg,cle,KirkCh00,tackles_combined,8,,,,,
player,201712030sdg,cle,KirkCh00,tackles_solo,8,,,,,
player,201712030sdg,cle,KirkCh00,tackles_assists,0,,,,,
player,201712030sdg,cle,KirkCh00,tackles_loss,0,,,,,
player,201712030sdg,cle,KirkCh00,qb_hits,0,,,,,
player,201712030sdg,cle,KirkCh00,fumbles_rec,0,,,,,
player,201712030sdg,cle,KirkCh00,fumbles_rec_yds,0,,,,,
player,201712030sdg,cle,KirkCh00,fumbles_rec_td,0,,,,,
player,201712030sdg,cle,KirkCh00,fumbles_forced,0,,,,,
player,201712030sdg,cle,BoddBr01,def_int,0,,,,,
player,201712030sdg,cle,BoddBr01,def_int_yds,0,,,,,
player,201712030sdg,cle,BoddBr01,def_int_td,0,,,,,
player,201712030sdg,cle,BoddBr01,def_int_long,0,,,,,
player,201712030sdg,cle,BoddBr01,pass_defended,0,,,,,
player,201712030sdg,cle,BoddBr01,sacks,0.0,,,,,
player,201712030sdg,cle,BoddBr01,tackles_combined,5,,,,,
player,201712030sdg,cle,BoddBr01,tackles_solo,4,,,,,
player,201712030sdg,cle,BoddBr01,tackles_assists,1,,,,,
player,201712030sdg,cle,BoddBr01,tackles_loss,0,,,,,
player,201712030sdg,cle,BoddBr01,qb_hits,0,,,,,
player,201712030sdg,cle,BoddBr01,fumbles_rec,0,,,,,
player,201712030sdg,cle,BoddBr01,fumbles_rec_yds,0,,,,,
player,201712030sdg,cle,BoddBr01,fumbles_rec_td,0,,,,,
player,201712030sdg,cle,BoddBr01,fumbles_forced,0,,,,,
player,201712030sdg,cle,BurgJa01,def_int,0,,,,,
player,201712030sdg,cle,BurgJa01,def_int_yds,0,,,,,
player,201712030sdg,cle,BurgJa01,def_int_td,0,,,,,
player,201712030sdg,cle,BurgJa01,def_int_long,0,,,,,
player,201712030sdg,cle,BurgJa01,pass_defended,0,,,,,
player,201712030sdg,cle,BurgJa01,sacks,0.0,,,,,
player,201712030sdg,cle,BurgJa01,tackles_combined,4,,,,,
player,201712030sdg,cle,BurgJa01,tackles_solo,2,,,,,
player,201712030sdg,cle,BurgJa01,tackles_assists,2,,,,,
player,201712030sdg,cle,BurgJa01,tackles_loss,0,,,,,
player,201712030sdg,cle,BurgJa01,qb_hits,0,,,,,
player,201712030sdg,cle,BurgJa01,fumbles_rec,0,,,,,
player,201712030sdg,cle,BurgJa01,fumbles_rec_yds,0,,,,,
player,201712030sdg,cle,BurgJa01,fumbles_rec_td,0,,,,,
player,201712030sdg,cle,BurgJa01,fumbles_forced,0,,,,,
player,201712030sdg,cle,ColeTr01,def_int,0,,,,,
player,201712030sdg,cle,ColeTr01,def_int_yds,0,,,,,
player,201712030sdg,cle,ColeTr01,def_int_td,0,,,,,
player,201712030sdg,cle,ColeTr01,def_int_long,0,,,,,
player,201712030sdg,cle,ColeTr01,pass_defended,0,,,,,
player,201712030sdg,cle,ColeTr01,sacks,0.0,,,,,
player,201712030sdg,cle,ColeTr01,tackles_combined,4,,,,,
player,201712030sdg,cle,ColeTr01,tackles_solo,3,,,,,
player,201712030sdg,cle,ColeTr01,tackles_assists,1,,,,,
player,201712030sdg,cle,ColeTr01,tackles_loss,1,,,,,
player,201712030sdg,cle,ColeTr01,qb_hits,1,,,,,
player,201712030sdg,cle,ColeTr01,fumbles_rec,0,,,,,
