game,2017,16,20171224,201712240was,den,"Denver Broncos",11,was,"Washington Redskins",27
player,201712240was,was,CrowJa00,rec_yds,47,,,,,
player,201712240was,was,CrowJa00,rec_td,1,,,,,
player,201712240was,was,CrowJa00,rec_long,15,,,,,
player,201712240was,was,CrowJa00,fumbles,0,,,,,
player,201712240was,was,CrowJa00,fumbles_lost,0,,,,,
player,201712240was,was,DaviVe00,pass_cmp,0,,,,,
player,201712240was,was,DaviVe00,pass_att,0,,,,,
player,201712240was,was,DaviVe00,pass_yds,0,,,,,
player,201712240was,was,DaviVe00,pass_td,0,,,,,
player,201712240was,was,DaviVe00,pass_int,0,,,,,
player,201712240was,was,DaviVe00,pass_sacked,0,,,,,
player,201712240was,was,DaviVe00,pass_sacked_yds,0,,,,,
player,201712240was,was,DaviVe00,pass_long,0,,,,,
player,201712240was,was,DaviVe00,pass_rating,,,,,,
player,201712240was,was,DaviVe00,rush_att,0,,,,,
player,201712240was,was,DaviVe00,rush_yds,0,,,,,
player,201712240was,was,DaviVe00,rush_td,0,,,,,
player,201712240was,was,DaviVe00,rush_long,0,,,,,
player,201712240was,was,DaviVe00,targets,3,,,,,
player,201712240was,was,DaviVe00,rec,2,,,,,
player,201712240was,was,DaviVe00,rec_yds,42,,,,,
player,201712240was,was,DaviVe00,rec_td,1,,,,,
player,201712240was,was,DaviVe00,rec_long,31,,,,,
player,201712240was,was,DaviVe00,fumbles,0,,,,,
player,201712240was,was,DaviVe00,fumbles_lost,0,,,,,
player,201712240was,was,QuicBr00,pass_cmp,0,,,,,
player,201712240was,was,QuicBr00,pass_att,0,,,,,
player,201712240was,was,QuicBr00,pass_yds,0,,,,,
player,201712240was,was,QuicBr00,pass_td,0,,,,,
player,201712240was,was,QuicBr00,pass_int,0,,,,,
player,201712240was,was,QuicBr00,pass_sacked,0,,,,,
player,201712240was,was,QuicBr00,pass_sacked_yds,0,,,,,
player,201712240was,was,QuicBr00,pass_long,0,,,,,
player,201712240was,was,QuicBr00,pass_rating,,,,,,
player,201712240was,was,QuicBr00,rush_att,0,,,,,
player,201712240was,was,QuicBr00,rush_yds,0,,,,,
player,201712240was,was,QuicBr00,rush_td,0,,,,,
player,201712240was,was,QuicBr00,rush_long,0,,,,,
player,201712240was,was,QuicBr00,targets,1,,,,,
player,201712240was,was,QuicBr00,rec,1,,,,,
player,201712240was,was,QuicBr00,rec_yds,9,,,,,
player,201712240was,was,QuicBr00,rec_td,0,,,,,
player,201712240was,was,QuicBr00,rec_long,9,,,,,
player,201712240was,was,QuicBr00,fumbles,0,,,,,
player,201712240was,was,QuicBr00,fumbles_lost,0,,,,,
player,201712240was,was,SpriJe00,pass_cmp,0,,,,,
player,201712240was,was,SpriJe00,pass_att,0,,,,,
player,201712240was,was,SpriJe00,pass_yds,0,,,,,
player,201712240was,was,SpriJe00,pass_td,0,,,,,
player,201712240was,was,SpriJe00,pass_int,0,,,,,
player,201712240was,was,SpriJe00,pass_sacked,0,,,,,
player,201712240was,was,SpriJe00,pass_sacked_yds,0,,,,,
player,201712240was,was,SpriJe00,pass_long,0,,,,,
player,201712240was,was,SpriJe00,pass_rating,,,,,,
player,201712240was,was,SpriJe00,rush_att,0,,,,,
player,201712240was,was,SpriJe00,rush_yds,0,,,,,
player,201712240was,was,SpriJe00,rush_td,0,,,,,
player,201712240was,was,SpriJe00,rush_long,0,,,,,
player,201712240was,was,SpriJe00,targets,1,,,,,
player,201712240was,was,SpriJe00,rec,1,,,,,
player,201712240was,was,SpriJe00,rec_yds,6,,,,,
player,201712240was,was,SpriJe00,rec_td,0,,,,,
player,201712240was,was,SpriJe00,rec_long,6,,,,,
player,201712240was,was,SpriJe00,fumbles,0,,,,,
player,201712240was,was,SpriJe00,fumbles_lost,0,,,,,
player,201712240was,was,PaulNi00,pass_cmp,0,,,,,
player,201712240was,was,PaulNi00,pass_att,0,,,,,
player,201712240was,was,PaulNi00,pass_yds,0,,,,,
player,201712240was,was,PaulNi00,pass_td,0,,,,,
player,201712240was,was,PaulNi00,pass_int,0,,,,,
player,201712240was,was,PaulNi00,pass_sacked,0,,,,,
player,201712240was,was,PaulNi00,pass_sacked_yds,0,,,,,
player,201712240was,was,PaulNi00,pass_long,0,,,,,
player,201712240was,was,PaulNi00,pass_rating,,,,,,
player,201712240was,was,PaulNi00,rush_att,0,,,,,
player,201712240was,was,PaulNi00,rush_yds,0,,,,,
player,201712240was,was,PaulNi00,rush_td,0,,,,,
player,201712240was,was,PaulNi00,rush_long,0,,,,,
player,201712240was,was,PaulNi00,targets,2,,,,,
player,201712240was,was,PaulNi00,rec,0,,,,,
player,201712240was,was,PaulNi00,rec_yds,0,,,,,
player,201712240was,was,PaulNi00,rec_td,0,,,,,
player,201712240was,was,PaulNi00,rec_long,0,,,,,
