game,2017,9,20171105,201711050phi,den,"Denver Broncos",23,phi,"Philadelphia Eagles",51
player,201711050phi,phi,BurtTr01,rec_td,1,,,,,
player,201711050phi,phi,BurtTr01,rec_long,27,,,,,
player,201711050phi,phi,BurtTr01,fumbles,0,,,,,
player,201711050phi,phi,BurtTr01,fumbles_lost,0,,,,,
player,201711050phi,phi,CeleBr00,pass_cmp,0,,,,,
player,201711050phi,phi,CeleBr00,pass_att,0,,,,,
player,201711050phi,phi,CeleBr00,pass_yds,0,,,,,
player,201711050phi,phi,CeleBr00,pass_td,0,,,,,
player,201711050phi,phi,CeleBr00,pass_int,0,,,,,
player,201711050phi,phi,CeleBr00,pass_sacked,0,,,,,
player,201711050phi,phi,CeleBr00,pass_sacked_yds,0,,,,,
player,201711050phi,phi,CeleBr00,pass_long,0,,,,,
player,201711050phi,phi,CeleBr00,pass_rating,,,,,,
player,201711050phi,phi,CeleBr00,rush_att,0,,,,,
player,201711050phi,phi,CeleBr00,rush_yds,0,,,,,
player,201711050phi,phi,CeleBr00,rush_td,0,,,,,
player,201711050phi,phi,CeleBr00,rush_long,0,,,,,
player,201711050phi,phi,CeleBr00,targets,4,,,,,
player,201711050phi,phi,CeleBr00,rec,3,,,,,
player,201711050phi,phi,CeleBr00,rec_yds,39,,,,,
player,201711050phi,phi,CeleBr00,rec_td,0,,,,,
player,201711050phi,phi,CeleBr00,rec_long,15,,,,,
player,201711050phi,phi,CeleBr00,fumbles,0,,,,,
player,201711050phi,phi,CeleBr00,fumbles_lost,0,,,,,
player,201711050phi,phi,AghoNe00,pass_cmp,0,,,,,
player,201711050phi,phi,AghoNe00,pass_att,0,,,,,
player,201711050phi,phi,AghoNe00,pass_yds,0,,,,,
player,201711050phi,phi,AghoNe00,pass_td,0,,,,,
player,201711050phi,phi,AghoNe00,pass_int,0,,,,,
player,201711050phi,phi,AghoNe00,pass_sacked,0,,,,,
player,201711050phi,phi,AghoNe00,pass_sacked_yds,0,,,,,
player,201711050phi,phi,AghoNe00,pass_long,0,,,,,
player,201711050phi,phi,AghoNe00,pass_rating,,,,,,
