game,2017,1,20170910,201709100det,crd,"Arizona Cardinals",23,det,"Detroit Lions",35
player,201709100det,crd,GresJe00,rec,3,,,,,
player,201709100det,crd,GresJe00,rec_yds,15,,,,,
player,201709100det,crd,GresJe00,rec_td,0,,,,,
player,201709100det,crd,GresJe00,rec_long,11,,,,,
player,201709100det,crd,GresJe00,fumbles,0,,,,,
player,201709100det,crd,GresJe00,fumbles_lost,0,,,,,
player,201709100det,crd,NiklTr00,pass_cmp,0,,,,,
player,201709100det,crd,NiklTr00,pass_att,0,,,,,
player,201709100det,crd,NiklTr00,pass_yds,0,,,,,
player,201709100det,crd,NiklTr00,pass_td,0,,,,,
player,201709100det,crd,NiklTr00,pass_int,0,,,,,
player,201709100det,crd,NiklTr00,pass_sacked,0,,,,,
player,201709100det,crd,NiklTr00,pass_sacked_yds,0,,,,,
player,201709100det,crd,NiklTr00,pass_long,0,,,,,
player,201709100det,crd,NiklTr00,pass_rating,,,,,,
player,201709100det,crd,NiklTr00,rush_att,0,,,,,
player,201709100det,crd,NiklTr00,rush_yds,0,,,,,
player,201709100det,crd,NiklTr00,rush_td,0,,,,,
player,201709100det,crd,NiklTr00,rush_long,0,,,,,
player,201709100det,crd,NiklTr00,targets,2,,,,,
player,201709100det,crd,NiklTr00,rec,0,,,,,
player,201709100det,crd,NiklTr00,rec_yds,0,,,,,
player,201709100det,crd,NiklTr00,rec_td,0,,,,,
player,201709100det,crd,NiklTr00,rec_long,0,,,,,
player,201709100det,crd,NiklTr00,fumbles,0,,,,,
player,201709100det,crd,NiklTr00,fumbles_lost,0,,,,,
player,201709100det,det,StafMa00,pass_cmp,29,,,,,
player,201709100det,det,StafMa00,pass_att,41,,,,,
player,201709100det,det,StafMa00,pass_yds,292,,,,,
player,201709100det,det,StafMa00,pass_td,4,,,,,
player,201709100det,det,StafMa00,pass_int,1,,,,,
player,201709100det,det,StafMa00,pass_sacked,1,,,,,
player,201709100det,det,StafMa00,pass_sacked_yds,7,,,,,
player,201709100det,det,StafMa00,pass_long,45,,,,,
player,201709100det,det,StafMa00,pass_rating,113.1,,,,,
player,201709100det,det,StafMa00,rush_att,2,,,,,
player,201709100det,det,StafMa00,rush_yds,14,,,,,
player,201709100det,det,StafMa00,rush_td,0,,,,,
player,201709100det,det,StafMa00,rush_long,15,,,,,
player,201709100det,det,StafMa00,targets,0,,,,,
player,201709100det,det,StafMa00,rec,0,,,,,
player,201709100det,det,StafMa00,rec_yds,0,,,,,
player,201709100det,det,StafMa00,rec_td,0,,,,,
player,201709100det,det,StafMa00,rec_long,0,,,,,
player,201709100det,det,StafMa00,fumbles,0,,,,,
player,201709100det,det,StafMa00,fumbles_lost,0,,,,,
