game,2017,8,20171029,201710290nwe,sdg,"Los Angeles Chargers",13,nwe,"New England Patriots",21
player,201710290nwe,nwe,CookBr00,fumbles,0,,,,,
player,201710290nwe,nwe,CookBr00,fumbles_lost,0,,,,,
player,201710290nwe,nwe,AmenDa00,pass_cmp,0,,,,,
player,201710290nwe,nwe,AmenDa00,pass_att,0,,,,,
player,201710290nwe,nwe,AmenDa00,pass_yds,0,,,,,
player,201710290nwe,nwe,AmenDa00,pass_td,0,,,,,
player,201710290nwe,nwe,AmenDa00,pass_int,0,,,,,
player,201710290nwe,nwe,AmenDa00,pass_sacked,0,,,,,
player,201710290nwe,nwe,AmenDa00,pass_sacked_yds,0,,,,,
player,201710290nwe,nwe,AmenDa00,pass_long,0,,,,,
player,201710290nwe,nwe,AmenDa00,pass_rating,,,,,,
player,201710290nwe,nwe,AmenDa00,rush_att,0,,,,,
player,201710290nwe,nwe,AmenDa00,rush_yds,0,,,,,
player,201710290nwe,nwe,AmenDa00,rush_td,0,,,,,
player,201710290nwe,nwe,AmenDa00,rush_long,0,,,,,
player,201710290nwe,nwe,AmenDa00,targets,6,,,,,
player,201710290nwe,nwe,AmenDa00,rec,2,,,,,
player,201710290nwe,nwe,AmenDa00,rec_yds,14,,,,,
player,201710290nwe,nwe,AmenDa00,rec_td,0,,,,,
player,201710290nwe,nwe,AmenDa00,rec_long,9,,,,,
player,201710290nwe,nwe,AmenDa00,fumbles,0,,,,,
player,201710290nwe,nwe,AmenDa00,fumbles_lost,0,,,,,
player,201710290nwe,nwe,HollJa03,pass_cmp,0,,,,,
player,201710290nwe,nwe,HollJa03,pass_att,0,,,,,
player,201710290nwe,nwe,HollJa03,pass_yds,0,,,,,
player,201710290nwe,nwe,HollJa03,pass_td,0,,,,,
player,201710290nwe,nwe,HollJa03,pass_int,0,,,,,
player,201710290nwe,nwe,HollJa03,pass_sacked,0,,,,,
player,201710290nwe,nwe,HollJa03,pass_sacked_yds,0,,,,,
player,201710290nwe,nwe,HollJa03,pass_long,0,,,,,
player,201710290nwe,nwe,HollJa03,pass_rating,,,,,,
player,201710290nwe,nwe,HollJa03,rush_att,0,,,,,
player,201710290nwe,nwe,HollJa03,rush_yds,0,,,,,
player,201710290nwe,nwe,HollJa03,rush_td,0,,,,,
player,201710290nwe,nwe,HollJa03,rush_long,0,,,,,
player,201710290nwe,nwe,HollJa03,targets,1,,,,,
player,201710290nwe,nwe,HollJa03,rec,1,,,,,
player,201710290nwe,nwe,HollJa03,rec_yds,13,,,,,
