game,2017,1,20170911,201709110den,sdg,"Los Angeles Chargers",21,den,"Denver Broncos",24
player,201709110den,sdg,KingDe01,pass_defended,1,,,,,
player,201709110den,sdg,KingDe01,sacks,0.0,,,,,
player,201709110den,sdg,KingDe01,tackles_combined,0,,,,,
player,201709110den,sdg,KingDe01,tackles_solo,0,,,,,
player,201709110den,sdg,KingDe01,tackles_assists,0,,,,,
player,201709110den,sdg,KingDe01,tackles_loss,0,,,,,
player,201709110den,sdg,KingDe01,qb_hits,0,,,,,
player,201709110den,sdg,KingDe01,fumbles_rec,0,,,,,
player,201709110den,sdg,KingDe01,fumbles_rec_yds,0,,,,,
player,201709110den,sdg,KingDe01,fumbles_rec_td,0,,,,,
player,201709110den,sdg,KingDe01,fumbles_forced,0,,,,,
player,201709110den,den,RobyBr00,def_int,1,,,,,
player,201709110den,den,RobyBr00,def_int_yds,0,,,,,
player,201709110den,den,RobyBr00,def_int_td,0,,,,,
player,201709110den,den,RobyBr00,def_int_long,0,,,,,
player,201709110den,den,RobyBr00,pass_defended,2,,,,,
player,201709110den,den,RobyBr00,sacks,0.0,,,,,
player,201709110den,den,RobyBr00,tackles_combined,5,,,,,
player,201709110den,den,RobyBr00,tackles_solo,3,,,,,
player,201709110den,den,RobyBr00,tackles_assists,2,,,,,
player,201709110den,den,RobyBr00,tackles_loss,0,,,,,
player,201709110den,den,RobyBr00,qb_hits,0,,,,,
player,201709110den,den,RobyBr00,fumbles_rec,0,,,,,
player,201709110den,den,RobyBr00,fumbles_rec_yds,0,,,,,
player,201709110den,den,RobyBr00,fumbles_rec_td,0,,,,,
player,201709110den,den,RobyBr00,fumbles_forced,0,,,,,
player,201709110den,den,BarrSh00,def_int,0,,,,,
player,201709110den,den,BarrSh00,def_int_yds,0,,,,,
player,201709110den,den,BarrSh00,def_int_td,0,,,,,
player,201709110den,den,BarrSh00,def_int_long,0,,,,,
player,201709110den,den,BarrSh00,pass_defended,0,,,,,
player,201709110den,den,BarrSh00,sacks,1.0,,,,,
player,201709110den,den,BarrSh00,tackles_combined,1,,,,,
player,201709110den,den,BarrSh00,tackles_solo,1,,,,,
player,201709110den,den,BarrSh00,tackles_assists,0,,,,,
player,201709110den,den,BarrSh00,tackles_loss,1,,,,,
player,201709110den,den,BarrSh00,qb_hits,1,,,,,
player,201709110den,den,BarrSh00,fumbles_rec,0,,,,,
player,201709110den,den,BarrSh00,fumbles_rec_yds,0,,,,,
player,201709110den,den,BarrSh00,fumbles_rec_td,0,,,,,
player,201709110den,den,BarrSh00,fumbles_forced,0,,,,,
player,201709110den,den,MarsBr01,def_int,0,,,,,
player,201709110den,den,MarsBr01,def_int_yds,0,,,,,
player,201709110den,den,MarsBr01,def_int_td,0,,,,,
player,201709110den,den,MarsBr01,def_int_long,0,,,,,
player,201709110den,den,MarsBr01,pass_defended,0,,,,,
player,201709110den,den,MarsBr01,sacks,0.0,,,,,
player,201709110den,den,MarsBr01,tackles_combined,8,,,,,
player,201709110den,den,MarsBr01,tackles_solo,5,,,,,
player,201709110den,den,MarsBr01,tackles_assists,3,,,,,
player,201709110den,den,MarsBr01,tackles_loss,1,,,,,
player,201709110den,den,MarsBr01,qb_hits,1,,,,,
player,201709110den,den,MarsBr01,fumbles_rec,0,,,,,
player,201709110den,den,MarsBr01,fumbles_rec_yds,0,,,,,
player,201709110den,den,MarsBr01,fumbles_rec_td,0,,,,,
player,201709110den,den,MarsBr01,fumbles_forced,0,,,,,
player,201709110den,den,SimmJu00,def_int,0,,,,,
player,201709110den,den,SimmJu00,def_int_yds,0,,,,,
player,201709110den,den,SimmJu00,def_int_td,0,,,,,
player,201709110den,den,SimmJu00,def_int_long,0,,,,,
player,201709110den,den,SimmJu00,pass_defended,0,,,,,
player,201709110den,den,SimmJu00,sacks,0.0,,,,,
player,201709110den,den,SimmJu00,tackles_combined,6,,,,,
player,201709110den,den,SimmJu00,tackles_solo,3,,,,,
player,201709110den,den,SimmJu00,tackles_assists,3,,,,,
player,201709110den,den,SimmJu00,tackles_loss,0,,,,,
player,201709110den,den,SimmJu00,qb_hits,1,,,,,
player,201709110den,den,SimmJu00,fumbles_rec,0,,,,,
player,201709110den,den,SimmJu00,fumbles_rec_yds,0,,,,,
player,201709110den,den,SimmJu00,fumbles_rec_td,0,,,,,
player,201709110den,den,SimmJu00,fumbles_forced,0,,,,,
player,201709110den,den,StewDa00,def_int,0,,,,,
player,201709110den,den,StewDa00,def_int_yds,0,,,,,
player,201709110den,den,StewDa00,def_int_td,0,,,,,
player,201709110den,den,StewDa00,def_int_long,0,,,,,
player,201709110den,den,StewDa00,pass_defended,0,,,,,
player,201709110den,den,StewDa00,sacks,0.0,,,,,
player,201709110den,den,StewDa00,tackles_combined,6,,,,,
player,201709110den,den,StewDa00,tackles_solo,5,,,,,
player,201709110den,den,StewDa00,tackles_assists,1,,,,,
player,201709110den,den,StewDa00,tackles_loss,1,,,,,
player,201709110den,den,StewDa00,qb_hits,0,,,,,
player,201709110den,den,StewDa00,fumbles_rec,0,,,,,
player,201709110den,den,StewDa00,fumbles_rec_yds,0,,,,,
player,201709110den,den,StewDa00,fumbles_rec_td,0,,,,,
player,201709110den,den,StewDa00,fumbles_forced,0,,,,,
player,201709110den,den,GotsAd00,def_int,0,,,,,
player,201709110den,den,GotsAd00,def_int_yds,0,,,,,
player,201709110den,den,GotsAd00,def_int_td,0,,,,,
player,201709110den,den,GotsAd00,def_int_long,0,,,,,
player,201709110den,den,GotsAd00,pass_defended,0,,,,,
player,201709110den,den,GotsAd00,sacks,0.0,,,,,
player,201709110den,den,GotsAd00,tackles_combined,5,,,,,
player,201709110den,den,GotsAd00,tackles_solo,5,,,,,
player,201709110den,den,GotsAd00,tackles_assists,0,,,,,
player,201709110den,den,GotsAd00,tackles_loss,0,,,,,
player,201709110den,den,GotsAd00,qb_hits,0,,,,,
player,201709110den,den,GotsAd00,fumbles_rec,0,,,,,
player,201709110den,den,GotsAd00,fumbles_rec_yds,0,,,,,
player,201709110den,den,GotsAd00,fumbles_rec_td,0,,,,,
player,201709110den,den,GotsAd00,fumbles_forced,0,,,,,
player,201709110den,den,MillVo00,def_int,0,,,,,
player,201709110den,den,MillVo00,def_int_yds,0,,,,,
player,201709110den,den,MillVo00,def_int_td,0,,,,,
player,201709110den,den,MillVo00,def_int_long,0,,,,,
player,201709110den,den,MillVo00,pass_defended,0,,,,,
player,201709110den,den,MillVo00,sacks,0.0,,,,,
player,201709110den,den,MillVo00,tackles_combined,4,,,,,
player,201709110den,den,MillVo00,tackles_solo,4,,,,,
player,201709110den,den,MillVo00,tackles_assists,0,,,,,
player,201709110den,den,MillVo00,tackles_loss,0,,,,,
player,201709110den,den,MillVo00,qb_hits,1,,,,,
player,201709110den,den,MillVo00,fumbles_rec,0,,,,,
player,201709110den,den,MillVo00,fumbles_rec_yds,0,,,,,
player,201709110den,den,MillVo00,fumbles_rec_td,0,,,,,
player,201709110den,den,MillVo00,fumbles_forced,0,,,,,
player,201709110den,den,DaviTo01,def_int,0,,,,,
player,201709110den,den,DaviTo01,def_int_yds,0,,,,,
player,201709110den,den,DaviTo01,def_int_td,0,,,,,
player,201709110den,den,DaviTo01,def_int_long,0,,,,,
player,201709110den,den,DaviTo01,pass_defended,0,,,,,
player,201709110den,den,DaviTo01,sacks,0.0,,,,,
player,201709110den,den,DaviTo01,tackles_combined,3,,,,,
player,201709110den,den,DaviTo01,tackles_solo,1,,,,,
player,201709110den,den,DaviTo01,tackles_assists,2,,,,,
player,201709110den,den,DaviTo01,tackles_loss,1,,,,,
player,201709110den,den,DaviTo01,qb_hits,0,,,,,
player,201709110den,den,DaviTo01,fumbles_rec,0,,,,,
player,201709110den,den,DaviTo01,fumbles_rec_yds,0,,,,,
player,201709110den,den,DaviTo01,fumbles_rec_td,0,,,,,
player,201709110den,den,DaviTo01,fumbles_forced,0,,,,,
player,201709110den,den,HarrSh00,def_int,0,,,,,
player,201709110den,den,HarrSh00,def_int_yds,0,,,,,
player,201709110den,den,HarrSh00,def_int_td,0,,,,,
player,201709110den,den,HarrSh00,def_int_long,0,,,,,
player,201709110den,den,HarrSh00,pass_defended,0,,,,,
player,201709110den,den,HarrSh00,sacks,0.0,,,,,
player,201709110den,den,HarrSh00,tackles_combined,2,,,,,
player,201709110den,den,HarrSh00,tackles_solo,0,,,,,
player,201709110den,den,HarrSh00,tackles_assists,2,,,,,
player,201709110den,den,HarrSh00,tackles_loss,0,,,,,
player,201709110den,den,HarrSh00,qb_hits,1,,,,,
player,201709110den,den,HarrSh00,fumbles_rec,0,,,,,
player,201709110den,den,HarrSh00,fumbles_rec_yds,0,,,,,
player,201709110den,den,HarrSh00,fumbles_rec_td,0,,,,,
player,201709110den,den,HarrSh00,fumbles_forced,0,,,,,
player,201709110den,den,PekoDo20,def_int,0,,,,,
player,201709110den,den,PekoDo20,def_int_yds,0,,,,,
player,201709110den,den,PekoDo20,def_int_td,0,,,,,
player,201709110den,den,PekoDo20,def_int_long,0,,,,,
player,201709110den,den,PekoDo20,pass_defended,0,,,,,
player,201709110den,den,PekoDo20,sacks,0.0,,,,,
player,201709110den,den,PekoDo20,tackles_combined,2,,,,,
player,201709110den,den,PekoDo20,tackles_solo,2,,,,,
player,201709110den,den,PekoDo20,tackles_assists,0,,,,,
player,201709110den,den,PekoDo20,tackles_loss,0,,,,,
player,201709110den,den,PekoDo20,qb_hits,0,,,,,
player,201709110den,den,PekoDo20,fumbles_rec,0,,,,,
player,201709110den,den,PekoDo20,fumbles_rec_yds,0,,,,,
player,201709110den,den,PekoDo20,fumbles_rec_td,0,,,,,
player,201709110den,den,PekoDo20,fumbles_forced,0,,,,,
player,201709110den,den,WolfDe00,def_int,0,,,,,
