game,2017,10,20171109,201711090crd,sea,"Seattle Seahawks",22,crd,"Arizona Cardinals",16
player,201711090crd,sea,VannNi00,rec_yds,22,,,,,
player,201711090crd,sea,VannNi00,rec_td,0,,,,,
player,201711090crd,sea,VannNi00,rec_long,16,,,,,
player,201711090crd,sea,VannNi00,fumbles,0,,,,,
player,201711090crd,sea,VannNi00,fumbles_lost,0,,,,,
player,201711090crd,sea,LockTy00,pass_cmp,0,,,,,
player,201711090crd,sea,LockTy00,pass_att,0,,,,,
player,201711090crd,sea,LockTy00,pass_yds,0,,,,,
player,201711090crd,sea,LockTy00,pass_td,0,,,,,
player,201711090crd,sea,LockTy00,pass_int,0,,,,,
player,201711090crd,sea,LockTy00,pass_sacked,0,,,,,
player,201711090crd,sea,LockTy00,pass_sacked_yds,0,,,,,
player,201711090crd,sea,LockTy00,pass_long,0,,,,,
player,201711090crd,sea,LockTy00,pass_rating,,,,,,
player,201711090crd,sea,LockTy00,rush_att,0,,,,,
player,201711090crd,sea,LockTy00,rush_yds,0,,,,,
player,201711090crd,sea,LockTy00,rush_td,0,,,,,
player,201711090crd,sea,LockTy00,rush_long,0,,,,,
player,201711090crd,sea,LockTy00,targets,2,,,,,
player,201711090crd,sea,LockTy00,rec,1,,,,,
player,201711090crd,sea,LockTy00,rec_yds,16,,,,,
player,201711090crd,sea,LockTy00,rec_td,0,,,,,
player,201711090crd,sea,LockTy00,rec_long,16,,,,,
player,201711090crd,sea,LockTy00,fumbles,0,,,,,
player,201711090crd,sea,LockTy00,fumbles_lost,0,,,,,
player,201711090crd,sea,DarbAm00,pass_cmp,0,,,,,
player,201711090crd,sea,DarbAm00,pass_att,0,,,,,
player,201711090crd,sea,DarbAm00,pass_yds,0,,,,,
player,201711090crd,sea,DarbAm00,pass_td,0,,,,,
player,201711090crd,sea,DarbAm00,pass_int,0,,,,,
player,201711090crd,sea,DarbAm00,pass_sacked,0,,,,,
player,201711090crd,sea,DarbAm00,pass_sacked_yds,0,,,,,
player,201711090crd,sea,DarbAm00,pass_long,0,,,,,
player,201711090crd,sea,DarbAm00,pass_rating,,,,,,
player,201711090crd,sea,DarbAm00,rush_att,0,,,,,
player,201711090crd,sea,DarbAm00,rush_yds,0,,,,,
player,201711090crd,sea,DarbAm00,rush_td,0,,,,,
player,201711090crd,sea,DarbAm00,rush_long,0,,,,,
player,201711090crd,sea,DarbAm00,targets,2,,,,,
player,201711090crd,sea,DarbAm00,rec,1,,,,,
player,201711090crd,sea,DarbAm00,rec_yds,3,,,,,
player,201711090crd,sea,DarbAm00,rec_td,0,,,,,
player,201711090crd,sea,DarbAm00,rec_long,3,,,,,
player,201711090crd,sea,DarbAm00,fumbles,0,,,,,
player,201711090crd,sea,DarbAm00,fumbles_lost,0,,,,,
player,201711090crd,crd,StanDr00,pass_cmp,24,,,,,
player,201711090crd,crd,StanDr00,pass_att,47,,,,,
player,201711090crd,crd,StanDr00,pass_yds,273,,,,,
player,201711090crd,crd,StanDr00,pass_td,1,,,,,
player,201711090crd,crd,StanDr00,pass_int,0,,,,,
player,201711090crd,crd,StanDr00,pass_sacked,2,,,,,
player,201711090crd,crd,StanDr00,pass_sacked_yds,17,,,,,
player,201711090crd,crd,StanDr00,pass_long,20,,,,,
player,201711090crd,crd,StanDr00,pass_rating,75.9,,,,,
player,201711090crd,crd,StanDr00,rush_att,1,,,,,
player,201711090crd,crd,StanDr00,rush_yds,1,,,,,
player,201711090crd,crd,StanDr00,rush_td,0,,,,,
player,201711090crd,crd,StanDr00,rush_long,1,,,,,
player,201711090crd,crd,StanDr00,targets,0,,,,,
player,201711090crd,crd,StanDr00,rec,0,,,,,
player,201711090crd,crd,StanDr00,rec_yds,0,,,,,
player,201711090crd,crd,StanDr00,rec_td,0,,,,,
player,201711090crd,crd,StanDr00,rec_long,0,,,,,
player,201711090crd,crd,StanDr00,fumbles,0,,,,,
player,201711090crd,crd,StanDr00,fumbles_lost,0,,,,,
player,201711090crd,crd,PeteAd01,pass_cmp,0,,,,,
player,201711090crd,crd,PeteAd01,pass_att,0,,,,,
player,201711090crd,crd,PeteAd01,pass_yds,0,,,,,
player,201711090crd,crd,PeteAd01,pass_td,0,,,,,
player,201711090crd,crd,PeteAd01,pass_int,0,,,,,
player,201711090crd,crd,PeteAd01,pass_sacked,0,,,,,
player,201711090crd,crd,PeteAd01,pass_sacked_yds,0,,,,,
player,201711090crd,crd,PeteAd01,pass_long,0,,,,,
player,201711090crd,crd,PeteAd01,pass_rating,,,,,,
player,201711090crd,crd,PeteAd01,rush_att,21,,,,,
player,201711090crd,crd,PeteAd01,rush_yds,29,,,,,
player,201711090crd,crd,PeteAd01,rush_td,0,,,,,
player,201711090crd,crd,PeteAd01,rush_long,9,,,,,
player,201711090crd,crd,PeteAd01,targets,2,,,,,
player,201711090crd,crd,PeteAd01,rec,1,,,,,
player,201711090crd,crd,PeteAd01,rec_yds,13,,,,,
player,201711090crd,crd,PeteAd01,rec_td,0,,,,,
player,201711090crd,crd,PeteAd01,rec_long,13,,,,,
player,201711090crd,crd,PeteAd01,fumbles,1,,,,,
player,201711090crd,crd,PeteAd01,fumbles_lost,1,,,,,
player,201711090crd,crd,ElliAn00,pass_cmp,0,,,,,
player,201711090crd,crd,ElliAn00,pass_att,0,,,,,
player,201711090crd,crd,ElliAn00,pass_yds,0,,,,,
player,201711090crd,crd,ElliAn00,pass_td,0,,,,,
player,201711090crd,crd,ElliAn00,pass_int,0,,,,,
player,201711090crd,crd,ElliAn00,pass_sacked,0,,,,,
player,201711090crd,crd,ElliAn00,pass_sacked_yds,0,,,,,
player,201711090crd,crd,ElliAn00,pass_long,0,,,,,
player,201711090crd,crd,ElliAn00,pass_rating,,,,,,
player,201711090crd,crd,ElliAn00,rush_att,2,,,,,
player,201711090crd,crd,ElliAn00,rush_yds,4,,,,,
player,201711090crd,crd,ElliAn00,rush_td,1,,,,,
player,201711090crd,crd,ElliAn00,rush_long,3,,,,,
player,201711090crd,crd,ElliAn00,targets,6,,,,,
player,201711090crd,crd,ElliAn00,rec,3,,,,,
player,201711090crd,crd,ElliAn00,rec_yds,26,,,,,
player,201711090crd,crd,ElliAn00,rec_td,0,,,,,
player,201711090crd,crd,ElliAn00,rec_long,10,,,,,
player,201711090crd,crd,ElliAn00,fumbles,0,,,,,
player,201711090crd,crd,ElliAn00,fumbles_lost,0,,,,,
player,201711090crd,crd,FitzLa00,pass_cmp,0,,,,,
player,201711090crd,crd,FitzLa00,pass_att,0,,,,,
player,201711090crd,crd,FitzLa00,pass_yds,0,,,,,
player,201711090crd,crd,FitzLa00,pass_td,0,,,,,
player,201711090crd,crd,FitzLa00,pass_int,0,,,,,
player,201711090crd,crd,FitzLa00,pass_sacked,0,,,,,
player,201711090crd,crd,FitzLa00,pass_sacked_yds,0,,,,,
player,201711090crd,crd,FitzLa00,pass_long,0,,,,,
player,201711090crd,crd,FitzLa00,pass_rating,,,,,,
player,201711090crd,crd,FitzLa00,rush_att,0,,,,,
player,201711090crd,crd,FitzLa00,rush_yds,0,,,,,
player,201711090crd,crd,FitzLa00,rush_td,0,,,,,
player,201711090crd,crd,FitzLa00,rush_long,0,,,,,
player,201711090crd,crd,FitzLa00,targets,14,,,,,
player,201711090crd,crd,FitzLa00,rec,10,,,,,
player,201711090crd,crd,FitzLa00,rec_yds,113,,,,,
player,201711090crd,crd,FitzLa00,rec_td,0,,,,,
player,201711090crd,crd,FitzLa00,rec_long,18,,,,,
player,201711090crd,crd,FitzLa00,fumbles,0,,,,,
player,201711090crd,crd,FitzLa00,fumbles_lost,0,,,,,
player,201711090crd,crd,GresJe00,pass_cmp,0,,,,,
player,201711090crd,crd,GresJe00,pass_att,0,,,,,
player,201711090crd,crd,GresJe00,pass_yds,0,,,,,
player,201711090crd,crd,GresJe00,pass_td,0,,,,,
player,201711090crd,crd,GresJe00,pass_int,0,,,,,
player,201711090crd,crd,GresJe00,pass_sacked,0,,,,,
player,201711090crd,crd,GresJe00,pass_sacked_yds,0,,,,,
player,201711090crd,crd,GresJe00,pass_long,0,,,,,
player,201711090crd,crd,GresJe00,pass_rating,,,,,,
player,201711090crd,crd,GresJe00,rush_att,0,,,,,
player,201711090crd,crd,GresJe00,rush_yds,0,,,,,
player,201711090crd,crd,GresJe00,rush_td,0,,,,,
player,201711090crd,crd,GresJe00,rush_long,0,,,,,
player,201711090crd,crd,GresJe00,targets,7,,,,,
player,201711090crd,crd,GresJe00,rec,5,,,,,
player,201711090crd,crd,GresJe00,rec_yds,64,,,,,
player,201711090crd,crd,GresJe00,rec_td,1,,,,,
player,201711090crd,crd,GresJe00,rec_long,20,,,,,
player,201711090crd,crd,GresJe00,fumbles,0,,,,,
player,201711090crd,crd,GresJe00,fumbles_lost,0,,,,,
player,201711090crd,crd,BrowJo02,pass_cmp,0,,,,,
player,201711090crd,crd,BrowJo02,pass_att,0,,,,,
player,201711090crd,crd,BrowJo02,pass_yds,0,,,,,
player,201711090crd,crd,BrowJo02,pass_td,0,,,,,
player,201711090crd,crd,BrowJo02,pass_int,0,,,,,
player,201711090crd,crd,BrowJo02,pass_sacked,0,,,,,
player,201711090crd,crd,BrowJo02,pass_sacked_yds,0,,,,,
player,201711090crd,crd,BrowJo02,pass_long,0,,,,,
player,201711090crd,crd,BrowJo02,pass_rating,,,,,,
player,201711090crd,crd,BrowJo02,rush_att,0,,,,,
player,201711090crd,crd,BrowJo02,rush_yds,0,,,,,
player,201711090crd,crd,BrowJo02,rush_td,0,,,,,
player,201711090crd,crd,BrowJo02,rush_long,0,,,,,
player,201711090crd,crd,BrowJo02,targets,6,,,,,
player,201711090crd,crd,BrowJo02,rec,2,,,,,
player,201711090crd,crd,BrowJo02,rec_yds,27,,,,,
player,201711090crd,crd,BrowJo02,rec_td,0,,,,,
player,201711090crd,crd,BrowJo02,rec_long,18,,,,,
player,201711090crd,crd,BrowJo02,fumbles,0,,,,,
player,201711090crd,crd,BrowJo02,fumbles_lost,0,,,,,
player,201711090crd,crd,NelsJJ00,pass_cmp,0,,,,,
player,201711090crd,crd,NelsJJ00,pass_att,0,,,,,
player,201711090crd,crd,NelsJJ00,pass_yds,0,,,,,
player,201711090crd,crd,NelsJJ00,pass_td,0,,,,,
player,201711090crd,crd,NelsJJ00,pass_int,0,,,,,
player,201711090crd,crd,NelsJJ00,pass_sacked,0,,,,,
player,201711090crd,crd,NelsJJ00,pass_sacked_yds,0,,,,,
player,201711090crd,crd,NelsJJ00,pass_long,0,,,,,
player,201711090crd,crd,NelsJJ00,pass_rating,,,,,,
player,201711090crd,crd,NelsJJ00,rush_att,0,,,,,
player,201711090crd,crd,NelsJJ00,rush_yds,0,,,,,
player,201711090crd,crd,NelsJJ00,rush_td,0,,,,,
player,201711090crd,crd,NelsJJ00,rush_long,0,,,,,
player,201711090crd,crd,NelsJJ00,targets,4,,,,,
player,201711090crd,crd,NelsJJ00,rec,1,,,,,
player,201711090crd,crd,NelsJJ00,rec_yds,17,,,,,
player,201711090crd,crd,NelsJJ00,rec_td,0,,,,,
player,201711090crd,crd,NelsJJ00,rec_long,17,,,,,
player,201711090crd,crd,NelsJJ00,fumbles,0,,,,,
player,201711090crd,crd,NelsJJ00,fumbles_lost,0,,,,,
player,201711090crd,crd,BrowJa03,pass_cmp,0,,,,,
player,201711090crd,crd,BrowJa03,pass_att,0,,,,,
player,201711090crd,crd,BrowJa03,pass_yds,0,,,,,
player,201711090crd,crd,BrowJa03,pass_td,0,,,,,
player,201711090crd,crd,BrowJa03,pass_int,0,,,,,
player,201711090crd,crd,BrowJa03,pass_sacked,0,,,,,
player,201711090crd,crd,BrowJa03,pass_sacked_yds,0,,,,,
player,201711090crd,crd,BrowJa03,pass_long,0,,,,,
player,201711090crd,crd,BrowJa03,pass_rating,,,,,,
player,201711090crd,crd,BrowJa03,rush_att,0,,,,,
player,201711090crd,crd,BrowJa03,rush_yds,0,,,,,
player,201711090crd,crd,BrowJa03,rush_td,0,,,,,
player,201711090crd,crd,BrowJa03,rush_long,0,,,,,
player,201711090crd,crd,BrowJa03,targets,6,,,,,
player,201711090crd,crd,BrowJa03,rec,2,,,,,
player,201711090crd,crd,BrowJa03,rec_yds,13,,,,,
player,201711090crd,crd,BrowJa03,rec_td,0,,,,,
player,201711090crd,crd,BrowJa03,rec_long,9,,,,,
player,201711090crd,crd,BrowJa03,fumbles,0,,,,,
player,201711090crd,crd,BrowJa03,fumbles_lost,0,,,,,
player,201711090crd,crd,NiklTr00,pass_cmp,0,,,,,
player,201711090crd,crd,NiklTr00,pass_att,0,,,,,
player,201711090crd,crd,NiklTr00,pass_yds,0,,,,,
player,201711090crd,crd,NiklTr00,pass_td,0,,,,,
player,201711090crd,crd,NiklTr00,pass_int,0,,,,,
player,201711090crd,crd,NiklTr00,pass_sacked,0,,,,,
player,201711090crd,crd,NiklTr00,pass_sacked_yds,0,,,,,
player,201711090crd,crd,NiklTr00,pass_long,0,,,,,
player,201711090crd,crd,NiklTr00,pass_rating,,,,,,
player,201711090crd,crd,NiklTr00,rush_att,0,,,,,
player,201711090crd,crd,NiklTr00,rush_yds,0,,,,,
player,201711090crd,crd,NiklTr00,rush_td,0,,,,,
player,201711090crd,crd,NiklTr00,rush_long,0,,,,,
player,201711090crd,crd,NiklTr00,targets,2,,,,,
player,201711090crd,crd,NiklTr00,rec,0,,,,,
player,201711090crd,crd,NiklTr00,rec_yds,0,,,,,
player,201711090crd,crd,NiklTr00,rec_td,0,,,,,
player,201711090crd,crd,NiklTr00,rec_long,0,,,,,
player,201711090crd,crd,NiklTr00,fumbles,0,,,,,
player,201711090crd,crd,NiklTr00,fumbles_lost,0,,,,,
player,201711090crd,sea,JoneNa00,def_int,0,,,,,
player,201711090crd,sea,JoneNa00,def_int_yds,0,,,,,
player,201711090crd,sea,JoneNa00,def_int_td,0,,,,,
player,201711090crd,sea,JoneNa00,def_int_long,0,,,,,
player,201711090crd,sea,JoneNa00,pass_defended,0,,,,,
player,201711090crd,sea,JoneNa00,sacks,1.0,,,,,
player,201711090crd,sea,JoneNa00,tackles_combined,2,,,,,
player,201711090crd,sea,JoneNa00,tackles_solo,2,,,,,
player,201711090crd,sea,JoneNa00,tackles_assists,0,,,,,
player,201711090crd,sea,JoneNa00,tackles_loss,1,,,,,
player,201711090crd,sea,JoneNa00,qb_hits,1,,,,,
player,201711090crd,sea,JoneNa00,fumbles_rec,0,,,,,
player,201711090crd,sea,JoneNa00,fumbles_rec_yds,0,,,,,
player,201711090crd,sea,JoneNa00,fumbles_rec_td,0,,,,,
player,201711090crd,sea,JoneNa00,fumbles_forced,0,,,,,
player,201711090crd,sea,JordDi00,def_int,0,,,,,
player,201711090crd,sea,JordDi00,def_int_yds,0,,,,,
player,201711090crd,sea,JordDi00,def_int_td,0,,,,,
player,201711090crd,sea,JordDi00,def_int_long,0,,,,,
player,201711090crd,sea,JordDi00,pass_defended,0,,,,,
player,201711090crd,sea,JordDi00,sacks,1.0,,,,,
player,201711090crd,sea,JordDi00,tackles_combined,1,,,,,
player,201711090crd,sea,JordDi00,tackles_solo,1,,,,,
player,201711090crd,sea,JordDi00,tackles_assists,0,,,,,
player,201711090crd,sea,JordDi00,tackles_loss,1,,,,,
player,201711090crd,sea,JordDi00,qb_hits,3,,,,,
player,201711090crd,sea,JordDi00,fumbles_rec,0,,,,,
player,201711090crd,sea,JordDi00,fumbles_rec_yds,0,,,,,
player,201711090crd,sea,JordDi00,fumbles_rec_td,0,,,,,
player,201711090crd,sea,JordDi00,fumbles_forced,0,,,,,
player,201711090crd,sea,WagnBo00,def_int,0,,,,,
player,201711090crd,sea,WagnBo00,def_int_yds,0,,,,,
player,201711090crd,sea,WagnBo00,def_int_td,0,,,,,
player,201711090crd,sea,WagnBo00,def_int_long,0,,,,,
player,201711090crd,sea,WagnBo00,pass_defended,0,,,,,
player,201711090crd,sea,WagnBo00,sacks,0.0,,,,,
player,201711090crd,sea,WagnBo00,tackles_combined,12,,,,,
player,201711090crd,sea,WagnBo00,tackles_solo,9,,,,,
player,201711090crd,sea,WagnBo00,tackles_assists,3,,,,,
player,201711090crd,sea,WagnBo00,tackles_loss,1,,,,,
player,201711090crd,sea,WagnBo00,qb_hits,1,,,,,
player,201711090crd,sea,WagnBo00,fumbles_rec,0,,,,,
player,201711090crd,sea,WagnBo00,fumbles_rec_yds,0,,,,,
player,201711090crd,sea,WagnBo00,fumbles_rec_td,0,,,,,
player,201711090crd,sea,WagnBo00,fumbles_forced,0,,,,,
player,201711090crd,sea,ChanKa99,def_int,0,,,,,
player,201711090crd,sea,ChanKa99,def_int_yds,0,,,,,
player,201711090crd,sea,ChanKa99,def_int_td,0,,,,,
