game,2017,7,20171022,201710220ram,crd,"Arizona Cardinals",0,ram,"Los Angeles Rams",33
player,201710220ram,ram,KuppCo00,pass_sacked_yds,0,,,,,
player,201710220ram,ram,KuppCo00,pass_long,0,,,,,
player,201710220ram,ram,KuppCo00,pass_rating,,,,,,
player,201710220ram,ram,KuppCo00,rush_att,0,,,,,
player,201710220ram,ram,KuppCo00,rush_yds,0,,,,,
player,201710220ram,ram,KuppCo00,rush_td,0,,,,,
player,201710220ram,ram,KuppCo00,rush_long,0,,,,,
player,201710220ram,ram,KuppCo00,targets,10,,,,,
player,201710220ram,ram,KuppCo00,rec,4,,,,,
player,201710220ram,ram,KuppCo00,rec_yds,51,,,,,
player,201710220ram,ram,KuppCo00,rec_td,1,,,,,
player,201710220ram,ram,KuppCo00,rec_long,18,,,,,
player,201710220ram,ram,KuppCo00,fumbles,0,,,,,
player,201710220ram,ram,KuppCo00,fumbles_lost,0,,,,,
player,201710220ram,ram,WatkSa00,pass_cmp,0,,,,,
player,201710220ram,ram,WatkSa00,pass_att,0,,,,,
player,201710220ram,ram,WatkSa00,pass_yds,0,,,,,
player,201710220ram,ram,WatkSa00,pass_td,0,,,,,
player,201710220ram,ram,WatkSa00,pass_int,0,,,,,
player,201710220ram,ram,WatkSa00,pass_sacked,0,,,,,
player,201710220ram,ram,WatkSa00,pass_sacked_yds,0,,,,,
player,201710220ram,ram,WatkSa00,pass_long,0,,,,,
player,201710220ram,ram,WatkSa00,pass_rating,,,,,,
player,201710220ram,ram,WatkSa00,rush_att,0,,,,,
player,201710220ram,ram,WatkSa00,rush_yds,0,,,,,
player,201710220ram,ram,WatkSa00,rush_td,0,,,,,
player,201710220ram,ram,WatkSa00,rush_long,0,,,,,
player,201710220ram,ram,WatkSa00,targets,5,,,,,
player,201710220ram,ram,WatkSa00,rec,3,,,,,
player,201710220ram,ram,WatkSa00,rec_yds,42,,,,,
player,201710220ram,ram,WatkSa00,rec_td,0,,,,,
player,201710220ram,ram,WatkSa00,rec_long,16,,,,,
player,201710220ram,ram,WatkSa00,fumbles,0,,,,,
player,201710220ram,ram,WatkSa00,fumbles_lost,0,,,,,
player,201710220ram,ram,HigbTy00,pass_cmp,0,,,,,
player,201710220ram,ram,HigbTy00,pass_att,0,,,,,
player,201710220ram,ram,HigbTy00,pass_yds,0,,,,,
player,201710220ram,ram,HigbTy00,pass_td,0,,,,,
player,201710220ram,ram,HigbTy00,pass_int,0,,,,,
player,201710220ram,ram,HigbTy00,pass_sacked,0,,,,,
player,201710220ram,ram,HigbTy00,pass_sacked_yds,0,,,,,
player,201710220ram,ram,HigbTy00,pass_long,0,,,,,
player,201710220ram,ram,HigbTy00,pass_rating,,,,,,
player,201710220ram,ram,HigbTy00,rush_att,0,,,,,
player,201710220ram,ram,HigbTy00,rush_yds,0,,,,,
player,201710220ram,ram,HigbTy00,rush_td,0,,,,,
player,201710220ram,ram,HigbTy00,rush_long,0,,,,,
player,201710220ram,ram,HigbTy00,targets,3,,,,,
player,201710220ram,ram,HigbTy00,rec,3,,,,,
player,201710220ram,ram,HigbTy00,rec_yds,13,,,,,
player,201710220ram,ram,HigbTy00,rec_td,0,,,,,
player,201710220ram,ram,HigbTy00,rec_long,5,,,,,
player,201710220ram,ram,HigbTy00,fumbles,0,,,,,
player,201710220ram,ram,HigbTy00,fumbles_lost,0,,,,,
player,201710220ram,ram,CarrDe00,pass_cmp,0,,,,,
player,201710220ram,ram,CarrDe00,pass_att,0,,,,,
player,201710220ram,ram,CarrDe00,pass_yds,0,,,,,
player,201710220ram,ram,CarrDe00,pass_td,0,,,,,
player,201710220ram,ram,CarrDe00,pass_int,0,,,,,
player,201710220ram,ram,CarrDe00,pass_sacked,0,,,,,
player,201710220ram,ram,CarrDe00,pass_sacked_yds,0,,,,,
player,201710220ram,ram,CarrDe00,pass_long,0,,,,,
player,201710220ram,ram,CarrDe00,pass_rating,,,,,,
player,201710220ram,ram,CarrDe00,rush_att,0,,,,,
player,201710220ram,ram,CarrDe00,rush_yds,0,,,,,
player,201710220ram,ram,CarrDe00,rush_td,0,,,,,
player,201710220ram,ram,CarrDe00,rush_long,0,,,,,
player,201710220ram,ram,CarrDe00,targets,1,,,,,
player,201710220ram,ram,CarrDe00,rec,0,,,,,
player,201710220ram,ram,CarrDe00,rec_yds,0,,,,,
player,201710220ram,ram,CarrDe00,rec_td,0,,,,,
player,201710220ram,ram,CarrDe00,rec_long,0,,,,,
player,201710220ram,ram,CarrDe00,fumbles,0,,,,,
player,201710220ram,ram,CarrDe00,fumbles_lost,0,,,,,
player,201710220ram,ram,MannSe00,pass_cmp,0,,,,,
player,201710220ram,ram,MannSe00,pass_att,0,,,,,
player,201710220ram,ram,MannSe00,pass_yds,0,,,,,
player,201710220ram,ram,MannSe00,pass_td,0,,,,,
player,201710220ram,ram,MannSe00,pass_int,0,,,,,
player,201710220ram,ram,MannSe00,pass_sacked,0,,,,,
player,201710220ram,ram,MannSe00,pass_sacked_yds,0,,,,,
player,201710220ram,ram,MannSe00,pass_long,0,,,,,
player,201710220ram,ram,MannSe00,pass_rating,,,,,,
player,201710220ram,ram,MannSe00,rush_att,1,,,,,
player,201710220ram,ram,MannSe00,rush_yds,-1,,,,,
player,201710220ram,ram,MannSe00,rush_td,0,,,,,
player,201710220ram,ram,MannSe00,rush_long,-1,,,,,
player,201710220ram,ram,MannSe00,targets,0,,,,,
player,201710220ram,ram,MannSe00,rec,0,,,,,
player,201710220ram,ram,MannSe00,rec_yds,0,,,,,
player,201710220ram,ram,MannSe00,rec_td,0,,,,,
player,201710220ram,ram,MannSe00,rec_long,0,,,,,
player,201710220ram,ram,MannSe00,fumbles,0,,,,,
player,201710220ram,ram,MannSe00,fumbles_lost,0,,,,,
player,201710220ram,crd,BucaDe00,def_int,1,,,,,
player,201710220ram,crd,BucaDe00,def_int_yds,39,,,,,
player,201710220ram,crd,BucaDe00,def_int_td,0,,,,,
player,201710220ram,crd,BucaDe00,def_int_long,39,,,,,
player,201710220ram,crd,BucaDe00,pass_defended,1,,,,,
player,201710220ram,crd,BucaDe00,sacks,0.0,,,,,
player,201710220ram,crd,BucaDe00,tackles_combined,12,,,,,
player,201710220ram,crd,BucaDe00,tackles_solo,11,,,,,
player,201710220ram,crd,BucaDe00,tackles_assists,1,,,,,
