game,2017,13,20171203,201712030oti,htx,"Houston Texans",13,oti,"Tennessee Titans",24
player,201712030oti,oti,SupePh00,rec_long,20,,,,,
player,201712030oti,oti,SupePh00,fumbles,0,,,,,
player,201712030oti,oti,SupePh00,fumbles_lost,0,,,,,
player,201712030oti,oti,TaylTa00,pass_cmp,0,,,,,
player,201712030oti,oti,TaylTa00,pass_att,0,,,,,
player,201712030oti,oti,TaylTa00,pass_yds,0,,,,,
player,201712030oti,oti,TaylTa00,pass_td,0,,,,,
player,201712030oti,oti,TaylTa00,pass_int,0,,,,,
player,201712030oti,oti,TaylTa00,pass_sacked,0,,,,,
player,201712030oti,oti,TaylTa00,pass_sacked_yds,0,,,,,
player,201712030oti,oti,TaylTa00,pass_long,0,,,,,
player,201712030oti,oti,TaylTa00,pass_rating,,,,,,
player,201712030oti,oti,TaylTa00,rush_att,0,,,,,
player,201712030oti,oti,TaylTa00,rush_yds,0,,,,,
player,201712030oti,oti,TaylTa00,rush_td,0,,,,,
player,201712030oti,oti,TaylTa00,rush_long,0,,,,,
player,201712030oti,oti,TaylTa00,targets,2,,,,,
player,201712030oti,oti,TaylTa00,rec,2,,,,,
player,201712030oti,oti,TaylTa00,rec_yds,15,,,,,
player,201712030oti,oti,TaylTa00,rec_td,0,,,,,
player,201712030oti,oti,TaylTa00,rec_long,15,,,,,
player,201712030oti,oti,TaylTa00,fumbles,0,,,,,
player,201712030oti,oti,TaylTa00,fumbles_lost,0,,,,,
player,201712030oti,oti,DaviCo03,pass_cmp,0,,,,,
player,201712030oti,oti,DaviCo03,pass_att,0,,,,,
player,201712030oti,oti,DaviCo03,pass_yds,0,,,,,
player,201712030oti,oti,DaviCo03,pass_td,0,,,,,
player,201712030oti,oti,DaviCo03,pass_int,0,,,,,
player,201712030oti,oti,DaviCo03,pass_sacked,0,,,,,
player,201712030oti,oti,DaviCo03,pass_sacked_yds,0,,,,,
player,201712030oti,oti,DaviCo03,pass_long,0,,,,,
player,201712030oti,oti,DaviCo03,pass_rating,,,,,,
player,201712030oti,oti,DaviCo03,rush_att,0,,,,,
player,201712030oti,oti,DaviCo03,rush_yds,0,,,,,
player,201712030oti,oti,DaviCo03,rush_td,0,,,,,
player,201712030oti,oti,DaviCo03,rush_long,0,,,,,
player,201712030oti,oti,DaviCo03,targets,4,,,,,
player,201712030oti,oti,DaviCo03,rec,2,,,,,
player,201712030oti,oti,DaviCo03,rec_yds,12,,,,,
player,201712030oti,oti,DaviCo03,rec_td,0,,,,,
player,201712030oti,oti,DaviCo03,rec_long,13,,,,,
player,201712030oti,oti,DaviCo03,fumbles,0,,,,,
player,201712030oti,oti,DaviCo03,fumbles_lost,0,,,,,
player,201712030oti,oti,SmitJo01,pass_cmp,0,,,,,
player,201712030oti,oti,SmitJo01,pass_att,0,,,,,
player,201712030oti,oti,SmitJo01,pass_yds,0,,,,,
player,201712030oti,oti,SmitJo01,pass_td,0,,,,,
player,201712030oti,oti,SmitJo01,pass_int,0,,,,,
player,201712030oti,oti,SmitJo01,pass_sacked,0,,,,,
player,201712030oti,oti,SmitJo01,pass_sacked_yds,0,,,,,
player,201712030oti,oti,SmitJo01,pass_long,0,,,,,
player,201712030oti,oti,SmitJo01,pass_rating,,,,,,
player,201712030oti,oti,SmitJo01,rush_att,0,,,,,
player,201712030oti,oti,SmitJo01,rush_yds,0,,,,,
player,201712030oti,oti,SmitJo01,rush_td,0,,,,,
player,201712030oti,oti,SmitJo01,rush_long,0,,,,,
player,201712030oti,oti,SmitJo01,targets,1,,,,,
player,201712030oti,oti,SmitJo01,rec,0,,,,,
player,201712030oti,oti,SmitJo01,rec_yds,0,,,,,
player,201712030oti,oti,SmitJo01,rec_td,0,,,,,
player,201712030oti,oti,SmitJo01,rec_long,0,,,,,
player,201712030oti,oti,SmitJo01,fumbles,0,,,,,
player,201712030oti,oti,SmitJo01,fumbles_lost,0,,,,,
player,201712030oti,htx,McKiBe00,def_int,0,,,,,
player,201712030oti,htx,McKiBe00,def_int_yds,0,,,,,
player,201712030oti,htx,McKiBe00,def_int_td,0,,,,,
player,201712030oti,htx,McKiBe00,def_int_long,0,,,,,
player,201712030oti,htx,McKiBe00,pass_defended,0,,,,,
player,201712030oti,htx,McKiBe00,sacks,1.0,,,,,
player,201712030oti,htx,McKiBe00,tackles_combined,7,,,,,
player,201712030oti,htx,McKiBe00,tackles_solo,5,,,,,
player,201712030oti,htx,McKiBe00,tackles_assists,2,,,,,
player,201712030oti,htx,McKiBe00,tackles_loss,1,,,,,
player,201712030oti,htx,McKiBe00,qb_hits,0,,,,,
player,201712030oti,htx,McKiBe00,fumbles_rec,0,,,,,
player,201712030oti,htx,McKiBe00,fumbles_rec_yds,0,,,,,
player,201712030oti,htx,McKiBe00,fumbles_rec_td,0,,,,,
player,201712030oti,htx,McKiBe00,fumbles_forced,0,,,,,
player,201712030oti,htx,CunnZa00,def_int,0,,,,,
player,201712030oti,htx,CunnZa00,def_int_yds,0,,,,,
player,201712030oti,htx,CunnZa00,def_int_td,0,,,,,
player,201712030oti,htx,CunnZa00,def_int_long,0,,,,,
player,201712030oti,htx,CunnZa00,pass_defended,0,,,,,
player,201712030oti,htx,CunnZa00,sacks,1.0,,,,,
player,201712030oti,htx,CunnZa00,tackles_combined,4,,,,,
player,201712030oti,htx,CunnZa00,tackles_solo,3,,,,,
player,201712030oti,htx,CunnZa00,tackles_assists,1,,,,,
player,201712030oti,htx,CunnZa00,tackles_loss,2,,,,,
player,201712030oti,htx,CunnZa00,qb_hits,1,,,,,
player,201712030oti,htx,CunnZa00,fumbles_rec,0,,,,,
player,201712030oti,htx,CunnZa00,fumbles_rec_yds,0,,,,,
player,201712030oti,htx,CunnZa00,fumbles_rec_td,0,,,,,
player,201712030oti,htx,CunnZa00,fumbles_forced,0,,,,,
player,201712030oti,htx,HalxAn00,def_int,0,,,,,
player,201712030oti,htx,HalxAn00,def_int_yds,0,,,,,
player,201712030oti,htx,HalxAn00,def_int_td,0,,,,,
player,201712030oti,htx,HalxAn00,def_int_long,0,,,,,
player,201712030oti,htx,HalxAn00,pass_defended,0,,,,,
player,201712030oti,htx,HalxAn00,sacks,0.0,,,,,
player,201712030oti,htx,HalxAn00,tackles_combined,5,,,,,
player,201712030oti,htx,HalxAn00,tackles_solo,4,,,,,
player,201712030oti,htx,HalxAn00,tackles_assists,1,,,,,
player,201712030oti,htx,HalxAn00,tackles_loss,0,,,,,
player,201712030oti,htx,HalxAn00,qb_hits,0,,,,,
player,201712030oti,htx,HalxAn00,fumbles_rec,0,,,,,
player,201712030oti,htx,HalxAn00,fumbles_rec_yds,0,,,,,
player,201712030oti,htx,HalxAn00,fumbles_rec_td,0,,,,,
player,201712030oti,htx,HalxAn00,fumbles_forced,1,,,,,
player,201712030oti,htx,GilcMa00,def_int,0,,,,,
player,201712030oti,htx,GilcMa00,def_int_yds,0,,,,,
player,201712030oti,htx,GilcMa00,def_int_td,0,,,,,
