game,2017,13,20171203,201712030atl,min,"Minnesota Vikings",14,atl,"Atlanta Falcons",9
player,201712030atl,atl,SanuMo00,rec,3,,,,,
player,201712030atl,atl,SanuMo00,rec_yds,43,,,,,
player,201712030atl,atl,SanuMo00,rec_td,0,,,,,
player,201712030atl,atl,SanuMo00,rec_long,17,,,,,
player,201712030atl,atl,SanuMo00,fumbles,0,,,,,
player,201712030atl,atl,SanuMo00,fumbles_lost,0,,,,,
player,201712030atl,atl,ToilLe00,pass_cmp,0,,,,,
player,201712030atl,atl,ToilLe00,pass_att,0,,,,,
player,201712030atl,atl,ToilLe00,pass_yds,0,,,,,
player,201712030atl,atl,ToilLe00,pass_td,0,,,,,
player,201712030atl,atl,ToilLe00,pass_int,0,,,,,
player,201712030atl,atl,ToilLe00,pass_sacked,0,,,,,
player,201712030atl,atl,ToilLe00,pass_sacked_yds,0,,,,,
player,201712030atl,atl,ToilLe00,pass_long,0,,,,,
player,201712030atl,atl,ToilLe00,pass_rating,,,,,,
player,201712030atl,atl,ToilLe00,rush_att,0,,,,,
player,201712030atl,atl,ToilLe00,rush_yds,0,,,,,
player,201712030atl,atl,ToilLe00,rush_td,0,,,,,
player,201712030atl,atl,ToilLe00,rush_long,0,,,,,
player,201712030atl,atl,ToilLe00,targets,2,,,,,
player,201712030atl,atl,ToilLe00,rec,2,,,,,
player,201712030atl,atl,ToilLe00,rec_yds,25,,,,,
player,201712030atl,atl,ToilLe00,rec_td,0,,,,,
player,201712030atl,atl,ToilLe00,rec_long,16,,,,,
player,201712030atl,atl,ToilLe00,fumbles,0,,,,,
player,201712030atl,atl,ToilLe00,fumbles_lost,0,,,,,
player,201712030atl,atl,JoneJu02,pass_cmp,0,,,,,
player,201712030atl,atl,JoneJu02,pass_att,0,,,,,
player,201712030atl,atl,JoneJu02,pass_yds,0,,,,,
player,201712030atl,atl,JoneJu02,pass_td,0,,,,,
player,201712030atl,atl,JoneJu02,pass_int,0,,,,,
