game,2017,2,20170917,201709170sdg,mia,"Miami Dolphins",19,sdg,"Los Angeles Chargers",17
player,201709170sdg,sdg,AlleKe00,targets,10,,,,,
player,201709170sdg,sdg,AlleKe00,rec,9,,,,,
player,201709170sdg,sdg,AlleKe00,rec_yds,100,,,,,
player,201709170sdg,sdg,AlleKe00,rec_td,0,,,,,
player,201709170sdg,sdg,AlleKe00,rec_long,24,,,,,
player,201709170sdg,sdg,AlleKe00,fumbles,0,,,,,
player,201709170sdg,sdg,AlleKe00,fumbles_lost,0,,,,,
player,201709170sdg,sdg,HenrHu00,pass_cmp,0,,,,,
player,201709170sdg,sdg,HenrHu00,pass_att,0,,,,,
player,201709170sdg,sdg,HenrHu00,pass_yds,0,,,,,
player,201709170sdg,sdg,HenrHu00,pass_td,0,,,,,
player,201709170sdg,sdg,HenrHu00,pass_int,0,,,,,
player,201709170sdg,sdg,HenrHu00,pass_sacked,0,,,,,
player,201709170sdg,sdg,HenrHu00,pass_sacked_yds,0,,,,,
player,201709170sdg,sdg,HenrHu00,pass_long,0,,,,,
player,201709170sdg,sdg,HenrHu00,pass_rating,,,,,,
player,201709170sdg,sdg,HenrHu00,rush_att,0,,,,,
player,201709170sdg,sdg,HenrHu00,rush_yds,0,,,,,
player,201709170sdg,sdg,HenrHu00,rush_td,0,,,,,
player,201709170sdg,sdg,HenrHu00,rush_long,0,,,,,
player,201709170sdg,sdg,HenrHu00,targets,7,,,,,
player,201709170sdg,sdg,HenrHu00,rec,7,,,,,
player,201709170sdg,sdg,HenrHu00,rec_yds,80,,,,,
player,201709170sdg,sdg,HenrHu00,rec_td,0,,,,,
player,201709170sdg,sdg,HenrHu00,rec_long,17,,,,,
player,201709170sdg,sdg,HenrHu00,fumbles,0,,,,,
player,201709170sdg,sdg,HenrHu00,fumbles_lost,0,,,,,
player,201709170sdg,sdg,WillTy00,pass_cmp,0,,,,,
player,201709170sdg,sdg,WillTy00,pass_att,0,,,,,
player,201709170sdg,sdg,WillTy00,pass_yds,0,,,,,
player,201709170sdg,sdg,WillTy00,pass_td,0,,,,,
player,201709170sdg,sdg,WillTy00,pass_int,0,,,,,
player,201709170sdg,sdg,WillTy00,pass_sacked,0,,,,,
player,201709170sdg,sdg,WillTy00,pass_sacked_yds,0,,,,,
player,201709170sdg,sdg,WillTy00,pass_long,0,,,,,
player,201709170sdg,sdg,WillTy00,pass_rating,,,,,,
player,201709170sdg,sdg,WillTy00,rush_att,0,,,,,
player,201709170sdg,sdg,WillTy00,rush_yds,0,,,,,
