game,2017,5,20171009,201710090chi,min,"Minnesota Vikings",20,chi,"Chicago Bears",17
player,201710090chi,chi,WrigKe01,pass_yds,0,,,,,
player,201710090chi,chi,WrigKe01,pass_td,0,,,,,
player,201710090chi,chi,WrigKe01,pass_int,0,,,,,
player,201710090chi,chi,WrigKe01,pass_sacked,0,,,,,
player,201710090chi,chi,WrigKe01,pass_sacked_yds,0,,,,,
player,201710090chi,chi,WrigKe01,pass_long,0,,,,,
player,201710090chi,chi,WrigKe01,pass_rating,,,,,,
player,201710090chi,chi,WrigKe01,rush_att,0,,,,,
player,201710090chi,chi,WrigKe01,rush_yds,0,,,,,
player,201710090chi,chi,WrigKe01,rush_td,0,,,,,
player,201710090chi,chi,WrigKe01,rush_long,0,,,,,
player,201710090chi,chi,WrigKe01,targets,5,,,,,
player,201710090chi,chi,WrigKe01,rec,4,,,,,
player,201710090chi,chi,WrigKe01,rec_yds,46,,,,,
player,201710090chi,chi,WrigKe01,rec_td,0,,,,,
player,201710090chi,chi,WrigKe01,rec_long,13,,,,,
player,201710090chi,chi,WrigKe01,fumbles,0,,,,,
player,201710090chi,chi,WrigKe01,fumbles_lost,0,,,,,
player,201710090chi,chi,MillZa02,pass_cmp,0,,,,,
player,201710090chi,chi,MillZa02,pass_att,0,,,,,
player,201710090chi,chi,MillZa02,pass_yds,0,,,,,
player,201710090chi,chi,MillZa02,pass_td,0,,,,,
player,201710090chi,chi,MillZa02,pass_int,0,,,,,
player,201710090chi,chi,MillZa02,pass_sacked,0,,,,,
player,201710090chi,chi,MillZa02,pass_sacked_yds,0,,,,,
player,201710090chi,chi,MillZa02,pass_long,0,,,,,
player,201710090chi,chi,MillZa02,pass_rating,,,,,,
player,201710090chi,chi,MillZa02,rush_att,0,,,,,
player,201710090chi,chi,MillZa02,rush_yds,0,,,,,
player,201710090chi,chi,MillZa02,rush_td,0,,,,,
player,201710090chi,chi,MillZa02,rush_long,0,,,,,
player,201710090chi,chi,MillZa02,targets,7,,,,,
player,201710090chi,chi,MillZa02,rec,3,,,,,
player,201710090chi,chi,MillZa02,rec_yds,39,,,,,
player,201710090chi,chi,MillZa02,rec_td,1,,,,,
player,201710090chi,chi,MillZa02,rec_long,20,,,,,
player,201710090chi,chi,MillZa02,fumbles,0,,,,,
player,201710090chi,chi,MillZa02,fumbles_lost,0,,,,,
player,201710090chi,chi,McBrTr00,pass_cmp,0,,,,,
player,201710090chi,chi,McBrTr00,pass_att,0,,,,,
player,201710090chi,chi,McBrTr00,pass_yds,0,,,,,
player,201710090chi,chi,McBrTr00,pass_td,0,,,,,
player,201710090chi,chi,McBrTr00,pass_int,0,,,,,
player,201710090chi,chi,McBrTr00,pass_sacked,0,,,,,
player,201710090chi,chi,McBrTr00,pass_sacked_yds,0,,,,,
player,201710090chi,chi,McBrTr00,pass_long,0,,,,,
player,201710090chi,chi,McBrTr00,pass_rating,,,,,,
player,201710090chi,chi,McBrTr00,rush_att,0,,,,,
player,201710090chi,chi,McBrTr00,rush_yds,0,,,,,
player,201710090chi,chi,McBrTr00,rush_td,0,,,,,
player,201710090chi,chi,McBrTr00,rush_long,0,,,,,
player,201710090chi,chi,McBrTr00,targets,1,,,,,
player,201710090chi,chi,McBrTr00,rec,1,,,,,
player,201710090chi,chi,McBrTr00,rec_yds,18,,,,,
player,201710090chi,chi,McBrTr00,rec_td,0,,,,,
player,201710090chi,chi,McBrTr00,rec_long,18,,,,,
player,201710090chi,chi,McBrTr00,fumbles,0,,,,,
player,201710090chi,chi,McBrTr00,fumbles_lost,0,,,,,
player,201710090chi,chi,SimsDi00,pass_cmp,0,,,,,
player,201710090chi,chi,SimsDi00,pass_att,0,,,,,
player,201710090chi,chi,SimsDi00,pass_yds,0,,,,,
player,201710090chi,chi,SimsDi00,pass_td,0,,,,,
player,201710090chi,chi,SimsDi00,pass_int,0,,,,,
player,201710090chi,chi,SimsDi00,pass_sacked,0,,,,,
player,201710090chi,chi,SimsDi00,pass_sacked_yds,0,,,,,
player,201710090chi,chi,SimsDi00,pass_long,0,,,,,
player,201710090chi,chi,SimsDi00,pass_rating,,,,,,
player,201710090chi,chi,SimsDi00,rush_att,0,,,,,
player,201710090chi,chi,SimsDi00,rush_yds,0,,,,,
player,201710090chi,chi,SimsDi00,rush_td,0,,,,,
player,201710090chi,chi,SimsDi00,rush_long,0,,,,,
player,201710090chi,chi,SimsDi00,targets,4,,,,,
player,201710090chi,chi,SimsDi00,rec,1,,,,,
