game,2017,13,20171203,201712030rav,det,"Detroit Lions",20,rav,"Baltimore Ravens",44
player,201712030rav,rav,WoodDa02,rec,2,,,,,
player,201712030rav,rav,WoodDa02,rec_yds,14,,,,,
player,201712030rav,rav,WoodDa02,rec_td,0,,,,,
player,201712030rav,rav,WoodDa02,rec_long,8,,,,,
player,201712030rav,rav,WoodDa02,fumbles,0,,,,,
player,201712030rav,rav,WoodDa02,fumbles_lost,0,,,,,
player,201712030rav,rav,WallMi00,pass_cmp,0,,,,,
player,201712030rav,rav,WallMi00,pass_att,0,,,,,
player,201712030rav,rav,WallMi00,pass_yds,0,,,,,
player,201712030rav,rav,WallMi00,pass_td,0,,,,,
player,201712030rav,rav,WallMi00,pass_int,0,,,,,
player,201712030rav,rav,WallMi00,pass_sacked,0,,,,,
player,201712030rav,rav,WallMi00,pass_sacked_yds,0,,,,,
player,201712030rav,rav,WallMi00,pass_long,0,,,,,
player,201712030rav,rav,WallMi00,pass_rating,,,,,,
player,201712030rav,rav,WallMi00,rush_att,0,,,,,
player,201712030rav,rav,WallMi00,rush_yds,0,,,,,
player,201712030rav,rav,WallMi00,rush_td,0,,,,,
player,201712030rav,rav,WallMi00,rush_long,0,,,,,
player,201712030rav,rav,WallMi00,targets,8,,,,,
player,201712030rav,rav,WallMi00,rec,5,,,,,
player,201712030rav,rav,WallMi00,rec_yds,116,,,,,
player,201712030rav,rav,WallMi00,rec_td,0,,,,,
player,201712030rav,rav,WallMi00,rec_long,66,,,,,
player,201712030rav,rav,WallMi00,fumbles,0,,,,,
player,201712030rav,rav,WallMi00,fumbles_lost,0,,,,,
player,201712030rav,rav,MaclJe00,pass_cmp,0,,,,,
player,201712030rav,rav,MaclJe00,pass_att,0,,,,,
player,201712030rav,rav,MaclJe00,pass_yds,0,,,,,
player,201712030rav,rav,MaclJe00,pass_td,0,,,,,
player,201712030rav,rav,MaclJe00,pass_int,0,,,,,
player,201712030rav,rav,MaclJe00,pass_sacked,0,,,,,
