game,2017,16,20171223,201712230gnb,min,"Minnesota Vikings",16,gnb,"Green Bay Packers",0
player,201712230gnb,min,FloyMi00,pass_att,0,,,,,
player,201712230gnb,min,FloyMi00,pass_yds,0,,,,,
player,201712230gnb,min,FloyMi00,pass_td,0,,,,,
player,201712230gnb,min,FloyMi00,pass_int,0,,,,,
player,201712230gnb,min,FloyMi00,pass_sacked,0,,,,,
player,201712230gnb,min,FloyMi00,pass_sacked_yds,0,,,,,
player,201712230gnb,min,FloyMi00,pass_long,0,,,,,
player,201712230gnb,min,FloyMi00,pass_rating,,,,,,
player,201712230gnb,min,FloyMi00,rush_att,0,,,,,
player,201712230gnb,min,FloyMi00,rush_yds,0,,,,,
player,201712230gnb,min,FloyMi00,rush_td,0,,,,,
player,201712230gnb,min,FloyMi00,rush_long,0,,,,,
player,201712230gnb,min,FloyMi00,targets,1,,,,,
player,201712230gnb,min,FloyMi00,rec,1,,,,,
player,201712230gnb,min,FloyMi00,rec_yds,0,,,,,
player,201712230gnb,min,FloyMi00,rec_td,0,,,,,
player,201712230gnb,min,FloyMi00,rec_long,0,,,,,
player,201712230gnb,min,FloyMi00,fumbles,0,,,,,
player,201712230gnb,min,FloyMi00,fumbles_lost,0,,,,,
player,201712230gnb,min,TreaLa00,pass_cmp,0,,,,,
player,201712230gnb,min,TreaLa00,pass_att,0,,,,,
player,201712230gnb,min,TreaLa00,pass_yds,0,,,,,
player,201712230gnb,min,TreaLa00,pass_td,0,,,,,
player,201712230gnb,min,TreaLa00,pass_int,0,,,,,
player,201712230gnb,min,TreaLa00,pass_sacked,0,,,,,
player,201712230gnb,min,TreaLa00,pass_sacked_yds,0,,,,,
player,201712230gnb,min,TreaLa00,pass_long,0,,,,,
player,201712230gnb,min,TreaLa00,pass_rating,,,,,,
player,201712230gnb,min,TreaLa00,rush_att,0,,,,,
player,201712230gnb,min,TreaLa00,rush_yds,0,,,,,
player,201712230gnb,min,TreaLa00,rush_td,0,,,,,
player,201712230gnb,min,TreaLa00,rush_long,0,,,,,
player,201712230gnb,min,TreaLa00,targets,2,,,,,
player,201712230gnb,min,TreaLa00,rec,0,,,,,
player,201712230gnb,min,TreaLa00,rec_yds,0,,,,,
player,201712230gnb,min,TreaLa00,rec_td,0,,,,,
player,201712230gnb,min,TreaLa00,rec_long,0,,,,,
player,201712230gnb,min,TreaLa00,fumbles,0,,,,,
player,201712230gnb,min,TreaLa00,fumbles_lost,0,,,,,
player,201712230gnb,gnb,HundBr00,pass_cmp,17,,,,,
player,201712230gnb,gnb,HundBr00,pass_att,40,,,,,
