game,2017,3,20170924,201709240chi,pit,"Pittsburgh Steelers",17,chi,"Chicago Bears",23
player,201709240chi,pit,BryaMa00,rec,2,,,,,
player,201709240chi,pit,BryaMa00,rec_yds,30,,,,,
player,201709240chi,pit,BryaMa00,rec_td,0,,,,,
player,201709240chi,pit,BryaMa00,rec_long,17,,,,,
player,201709240chi,pit,BryaMa00,fumbles,0,,,,,
player,201709240chi,pit,BryaMa00,fumbles_lost,0,,,,,
player,201709240chi,pit,JameJe00,pass_cmp,0,,,,,
player,201709240chi,pit,JameJe00,pass_att,0,,,,,
player,201709240chi,pit,JameJe00,pass_yds,0,,,,,
player,201709240chi,pit,JameJe00,pass_td,0,,,,,
player,201709240chi,pit,JameJe00,pass_int,0,,,,,
player,201709240chi,pit,JameJe00,pass_sacked,0,,,,,
player,201709240chi,pit,JameJe00,pass_sacked_yds,0,,,,,
player,201709240chi,pit,JameJe00,pass_long,0,,,,,
player,201709240chi,pit,JameJe00,pass_rating,,,,,,
player,201709240chi,pit,JameJe00,rush_att,0,,,,,
player,201709240chi,pit,JameJe00,rush_yds,0,,,,,
player,201709240chi,pit,JameJe00,rush_td,0,,,,,
player,201709240chi,pit,JameJe00,rush_long,0,,,,,
player,201709240chi,pit,JameJe00,targets,4,,,,,
player,201709240chi,pit,JameJe00,rec,2,,,,,
player,201709240chi,pit,JameJe00,rec_yds,19,,,,,
player,201709240chi,pit,JameJe00,rec_td,0,,,,,
player,201709240chi,pit,JameJe00,rec_long,14,,,,,
player,201709240chi,pit,JameJe00,fumbles,0,,,,,
player,201709240chi,pit,JameJe00,fumbles_lost,0,,,,,
player,201709240chi,chi,GlenMi00,pass_cmp,15,,,,,
player,201709240chi,chi,GlenMi00,pass_att,22,,,,,
player,201709240chi,chi,GlenMi00,pass_yds,101,,,,,
player,201709240chi,chi,GlenMi00,pass_td,1,,,,,
player,201709240chi,chi,GlenMi00,pass_int,1,,,,,
player,201709240chi,chi,GlenMi00,pass_sacked,2,,,,,
player,201709240chi,chi,GlenMi00,pass_sacked_yds,17,,,,,
player,201709240chi,chi,GlenMi00,pass_long,17,,,,,
player,201709240chi,chi,GlenMi00,pass_rating,74.2,,,,,
player,201709240chi,chi,GlenMi00,rush_att,3,,,,,
player,201709240chi,chi,GlenMi00,rush_yds,4,,,,,
player,201709240chi,chi,GlenMi00,rush_td,0,,,,,
player,201709240chi,chi,GlenMi00,rush_long,2,,,,,
player,201709240chi,chi,GlenMi00,targets,0,,,,,
player,201709240chi,chi,GlenMi00,rec,0,,,,,
player,201709240chi,chi,GlenMi00,rec_yds,0,,,,,
player,201709240chi,chi,GlenMi00,rec_td,0,,,,,
player,201709240chi,chi,GlenMi00,rec_long,0,,,,,
player,201709240chi,chi,GlenMi00,fumbles,1,,,,,
player,201709240chi,chi,GlenMi00,fumbles_lost,0,,,,,
player,201709240chi,chi,HowaJo00,pass_cmp,0,,,,,
player,201709240chi,chi,HowaJo00,pass_att,0,,,,,
player,201709240chi,chi,HowaJo00,pass_yds,0,,,,,
player,201709240chi,chi,HowaJo00,pass_td,0,,,,,
player,201709240chi,chi,HowaJo00,pass_int,0,,,,,
player,201709240chi,chi,HowaJo00,pass_sacked,0,,,,,
player,201709240chi,chi,HowaJo00,pass_sacked_yds,0,,,,,
player,201709240chi,chi,HowaJo00,pass_long,0,,,,,
player,201709240chi,chi,HowaJo00,pass_rating,,,,,,
player,201709240chi,chi,HowaJo00,rush_att,23,,,,,
player,201709240chi,chi,HowaJo00,rush_yds,140,,,,,
player,201709240chi,chi,HowaJo00,rush_td,2,,,,,
player,201709240chi,chi,HowaJo00,rush_long,19,,,,,
player,201709240chi,chi,HowaJo00,targets,5,,,,,
player,201709240chi,chi,HowaJo00,rec,5,,,,,
player,201709240chi,chi,HowaJo00,rec_yds,26,,,,,
player,201709240chi,chi,HowaJo00,rec_td,0,,,,,
player,201709240chi,chi,HowaJo00,rec_long,10,,,,,
player,201709240chi,chi,HowaJo00,fumbles,1,,,,,
player,201709240chi,chi,HowaJo00,fumbles_lost,1,,,,,
player,201709240chi,chi,CoheTa00,pass_cmp,0,,,,,
player,201709240chi,chi,CoheTa00,pass_att,0,,,,,
player,201709240chi,chi,CoheTa00,pass_yds,0,,,,,
player,201709240chi,chi,CoheTa00,pass_td,0,,,,,
player,201709240chi,chi,CoheTa00,pass_int,0,,,,,
player,201709240chi,chi,CoheTa00,pass_sacked,0,,,,,
player,201709240chi,chi,CoheTa00,pass_sacked_yds,0,,,,,
player,201709240chi,chi,CoheTa00,pass_long,0,,,,,
player,201709240chi,chi,CoheTa00,pass_rating,,,,,,
