game,2017,11,20171119,201711190nor,was,"Washington Redskins",31,nor,"New Orleans Saints",34
player,201711190nor,was,HallDe99,def_int_long,0,,,,,
player,201711190nor,was,HallDe99,pass_defended,0,,,,,
player,201711190nor,was,HallDe99,sacks,0.0,,,,,
player,201711190nor,was,HallDe99,tackles_combined,6,,,,,
player,201711190nor,was,HallDe99,tackles_solo,5,,,,,
player,201711190nor,was,HallDe99,tackles_assists,1,,,,,
player,201711190nor,was,HallDe99,tackles_loss,0,,,,,
player,201711190nor,was,HallDe99,qb_hits,0,,,,,
player,201711190nor,was,HallDe99,fumbles_rec,0,,,,,
player,201711190nor,was,HallDe99,fumbles_rec_yds,0,,,,,
player,201711190nor,was,HallDe99,fumbles_rec_td,0,,,,,
player,201711190nor,was,HallDe99,fumbles_forced,0,,,,,
player,201711190nor,was,BrowZa00,def_int,0,,,,,
player,201711190nor,was,BrowZa00,def_int_yds,0,,,,,
player,201711190nor,was,BrowZa00,def_int_td,0,,,,,
player,201711190nor,was,BrowZa00,def_int_long,0,,,,,
player,201711190nor,was,BrowZa00,pass_defended,1,,,,,
player,201711190nor,was,BrowZa00,sacks,0.0,,,,,
player,201711190nor,was,BrowZa00,tackles_combined,5,,,,,
player,201711190nor,was,BrowZa00,tackles_solo,5,,,,,
player,201711190nor,was,BrowZa00,tackles_assists,0,,,,,
player,201711190nor,was,BrowZa00,tackles_loss,1,,,,,
player,201711190nor,was,BrowZa00,qb_hits,0,,,,,
player,201711190nor,was,BrowZa00,fumbles_rec,0,,,,,
player,201711190nor,was,BrowZa00,fumbles_rec_yds,0,,,,,
player,201711190nor,was,BrowZa00,fumbles_rec_td,0,,,,,
player,201711190nor,was,BrowZa00,fumbles_forced,0,,,,,
player,201711190nor,was,NichMo00,def_int,0,,,,,
player,201711190nor,was,NichMo00,def_int_yds,0,,,,,
player,201711190nor,was,NichMo00,def_int_td,0,,,,,
player,201711190nor,was,NichMo00,def_int_long,0,,,,,
player,201711190nor,was,NichMo00,pass_defended,0,,,,,
player,201711190nor,was,NichMo00,sacks,0.0,,,,,
player,201711190nor,was,NichMo00,tackles_combined,4,,,,,
player,201711190nor,was,NichMo00,tackles_solo,4,,,,,
player,201711190nor,was,NichMo00,tackles_assists,0,,,,,
player,201711190nor,was,NichMo00,tackles_loss,0,,,,,
player,201711190nor,was,NichMo00,qb_hits,0,,,,,
player,201711190nor,was,NichMo00,fumbles_rec,0,,,,,
player,201711190nor,was,NichMo00,fumbles_rec_yds,0,,,,,
player,201711190nor,was,NichMo00,fumbles_rec_td,0,,,,,
player,201711190nor,was,NichMo00,fumbles_forced,0,,,,,
player,201711190nor,was,SmitPr00,def_int,0,,,,,
player,201711190nor,was,SmitPr00,def_int_yds,0,,,,,
player,201711190nor,was,SmitPr00,def_int_td,0,,,,,
player,201711190nor,was,SmitPr00,def_int_long,0,,,,,
player,201711190nor,was,SmitPr00,pass_defended,0,,,,,
player,201711190nor,was,SmitPr00,sacks,0.0,,,,,
player,201711190nor,was,SmitPr00,tackles_combined,4,,,,,
player,201711190nor,was,SmitPr00,tackles_solo,3,,,,,
player,201711190nor,was,SmitPr00,tackles_assists,1,,,,,
player,201711190nor,was,SmitPr00,tackles_loss,1,,,,,
player,201711190nor,was,SmitPr00,qb_hits,1,,,,,
player,201711190nor,was,SmitPr00,fumbles_rec,0,,,,,
player,201711190nor,was,SmitPr00,fumbles_rec_yds,0,,,,,
player,201711190nor,was,SmitPr00,fumbles_rec_td,0,,,,,
player,201711190nor,was,SmitPr00,fumbles_forced,0,,,,,
player,201711190nor,was,BreeBa00,def_int,0,,,,,
player,201711190nor,was,BreeBa00,def_int_yds,0,,,,,
player,201711190nor,was,BreeBa00,def_int_td,0,,,,,
player,201711190nor,was,BreeBa00,def_int_long,0,,,,,
player,201711190nor,was,BreeBa00,pass_defended,3,,,,,
player,201711190nor,was,BreeBa00,sacks,0.0,,,,,
