game,2017,11,20171119,201711190gnb,rav,"Baltimore Ravens",23,gnb,"Green Bay Packers",0
player,201711190gnb,gnb,AdamDa01,pass_yds,0,,,,,
player,201711190gnb,gnb,AdamDa01,pass_td,0,,,,,
player,201711190gnb,gnb,AdamDa01,pass_int,0,,,,,
player,201711190gnb,gnb,AdamDa01,pass_sacked,0,,,,,
player,201711190gnb,gnb,AdamDa01,pass_sacked_yds,0,,,,,
player,201711190gnb,gnb,AdamDa01,pass_long,0,,,,,
player,201711190gnb,gnb,AdamDa01,pass_rating,,,,,,
player,201711190gnb,gnb,AdamDa01,rush_att,0,,,,,
player,201711190gnb,gnb,AdamDa01,rush_yds,0,,,,,
player,201711190gnb,gnb,AdamDa01,rush_td,0,,,,,
player,201711190gnb,gnb,AdamDa01,rush_long,0,,,,,
player,201711190gnb,gnb,AdamDa01,targets,10,,,,,
player,201711190gnb,gnb,AdamDa01,rec,8,,,,,
player,201711190gnb,gnb,AdamDa01,rec_yds,126,,,,,
player,201711190gnb,gnb,AdamDa01,rec_td,0,,,,,
player,201711190gnb,gnb,AdamDa01,rec_long,33,,,,,
player,201711190gnb,gnb,AdamDa01,fumbles,0,,,,,
player,201711190gnb,gnb,AdamDa01,fumbles_lost,0,,,,,
player,201711190gnb,gnb,CobbRa00,pass_cmp,0,,,,,
player,201711190gnb,gnb,CobbRa00,pass_att,0,,,,,
player,201711190gnb,gnb,CobbRa00,pass_yds,0,,,,,
player,201711190gnb,gnb,CobbRa00,pass_td,0,,,,,
player,201711190gnb,gnb,CobbRa00,pass_int,0,,,,,
player,201711190gnb,gnb,CobbRa00,pass_sacked,0,,,,,
player,201711190gnb,gnb,CobbRa00,pass_sacked_yds,0,,,,,
player,201711190gnb,gnb,CobbRa00,pass_long,0,,,,,
player,201711190gnb,gnb,CobbRa00,pass_rating,,,,,,
player,201711190gnb,gnb,CobbRa00,rush_att,1,,,,,
player,201711190gnb,gnb,CobbRa00,rush_yds,0,,,,,
player,201711190gnb,gnb,CobbRa00,rush_td,0,,,,,
player,201711190gnb,gnb,CobbRa00,rush_long,0,,,,,
player,201711190gnb,gnb,CobbRa00,targets,6,,,,,
player,201711190gnb,gnb,CobbRa00,rec,3,,,,,
player,201711190gnb,gnb,CobbRa00,rec_yds,34,,,,,
