game,2017,12,20171127,201711270rav,htx,"Houston Texans",16,rav,"Baltimore Ravens",23
player,201711270rav,rav,MoorCh00,rush_td,0,,,,,
player,201711270rav,rav,MoorCh00,rush_long,0,,,,,
player,201711270rav,rav,MoorCh00,targets,3,,,,,
player,201711270rav,rav,MoorCh00,rec,3,,,,,
player,201711270rav,rav,MoorCh00,rec_yds,37,,,,,
player,201711270rav,rav,MoorCh00,rec_td,0,,,,,
player,201711270rav,rav,MoorCh00,rec_long,22,,,,,
player,201711270rav,rav,MoorCh00,fumbles,0,,,,,
player,201711270rav,rav,MoorCh00,fumbles_lost,0,,,,,
player,201711270rav,rav,WatsBe00,pass_cmp,0,,,,,
player,201711270rav,rav,WatsBe00,pass_att,0,,,,,
player,201711270rav,rav,WatsBe00,pass_yds,0,,,,,
player,201711270rav,rav,WatsBe00,pass_td,0,,,,,
player,201711270rav,rav,WatsBe00,pass_int,0,,,,,
player,201711270rav,rav,WatsBe00,pass_sacked,0,,,,,
player,201711270rav,rav,WatsBe00,pass_sacked_yds,0,,,,,
player,201711270rav,rav,WatsBe00,pass_long,0,,,,,
player,201711270rav,rav,WatsBe00,pass_rating,,,,,,
player,201711270rav,rav,WatsBe00,rush_att,0,,,,,
player,201711270rav,rav,WatsBe00,rush_yds,0,,,,,
player,201711270rav,rav,WatsBe00,rush_td,0,,,,,
player,201711270rav,rav,WatsBe00,rush_long,0,,,,,
player,201711270rav,rav,WatsBe00,targets,3,,,,,
player,201711270rav,rav,WatsBe00,rec,3,,,,,
player,201711270rav,rav,WatsBe00,rec_yds,29,,,,,
player,201711270rav,rav,WatsBe00,rec_td,0,,,,,
player,201711270rav,rav,WatsBe00,rec_long,16,,,,,
player,201711270rav,rav,WatsBe00,fumbles,0,,,,,
player,201711270rav,rav,WatsBe00,fumbles_lost,0,,,,,
player,201711270rav,rav,WillMa04,pass_cmp,0,,,,,
player,201711270rav,rav,WillMa04,pass_att,0,,,,,
player,201711270rav,rav,WillMa04,pass_yds,0,,,,,
player,201711270rav,rav,WillMa04,pass_td,0,,,,,
player,201711270rav,rav,WillMa04,pass_int,0,,,,,
player,201711270rav,rav,WillMa04,pass_sacked,0,,,,,
player,201711270rav,rav,WillMa04,pass_sacked_yds,0,,,,,
player,201711270rav,rav,WillMa04,pass_long,0,,,,,
player,201711270rav,rav,WillMa04,pass_rating,,,,,,
player,201711270rav,rav,WillMa04,rush_att,0,,,,,
player,201711270rav,rav,WillMa04,rush_yds,0,,,,,
player,201711270rav,rav,WillMa04,rush_td,0,,,,,
player,201711270rav,rav,WillMa04,rush_long,0,,,,,
player,201711270rav,rav,WillMa04,targets,1,,,,,
player,201711270rav,rav,WillMa04,rec,1,,,,,
player,201711270rav,rav,WillMa04,rec_yds,12,,,,,
player,201711270rav,rav,WillMa04,rec_td,0,,,,,
player,201711270rav,rav,WillMa04,rec_long,12,,,,,
player,201711270rav,rav,WillMa04,fumbles,0,,,,,
player,201711270rav,rav,WillMa04,fumbles_lost,0,,,,,
player,201711270rav,rav,BoylNi00,pass_cmp,0,,,,,
player,201711270rav,rav,BoylNi00,pass_att,0,,,,,
player,201711270rav,rav,BoylNi00,pass_yds,0,,,,,
player,201711270rav,rav,BoylNi00,pass_td,0,,,,,
player,201711270rav,rav,BoylNi00,pass_int,0,,,,,
player,201711270rav,rav,BoylNi00,pass_sacked,0,,,,,
player,201711270rav,rav,BoylNi00,pass_sacked_yds,0,,,,,
player,201711270rav,rav,BoylNi00,pass_long,0,,,,,
player,201711270rav,rav,BoylNi00,pass_rating,,,,,,
player,201711270rav,rav,BoylNi00,rush_att,0,,,,,
player,201711270rav,rav,BoylNi00,rush_yds,0,,,,,
player,201711270rav,rav,BoylNi00,rush_td,0,,,,,
player,201711270rav,rav,BoylNi00,rush_long,0,,,,,
player,201711270rav,rav,BoylNi00,targets,1,,,,,
player,201711270rav,rav,BoylNi00,rec,1,,,,,
player,201711270rav,rav,BoylNi00,rec_yds,9,,,,,
player,201711270rav,rav,BoylNi00,rec_td,0,,,,,
player,201711270rav,rav,BoylNi00,rec_long,9,,,,,
player,201711270rav,rav,BoylNi00,fumbles,0,,,,,
player,201711270rav,rav,BoylNi00,fumbles_lost,0,,,,,
player,201711270rav,rav,MaclJe00,pass_cmp,0,,,,,
player,201711270rav,rav,MaclJe00,pass_att,0,,,,,
player,201711270rav,rav,MaclJe00,pass_yds,0,,,,,
player,201711270rav,rav,MaclJe00,pass_td,0,,,,,
player,201711270rav,rav,MaclJe00,pass_int,0,,,,,
player,201711270rav,rav,MaclJe00,pass_sacked,0,,,,,
player,201711270rav,rav,MaclJe00,pass_sacked_yds,0,,,,,
player,201711270rav,rav,MaclJe00,pass_long,0,,,,,
player,201711270rav,rav,MaclJe00,pass_rating,,,,,,
player,201711270rav,rav,MaclJe00,rush_att,0,,,,,
player,201711270rav,rav,MaclJe00,rush_yds,0,,,,,
player,201711270rav,rav,MaclJe00,rush_td,0,,,,,
player,201711270rav,rav,MaclJe00,rush_long,0,,,,,
player,201711270rav,rav,MaclJe00,targets,5,,,,,
player,201711270rav,rav,MaclJe00,rec,1,,,,,
player,201711270rav,rav,MaclJe00,rec_yds,6,,,,,
player,201711270rav,rav,MaclJe00,rec_td,0,,,,,
player,201711270rav,rav,MaclJe00,rec_long,6,,,,,
player,201711270rav,rav,MaclJe00,fumbles,0,,,,,
player,201711270rav,rav,MaclJe00,fumbles_lost,0,,,,,
player,201711270rav,rav,PerrBr02,pass_cmp,0,,,,,
player,201711270rav,rav,PerrBr02,pass_att,0,,,,,
player,201711270rav,rav,PerrBr02,pass_yds,0,,,,,
player,201711270rav,rav,PerrBr02,pass_td,0,,,,,
player,201711270rav,rav,PerrBr02,pass_int,0,,,,,
player,201711270rav,rav,PerrBr02,pass_sacked,0,,,,,
player,201711270rav,rav,PerrBr02,pass_sacked_yds,0,,,,,
player,201711270rav,rav,PerrBr02,pass_long,0,,,,,
player,201711270rav,rav,PerrBr02,pass_rating,,,,,,
player,201711270rav,rav,PerrBr02,rush_att,0,,,,,
player,201711270rav,rav,PerrBr02,rush_yds,0,,,,,
player,201711270rav,rav,PerrBr02,rush_td,0,,,,,
player,201711270rav,rav,PerrBr02,rush_long,0,,,,,
player,201711270rav,rav,PerrBr02,targets,2,,,,,
player,201711270rav,rav,PerrBr02,rec,0,,,,,
player,201711270rav,rav,PerrBr02,rec_yds,0,,,,,
player,201711270rav,rav,PerrBr02,rec_td,0,,,,,
player,201711270rav,rav,PerrBr02,rec_long,0,,,,,
player,201711270rav,rav,PerrBr02,fumbles,0,,,,,
player,201711270rav,rav,PerrBr02,fumbles_lost,0,,,,,
player,201711270rav,htx,ClowJa00,def_int,0,,,,,
player,201711270rav,htx,ClowJa00,def_int_yds,0,,,,,
player,201711270rav,htx,ClowJa00,def_int_td,0,,,,,
player,201711270rav,htx,ClowJa00,def_int_long,0,,,,,
