game,2011,14,20111211,201112110det,min,"Minnesota Vikings",28,det,"Detroit Lions",34
player,201112110det,min,GrifEv99,fumbles_rec,0,,,,,
player,201112110det,min,GrifEv99,fumbles_rec_yds,0,,,,,
player,201112110det,min,GrifEv99,fumbles_rec_td,0,,,,,
player,201112110det,min,GrifEv99,fumbles_forced,0,,,,,
player,201112110det,min,HendEr99,def_int,0,,,,,
player,201112110det,min,HendEr99,def_int_yds,0,,,,,
player,201112110det,min,HendEr99,def_int_td,0,,,,,
player,201112110det,min,HendEr99,def_int_long,0,,,,,
player,201112110det,min,HendEr99,pass_defended,0,,,,,
player,201112110det,min,HendEr99,sacks,0.0,,,,,
player,201112110det,min,HendEr99,tackles_combined,2,,,,,
player,201112110det,min,HendEr99,tackles_solo,2,,,,,
player,201112110det,min,HendEr99,tackles_assists,0,,,,,
player,201112110det,min,HendEr99,tackles_loss,0,,,,,
player,201112110det,min,HendEr99,qb_hits,0,,,,,
player,201112110det,min,HendEr99,fumbles_rec,0,,,,,
player,201112110det,min,HendEr99,fumbles_rec_yds,0,,,,,
player,201112110det,min,HendEr99,fumbles_rec_td,0,,,,,
player,201112110det,min,HendEr99,fumbles_forced,0,,,,,
player,201112110det,min,RaymMi00,def_int,0,,,,,
player,201112110det,min,RaymMi00,def_int_yds,0,,,,,
player,201112110det,min,RaymMi00,def_int_td,0,,,,,
player,201112110det,min,RaymMi00,def_int_long,0,,,,,
player,201112110det,min,RaymMi00,pass_defended,0,,,,,
player,201112110det,min,RaymMi00,sacks,0.0,,,,,
player,201112110det,min,RaymMi00,tackles_combined,2,,,,,
player,201112110det,min,RaymMi00,tackles_solo,2,,,,,
player,201112110det,min,RaymMi00,tackles_assists,0,,,,,
player,201112110det,min,RaymMi00,tackles_loss,0,,,,,
player,201112110det,min,RaymMi00,qb_hits,0,,,,,
player,201112110det,min,RaymMi00,fumbles_rec,0,,,,,
player,201112110det,min,RaymMi00,fumbles_rec_yds,0,,,,,
