game,2011,6,20111016,201110160nwe,dal,"Dallas Cowboys",16,nwe,"New England Patriots",20
player,201110160nwe,dal,BennMa00,pass_rating,,,,,,
player,201110160nwe,dal,BennMa00,rush_att,0,,,,,
player,201110160nwe,dal,BennMa00,rush_yds,0,,,,,
player,201110160nwe,dal,BennMa00,rush_td,0,,,,,
player,201110160nwe,dal,BennMa00,rush_long,0,,,,,
player,201110160nwe,dal,BennMa00,targets,3,,,,,
player,201110160nwe,dal,BennMa00,rec,2,,,,,
player,201110160nwe,dal,BennMa00,rec_yds,13,,,,,
player,201110160nwe,dal,BennMa00,rec_td,0,,,,,
player,201110160nwe,dal,BennMa00,rec_long,8,,,,,
player,201110160nwe,dal,BennMa00,fumbles,0,,,,,
player,201110160nwe,dal,BennMa00,fumbles_lost,,,,,,
player,201110160nwe,dal,OgleKe00,pass_cmp,0,,,,,
player,201110160nwe,dal,OgleKe00,pass_att,0,,,,,
player,201110160nwe,dal,OgleKe00,pass_yds,0,,,,,
player,201110160nwe,dal,OgleKe00,pass_td,0,,,,,
player,201110160nwe,dal,OgleKe00,pass_int,0,,,,,
player,201110160nwe,dal,OgleKe00,pass_sacked,0,,,,,
player,201110160nwe,dal,OgleKe00,pass_sacked_yds,0,,,,,
player,201110160nwe,dal,OgleKe00,pass_long,0,,,,,
player,201110160nwe,dal,OgleKe00,pass_rating,,,,,,
player,201110160nwe,dal,OgleKe00,rush_att,0,,,,,
player,201110160nwe,dal,OgleKe00,rush_yds,0,,,,,
player,201110160nwe,dal,OgleKe00,rush_td,0,,,,,
player,201110160nwe,dal,OgleKe00,rush_long,0,,,,,
player,201110160nwe,dal,OgleKe00,targets,2,,,,,
player,201110160nwe,dal,OgleKe00,rec,1,,,,,
player,201110160nwe,dal,OgleKe00,rec_yds,12,,,,,
player,201110160nwe,dal,OgleKe00,rec_td,0,,,,,
player,201110160nwe,dal,OgleKe00,rec_long,12,,,,,
player,201110160nwe,dal,OgleKe00,fumbles,0,,,,,
player,201110160nwe,dal,OgleKe00,fumbles_lost,,,,,,
player,201110160nwe,dal,PhilJo00,pass_cmp,0,,,,,
player,201110160nwe,dal,PhilJo00,pass_att,0,,,,,
player,201110160nwe,dal,PhilJo00,pass_yds,0,,,,,
player,201110160nwe,dal,PhilJo00,pass_td,0,,,,,
player,201110160nwe,dal,PhilJo00,pass_int,0,,,,,
player,201110160nwe,dal,PhilJo00,pass_sacked,0,,,,,
player,201110160nwe,dal,PhilJo00,pass_sacked_yds,0,,,,,
player,201110160nwe,dal,PhilJo00,pass_long,0,,,,,
player,201110160nwe,dal,PhilJo00,pass_rating,,,,,,
player,201110160nwe,dal,PhilJo00,rush_att,0,,,,,
player,201110160nwe,dal,PhilJo00,rush_yds,0,,,,,
player,201110160nwe,dal,PhilJo00,rush_td,0,,,,,
player,201110160nwe,dal,PhilJo00,rush_long,0,,,,,
player,201110160nwe,dal,PhilJo00,targets,1,,,,,
player,201110160nwe,dal,PhilJo00,rec,1,,,,,
player,201110160nwe,dal,PhilJo00,rec_yds,7,,,,,
player,201110160nwe,dal,PhilJo00,rec_td,0,,,,,
player,201110160nwe,dal,PhilJo00,rec_long,7,,,,,
player,201110160nwe,dal,PhilJo00,fumbles,0,,,,,
player,201110160nwe,dal,PhilJo00,fumbles_lost,,,,,,
player,201110160nwe,nwe,BradTo00,pass_cmp,27,,,,,
player,201110160nwe,nwe,BradTo00,pass_att,41,,,,,
player,201110160nwe,nwe,BradTo00,pass_yds,289,,,,,
player,201110160nwe,nwe,BradTo00,pass_td,2,,,,,
player,201110160nwe,nwe,BradTo00,pass_int,2,,,,,
player,201110160nwe,nwe,BradTo00,pass_sacked,3,,,,,
player,201110160nwe,nwe,BradTo00,pass_sacked_yds,19,,,,,
player,201110160nwe,nwe,BradTo00,pass_long,45,,,,,
player,201110160nwe,nwe,BradTo00,pass_rating,82.3,,,,,
player,201110160nwe,nwe,BradTo00,rush_att,4,,,,,
player,201110160nwe,nwe,BradTo00,rush_yds,17,,,,,
player,201110160nwe,nwe,BradTo00,rush_td,0,,,,,
player,201110160nwe,nwe,BradTo00,rush_long,8,,,,,
player,201110160nwe,nwe,BradTo00,targets,0,,,,,
player,201110160nwe,nwe,BradTo00,rec,0,,,,,
player,201110160nwe,nwe,BradTo00,rec_yds,0,,,,,
player,201110160nwe,nwe,BradTo00,rec_td,0,,,,,
player,201110160nwe,nwe,BradTo00,rec_long,0,,,,,
player,201110160nwe,nwe,BradTo00,fumbles,0,,,,,
player,201110160nwe,nwe,BradTo00,fumbles_lost,,,,,,
player,201110160nwe,nwe,GreeBe00,pass_cmp,0,,,,,
player,201110160nwe,nwe,GreeBe00,pass_att,0,,,,,
player,201110160nwe,nwe,GreeBe00,pass_yds,0,,,,,
player,201110160nwe,nwe,GreeBe00,pass_td,0,,,,,
player,201110160nwe,nwe,GreeBe00,pass_int,0,,,,,
player,201110160nwe,nwe,GreeBe00,pass_sacked,0,,,,,
player,201110160nwe,nwe,GreeBe00,pass_sacked_yds,0,,,,,
player,201110160nwe,nwe,GreeBe00,pass_long,0,,,,,
player,201110160nwe,nwe,GreeBe00,pass_rating,,,,,,
player,201110160nwe,nwe,GreeBe00,rush_att,14,,,,,
player,201110160nwe,nwe,GreeBe00,rush_yds,58,,,,,
player,201110160nwe,nwe,GreeBe00,rush_td,0,,,,,
player,201110160nwe,nwe,GreeBe00,rush_long,9,,,,,
player,201110160nwe,nwe,GreeBe00,targets,1,,,,,
player,201110160nwe,nwe,GreeBe00,rec,1,,,,,
player,201110160nwe,nwe,GreeBe00,rec_yds,11,,,,,
player,201110160nwe,nwe,GreeBe00,rec_td,0,,,,,
player,201110160nwe,nwe,GreeBe00,rec_long,11,,,,,
player,201110160nwe,nwe,GreeBe00,fumbles,0,,,,,
player,201110160nwe,nwe,GreeBe00,fumbles_lost,,,,,,
player,201110160nwe,nwe,RidlSt00,pass_cmp,0,,,,,
player,201110160nwe,nwe,RidlSt00,pass_att,0,,,,,
player,201110160nwe,nwe,RidlSt00,pass_yds,0,,,,,
player,201110160nwe,nwe,RidlSt00,pass_td,0,,,,,
player,201110160nwe,nwe,RidlSt00,pass_int,0,,,,,
player,201110160nwe,nwe,RidlSt00,pass_sacked,0,,,,,
player,201110160nwe,nwe,RidlSt00,pass_sacked_yds,0,,,,,
player,201110160nwe,nwe,RidlSt00,pass_long,0,,,,,
player,201110160nwe,nwe,RidlSt00,pass_rating,,,,,,
player,201110160nwe,nwe,RidlSt00,rush_att,3,,,,,
player,201110160nwe,nwe,RidlSt00,rush_yds,19,,,,,
player,201110160nwe,nwe,RidlSt00,rush_td,0,,,,,
player,201110160nwe,nwe,RidlSt00,rush_long,16,,,,,
player,201110160nwe,nwe,RidlSt00,targets,0,,,,,
player,201110160nwe,nwe,RidlSt00,rec,0,,,,,
player,201110160nwe,nwe,RidlSt00,rec_yds,0,,,,,
player,201110160nwe,nwe,RidlSt00,rec_td,0,,,,,
player,201110160nwe,nwe,RidlSt00,rec_long,0,,,,,
player,201110160nwe,nwe,RidlSt00,fumbles,0,,,,,
player,201110160nwe,nwe,RidlSt00,fumbles_lost,,,,,,
player,201110160nwe,nwe,WoodDa02,pass_cmp,0,,,,,
player,201110160nwe,nwe,WoodDa02,pass_att,0,,,,,
player,201110160nwe,nwe,WoodDa02,pass_yds,0,,,,,
player,201110160nwe,nwe,WoodDa02,pass_td,0,,,,,
player,201110160nwe,nwe,WoodDa02,pass_int,0,,,,,
player,201110160nwe,nwe,WoodDa02,pass_sacked,0,,,,,
player,201110160nwe,nwe,WoodDa02,pass_sacked_yds,0,,,,,
player,201110160nwe,nwe,WoodDa02,pass_long,0,,,,,
player,201110160nwe,nwe,WoodDa02,pass_rating,,,,,,
player,201110160nwe,nwe,WoodDa02,rush_att,4,,,,,
player,201110160nwe,nwe,WoodDa02,rush_yds,7,,,,,
player,201110160nwe,nwe,WoodDa02,rush_td,0,,,,,
player,201110160nwe,nwe,WoodDa02,rush_long,5,,,,,
player,201110160nwe,nwe,WoodDa02,targets,3,,,,,
player,201110160nwe,nwe,WoodDa02,rec,2,,,,,
player,201110160nwe,nwe,WoodDa02,rec_yds,22,,,,,
player,201110160nwe,nwe,WoodDa02,rec_td,0,,,,,
player,201110160nwe,nwe,WoodDa02,rec_long,13,,,,,
player,201110160nwe,nwe,WoodDa02,fumbles,0,,,,,
player,201110160nwe,nwe,WoodDa02,fumbles_lost,,,,,,
player,201110160nwe,nwe,GronRo00,pass_cmp,0,,,,,
player,201110160nwe,nwe,GronRo00,pass_att,0,,,,,
player,201110160nwe,nwe,GronRo00,pass_yds,0,,,,,
player,201110160nwe,nwe,GronRo00,pass_td,0,,,,,
player,201110160nwe,nwe,GronRo00,pass_int,0,,,,,
player,201110160nwe,nwe,GronRo00,pass_sacked,0,,,,,
player,201110160nwe,nwe,GronRo00,pass_sacked_yds,0,,,,,
player,201110160nwe,nwe,GronRo00,pass_long,0,,,,,
player,201110160nwe,nwe,GronRo00,pass_rating,,,,,,
player,201110160nwe,nwe,GronRo00,rush_att,0,,,,,
player,201110160nwe,nwe,GronRo00,rush_yds,0,,,,,
player,201110160nwe,nwe,GronRo00,rush_td,0,,,,,
player,201110160nwe,nwe,GronRo00,rush_long,0,,,,,
player,201110160nwe,nwe,GronRo00,targets,7,,,,,
player,201110160nwe,nwe,GronRo00,rec,7,,,,,
player,201110160nwe,nwe,GronRo00,rec_yds,74,,,,,
player,201110160nwe,nwe,GronRo00,rec_td,0,,,,,
player,201110160nwe,nwe,GronRo00,rec_long,20,,,,,
player,201110160nwe,nwe,GronRo00,fumbles,0,,,,,
player,201110160nwe,nwe,GronRo00,fumbles_lost,,,,,,
player,201110160nwe,nwe,BranDe00,pass_cmp,0,,,,,
player,201110160nwe,nwe,BranDe00,pass_att,0,,,,,
player,201110160nwe,nwe,BranDe00,pass_yds,0,,,,,
player,201110160nwe,nwe,BranDe00,pass_td,0,,,,,
player,201110160nwe,nwe,BranDe00,pass_int,0,,,,,
player,201110160nwe,nwe,BranDe00,pass_sacked,0,,,,,
player,201110160nwe,nwe,BranDe00,pass_sacked_yds,0,,,,,
player,201110160nwe,nwe,BranDe00,pass_long,0,,,,,
player,201110160nwe,nwe,BranDe00,pass_rating,,,,,,
player,201110160nwe,nwe,BranDe00,rush_att,0,,,,,
player,201110160nwe,nwe,BranDe00,rush_yds,0,,,,,
player,201110160nwe,nwe,BranDe00,rush_td,0,,,,,
player,201110160nwe,nwe,BranDe00,rush_long,0,,,,,
player,201110160nwe,nwe,BranDe00,targets,5,,,,,
player,201110160nwe,nwe,BranDe00,rec,3,,,,,
player,201110160nwe,nwe,BranDe00,rec_yds,69,,,,,
player,201110160nwe,nwe,BranDe00,rec_td,0,,,,,
player,201110160nwe,nwe,BranDe00,rec_long,45,,,,,
player,201110160nwe,nwe,BranDe00,fumbles,0,,,,,
player,201110160nwe,nwe,BranDe00,fumbles_lost,,,,,,
player,201110160nwe,nwe,HernAa00,pass_cmp,0,,,,,
player,201110160nwe,nwe,HernAa00,pass_att,0,,,,,
player,201110160nwe,nwe,HernAa00,pass_yds,0,,,,,
player,201110160nwe,nwe,HernAa00,pass_td,0,,,,,
player,201110160nwe,nwe,HernAa00,pass_int,0,,,,,
player,201110160nwe,nwe,HernAa00,pass_sacked,0,,,,,
player,201110160nwe,nwe,HernAa00,pass_sacked_yds,0,,,,,
player,201110160nwe,nwe,HernAa00,pass_long,0,,,,,
