game,2011,15,20111219,201112190sfo,pit,"Pittsburgh Steelers",3,sfo,"San Francisco 49ers",20
player,201112190sfo,sfo,SmitAl03,rush_att,3,,,,,
player,201112190sfo,sfo,SmitAl03,rush_yds,12,,,,,
player,201112190sfo,sfo,SmitAl03,rush_td,0,,,,,
player,201112190sfo,sfo,SmitAl03,rush_long,14,,,,,
player,201112190sfo,sfo,SmitAl03,targets,0,,,,,
player,201112190sfo,sfo,SmitAl03,rec,0,,,,,
player,201112190sfo,sfo,SmitAl03,rec_yds,0,,,,,
player,201112190sfo,sfo,SmitAl03,rec_td,0,,,,,
player,201112190sfo,sfo,SmitAl03,rec_long,0,,,,,
player,201112190sfo,sfo,SmitAl03,fumbles,0,,,,,
player,201112190sfo,sfo,SmitAl03,fumbles_lost,,,,,,
player,201112190sfo,sfo,GoreFr00,pass_cmp,0,,,,,
player,201112190sfo,sfo,GoreFr00,pass_att,0,,,,,
player,201112190sfo,sfo,GoreFr00,pass_yds,0,,,,,
player,201112190sfo,sfo,GoreFr00,pass_td,0,,,,,
player,201112190sfo,sfo,GoreFr00,pass_int,0,,,,,
player,201112190sfo,sfo,GoreFr00,pass_sacked,0,,,,,
player,201112190sfo,sfo,GoreFr00,pass_sacked_yds,0,,,,,
player,201112190sfo,sfo,GoreFr00,pass_long,0,,,,,
player,201112190sfo,sfo,GoreFr00,pass_rating,,,,,,
player,201112190sfo,sfo,GoreFr00,rush_att,18,,,,,
player,201112190sfo,sfo,GoreFr00,rush_yds,65,,,,,
player,201112190sfo,sfo,GoreFr00,rush_td,1,,,,,
player,201112190sfo,sfo,GoreFr00,rush_long,13,,,,,
player,201112190sfo,sfo,GoreFr00,targets,3,,,,,
player,201112190sfo,sfo,GoreFr00,rec,0,,,,,
player,201112190sfo,sfo,GoreFr00,rec_yds,0,,,,,
player,201112190sfo,sfo,GoreFr00,rec_td,0,,,,,
player,201112190sfo,sfo,GoreFr00,rec_long,0,,,,,
player,201112190sfo,sfo,GoreFr00,fumbles,0,,,,,
player,201112190sfo,sfo,GoreFr00,fumbles_lost,,,,,,
player,201112190sfo,sfo,DixoAn00,pass_cmp,0,,,,,
player,201112190sfo,sfo,DixoAn00,pass_att,0,,,,,
player,201112190sfo,sfo,DixoAn00,pass_yds,0,,,,,
player,201112190sfo,sfo,DixoAn00,pass_td,0,,,,,
player,201112190sfo,sfo,DixoAn00,pass_int,0,,,,,
player,201112190sfo,sfo,DixoAn00,pass_sacked,0,,,,,
player,201112190sfo,sfo,DixoAn00,pass_sacked_yds,0,,,,,
player,201112190sfo,sfo,DixoAn00,pass_long,0,,,,,
player,201112190sfo,sfo,DixoAn00,pass_rating,,,,,,
player,201112190sfo,sfo,DixoAn00,rush_att,5,,,,,
player,201112190sfo,sfo,DixoAn00,rush_yds,12,,,,,
player,201112190sfo,sfo,DixoAn00,rush_td,0,,,,,
player,201112190sfo,sfo,DixoAn00,rush_long,4,,,,,
player,201112190sfo,sfo,DixoAn00,targets,0,,,,,
player,201112190sfo,sfo,DixoAn00,rec,0,,,,,
player,201112190sfo,sfo,DixoAn00,rec_yds,0,,,,,
