game,2011,8,20111030,201110300den,det,"Detroit Lions",45,den,"Denver Broncos",10
player,201110300den,den,RosaDa00,pass_sacked,0,,,,,
player,201110300den,den,RosaDa00,pass_sacked_yds,0,,,,,
player,201110300den,den,RosaDa00,pass_long,0,,,,,
player,201110300den,den,RosaDa00,pass_rating,,,,,,
player,201110300den,den,RosaDa00,rush_att,0,,,,,
player,201110300den,den,RosaDa00,rush_yds,0,,,,,
player,201110300den,den,RosaDa00,rush_td,0,,,,,
player,201110300den,den,RosaDa00,rush_long,0,,,,,
player,201110300den,den,RosaDa00,targets,1,,,,,
player,201110300den,den,RosaDa00,rec,1,,,,,
player,201110300den,den,RosaDa00,rec_yds,7,,,,,
player,201110300den,den,RosaDa00,rec_td,0,,,,,
player,201110300den,den,RosaDa00,rec_long,7,,,,,
player,201110300den,den,RosaDa00,fumbles,0,,,,,
player,201110300den,den,RosaDa00,fumbles_lost,,,,,,
player,201110300den,den,FellDa00,pass_cmp,0,,,,,
player,201110300den,den,FellDa00,pass_att,0,,,,,
player,201110300den,den,FellDa00,pass_yds,0,,,,,
player,201110300den,den,FellDa00,pass_td,0,,,,,
player,201110300den,den,FellDa00,pass_int,0,,,,,
player,201110300den,den,FellDa00,pass_sacked,0,,,,,
player,201110300den,den,FellDa00,pass_sacked_yds,0,,,,,
player,201110300den,den,FellDa00,pass_long,0,,,,,
player,201110300den,den,FellDa00,pass_rating,,,,,,
player,201110300den,den,FellDa00,rush_att,0,,,,,
player,201110300den,den,FellDa00,rush_yds,0,,,,,
player,201110300den,den,FellDa00,rush_td,0,,,,,
player,201110300den,den,FellDa00,rush_long,0,,,,,
player,201110300den,den,FellDa00,targets,1,,,,,
player,201110300den,den,FellDa00,rec,1,,,,,
player,201110300den,den,FellDa00,rec_yds,5,,,,,
player,201110300den,den,FellDa00,rec_td,0,,,,,
player,201110300den,den,FellDa00,rec_long,5,,,,,
player,201110300den,den,FellDa00,fumbles,0,,,,,
player,201110300den,den,FellDa00,fumbles_lost,,,,,,
player,201110300den,den,ThomJu00,pass_cmp,0,,,,,
player,201110300den,den,ThomJu00,pass_att,0,,,,,
player,201110300den,den,ThomJu00,pass_yds,0,,,,,
player,201110300den,den,ThomJu00,pass_td,0,,,,,
player,201110300den,den,ThomJu00,pass_int,0,,,,,
player,201110300den,den,ThomJu00,pass_sacked,0,,,,,
player,201110300den,den,ThomJu00,pass_sacked_yds,0,,,,,
player,201110300den,den,ThomJu00,pass_long,0,,,,,
player,201110300den,den,ThomJu00,pass_rating,,,,,,
player,201110300den,den,ThomJu00,rush_att,0,,,,,
player,201110300den,den,ThomJu00,rush_yds,0,,,,,
player,201110300den,den,ThomJu00,rush_td,0,,,,,
player,201110300den,den,ThomJu00,rush_long,0,,,,,
player,201110300den,den,ThomJu00,targets,1,,,,,
player,201110300den,den,ThomJu00,rec,0,,,,,
player,201110300den,den,ThomJu00,rec_yds,0,,,,,
player,201110300den,den,ThomJu00,rec_td,0,,,,,
player,201110300den,den,ThomJu00,rec_long,0,,,,,
