game,2011,10,20111113,201111130tam,htx,"Houston Texans",37,tam,"Tampa Bay Buccaneers",9
player,201111130tam,htx,DreeJo00,rush_yds,0,,,,,
player,201111130tam,htx,DreeJo00,rush_td,0,,,,,
player,201111130tam,htx,DreeJo00,rush_long,0,,,,,
player,201111130tam,htx,DreeJo00,targets,1,,,,,
player,201111130tam,htx,DreeJo00,rec,0,,,,,
player,201111130tam,htx,DreeJo00,rec_yds,0,,,,,
player,201111130tam,htx,DreeJo00,rec_td,0,,,,,
player,201111130tam,htx,DreeJo00,rec_long,0,,,,,
player,201111130tam,htx,DreeJo00,fumbles,0,,,,,
player,201111130tam,htx,DreeJo00,fumbles_lost,,,,,,
player,201111130tam,htx,LeinMa00,pass_cmp,0,,,,,
player,201111130tam,htx,LeinMa00,pass_att,0,,,,,
player,201111130tam,htx,LeinMa00,pass_yds,0,,,,,
player,201111130tam,htx,LeinMa00,pass_td,0,,,,,
player,201111130tam,htx,LeinMa00,pass_int,0,,,,,
player,201111130tam,htx,LeinMa00,pass_sacked,0,,,,,
player,201111130tam,htx,LeinMa00,pass_sacked_yds,0,,,,,
player,201111130tam,htx,LeinMa00,pass_long,0,,,,,
player,201111130tam,htx,LeinMa00,pass_rating,,,,,,
player,201111130tam,htx,LeinMa00,rush_att,1,,,,,
player,201111130tam,htx,LeinMa00,rush_yds,-1,,,,,
player,201111130tam,htx,LeinMa00,rush_td,0,,,,,
player,201111130tam,htx,LeinMa00,rush_long,-1,,,,,
player,201111130tam,htx,LeinMa00,targets,0,,,,,
player,201111130tam,htx,LeinMa00,rec,0,,,,,
player,201111130tam,htx,LeinMa00,rec_yds,0,,,,,
player,201111130tam,htx,LeinMa00,rec_td,0,,,,,
player,201111130tam,htx,LeinMa00,rec_long,0,,,,,
player,201111130tam,htx,LeinMa00,fumbles,0,,,,,
player,201111130tam,htx,LeinMa00,fumbles_lost,,,,,,
player,201111130tam,tam,FreeJo00,pass_cmp,15,,,,,
player,201111130tam,tam,FreeJo00,pass_att,33,,,,,
player,201111130tam,tam,FreeJo00,pass_yds,170,,,,,
player,201111130tam,tam,FreeJo00,pass_td,1,,,,,
player,201111130tam,tam,FreeJo00,pass_int,3,,,,,
player,201111130tam,tam,FreeJo00,pass_sacked,4,,,,,
player,201111130tam,tam,FreeJo00,pass_sacked_yds,29,,,,,
player,201111130tam,tam,FreeJo00,pass_long,33,,,,,
player,201111130tam,tam,FreeJo00,pass_rating,33.6,,,,,
player,201111130tam,tam,FreeJo00,rush_att,3,,,,,
player,201111130tam,tam,FreeJo00,rush_yds,25,,,,,
player,201111130tam,tam,FreeJo00,rush_td,0,,,,,
player,201111130tam,tam,FreeJo00,rush_long,12,,,,,
player,201111130tam,tam,FreeJo00,targets,0,,,,,
player,201111130tam,tam,FreeJo00,rec,0,,,,,
player,201111130tam,tam,FreeJo00,rec_yds,0,,,,,
player,201111130tam,tam,FreeJo00,rec_td,0,,,,,
player,201111130tam,tam,FreeJo00,rec_long,0,,,,,
player,201111130tam,tam,FreeJo00,fumbles,0,,,,,
player,201111130tam,tam,FreeJo00,fumbles_lost,,,,,,
player,201111130tam,tam,JohnJo05,pass_cmp,0,,,,,
player,201111130tam,tam,JohnJo05,pass_att,2,,,,,
player,201111130tam,tam,JohnJo05,pass_yds,0,,,,,
player,201111130tam,tam,JohnJo05,pass_td,0,,,,,
player,201111130tam,tam,JohnJo05,pass_int,0,,,,,
player,201111130tam,tam,JohnJo05,pass_sacked,0,,,,,
player,201111130tam,tam,JohnJo05,pass_sacked_yds,0,,,,,
player,201111130tam,tam,JohnJo05,pass_long,0,,,,,
player,201111130tam,tam,JohnJo05,pass_rating,39.6,,,,,
player,201111130tam,tam,JohnJo05,rush_att,1,,,,,
player,201111130tam,tam,JohnJo05,rush_yds,0,,,,,
player,201111130tam,tam,JohnJo05,rush_td,0,,,,,
player,201111130tam,tam,JohnJo05,rush_long,0,,,,,
player,201111130tam,tam,JohnJo05,targets,0,,,,,
player,201111130tam,tam,JohnJo05,rec,0,,,,,
player,201111130tam,tam,JohnJo05,rec_yds,0,,,,,
player,201111130tam,tam,JohnJo05,rec_td,0,,,,,
player,201111130tam,tam,JohnJo05,rec_long,0,,,,,
player,201111130tam,tam,JohnJo05,fumbles,1,,,,,
player,201111130tam,tam,JohnJo05,fumbles_lost,1,,,,,
player,201111130tam,tam,BlouLe00,pass_cmp,0,,,,,
player,201111130tam,tam,BlouLe00,pass_att,0,,,,,
player,201111130tam,tam,BlouLe00,pass_yds,0,,,,,
player,201111130tam,tam,BlouLe00,pass_td,0,,,,,
player,201111130tam,tam,BlouLe00,pass_int,0,,,,,
player,201111130tam,tam,BlouLe00,pass_sacked,0,,,,,
player,201111130tam,tam,BlouLe00,pass_sacked_yds,0,,,,,
player,201111130tam,tam,BlouLe00,pass_long,0,,,,,
player,201111130tam,tam,BlouLe00,pass_rating,,,,,,
player,201111130tam,tam,BlouLe00,rush_att,10,,,,,
player,201111130tam,tam,BlouLe00,rush_yds,34,,,,,
player,201111130tam,tam,BlouLe00,rush_td,0,,,,,
player,201111130tam,tam,BlouLe00,rush_long,9,,,,,
player,201111130tam,tam,BlouLe00,targets,2,,,,,
player,201111130tam,tam,BlouLe00,rec,1,,,,,
player,201111130tam,tam,BlouLe00,rec_yds,0,,,,,
player,201111130tam,tam,BlouLe00,rec_td,0,,,,,
player,201111130tam,tam,BlouLe00,rec_long,0,,,,,
player,201111130tam,tam,BlouLe00,fumbles,0,,,,,
player,201111130tam,tam,BlouLe00,fumbles_lost,,,,,,
player,201111130tam,tam,LumpKr00,pass_cmp,0,,,,,
player,201111130tam,tam,LumpKr00,pass_att,0,,,,,
player,201111130tam,tam,LumpKr00,pass_yds,0,,,,,
player,201111130tam,tam,LumpKr00,pass_td,0,,,,,
player,201111130tam,tam,LumpKr00,pass_int,0,,,,,
player,201111130tam,tam,LumpKr00,pass_sacked,0,,,,,
player,201111130tam,tam,LumpKr00,pass_sacked_yds,0,,,,,
player,201111130tam,tam,LumpKr00,pass_long,0,,,,,
player,201111130tam,tam,LumpKr00,pass_rating,,,,,,
player,201111130tam,tam,LumpKr00,rush_att,4,,,,,
player,201111130tam,tam,LumpKr00,rush_yds,31,,,,,
player,201111130tam,tam,LumpKr00,rush_td,0,,,,,
player,201111130tam,tam,LumpKr00,rush_long,19,,,,,
player,201111130tam,tam,LumpKr00,targets,7,,,,,
player,201111130tam,tam,LumpKr00,rec,5,,,,,
