game,2011,13,20111204,201112040min,den,"Denver Broncos",35,min,"Minnesota Vikings",32
player,201112040min,min,AromDe00,pass_sacked,0,,,,,
player,201112040min,min,AromDe00,pass_sacked_yds,0,,,,,
player,201112040min,min,AromDe00,pass_long,0,,,,,
player,201112040min,min,AromDe00,pass_rating,,,,,,
player,201112040min,min,AromDe00,rush_att,0,,,,,
player,201112040min,min,AromDe00,rush_yds,0,,,,,
player,201112040min,min,AromDe00,rush_td,0,,,,,
player,201112040min,min,AromDe00,rush_long,0,,,,,
player,201112040min,min,AromDe00,targets,15,,,,,
player,201112040min,min,AromDe00,rec,6,,,,,
player,201112040min,min,AromDe00,rec_yds,90,,,,,
player,201112040min,min,AromDe00,rec_td,0,,,,,
player,201112040min,min,AromDe00,rec_long,20,,,,,
player,201112040min,min,AromDe00,fumbles,0,,,,,
player,201112040min,min,AromDe00,fumbles_lost,,,,,,
player,201112040min,min,BurtSt00,pass_cmp,0,,,,,
player,201112040min,min,BurtSt00,pass_att,0,,,,,
player,201112040min,min,BurtSt00,pass_yds,0,,,,,
player,201112040min,min,BurtSt00,pass_td,0,,,,,
player,201112040min,min,BurtSt00,pass_int,0,,,,,
player,201112040min,min,BurtSt00,pass_sacked,0,,,,,
player,201112040min,min,BurtSt00,pass_sacked_yds,0,,,,,
player,201112040min,min,BurtSt00,pass_long,0,,,,,
player,201112040min,min,BurtSt00,pass_rating,,,,,,
player,201112040min,min,BurtSt00,rush_att,0,,,,,
player,201112040min,min,BurtSt00,rush_yds,0,,,,,
player,201112040min,min,BurtSt00,rush_td,0,,,,,
player,201112040min,min,BurtSt00,rush_long,0,,,,,
player,201112040min,min,BurtSt00,targets,3,,,,,
player,201112040min,min,BurtSt00,rec,2,,,,,
player,201112040min,min,BurtSt00,rec_yds,38,,,,,
player,201112040min,min,BurtSt00,rec_td,0,,,,,
player,201112040min,min,BurtSt00,rec_long,21,,,,,
player,201112040min,min,BurtSt00,fumbles,0,,,,,
player,201112040min,min,BurtSt00,fumbles_lost,,,,,,
player,201112040min,min,ShiaVi00,pass_cmp,0,,,,,
player,201112040min,min,ShiaVi00,pass_att,0,,,,,
player,201112040min,min,ShiaVi00,pass_yds,0,,,,,
player,201112040min,min,ShiaVi00,pass_td,0,,,,,
player,201112040min,min,ShiaVi00,pass_int,0,,,,,
player,201112040min,min,ShiaVi00,pass_sacked,0,,,,,
player,201112040min,min,ShiaVi00,pass_sacked_yds,0,,,,,
player,201112040min,min,ShiaVi00,pass_long,0,,,,,
player,201112040min,min,ShiaVi00,pass_rating,,,,,,
player,201112040min,min,ShiaVi00,rush_att,0,,,,,
player,201112040min,min,ShiaVi00,rush_yds,0,,,,,
player,201112040min,min,ShiaVi00,rush_td,0,,,,,
player,201112040min,min,ShiaVi00,rush_long,0,,,,,
player,201112040min,min,ShiaVi00,targets,7,,,,,
player,201112040min,min,ShiaVi00,rec,4,,,,,
player,201112040min,min,ShiaVi00,rec_yds,36,,,,,
player,201112040min,min,ShiaVi00,rec_td,0,,,,,
player,201112040min,min,ShiaVi00,rec_long,12,,,,,
player,201112040min,min,ShiaVi00,fumbles,0,,,,,
player,201112040min,min,ShiaVi00,fumbles_lost,,,,,,
player,201112040min,min,RudoKy00,pass_cmp,0,,,,,
player,201112040min,min,RudoKy00,pass_att,0,,,,,
player,201112040min,min,RudoKy00,pass_yds,0,,,,,
player,201112040min,min,RudoKy00,pass_td,0,,,,,
player,201112040min,min,RudoKy00,pass_int,0,,,,,
player,201112040min,min,RudoKy00,pass_sacked,0,,,,,
player,201112040min,min,RudoKy00,pass_sacked_yds,0,,,,,
player,201112040min,min,RudoKy00,pass_long,0,,,,,
player,201112040min,min,RudoKy00,pass_rating,,,,,,
player,201112040min,min,RudoKy00,rush_att,0,,,,,
player,201112040min,min,RudoKy00,rush_yds,0,,,,,
player,201112040min,min,RudoKy00,rush_td,0,,,,,
player,201112040min,min,RudoKy00,rush_long,0,,,,,
player,201112040min,min,RudoKy00,targets,1,,,,,
player,201112040min,min,RudoKy00,rec,1,,,,,
player,201112040min,min,RudoKy00,rec_yds,19,,,,,
player,201112040min,min,RudoKy00,rec_td,1,,,,,
player,201112040min,min,RudoKy00,rec_long,19,,,,,
player,201112040min,min,RudoKy00,fumbles,0,,,,,
player,201112040min,min,RudoKy00,fumbles_lost,,,,,,
player,201112040min,den,HaggMa20,def_int,1,,,,,
player,201112040min,den,HaggMa20,def_int_yds,16,,,,,
player,201112040min,den,HaggMa20,def_int_td,1,,,,,
player,201112040min,den,HaggMa20,def_int_long,16,,,,,
player,201112040min,den,HaggMa20,pass_defended,1,,,,,
player,201112040min,den,HaggMa20,sacks,0.0,,,,,
player,201112040min,den,HaggMa20,tackles_combined,13,,,,,
player,201112040min,den,HaggMa20,tackles_solo,7,,,,,
player,201112040min,den,HaggMa20,tackles_assists,6,,,,,
player,201112040min,den,HaggMa20,tackles_loss,3,,,,,
player,201112040min,den,HaggMa20,qb_hits,0,,,,,
player,201112040min,den,HaggMa20,fumbles_rec,0,,,,,
player,201112040min,den,HaggMa20,fumbles_rec_yds,0,,,,,
player,201112040min,den,HaggMa20,fumbles_rec_td,0,,,,,
player,201112040min,den,HaggMa20,fumbles_forced,0,,,,,
player,201112040min,den,GoodAn20,def_int,1,,,,,
player,201112040min,den,GoodAn20,def_int_yds,20,,,,,
player,201112040min,den,GoodAn20,def_int_td,0,,,,,
player,201112040min,den,GoodAn20,def_int_long,20,,,,,
player,201112040min,den,GoodAn20,pass_defended,2,,,,,
player,201112040min,den,GoodAn20,sacks,0.0,,,,,
player,201112040min,den,GoodAn20,tackles_combined,7,,,,,
player,201112040min,den,GoodAn20,tackles_solo,5,,,,,
player,201112040min,den,GoodAn20,tackles_assists,2,,,,,
player,201112040min,den,GoodAn20,tackles_loss,0,,,,,
player,201112040min,den,GoodAn20,qb_hits,0,,,,,
player,201112040min,den,GoodAn20,fumbles_rec,0,,,,,
player,201112040min,den,GoodAn20,fumbles_rec_yds,0,,,,,
player,201112040min,den,GoodAn20,fumbles_rec_td,0,,,,,
player,201112040min,den,GoodAn20,fumbles_forced,0,,,,,
player,201112040min,den,DawkBr00,def_int,0,,,,,
player,201112040min,den,DawkBr00,def_int_yds,0,,,,,
player,201112040min,den,DawkBr00,def_int_td,0,,,,,
player,201112040min,den,DawkBr00,def_int_long,0,,,,,
player,201112040min,den,DawkBr00,pass_defended,1,,,,,
player,201112040min,den,DawkBr00,sacks,1.0,,,,,
player,201112040min,den,DawkBr00,tackles_combined,5,,,,,
player,201112040min,den,DawkBr00,tackles_solo,4,,,,,
player,201112040min,den,DawkBr00,tackles_assists,1,,,,,
player,201112040min,den,DawkBr00,tackles_loss,0,,,,,
player,201112040min,den,DawkBr00,qb_hits,0,,,,,
player,201112040min,den,DawkBr00,fumbles_rec,0,,,,,
player,201112040min,den,DawkBr00,fumbles_rec_yds,0,,,,,
player,201112040min,den,DawkBr00,fumbles_rec_td,0,,,,,
player,201112040min,den,DawkBr00,fumbles_forced,1,,,,,
player,201112040min,den,DumeEl20,def_int,0,,,,,
player,201112040min,den,DumeEl20,def_int_yds,0,,,,,
player,201112040min,den,DumeEl20,def_int_td,0,,,,,
player,201112040min,den,DumeEl20,def_int_long,0,,,,,
player,201112040min,den,DumeEl20,pass_defended,0,,,,,
player,201112040min,den,DumeEl20,sacks,1.0,,,,,
player,201112040min,den,DumeEl20,tackles_combined,4,,,,,
player,201112040min,den,DumeEl20,tackles_solo,2,,,,,
player,201112040min,den,DumeEl20,tackles_assists,2,,,,,
player,201112040min,den,DumeEl20,tackles_loss,1,,,,,
player,201112040min,den,DumeEl20,qb_hits,2,,,,,
player,201112040min,den,DumeEl20,fumbles_rec,0,,,,,
player,201112040min,den,DumeEl20,fumbles_rec_yds,0,,,,,
player,201112040min,den,DumeEl20,fumbles_rec_td,0,,,,,
player,201112040min,den,DumeEl20,fumbles_forced,0,,,,,
player,201112040min,den,McBeRy99,def_int,0,,,,,
player,201112040min,den,McBeRy99,def_int_yds,0,,,,,
player,201112040min,den,McBeRy99,def_int_td,0,,,,,
player,201112040min,den,McBeRy99,def_int_long,0,,,,,
player,201112040min,den,McBeRy99,pass_defended,0,,,,,
player,201112040min,den,McBeRy99,sacks,1.0,,,,,
player,201112040min,den,McBeRy99,tackles_combined,2,,,,,
player,201112040min,den,McBeRy99,tackles_solo,1,,,,,
player,201112040min,den,McBeRy99,tackles_assists,1,,,,,
player,201112040min,den,McBeRy99,tackles_loss,1,,,,,
player,201112040min,den,McBeRy99,qb_hits,1,,,,,
player,201112040min,den,McBeRy99,fumbles_rec,0,,,,,
player,201112040min,den,McBeRy99,fumbles_rec_yds,0,,,,,
player,201112040min,den,McBeRy99,fumbles_rec_td,0,,,,,
player,201112040min,den,McBeRy99,fumbles_forced,0,,,,,
player,201112040min,den,WillD.20,def_int,0,,,,,
player,201112040min,den,WillD.20,def_int_yds,0,,,,,
player,201112040min,den,WillD.20,def_int_td,0,,,,,
player,201112040min,den,WillD.20,def_int_long,0,,,,,
player,201112040min,den,WillD.20,pass_defended,0,,,,,
player,201112040min,den,WillD.20,sacks,0.0,,,,,
player,201112040min,den,WillD.20,tackles_combined,9,,,,,
player,201112040min,den,WillD.20,tackles_solo,5,,,,,
player,201112040min,den,WillD.20,tackles_assists,4,,,,,
player,201112040min,den,WillD.20,tackles_loss,0,,,,,
player,201112040min,den,WillD.20,qb_hits,0,,,,,
player,201112040min,den,WillD.20,fumbles_rec,0,,,,,
player,201112040min,den,WillD.20,fumbles_rec_yds,0,,,,,
player,201112040min,den,WillD.20,fumbles_rec_td,0,,,,,
player,201112040min,den,WillD.20,fumbles_forced,0,,,,,
player,201112040min,den,WoodWe20,def_int,0,,,,,
player,201112040min,den,WoodWe20,def_int_yds,0,,,,,
player,201112040min,den,WoodWe20,def_int_td,0,,,,,
player,201112040min,den,WoodWe20,def_int_long,0,,,,,
player,201112040min,den,WoodWe20,pass_defended,0,,,,,
player,201112040min,den,WoodWe20,sacks,0.0,,,,,
player,201112040min,den,WoodWe20,tackles_combined,5,,,,,
player,201112040min,den,WoodWe20,tackles_solo,3,,,,,
