game,2011,4,20111003,201110030tam,clt,"Indianapolis Colts",17,tam,"Tampa Bay Buccaneers",24
player,201110030tam,tam,FreeJo00,rush_td,1,,,,,
player,201110030tam,tam,FreeJo00,rush_long,12,,,,,
player,201110030tam,tam,FreeJo00,targets,0,,,,,
player,201110030tam,tam,FreeJo00,rec,0,,,,,
player,201110030tam,tam,FreeJo00,rec_yds,0,,,,,
player,201110030tam,tam,FreeJo00,rec_td,0,,,,,
player,201110030tam,tam,FreeJo00,rec_long,0,,,,,
player,201110030tam,tam,FreeJo00,fumbles,0,,,,,
player,201110030tam,tam,FreeJo00,fumbles_lost,,,,,,
player,201110030tam,tam,BlouLe00,pass_cmp,0,,,,,
player,201110030tam,tam,BlouLe00,pass_att,0,,,,,
player,201110030tam,tam,BlouLe00,pass_yds,0,,,,,
player,201110030tam,tam,BlouLe00,pass_td,0,,,,,
player,201110030tam,tam,BlouLe00,pass_int,0,,,,,
player,201110030tam,tam,BlouLe00,pass_sacked,0,,,,,
player,201110030tam,tam,BlouLe00,pass_sacked_yds,0,,,,,
player,201110030tam,tam,BlouLe00,pass_long,0,,,,,
player,201110030tam,tam,BlouLe00,pass_rating,,,,,,
player,201110030tam,tam,BlouLe00,rush_att,25,,,,,
player,201110030tam,tam,BlouLe00,rush_yds,127,,,,,
player,201110030tam,tam,BlouLe00,rush_td,1,,,,,
player,201110030tam,tam,BlouLe00,rush_long,35,,,,,
player,201110030tam,tam,BlouLe00,targets,2,,,,,
player,201110030tam,tam,BlouLe00,rec,1,,,,,
player,201110030tam,tam,BlouLe00,rec_yds,14,,,,,
player,201110030tam,tam,BlouLe00,rec_td,0,,,,,
player,201110030tam,tam,BlouLe00,rec_long,14,,,,,
player,201110030tam,tam,BlouLe00,fumbles,0,,,,,
player,201110030tam,tam,BlouLe00,fumbles_lost,,,,,,
player,201110030tam,tam,GrahEa00,pass_cmp,0,,,,,
player,201110030tam,tam,GrahEa00,pass_att,0,,,,,
player,201110030tam,tam,GrahEa00,pass_yds,0,,,,,
player,201110030tam,tam,GrahEa00,pass_td,0,,,,,
player,201110030tam,tam,GrahEa00,pass_int,0,,,,,
player,201110030tam,tam,GrahEa00,pass_sacked,0,,,,,
player,201110030tam,tam,GrahEa00,pass_sacked_yds,0,,,,,
player,201110030tam,tam,GrahEa00,pass_long,0,,,,,
player,201110030tam,tam,GrahEa00,pass_rating,,,,,,
player,201110030tam,tam,GrahEa00,rush_att,2,,,,,
player,201110030tam,tam,GrahEa00,rush_yds,24,,,,,
player,201110030tam,tam,GrahEa00,rush_td,0,,,,,
player,201110030tam,tam,GrahEa00,rush_long,20,,,,,
player,201110030tam,tam,GrahEa00,targets,6,,,,,
player,201110030tam,tam,GrahEa00,rec,3,,,,,
player,201110030tam,tam,GrahEa00,rec_yds,27,,,,,
player,201110030tam,tam,GrahEa00,rec_td,0,,,,,
player,201110030tam,tam,GrahEa00,rec_long,11,,,,,
player,201110030tam,tam,GrahEa00,fumbles,0,,,,,
player,201110030tam,tam,GrahEa00,fumbles_lost,,,,,,
player,201110030tam,tam,JohnJo05,pass_cmp,0,,,,,
player,201110030tam,tam,JohnJo05,pass_att,0,,,,,
player,201110030tam,tam,JohnJo05,pass_yds,0,,,,,
player,201110030tam,tam,JohnJo05,pass_td,0,,,,,
player,201110030tam,tam,JohnJo05,pass_int,0,,,,,
player,201110030tam,tam,JohnJo05,pass_sacked,0,,,,,
player,201110030tam,tam,JohnJo05,pass_sacked_yds,0,,,,,
player,201110030tam,tam,JohnJo05,pass_long,0,,,,,
player,201110030tam,tam,JohnJo05,pass_rating,,,,,,
player,201110030tam,tam,JohnJo05,rush_att,1,,,,,
player,201110030tam,tam,JohnJo05,rush_yds,8,,,,,
player,201110030tam,tam,JohnJo05,rush_td,0,,,,,
player,201110030tam,tam,JohnJo05,rush_long,8,,,,,
player,201110030tam,tam,JohnJo05,targets,0,,,,,
player,201110030tam,tam,JohnJo05,rec,0,,,,,
player,201110030tam,tam,JohnJo05,rec_yds,0,,,,,
player,201110030tam,tam,JohnJo05,rec_td,0,,,,,
player,201110030tam,tam,JohnJo05,rec_long,0,,,,,
player,201110030tam,tam,JohnJo05,fumbles,0,,,,,
player,201110030tam,tam,JohnJo05,fumbles_lost,,,,,,
player,201110030tam,tam,WillMi04,pass_cmp,0,,,,,
player,201110030tam,tam,WillMi04,pass_att,0,,,,,
player,201110030tam,tam,WillMi04,pass_yds,0,,,,,
player,201110030tam,tam,WillMi04,pass_td,0,,,,,
player,201110030tam,tam,WillMi04,pass_int,0,,,,,
player,201110030tam,tam,WillMi04,pass_sacked,0,,,,,
player,201110030tam,tam,WillMi04,pass_sacked_yds,0,,,,,
player,201110030tam,tam,WillMi04,pass_long,0,,,,,
player,201110030tam,tam,WillMi04,pass_rating,,,,,,
player,201110030tam,tam,WillMi04,rush_att,1,,,,,
player,201110030tam,tam,WillMi04,rush_yds,3,,,,,
player,201110030tam,tam,WillMi04,rush_td,0,,,,,
player,201110030tam,tam,WillMi04,rush_long,3,,,,,
player,201110030tam,tam,WillMi04,targets,8,,,,,
player,201110030tam,tam,WillMi04,rec,5,,,,,
player,201110030tam,tam,WillMi04,rec_yds,66,,,,,
player,201110030tam,tam,WillMi04,rec_td,0,,,,,
player,201110030tam,tam,WillMi04,rec_long,23,,,,,
player,201110030tam,tam,WillMi04,fumbles,0,,,,,
player,201110030tam,tam,WillMi04,fumbles_lost,,,,,,
player,201110030tam,tam,BennAr00,pass_cmp,0,,,,,
player,201110030tam,tam,BennAr00,pass_att,0,,,,,
player,201110030tam,tam,BennAr00,pass_yds,0,,,,,
player,201110030tam,tam,BennAr00,pass_td,0,,,,,
player,201110030tam,tam,BennAr00,pass_int,0,,,,,
player,201110030tam,tam,BennAr00,pass_sacked,0,,,,,
player,201110030tam,tam,BennAr00,pass_sacked_yds,0,,,,,
player,201110030tam,tam,BennAr00,pass_long,0,,,,,
player,201110030tam,tam,BennAr00,pass_rating,,,,,,
player,201110030tam,tam,BennAr00,rush_att,1,,,,,
player,201110030tam,tam,BennAr00,rush_yds,3,,,,,
player,201110030tam,tam,BennAr00,rush_td,0,,,,,
player,201110030tam,tam,BennAr00,rush_long,3,,,,,
player,201110030tam,tam,BennAr00,targets,1,,,,,
player,201110030tam,tam,BennAr00,rec,1,,,,,
player,201110030tam,tam,BennAr00,rec_yds,43,,,,,
player,201110030tam,tam,BennAr00,rec_td,0,,,,,
player,201110030tam,tam,BennAr00,rec_long,43,,,,,
player,201110030tam,tam,BennAr00,fumbles,0,,,,,
player,201110030tam,tam,BennAr00,fumbles_lost,,,,,,
player,201110030tam,tam,ParkPr00,pass_cmp,0,,,,,
player,201110030tam,tam,ParkPr00,pass_att,0,,,,,
player,201110030tam,tam,ParkPr00,pass_yds,0,,,,,
player,201110030tam,tam,ParkPr00,pass_td,0,,,,,
player,201110030tam,tam,ParkPr00,pass_int,0,,,,,
player,201110030tam,tam,ParkPr00,pass_sacked,0,,,,,
player,201110030tam,tam,ParkPr00,pass_sacked_yds,0,,,,,
player,201110030tam,tam,ParkPr00,pass_long,0,,,,,
player,201110030tam,tam,ParkPr00,pass_rating,,,,,,
player,201110030tam,tam,ParkPr00,rush_att,0,,,,,
player,201110030tam,tam,ParkPr00,rush_yds,0,,,,,
player,201110030tam,tam,ParkPr00,rush_td,0,,,,,
player,201110030tam,tam,ParkPr00,rush_long,0,,,,,
player,201110030tam,tam,ParkPr00,targets,7,,,,,
player,201110030tam,tam,ParkPr00,rec,5,,,,,
player,201110030tam,tam,ParkPr00,rec_yds,70,,,,,
player,201110030tam,tam,ParkPr00,rec_td,1,,,,,
player,201110030tam,tam,ParkPr00,rec_long,21,,,,,
player,201110030tam,tam,ParkPr00,fumbles,0,,,,,
player,201110030tam,tam,ParkPr00,fumbles_lost,,,,,,
player,201110030tam,tam,WinsKe01,pass_cmp,0,,,,,
player,201110030tam,tam,WinsKe01,pass_att,0,,,,,
player,201110030tam,tam,WinsKe01,pass_yds,0,,,,,
player,201110030tam,tam,WinsKe01,pass_td,0,,,,,
player,201110030tam,tam,WinsKe01,pass_int,0,,,,,
player,201110030tam,tam,WinsKe01,pass_sacked,0,,,,,
player,201110030tam,tam,WinsKe01,pass_sacked_yds,0,,,,,
player,201110030tam,tam,WinsKe01,pass_long,0,,,,,
player,201110030tam,tam,WinsKe01,pass_rating,,,,,,
player,201110030tam,tam,WinsKe01,rush_att,0,,,,,
player,201110030tam,tam,WinsKe01,rush_yds,0,,,,,
player,201110030tam,tam,WinsKe01,rush_td,0,,,,,
player,201110030tam,tam,WinsKe01,rush_long,0,,,,,
player,201110030tam,tam,WinsKe01,targets,6,,,,,
player,201110030tam,tam,WinsKe01,rec,5,,,,,
player,201110030tam,tam,WinsKe01,rec_yds,33,,,,,
player,201110030tam,tam,WinsKe01,rec_td,0,,,,,
player,201110030tam,tam,WinsKe01,rec_long,9,,,,,
player,201110030tam,tam,WinsKe01,fumbles,0,,,,,
player,201110030tam,tam,WinsKe01,fumbles_lost,,,,,,
player,201110030tam,tam,LumpKr00,pass_cmp,0,,,,,
player,201110030tam,tam,LumpKr00,pass_att,0,,,,,
