game,2011,15,20111215,201112150atl,jax,"Jacksonville Jaguars",14,atl,"Atlanta Falcons",41
player,201112150atl,atl,RodgJa00,fumbles,0,,,,,
player,201112150atl,atl,RodgJa00,fumbles_lost,,,,,,
player,201112150atl,atl,JoneJu02,pass_cmp,0,,,,,
player,201112150atl,atl,JoneJu02,pass_att,0,,,,,
player,201112150atl,atl,JoneJu02,pass_yds,0,,,,,
player,201112150atl,atl,JoneJu02,pass_td,0,,,,,
player,201112150atl,atl,JoneJu02,pass_int,0,,,,,
player,201112150atl,atl,JoneJu02,pass_sacked,0,,,,,
player,201112150atl,atl,JoneJu02,pass_sacked_yds,0,,,,,
player,201112150atl,atl,JoneJu02,pass_long,0,,,,,
player,201112150atl,atl,JoneJu02,pass_rating,,,,,,
player,201112150atl,atl,JoneJu02,rush_att,1,,,,,
player,201112150atl,atl,JoneJu02,rush_yds,6,,,,,
player,201112150atl,atl,JoneJu02,rush_td,0,,,,,
player,201112150atl,atl,JoneJu02,rush_long,6,,,,,
player,201112150atl,atl,JoneJu02,targets,6,,,,,
player,201112150atl,atl,JoneJu02,rec,5,,,,,
player,201112150atl,atl,JoneJu02,rec_yds,85,,,,,
player,201112150atl,atl,JoneJu02,rec_td,1,,,,,
player,201112150atl,atl,JoneJu02,rec_long,29,,,,,
player,201112150atl,atl,JoneJu02,fumbles,0,,,,,
player,201112150atl,atl,JoneJu02,fumbles_lost,,,,,,
player,201112150atl,atl,WhitRo00,pass_cmp,0,,,,,
player,201112150atl,atl,WhitRo00,pass_att,0,,,,,
player,201112150atl,atl,WhitRo00,pass_yds,0,,,,,
player,201112150atl,atl,WhitRo00,pass_td,0,,,,,
player,201112150atl,atl,WhitRo00,pass_int,0,,,,,
player,201112150atl,atl,WhitRo00,pass_sacked,0,,,,,
player,201112150atl,atl,WhitRo00,pass_sacked_yds,0,,,,,
player,201112150atl,atl,WhitRo00,pass_long,0,,,,,
player,201112150atl,atl,WhitRo00,pass_rating,,,,,,
player,201112150atl,atl,WhitRo00,rush_att,0,,,,,
player,201112150atl,atl,WhitRo00,rush_yds,0,,,,,
player,201112150atl,atl,WhitRo00,rush_td,0,,,,,
player,201112150atl,atl,WhitRo00,rush_long,0,,,,,
player,201112150atl,atl,WhitRo00,targets,16,,,,,
player,201112150atl,atl,WhitRo00,rec,10,,,,,
player,201112150atl,atl,WhitRo00,rec_yds,135,,,,,
player,201112150atl,atl,WhitRo00,rec_td,2,,,,,
player,201112150atl,atl,WhitRo00,rec_long,29,,,,,
player,201112150atl,atl,WhitRo00,fumbles,0,,,,,
player,201112150atl,atl,WhitRo00,fumbles_lost,,,,,,
player,201112150atl,atl,GonzTo00,pass_cmp,0,,,,,
player,201112150atl,atl,GonzTo00,pass_att,0,,,,,
player,201112150atl,atl,GonzTo00,pass_yds,0,,,,,
player,201112150atl,atl,GonzTo00,pass_td,0,,,,,
player,201112150atl,atl,GonzTo00,pass_int,0,,,,,
player,201112150atl,atl,GonzTo00,pass_sacked,0,,,,,
player,201112150atl,atl,GonzTo00,pass_sacked_yds,0,,,,,
player,201112150atl,atl,GonzTo00,pass_long,0,,,,,
player,201112150atl,atl,GonzTo00,pass_rating,,,,,,
player,201112150atl,atl,GonzTo00,rush_att,0,,,,,
player,201112150atl,atl,GonzTo00,rush_yds,0,,,,,
player,201112150atl,atl,GonzTo00,rush_td,0,,,,,
player,201112150atl,atl,GonzTo00,rush_long,0,,,,,
player,201112150atl,atl,GonzTo00,targets,2,,,,,
player,201112150atl,atl,GonzTo00,rec,1,,,,,
player,201112150atl,atl,GonzTo00,rec_yds,14,,,,,
player,201112150atl,atl,GonzTo00,rec_td,0,,,,,
player,201112150atl,atl,GonzTo00,rec_long,14,,,,,
player,201112150atl,atl,GonzTo00,fumbles,0,,,,,
player,201112150atl,atl,GonzTo00,fumbles_lost,,,,,,
player,201112150atl,atl,DougHa00,pass_cmp,0,,,,,
player,201112150atl,atl,DougHa00,pass_att,0,,,,,
player,201112150atl,atl,DougHa00,pass_yds,0,,,,,
player,201112150atl,atl,DougHa00,pass_td,0,,,,,
player,201112150atl,atl,DougHa00,pass_int,0,,,,,
player,201112150atl,atl,DougHa00,pass_sacked,0,,,,,
player,201112150atl,atl,DougHa00,pass_sacked_yds,0,,,,,
player,201112150atl,atl,DougHa00,pass_long,0,,,,,
player,201112150atl,atl,DougHa00,pass_rating,,,,,,
player,201112150atl,atl,DougHa00,rush_att,0,,,,,
player,201112150atl,atl,DougHa00,rush_yds,0,,,,,
player,201112150atl,atl,DougHa00,rush_td,0,,,,,
player,201112150atl,atl,DougHa00,rush_long,0,,,,,
player,201112150atl,atl,DougHa00,targets,1,,,,,
player,201112150atl,atl,DougHa00,rec,1,,,,,
player,201112150atl,atl,DougHa00,rec_yds,12,,,,,
player,201112150atl,atl,DougHa00,rec_td,0,,,,,
player,201112150atl,atl,DougHa00,rec_long,12,,,,,
player,201112150atl,atl,DougHa00,fumbles,0,,,,,
player,201112150atl,atl,DougHa00,fumbles_lost,,,,,,
player,201112150atl,jax,MincJe99,def_int,0,,,,,
player,201112150atl,jax,MincJe99,def_int_yds,0,,,,,
player,201112150atl,jax,MincJe99,def_int_td,0,,,,,
player,201112150atl,jax,MincJe99,def_int_long,0,,,,,
player,201112150atl,jax,MincJe99,pass_defended,0,,,,,
player,201112150atl,jax,MincJe99,sacks,1.0,,,,,
player,201112150atl,jax,MincJe99,tackles_combined,7,,,,,
player,201112150atl,jax,MincJe99,tackles_solo,7,,,,,
player,201112150atl,jax,MincJe99,tackles_assists,0,,,,,
player,201112150atl,jax,MincJe99,tackles_loss,2,,,,,
player,201112150atl,jax,MincJe99,qb_hits,1,,,,,
player,201112150atl,jax,MincJe99,fumbles_rec,0,,,,,
player,201112150atl,jax,MincJe99,fumbles_rec_yds,0,,,,,
player,201112150atl,jax,MincJe99,fumbles_rec_td,0,,,,,
player,201112150atl,jax,MincJe99,fumbles_forced,0,,,,,
player,201112150atl,jax,AlleRu00,def_int,0,,,,,
player,201112150atl,jax,AlleRu00,def_int_yds,0,,,,,
player,201112150atl,jax,AlleRu00,def_int_td,0,,,,,
player,201112150atl,jax,AlleRu00,def_int_long,0,,,,,
player,201112150atl,jax,AlleRu00,pass_defended,0,,,,,
player,201112150atl,jax,AlleRu00,sacks,0.0,,,,,
player,201112150atl,jax,AlleRu00,tackles_combined,9,,,,,
player,201112150atl,jax,AlleRu00,tackles_solo,4,,,,,
player,201112150atl,jax,AlleRu00,tackles_assists,5,,,,,
player,201112150atl,jax,AlleRu00,tackles_loss,1,,,,,
player,201112150atl,jax,AlleRu00,qb_hits,0,,,,,
player,201112150atl,jax,AlleRu00,fumbles_rec,0,,,,,
player,201112150atl,jax,AlleRu00,fumbles_rec_yds,0,,,,,
player,201112150atl,jax,AlleRu00,fumbles_rec_td,0,,,,,
player,201112150atl,jax,AlleRu00,fumbles_forced,0,,,,,
player,201112150atl,jax,LandDa21,def_int,0,,,,,
player,201112150atl,jax,LandDa21,def_int_yds,0,,,,,
player,201112150atl,jax,LandDa21,def_int_td,0,,,,,
player,201112150atl,jax,LandDa21,def_int_long,0,,,,,
player,201112150atl,jax,LandDa21,pass_defended,0,,,,,
player,201112150atl,jax,LandDa21,sacks,0.0,,,,,
player,201112150atl,jax,LandDa21,tackles_combined,8,,,,,
player,201112150atl,jax,LandDa21,tackles_solo,6,,,,,
player,201112150atl,jax,LandDa21,tackles_assists,2,,,,,
player,201112150atl,jax,LandDa21,tackles_loss,0,,,,,
player,201112150atl,jax,LandDa21,qb_hits,0,,,,,
player,201112150atl,jax,LandDa21,fumbles_rec,0,,,,,
player,201112150atl,jax,LandDa21,fumbles_rec_yds,0,,,,,
player,201112150atl,jax,LandDa21,fumbles_rec_td,0,,,,,
player,201112150atl,jax,LandDa21,fumbles_forced,0,,,,,
player,201112150atl,jax,PoluPa99,def_int,0,,,,,
player,201112150atl,jax,PoluPa99,def_int_yds,0,,,,,
player,201112150atl,jax,PoluPa99,def_int_td,0,,,,,
player,201112150atl,jax,PoluPa99,def_int_long,0,,,,,
