game,2011,4,20111002,201110020cle,oti,"Tennessee Titans",31,cle,"Cleveland Browns",13
player,201110020cle,cle,HardMo00,targets,9,,,,,
player,201110020cle,cle,HardMo00,rec,5,,,,,
player,201110020cle,cle,HardMo00,rec_yds,49,,,,,
player,201110020cle,cle,HardMo00,rec_td,0,,,,,
player,201110020cle,cle,HardMo00,rec_long,27,,,,,
player,201110020cle,cle,HardMo00,fumbles,0,,,,,
player,201110020cle,cle,HardMo00,fumbles_lost,,,,,,
player,201110020cle,cle,LittGr00,pass_cmp,0,,,,,
player,201110020cle,cle,LittGr00,pass_att,0,,,,,
player,201110020cle,cle,LittGr00,pass_yds,0,,,,,
player,201110020cle,cle,LittGr00,pass_td,0,,,,,
player,201110020cle,cle,LittGr00,pass_int,0,,,,,
player,201110020cle,cle,LittGr00,pass_sacked,0,,,,,
player,201110020cle,cle,LittGr00,pass_sacked_yds,0,,,,,
player,201110020cle,cle,LittGr00,pass_long,0,,,,,
player,201110020cle,cle,LittGr00,pass_rating,,,,,,
player,201110020cle,cle,LittGr00,rush_att,0,,,,,
player,201110020cle,cle,LittGr00,rush_yds,0,,,,,
player,201110020cle,cle,LittGr00,rush_td,0,,,,,
player,201110020cle,cle,LittGr00,rush_long,0,,,,,
player,201110020cle,cle,LittGr00,targets,8,,,,,
player,201110020cle,cle,LittGr00,rec,6,,,,,
player,201110020cle,cle,LittGr00,rec_yds,57,,,,,
player,201110020cle,cle,LittGr00,rec_td,0,,,,,
player,201110020cle,cle,LittGr00,rec_long,25,,,,,
player,201110020cle,cle,LittGr00,fumbles,0,,,,,
player,201110020cle,cle,LittGr00,fumbles_lost,,,,,,
player,201110020cle,cle,CribJo01,pass_cmp,0,,,,,
player,201110020cle,cle,CribJo01,pass_att,0,,,,,
player,201110020cle,cle,CribJo01,pass_yds,0,,,,,
player,201110020cle,cle,CribJo01,pass_td,0,,,,,
player,201110020cle,cle,CribJo01,pass_int,0,,,,,
player,201110020cle,cle,CribJo01,pass_sacked,1,,,,,
player,201110020cle,cle,CribJo01,pass_sacked_yds,7,,,,,
player,201110020cle,cle,CribJo01,pass_long,0,,,,,
player,201110020cle,cle,CribJo01,pass_rating,,,,,,
player,201110020cle,cle,CribJo01,rush_att,0,,,,,
player,201110020cle,cle,CribJo01,rush_yds,0,,,,,
player,201110020cle,cle,CribJo01,rush_td,0,,,,,
player,201110020cle,cle,CribJo01,rush_long,0,,,,,
player,201110020cle,cle,CribJo01,targets,8,,,,,
player,201110020cle,cle,CribJo01,rec,5,,,,,
player,201110020cle,cle,CribJo01,rec_yds,50,,,,,
player,201110020cle,cle,CribJo01,rec_td,0,,,,,
player,201110020cle,cle,CribJo01,rec_long,16,,,,,
player,201110020cle,cle,CribJo01,fumbles,0,,,,,
player,201110020cle,cle,CribJo01,fumbles_lost,,,,,,
player,201110020cle,cle,WatsBe00,pass_cmp,0,,,,,
player,201110020cle,cle,WatsBe00,pass_att,0,,,,,
player,201110020cle,cle,WatsBe00,pass_yds,0,,,,,
player,201110020cle,cle,WatsBe00,pass_td,0,,,,,
player,201110020cle,cle,WatsBe00,pass_int,0,,,,,
player,201110020cle,cle,WatsBe00,pass_sacked,0,,,,,
player,201110020cle,cle,WatsBe00,pass_sacked_yds,0,,,,,
