game,2011,11,20111120,201111200chi,sdg,"San Diego Chargers",20,chi,"Chicago Bears",31
player,201111200chi,chi,DaviKe01,pass_sacked_yds,0,,,,,
player,201111200chi,chi,DaviKe01,pass_long,0,,,,,
player,201111200chi,chi,DaviKe01,pass_rating,,,,,,
player,201111200chi,chi,DaviKe01,rush_att,0,,,,,
player,201111200chi,chi,DaviKe01,rush_yds,0,,,,,
player,201111200chi,chi,DaviKe01,rush_td,0,,,,,
player,201111200chi,chi,DaviKe01,rush_long,0,,,,,
player,201111200chi,chi,DaviKe01,targets,1,,,,,
player,201111200chi,chi,DaviKe01,rec,1,,,,,
player,201111200chi,chi,DaviKe01,rec_yds,4,,,,,
player,201111200chi,chi,DaviKe01,rec_td,1,,,,,
player,201111200chi,chi,DaviKe01,rec_long,4,,,,,
player,201111200chi,chi,DaviKe01,fumbles,0,,,,,
player,201111200chi,chi,DaviKe01,fumbles_lost,,,,,,
player,201111200chi,chi,SanzDa00,pass_cmp,0,,,,,
player,201111200chi,chi,SanzDa00,pass_att,0,,,,,
player,201111200chi,chi,SanzDa00,pass_yds,0,,,,,
player,201111200chi,chi,SanzDa00,pass_td,0,,,,,
player,201111200chi,chi,SanzDa00,pass_int,0,,,,,
player,201111200chi,chi,SanzDa00,pass_sacked,0,,,,,
player,201111200chi,chi,SanzDa00,pass_sacked_yds,0,,,,,
player,201111200chi,chi,SanzDa00,pass_long,0,,,,,
player,201111200chi,chi,SanzDa00,pass_rating,,,,,,
player,201111200chi,chi,SanzDa00,rush_att,0,,,,,
player,201111200chi,chi,SanzDa00,rush_yds,0,,,,,
player,201111200chi,chi,SanzDa00,rush_td,0,,,,,
player,201111200chi,chi,SanzDa00,rush_long,0,,,,,
player,201111200chi,chi,SanzDa00,targets,1,,,,,
player,201111200chi,chi,SanzDa00,rec,0,,,,,
player,201111200chi,chi,SanzDa00,rec_yds,0,,,,,
player,201111200chi,chi,SanzDa00,rec_td,0,,,,,
player,201111200chi,chi,SanzDa00,rec_long,0,,,,,
player,201111200chi,chi,SanzDa00,fumbles,0,,,,,
player,201111200chi,chi,SanzDa00,fumbles_lost,,,,,,
player,201111200chi,chi,StelCr99,pass_cmp,0,,,,,
player,201111200chi,chi,StelCr99,pass_att,0,,,,,
player,201111200chi,chi,StelCr99,pass_yds,0,,,,,
player,201111200chi,chi,StelCr99,pass_td,0,,,,,
player,201111200chi,chi,StelCr99,pass_int,0,,,,,
player,201111200chi,chi,StelCr99,pass_sacked,0,,,,,
player,201111200chi,chi,StelCr99,pass_sacked_yds,0,,,,,
player,201111200chi,chi,StelCr99,pass_long,0,,,,,
player,201111200chi,chi,StelCr99,pass_rating,,,,,,
player,201111200chi,chi,StelCr99,rush_att,0,,,,,
player,201111200chi,chi,StelCr99,rush_yds,0,,,,,
player,201111200chi,chi,StelCr99,rush_td,0,,,,,
player,201111200chi,chi,StelCr99,rush_long,0,,,,,
player,201111200chi,chi,StelCr99,targets,1,,,,,
player,201111200chi,chi,StelCr99,rec,0,,,,,
player,201111200chi,chi,StelCr99,rec_yds,0,,,,,
player,201111200chi,chi,StelCr99,rec_td,0,,,,,
player,201111200chi,chi,StelCr99,rec_long,0,,,,,
player,201111200chi,chi,StelCr99,fumbles,0,,,,,
player,201111200chi,chi,StelCr99,fumbles_lost,,,,,,
player,201111200chi,sdg,CasoAn99,def_int,1,,,,,
player,201111200chi,sdg,CasoAn99,def_int_yds,64,,,,,
player,201111200chi,sdg,CasoAn99,def_int_td,0,,,,,
player,201111200chi,sdg,CasoAn99,def_int_long,64,,,,,
player,201111200chi,sdg,CasoAn99,pass_defended,3,,,,,
player,201111200chi,sdg,CasoAn99,sacks,0.0,,,,,
player,201111200chi,sdg,CasoAn99,tackles_combined,4,,,,,
player,201111200chi,sdg,CasoAn99,tackles_solo,3,,,,,
player,201111200chi,sdg,CasoAn99,tackles_assists,1,,,,,
player,201111200chi,sdg,CasoAn99,tackles_loss,0,,,,,
player,201111200chi,sdg,CasoAn99,qb_hits,0,,,,,
player,201111200chi,sdg,CasoAn99,fumbles_rec,0,,,,,
player,201111200chi,sdg,CasoAn99,fumbles_rec_yds,0,,,,,
player,201111200chi,sdg,CasoAn99,fumbles_rec_td,0,,,,,
player,201111200chi,sdg,CasoAn99,fumbles_forced,0,,,,,
player,201111200chi,sdg,JammQu20,def_int,0,,,,,
player,201111200chi,sdg,JammQu20,def_int_yds,0,,,,,
player,201111200chi,sdg,JammQu20,def_int_td,0,,,,,
player,201111200chi,sdg,JammQu20,def_int_long,0,,,,,
player,201111200chi,sdg,JammQu20,pass_defended,0,,,,,
player,201111200chi,sdg,JammQu20,sacks,0.0,,,,,
player,201111200chi,sdg,JammQu20,tackles_combined,5,,,,,
player,201111200chi,sdg,JammQu20,tackles_solo,5,,,,,
player,201111200chi,sdg,JammQu20,tackles_assists,0,,,,,
player,201111200chi,sdg,JammQu20,tackles_loss,0,,,,,
player,201111200chi,sdg,JammQu20,qb_hits,0,,,,,
