game,2011,11,20111120,201111200cle,jax,"Jacksonville Jaguars",10,cle,"Cleveland Browns",14
player,201111200cle,cle,MareOw00,pass_yds,0,,,,,
player,201111200cle,cle,MareOw00,pass_td,0,,,,,
player,201111200cle,cle,MareOw00,pass_int,0,,,,,
player,201111200cle,cle,MareOw00,pass_sacked,0,,,,,
player,201111200cle,cle,MareOw00,pass_sacked_yds,0,,,,,
player,201111200cle,cle,MareOw00,pass_long,0,,,,,
player,201111200cle,cle,MareOw00,pass_rating,,,,,,
player,201111200cle,cle,MareOw00,rush_att,0,,,,,
player,201111200cle,cle,MareOw00,rush_yds,0,,,,,
player,201111200cle,cle,MareOw00,rush_td,0,,,,,
player,201111200cle,cle,MareOw00,rush_long,0,,,,,
player,201111200cle,cle,MareOw00,targets,2,,,,,
player,201111200cle,cle,MareOw00,rec,2,,,,,
player,201111200cle,cle,MareOw00,rec_yds,13,,,,,
player,201111200cle,cle,MareOw00,rec_td,0,,,,,
player,201111200cle,cle,MareOw00,rec_long,11,,,,,
player,201111200cle,cle,MareOw00,fumbles,0,,,,,
player,201111200cle,cle,MareOw00,fumbles_lost,,,,,,
player,201111200cle,jax,LandDa21,def_int,1,,,,,
player,201111200cle,jax,LandDa21,def_int_yds,28,,,,,
player,201111200cle,jax,LandDa21,def_int_td,0,,,,,
player,201111200cle,jax,LandDa21,def_int_long,28,,,,,
player,201111200cle,jax,LandDa21,pass_defended,1,,,,,
player,201111200cle,jax,LandDa21,sacks,0.0,,,,,
player,201111200cle,jax,LandDa21,tackles_combined,7,,,,,
player,201111200cle,jax,LandDa21,tackles_solo,5,,,,,
player,201111200cle,jax,LandDa21,tackles_assists,2,,,,,
player,201111200cle,jax,LandDa21,tackles_loss,0,,,,,
player,201111200cle,jax,LandDa21,qb_hits,0,,,,,
player,201111200cle,jax,LandDa21,fumbles_rec,0,,,,,
player,201111200cle,jax,LandDa21,fumbles_rec_yds,0,,,,,
player,201111200cle,jax,LandDa21,fumbles_rec_td,0,,,,,
player,201111200cle,jax,LandDa21,fumbles_forced,0,,,,,
player,201111200cle,jax,PoluPa99,def_int,0,,,,,
