game,2011,3,20110925,201109250ram,rav,"Baltimore Ravens",37,ram,"St. Louis Rams",7
player,201109250ram,rav,DossTa00,pass_td,0,,,,,
player,201109250ram,rav,DossTa00,pass_int,0,,,,,
player,201109250ram,rav,DossTa00,pass_sacked,0,,,,,
player,201109250ram,rav,DossTa00,pass_sacked_yds,0,,,,,
player,201109250ram,rav,DossTa00,pass_long,0,,,,,
player,201109250ram,rav,DossTa00,pass_rating,,,,,,
player,201109250ram,rav,DossTa00,rush_att,0,,,,,
player,201109250ram,rav,DossTa00,rush_yds,0,,,,,
player,201109250ram,rav,DossTa00,rush_td,0,,,,,
player,201109250ram,rav,DossTa00,rush_long,0,,,,,
player,201109250ram,rav,DossTa00,targets,1,,,,,
player,201109250ram,rav,DossTa00,rec,0,,,,,
player,201109250ram,rav,DossTa00,rec_yds,0,,,,,
player,201109250ram,rav,DossTa00,rec_td,0,,,,,
player,201109250ram,rav,DossTa00,rec_long,0,,,,,
player,201109250ram,rav,DossTa00,fumbles,0,,,,,
player,201109250ram,rav,DossTa00,fumbles_lost,,,,,,
player,201109250ram,ram,BradSa00,pass_cmp,16,,,,,
player,201109250ram,ram,BradSa00,pass_att,32,,,,,
player,201109250ram,ram,BradSa00,pass_yds,166,,,,,
player,201109250ram,ram,BradSa00,pass_td,1,,,,,
player,201109250ram,ram,BradSa00,pass_int,1,,,,,
player,201109250ram,ram,BradSa00,pass_sacked,5,,,,,
player,201109250ram,ram,BradSa00,pass_sacked_yds,34,,,,,
player,201109250ram,ram,BradSa00,pass_long,34,,,,,
player,201109250ram,ram,BradSa00,pass_rating,62.8,,,,,
player,201109250ram,ram,BradSa00,rush_att,3,,,,,
player,201109250ram,ram,BradSa00,rush_yds,22,,,,,
player,201109250ram,ram,BradSa00,rush_td,0,,,,,
player,201109250ram,ram,BradSa00,rush_long,16,,,,,
player,201109250ram,ram,BradSa00,targets,0,,,,,
player,201109250ram,ram,BradSa00,rec,0,,,,,
player,201109250ram,ram,BradSa00,rec_yds,0,,,,,
player,201109250ram,ram,BradSa00,rec_td,0,,,,,
player,201109250ram,ram,BradSa00,rec_long,0,,,,,
player,201109250ram,ram,BradSa00,fumbles,2,,,,,
player,201109250ram,ram,BradSa00,fumbles_lost,1,,,,,
player,201109250ram,ram,WillCa02,pass_cmp,0,,,,,
player,201109250ram,ram,WillCa02,pass_att,0,,,,,
player,201109250ram,ram,WillCa02,pass_yds,0,,,,,
player,201109250ram,ram,WillCa02,pass_td,0,,,,,
player,201109250ram,ram,WillCa02,pass_int,0,,,,,
player,201109250ram,ram,WillCa02,pass_sacked,0,,,,,
player,201109250ram,ram,WillCa02,pass_sacked_yds,0,,,,,
player,201109250ram,ram,WillCa02,pass_long,0,,,,,
player,201109250ram,ram,WillCa02,pass_rating,,,,,,
player,201109250ram,ram,WillCa02,rush_att,18,,,,,
player,201109250ram,ram,WillCa02,rush_yds,75,,,,,
player,201109250ram,ram,WillCa02,rush_td,0,,,,,
player,201109250ram,ram,WillCa02,rush_long,16,,,,,
player,201109250ram,ram,WillCa02,targets,2,,,,,
player,201109250ram,ram,WillCa02,rec,1,,,,,
player,201109250ram,ram,WillCa02,rec_yds,4,,,,,
player,201109250ram,ram,WillCa02,rec_td,0,,,,,
player,201109250ram,ram,WillCa02,rec_long,4,,,,,
player,201109250ram,ram,WillCa02,fumbles,0,,,,,
player,201109250ram,ram,WillCa02,fumbles_lost,,,,,,
player,201109250ram,ram,JackSt00,pass_cmp,0,,,,,
player,201109250ram,ram,JackSt00,pass_att,0,,,,,
player,201109250ram,ram,JackSt00,pass_yds,0,,,,,
player,201109250ram,ram,JackSt00,pass_td,0,,,,,
player,201109250ram,ram,JackSt00,pass_int,0,,,,,
player,201109250ram,ram,JackSt00,pass_sacked,0,,,,,
player,201109250ram,ram,JackSt00,pass_sacked_yds,0,,,,,
player,201109250ram,ram,JackSt00,pass_long,0,,,,,
player,201109250ram,ram,JackSt00,pass_rating,,,,,,
player,201109250ram,ram,JackSt00,rush_att,4,,,,,
player,201109250ram,ram,JackSt00,rush_yds,23,,,,,
player,201109250ram,ram,JackSt00,rush_td,0,,,,,
player,201109250ram,ram,JackSt00,rush_long,12,,,,,
player,201109250ram,ram,JackSt00,targets,1,,,,,
player,201109250ram,ram,JackSt00,rec,0,,,,,
player,201109250ram,ram,JackSt00,rec_yds,0,,,,,
player,201109250ram,ram,JackSt00,rec_td,0,,,,,
player,201109250ram,ram,JackSt00,rec_long,0,,,,,
player,201109250ram,ram,JackSt00,fumbles,0,,,,,
player,201109250ram,ram,JackSt00,fumbles_lost,,,,,,
player,201109250ram,ram,GibsBr00,pass_cmp,0,,,,,
player,201109250ram,ram,GibsBr00,pass_att,0,,,,,
player,201109250ram,ram,GibsBr00,pass_yds,0,,,,,
player,201109250ram,ram,GibsBr00,pass_td,0,,,,,
player,201109250ram,ram,GibsBr00,pass_int,0,,,,,
player,201109250ram,ram,GibsBr00,pass_sacked,0,,,,,
player,201109250ram,ram,GibsBr00,pass_sacked_yds,0,,,,,
player,201109250ram,ram,GibsBr00,pass_long,0,,,,,
player,201109250ram,ram,GibsBr00,pass_rating,,,,,,
player,201109250ram,ram,GibsBr00,rush_att,0,,,,,
player,201109250ram,ram,GibsBr00,rush_yds,0,,,,,
player,201109250ram,ram,GibsBr00,rush_td,0,,,,,
player,201109250ram,ram,GibsBr00,rush_long,0,,,,,
player,201109250ram,ram,GibsBr00,targets,7,,,,,
player,201109250ram,ram,GibsBr00,rec,5,,,,,
player,201109250ram,ram,GibsBr00,rec_yds,55,,,,,
player,201109250ram,ram,GibsBr00,rec_td,1,,,,,
player,201109250ram,ram,GibsBr00,rec_long,34,,,,,
player,201109250ram,ram,GibsBr00,fumbles,0,,,,,
player,201109250ram,ram,GibsBr00,fumbles_lost,,,,,,
player,201109250ram,ram,WalkMi01,pass_cmp,0,,,,,
player,201109250ram,ram,WalkMi01,pass_att,0,,,,,
player,201109250ram,ram,WalkMi01,pass_yds,0,,,,,
player,201109250ram,ram,WalkMi01,pass_td,0,,,,,
player,201109250ram,ram,WalkMi01,pass_int,0,,,,,
player,201109250ram,ram,WalkMi01,pass_sacked,0,,,,,
player,201109250ram,ram,WalkMi01,pass_sacked_yds,0,,,,,
player,201109250ram,ram,WalkMi01,pass_long,0,,,,,
player,201109250ram,ram,WalkMi01,pass_rating,,,,,,
player,201109250ram,ram,WalkMi01,rush_att,0,,,,,
player,201109250ram,ram,WalkMi01,rush_yds,0,,,,,
player,201109250ram,ram,WalkMi01,rush_td,0,,,,,
player,201109250ram,ram,WalkMi01,rush_long,0,,,,,
player,201109250ram,ram,WalkMi01,targets,6,,,,,
player,201109250ram,ram,WalkMi01,rec,3,,,,,
player,201109250ram,ram,WalkMi01,rec_yds,36,,,,,
