game,2011,11,20111120,201111200atl,oti,"Tennessee Titans",17,atl,"Atlanta Falcons",23
player,201111200atl,atl,WhitRo00,rec_td,0,,,,,
player,201111200atl,atl,WhitRo00,rec_long,43,,,,,
player,201111200atl,atl,WhitRo00,fumbles,0,,,,,
player,201111200atl,atl,WhitRo00,fumbles_lost,,,,,,
player,201111200atl,atl,GonzTo00,pass_cmp,0,,,,,
player,201111200atl,atl,GonzTo00,pass_att,0,,,,,
player,201111200atl,atl,GonzTo00,pass_yds,0,,,,,
player,201111200atl,atl,GonzTo00,pass_td,0,,,,,
player,201111200atl,atl,GonzTo00,pass_int,0,,,,,
player,201111200atl,atl,GonzTo00,pass_sacked,0,,,,,
player,201111200atl,atl,GonzTo00,pass_sacked_yds,0,,,,,
player,201111200atl,atl,GonzTo00,pass_long,0,,,,,
player,201111200atl,atl,GonzTo00,pass_rating,,,,,,
player,201111200atl,atl,GonzTo00,rush_att,0,,,,,
player,201111200atl,atl,GonzTo00,rush_yds,0,,,,,
player,201111200atl,atl,GonzTo00,rush_td,0,,,,,
player,201111200atl,atl,GonzTo00,rush_long,0,,,,,
player,201111200atl,atl,GonzTo00,targets,6,,,,,
player,201111200atl,atl,GonzTo00,rec,5,,,,,
player,201111200atl,atl,GonzTo00,rec_yds,74,,,,,
player,201111200atl,atl,GonzTo00,rec_td,1,,,,,
player,201111200atl,atl,GonzTo00,rec_long,19,,,,,
player,201111200atl,atl,GonzTo00,fumbles,0,,,,,
player,201111200atl,atl,GonzTo00,fumbles_lost,,,,,,
player,201111200atl,atl,DougHa00,pass_cmp,0,,,,,
player,201111200atl,atl,DougHa00,pass_att,0,,,,,
player,201111200atl,atl,DougHa00,pass_yds,0,,,,,
player,201111200atl,atl,DougHa00,pass_td,0,,,,,
player,201111200atl,atl,DougHa00,pass_int,0,,,,,
player,201111200atl,atl,DougHa00,pass_sacked,0,,,,,
player,201111200atl,atl,DougHa00,pass_sacked_yds,0,,,,,
player,201111200atl,atl,DougHa00,pass_long,0,,,,,
player,201111200atl,atl,DougHa00,pass_rating,,,,,,
