game,2011,10,20111113,201111130sfo,nyg,"New York Giants",20,sfo,"San Francisco 49ers",27
player,201111130sfo,nyg,KiwaMa20,sacks,0.0,,,,,
player,201111130sfo,nyg,KiwaMa20,tackles_combined,4,,,,,
player,201111130sfo,nyg,KiwaMa20,tackles_solo,3,,,,,
player,201111130sfo,nyg,KiwaMa20,tackles_assists,1,,,,,
player,201111130sfo,nyg,KiwaMa20,tackles_loss,1,,,,,
player,201111130sfo,nyg,KiwaMa20,qb_hits,0,,,,,
player,201111130sfo,nyg,KiwaMa20,fumbles_rec,0,,,,,
player,201111130sfo,nyg,KiwaMa20,fumbles_rec_yds,0,,,,,
player,201111130sfo,nyg,KiwaMa20,fumbles_rec_td,0,,,,,
player,201111130sfo,nyg,KiwaMa20,fumbles_forced,0,,,,,
player,201111130sfo,nyg,BoleMi20,def_int,0,,,,,
player,201111130sfo,nyg,BoleMi20,def_int_yds,0,,,,,
player,201111130sfo,nyg,BoleMi20,def_int_td,0,,,,,
player,201111130sfo,nyg,BoleMi20,def_int_long,0,,,,,
player,201111130sfo,nyg,BoleMi20,pass_defended,0,,,,,
player,201111130sfo,nyg,BoleMi20,sacks,0.0,,,,,
player,201111130sfo,nyg,BoleMi20,tackles_combined,3,,,,,
player,201111130sfo,nyg,BoleMi20,tackles_solo,2,,,,,
player,201111130sfo,nyg,BoleMi20,tackles_assists,1,,,,,
player,201111130sfo,nyg,BoleMi20,tackles_loss,0,,,,,
player,201111130sfo,nyg,BoleMi20,qb_hits,0,,,,,
player,201111130sfo,nyg,BoleMi20,fumbles_rec,0,,,,,
player,201111130sfo,nyg,BoleMi20,fumbles_rec_yds,0,,,,,
player,201111130sfo,nyg,BoleMi20,fumbles_rec_td,0,,,,,
player,201111130sfo,nyg,BoleMi20,fumbles_forced,0,,,,,
player,201111130sfo,nyg,JoneGr02,def_int,0,,,,,
player,201111130sfo,nyg,JoneGr02,def_int_yds,0,,,,,
player,201111130sfo,nyg,JoneGr02,def_int_td,0,,,,,
player,201111130sfo,nyg,JoneGr02,def_int_long,0,,,,,
player,201111130sfo,nyg,JoneGr02,pass_defended,0,,,,,
player,201111130sfo,nyg,JoneGr02,sacks,0.0,,,,,
player,201111130sfo,nyg,JoneGr02,tackles_combined,3,,,,,
player,201111130sfo,nyg,JoneGr02,tackles_solo,3,,,,,
player,201111130sfo,nyg,JoneGr02,tackles_assists,0,,,,,
player,201111130sfo,nyg,JoneGr02,tackles_loss,0,,,,,
player,201111130sfo,nyg,JoneGr02,qb_hits,0,,,,,
player,201111130sfo,nyg,JoneGr02,fumbles_rec,0,,,,,
player,201111130sfo,nyg,JoneGr02,fumbles_rec_yds,0,,,,,
player,201111130sfo,nyg,JoneGr02,fumbles_rec_td,0,,,,,
player,201111130sfo,nyg,JoneGr02,fumbles_forced,0,,,,,
player,201111130sfo,nyg,RossAa99,def_int,0,,,,,
player,201111130sfo,nyg,RossAa99,def_int_yds,0,,,,,
player,201111130sfo,nyg,RossAa99,def_int_td,0,,,,,
player,201111130sfo,nyg,RossAa99,def_int_long,0,,,,,
player,201111130sfo,nyg,RossAa99,pass_defended,0,,,,,
player,201111130sfo,nyg,RossAa99,sacks,0.0,,,,,
player,201111130sfo,nyg,RossAa99,tackles_combined,3,,,,,
player,201111130sfo,nyg,RossAa99,tackles_solo,3,,,,,
player,201111130sfo,nyg,RossAa99,tackles_assists,0,,,,,
player,201111130sfo,nyg,RossAa99,tackles_loss,0,,,,,
player,201111130sfo,nyg,RossAa99,qb_hits,0,,,,,
player,201111130sfo,nyg,RossAa99,fumbles_rec,0,,,,,
player,201111130sfo,nyg,RossAa99,fumbles_rec_yds,0,,,,,
player,201111130sfo,nyg,RossAa99,fumbles_rec_td,0,,,,,
player,201111130sfo,nyg,RossAa99,fumbles_forced,0,,,,,
player,201111130sfo,nyg,CoexMi99,def_int,0,,,,,
player,201111130sfo,nyg,CoexMi99,def_int_yds,0,,,,,
player,201111130sfo,nyg,CoexMi99,def_int_td,0,,,,,
player,201111130sfo,nyg,CoexMi99,def_int_long,0,,,,,
player,201111130sfo,nyg,CoexMi99,pass_defended,0,,,,,
player,201111130sfo,nyg,CoexMi99,sacks,0.0,,,,,
player,201111130sfo,nyg,CoexMi99,tackles_combined,2,,,,,
player,201111130sfo,nyg,CoexMi99,tackles_solo,2,,,,,
player,201111130sfo,nyg,CoexMi99,tackles_assists,0,,,,,
player,201111130sfo,nyg,CoexMi99,tackles_loss,1,,,,,
player,201111130sfo,nyg,CoexMi99,qb_hits,0,,,,,
player,201111130sfo,nyg,CoexMi99,fumbles_rec,0,,,,,
player,201111130sfo,nyg,CoexMi99,fumbles_rec_yds,0,,,,,
player,201111130sfo,nyg,CoexMi99,fumbles_rec_td,0,,,,,
player,201111130sfo,nyg,CoexMi99,fumbles_forced,0,,,,,
player,201111130sfo,nyg,PaysSp00,def_int,0,,,,,
player,201111130sfo,nyg,PaysSp00,def_int_yds,0,,,,,
player,201111130sfo,nyg,PaysSp00,def_int_td,0,,,,,
player,201111130sfo,nyg,PaysSp00,def_int_long,0,,,,,
player,201111130sfo,nyg,PaysSp00,pass_defended,0,,,,,
player,201111130sfo,nyg,PaysSp00,sacks,0.0,,,,,
player,201111130sfo,nyg,PaysSp00,tackles_combined,2,,,,,
player,201111130sfo,nyg,PaysSp00,tackles_solo,2,,,,,
player,201111130sfo,nyg,PaysSp00,tackles_assists,0,,,,,
player,201111130sfo,nyg,PaysSp00,tackles_loss,0,,,,,
player,201111130sfo,nyg,PaysSp00,qb_hits,0,,,,,
player,201111130sfo,nyg,PaysSp00,fumbles_rec,0,,,,,
player,201111130sfo,nyg,PaysSp00,fumbles_rec_yds,0,,,,,
player,201111130sfo,nyg,PaysSp00,fumbles_rec_td,0,,,,,
player,201111130sfo,nyg,PaysSp00,fumbles_forced,0,,,,,
player,201111130sfo,nyg,PierJa99,def_int,0,,,,,
player,201111130sfo,nyg,PierJa99,def_int_yds,0,,,,,
player,201111130sfo,nyg,PierJa99,def_int_td,0,,,,,
player,201111130sfo,nyg,PierJa99,def_int_long,0,,,,,
player,201111130sfo,nyg,PierJa99,pass_defended,0,,,,,
player,201111130sfo,nyg,PierJa99,sacks,0.0,,,,,
player,201111130sfo,nyg,PierJa99,tackles_combined,2,,,,,
player,201111130sfo,nyg,PierJa99,tackles_solo,2,,,,,
player,201111130sfo,nyg,PierJa99,tackles_assists,0,,,,,
player,201111130sfo,nyg,PierJa99,tackles_loss,0,,,,,
player,201111130sfo,nyg,PierJa99,qb_hits,0,,,,,
player,201111130sfo,nyg,PierJa99,fumbles_rec,0,,,,,
player,201111130sfo,nyg,PierJa99,fumbles_rec_yds,0,,,,,
player,201111130sfo,nyg,PierJa99,fumbles_rec_td,0,,,,,
player,201111130sfo,nyg,PierJa99,fumbles_forced,0,,,,,
player,201111130sfo,nyg,CantCh21,def_int,0,,,,,
player,201111130sfo,nyg,CantCh21,def_int_yds,0,,,,,
player,201111130sfo,nyg,CantCh21,def_int_td,0,,,,,
player,201111130sfo,nyg,CantCh21,def_int_long,0,,,,,
player,201111130sfo,nyg,CantCh21,pass_defended,0,,,,,
player,201111130sfo,nyg,CantCh21,sacks,0.0,,,,,
player,201111130sfo,nyg,CantCh21,tackles_combined,1,,,,,
player,201111130sfo,nyg,CantCh21,tackles_solo,1,,,,,
player,201111130sfo,nyg,CantCh21,tackles_assists,0,,,,,
player,201111130sfo,nyg,CantCh21,tackles_loss,1,,,,,
player,201111130sfo,nyg,CantCh21,qb_hits,0,,,,,
player,201111130sfo,nyg,CantCh21,fumbles_rec,0,,,,,
player,201111130sfo,nyg,CantCh21,fumbles_rec_yds,0,,,,,
player,201111130sfo,nyg,CantCh21,fumbles_rec_td,0,,,,,
player,201111130sfo,nyg,CantCh21,fumbles_forced,0,,,,,
player,201111130sfo,nyg,GranDe21,def_int,0,,,,,
player,201111130sfo,nyg,GranDe21,def_int_yds,0,,,,,
player,201111130sfo,nyg,GranDe21,def_int_td,0,,,,,
player,201111130sfo,nyg,GranDe21,def_int_long,0,,,,,
player,201111130sfo,nyg,GranDe21,pass_defended,0,,,,,
player,201111130sfo,nyg,GranDe21,sacks,0.0,,,,,
player,201111130sfo,nyg,GranDe21,tackles_combined,1,,,,,
player,201111130sfo,nyg,GranDe21,tackles_solo,1,,,,,
player,201111130sfo,nyg,GranDe21,tackles_assists,0,,,,,
player,201111130sfo,nyg,GranDe21,tackles_loss,0,,,,,
player,201111130sfo,nyg,GranDe21,qb_hits,0,,,,,
player,201111130sfo,nyg,GranDe21,fumbles_rec,0,,,,,
player,201111130sfo,nyg,GranDe21,fumbles_rec_yds,0,,,,,
player,201111130sfo,nyg,GranDe21,fumbles_rec_td,0,,,,,
player,201111130sfo,nyg,GranDe21,fumbles_forced,0,,,,,
player,201111130sfo,nyg,MartDe22,def_int,0,,,,,
player,201111130sfo,nyg,MartDe22,def_int_yds,0,,,,,
player,201111130sfo,nyg,MartDe22,def_int_td,0,,,,,
player,201111130sfo,nyg,MartDe22,def_int_long,0,,,,,
player,201111130sfo,nyg,MartDe22,pass_defended,0,,,,,
