game,2011,15,20111218,201112180kan,gnb,"Green Bay Packers",14,kan,"Kansas City Chiefs",19
player,201112180kan,kan,BattJa00,rush_td,1,,,,,
player,201112180kan,kan,BattJa00,rush_long,15,,,,,
player,201112180kan,kan,BattJa00,targets,1,,,,,
player,201112180kan,kan,BattJa00,rec,1,,,,,
player,201112180kan,kan,BattJa00,rec_yds,7,,,,,
player,201112180kan,kan,BattJa00,rec_td,0,,,,,
player,201112180kan,kan,BattJa00,rec_long,7,,,,,
player,201112180kan,kan,BattJa00,fumbles,0,,,,,
player,201112180kan,kan,BattJa00,fumbles_lost,,,,,,
player,201112180kan,kan,BreaSt00,pass_cmp,0,,,,,
player,201112180kan,kan,BreaSt00,pass_att,0,,,,,
player,201112180kan,kan,BreaSt00,pass_yds,0,,,,,
player,201112180kan,kan,BreaSt00,pass_td,0,,,,,
player,201112180kan,kan,BreaSt00,pass_int,0,,,,,
player,201112180kan,kan,BreaSt00,pass_sacked,0,,,,,
player,201112180kan,kan,BreaSt00,pass_sacked_yds,0,,,,,
player,201112180kan,kan,BreaSt00,pass_long,0,,,,,
player,201112180kan,kan,BreaSt00,pass_rating,,,,,,
player,201112180kan,kan,BreaSt00,rush_att,1,,,,,
player,201112180kan,kan,BreaSt00,rush_yds,25,,,,,
player,201112180kan,kan,BreaSt00,rush_td,0,,,,,
player,201112180kan,kan,BreaSt00,rush_long,25,,,,,
player,201112180kan,kan,BreaSt00,targets,6,,,,,
player,201112180kan,kan,BreaSt00,rec,4,,,,,
player,201112180kan,kan,BreaSt00,rec_yds,50,,,,,
player,201112180kan,kan,BreaSt00,rec_td,0,,,,,
player,201112180kan,kan,BreaSt00,rec_long,16,,,,,
player,201112180kan,kan,BreaSt00,fumbles,0,,,,,
player,201112180kan,kan,BreaSt00,fumbles_lost,,,,,,
player,201112180kan,kan,McClLe00,pass_cmp,0,,,,,
player,201112180kan,kan,McClLe00,pass_att,0,,,,,
player,201112180kan,kan,McClLe00,pass_yds,0,,,,,
player,201112180kan,kan,McClLe00,pass_td,0,,,,,
player,201112180kan,kan,McClLe00,pass_int,0,,,,,
player,201112180kan,kan,McClLe00,pass_sacked,0,,,,,
player,201112180kan,kan,McClLe00,pass_sacked_yds,0,,,,,
player,201112180kan,kan,McClLe00,pass_long,0,,,,,
player,201112180kan,kan,McClLe00,pass_rating,,,,,,
player,201112180kan,kan,McClLe00,rush_att,4,,,,,
player,201112180kan,kan,McClLe00,rush_yds,20,,,,,
player,201112180kan,kan,McClLe00,rush_td,0,,,,,
player,201112180kan,kan,McClLe00,rush_long,9,,,,,
player,201112180kan,kan,McClLe00,targets,5,,,,,
player,201112180kan,kan,McClLe00,rec,4,,,,,
player,201112180kan,kan,McClLe00,rec_yds,26,,,,,
player,201112180kan,kan,McClLe00,rec_td,0,,,,,
player,201112180kan,kan,McClLe00,rec_long,12,,,,,
player,201112180kan,kan,McClLe00,fumbles,0,,,,,
player,201112180kan,kan,McClLe00,fumbles_lost,,,,,,
player,201112180kan,kan,McClDe00,pass_cmp,0,,,,,
player,201112180kan,kan,McClDe00,pass_att,0,,,,,
player,201112180kan,kan,McClDe00,pass_yds,0,,,,,
player,201112180kan,kan,McClDe00,pass_td,0,,,,,
player,201112180kan,kan,McClDe00,pass_int,0,,,,,
player,201112180kan,kan,McClDe00,pass_sacked,0,,,,,
player,201112180kan,kan,McClDe00,pass_sacked_yds,0,,,,,
player,201112180kan,kan,McClDe00,pass_long,0,,,,,
player,201112180kan,kan,McClDe00,pass_rating,,,,,,
player,201112180kan,kan,McClDe00,rush_att,5,,,,,
player,201112180kan,kan,McClDe00,rush_yds,14,,,,,
player,201112180kan,kan,McClDe00,rush_td,0,,,,,
player,201112180kan,kan,McClDe00,rush_long,7,,,,,
