game,2010,14,20101212,201012120jax,rai,"Oakland Raiders",31,jax,"Jacksonville Jaguars",38
player,201012120jax,jax,DrewMa00,pass_sacked_yds,,,,,,
player,201012120jax,jax,DrewMa00,pass_long,0,,,,,
player,201012120jax,jax,DrewMa00,pass_rating,,,,,,
player,201012120jax,jax,DrewMa00,rush_att,23,,,,,
player,201012120jax,jax,DrewMa00,rush_yds,101,,,,,
player,201012120jax,jax,DrewMa00,rush_td,1,,,,,
player,201012120jax,jax,DrewMa00,rush_long,30,,,,,
player,201012120jax,jax,DrewMa00,targets,6,,,,,
player,201012120jax,jax,DrewMa00,rec,3,,,,,
player,201012120jax,jax,DrewMa00,rec_yds,19,,,,,
player,201012120jax,jax,DrewMa00,rec_td,0,,,,,
player,201012120jax,jax,DrewMa00,rec_long,9,,,,,
player,201012120jax,jax,DrewMa00,fumbles,0,,,,,
player,201012120jax,jax,DrewMa00,fumbles_lost,,,,,,
player,201012120jax,jax,LewiMa00,pass_cmp,0,,,,,
player,201012120jax,jax,LewiMa00,pass_att,0,,,,,
player,201012120jax,jax,LewiMa00,pass_yds,0,,,,,
player,201012120jax,jax,LewiMa00,pass_td,0,,,,,
player,201012120jax,jax,LewiMa00,pass_int,0,,,,,
player,201012120jax,jax,LewiMa00,pass_sacked,,,,,,
player,201012120jax,jax,LewiMa00,pass_sacked_yds,,,,,,
player,201012120jax,jax,LewiMa00,pass_long,0,,,,,
player,201012120jax,jax,LewiMa00,pass_rating,,,,,,
player,201012120jax,jax,LewiMa00,rush_att,0,,,,,
player,201012120jax,jax,LewiMa00,rush_yds,0,,,,,
player,201012120jax,jax,LewiMa00,rush_td,0,,,,,
player,201012120jax,jax,LewiMa00,rush_long,0,,,,,
player,201012120jax,jax,LewiMa00,targets,4,,,,,
player,201012120jax,jax,LewiMa00,rec,4,,,,,
player,201012120jax,jax,LewiMa00,rec_yds,57,,,,,
player,201012120jax,jax,LewiMa00,rec_td,1,,,,,
player,201012120jax,jax,LewiMa00,rec_long,20,,,,,
player,201012120jax,jax,LewiMa00,fumbles,0,,,,,
player,201012120jax,jax,LewiMa00,fumbles_lost,,,,,,
player,201012120jax,jax,HillJa00,pass_cmp,0,,,,,
player,201012120jax,jax,HillJa00,pass_att,0,,,,,
player,201012120jax,jax,HillJa00,pass_yds,0,,,,,
player,201012120jax,jax,HillJa00,pass_td,0,,,,,
player,201012120jax,jax,HillJa00,pass_int,0,,,,,
player,201012120jax,jax,HillJa00,pass_sacked,,,,,,
player,201012120jax,jax,HillJa00,pass_sacked_yds,,,,,,
player,201012120jax,jax,HillJa00,pass_long,0,,,,,
player,201012120jax,jax,HillJa00,pass_rating,,,,,,
player,201012120jax,jax,HillJa00,rush_att,0,,,,,
player,201012120jax,jax,HillJa00,rush_yds,0,,,,,
player,201012120jax,jax,HillJa00,rush_td,0,,,,,
player,201012120jax,jax,HillJa00,rush_long,0,,,,,
player,201012120jax,jax,HillJa00,targets,1,,,,,
player,201012120jax,jax,HillJa00,rec,1,,,,,
player,201012120jax,jax,HillJa00,rec_yds,48,,,,,
player,201012120jax,jax,HillJa00,rec_td,1,,,,,
player,201012120jax,jax,HillJa00,rec_long,48,,,,,
player,201012120jax,jax,HillJa00,fumbles,0,,,,,
player,201012120jax,jax,HillJa00,fumbles_lost,,,,,,
player,201012120jax,jax,WalkMi01,pass_cmp,0,,,,,
player,201012120jax,jax,WalkMi01,pass_att,0,,,,,
player,201012120jax,jax,WalkMi01,pass_yds,0,,,,,
player,201012120jax,jax,WalkMi01,pass_td,0,,,,,
player,201012120jax,jax,WalkMi01,pass_int,0,,,,,
player,201012120jax,jax,WalkMi01,pass_sacked,,,,,,
player,201012120jax,jax,WalkMi01,pass_sacked_yds,,,,,,
player,201012120jax,jax,WalkMi01,pass_long,0,,,,,
player,201012120jax,jax,WalkMi01,pass_rating,,,,,,
player,201012120jax,jax,WalkMi01,rush_att,0,,,,,
player,201012120jax,jax,WalkMi01,rush_yds,0,,,,,
player,201012120jax,jax,WalkMi01,rush_td,0,,,,,
player,201012120jax,jax,WalkMi01,rush_long,0,,,,,
player,201012120jax,jax,WalkMi01,targets,4,,,,,
player,201012120jax,jax,WalkMi01,rec,2,,,,,
player,201012120jax,jax,WalkMi01,rec_yds,23,,,,,
player,201012120jax,jax,WalkMi01,rec_td,1,,,,,
player,201012120jax,jax,WalkMi01,rec_long,13,,,,,
player,201012120jax,jax,WalkMi01,fumbles,0,,,,,
player,201012120jax,jax,WalkMi01,fumbles_lost,,,,,,
player,201012120jax,jax,JoneGr01,pass_cmp,0,,,,,
player,201012120jax,jax,JoneGr01,pass_att,0,,,,,
player,201012120jax,jax,JoneGr01,pass_yds,0,,,,,
player,201012120jax,jax,JoneGr01,pass_td,0,,,,,
player,201012120jax,jax,JoneGr01,pass_int,0,,,,,
player,201012120jax,jax,JoneGr01,pass_sacked,,,,,,
player,201012120jax,jax,JoneGr01,pass_sacked_yds,,,,,,
player,201012120jax,jax,JoneGr01,pass_long,0,,,,,
player,201012120jax,jax,JoneGr01,pass_rating,,,,,,
player,201012120jax,jax,JoneGr01,rush_att,0,,,,,
player,201012120jax,jax,JoneGr01,rush_yds,0,,,,,
player,201012120jax,jax,JoneGr01,rush_td,0,,,,,
player,201012120jax,jax,JoneGr01,rush_long,0,,,,,
player,201012120jax,jax,JoneGr01,targets,1,,,,,
player,201012120jax,jax,JoneGr01,rec,1,,,,,
player,201012120jax,jax,JoneGr01,rec_yds,12,,,,,
player,201012120jax,jax,JoneGr01,rec_td,0,,,,,
player,201012120jax,jax,JoneGr01,rec_long,12,,,,,
player,201012120jax,jax,JoneGr01,fumbles,0,,,,,
player,201012120jax,jax,JoneGr01,fumbles_lost,,,,,,
player,201012120jax,jax,MillZa02,pass_cmp,0,,,,,
player,201012120jax,jax,MillZa02,pass_att,0,,,,,
player,201012120jax,jax,MillZa02,pass_yds,0,,,,,
player,201012120jax,jax,MillZa02,pass_td,0,,,,,
player,201012120jax,jax,MillZa02,pass_int,0,,,,,
player,201012120jax,jax,MillZa02,pass_sacked,,,,,,
player,201012120jax,jax,MillZa02,pass_sacked_yds,,,,,,
player,201012120jax,jax,MillZa02,pass_long,0,,,,,
player,201012120jax,jax,MillZa02,pass_rating,,,,,,
player,201012120jax,jax,MillZa02,rush_att,0,,,,,
