game,2010,10,20101114,201011140sfo,ram,"St. Louis Rams",20,sfo,"San Francisco 49ers",23
player,201011140sfo,sfo,WalkHu00,rec,4,,,,,
player,201011140sfo,sfo,WalkHu00,rec_yds,80,,,,,
player,201011140sfo,sfo,WalkHu00,rec_td,0,,,,,
player,201011140sfo,sfo,WalkHu00,rec_long,36,,,,,
player,201011140sfo,sfo,WalkHu00,fumbles,0,,,,,
player,201011140sfo,sfo,WalkHu00,fumbles_lost,,,,,,
player,201011140sfo,sfo,DaviVe00,pass_cmp,0,,,,,
player,201011140sfo,sfo,DaviVe00,pass_att,0,,,,,
player,201011140sfo,sfo,DaviVe00,pass_yds,0,,,,,
player,201011140sfo,sfo,DaviVe00,pass_td,0,,,,,
player,201011140sfo,sfo,DaviVe00,pass_int,0,,,,,
player,201011140sfo,sfo,DaviVe00,pass_sacked,,,,,,
player,201011140sfo,sfo,DaviVe00,pass_sacked_yds,,,,,,
player,201011140sfo,sfo,DaviVe00,pass_long,0,,,,,
player,201011140sfo,sfo,DaviVe00,pass_rating,,,,,,
player,201011140sfo,sfo,DaviVe00,rush_att,0,,,,,
player,201011140sfo,sfo,DaviVe00,rush_yds,0,,,,,
player,201011140sfo,sfo,DaviVe00,rush_td,0,,,,,
player,201011140sfo,sfo,DaviVe00,rush_long,0,,,,,
player,201011140sfo,sfo,DaviVe00,targets,6,,,,,
player,201011140sfo,sfo,DaviVe00,rec,4,,,,,
player,201011140sfo,sfo,DaviVe00,rec_yds,79,,,,,
player,201011140sfo,sfo,DaviVe00,rec_td,0,,,,,
player,201011140sfo,sfo,DaviVe00,rec_long,38,,,,,
player,201011140sfo,sfo,DaviVe00,fumbles,0,,,,,
player,201011140sfo,sfo,DaviVe00,fumbles_lost,,,,,,
player,201011140sfo,sfo,MorgJo00,pass_cmp,0,,,,,
player,201011140sfo,sfo,MorgJo00,pass_att,0,,,,,
player,201011140sfo,sfo,MorgJo00,pass_yds,0,,,,,
player,201011140sfo,sfo,MorgJo00,pass_td,0,,,,,
player,201011140sfo,sfo,MorgJo00,pass_int,0,,,,,
player,201011140sfo,sfo,MorgJo00,pass_sacked,,,,,,
player,201011140sfo,sfo,MorgJo00,pass_sacked_yds,,,,,,
player,201011140sfo,sfo,MorgJo00,pass_long,0,,,,,
player,201011140sfo,sfo,MorgJo00,pass_rating,,,,,,
player,201011140sfo,sfo,MorgJo00,rush_att,0,,,,,
player,201011140sfo,sfo,MorgJo00,rush_yds,0,,,,,
player,201011140sfo,sfo,MorgJo00,rush_td,0,,,,,
player,201011140sfo,sfo,MorgJo00,rush_long,0,,,,,
player,201011140sfo,sfo,MorgJo00,targets,4,,,,,
player,201011140sfo,sfo,MorgJo00,rec,1,,,,,
player,201011140sfo,sfo,MorgJo00,rec_yds,65,,,,,
player,201011140sfo,sfo,MorgJo00,rec_td,0,,,,,
player,201011140sfo,sfo,MorgJo00,rec_long,65,,,,,
player,201011140sfo,sfo,MorgJo00,fumbles,0,,,,,
player,201011140sfo,sfo,MorgJo00,fumbles_lost,,,,,,
player,201011140sfo,sfo,CrabMi00,pass_cmp,0,,,,,
player,201011140sfo,sfo,CrabMi00,pass_att,0,,,,,
player,201011140sfo,sfo,CrabMi00,pass_yds,0,,,,,
player,201011140sfo,sfo,CrabMi00,pass_td,0,,,,,
player,201011140sfo,sfo,CrabMi00,pass_int,0,,,,,
player,201011140sfo,sfo,CrabMi00,pass_sacked,,,,,,
