game,2010,7,20101024,201010240oti,phi,"Philadelphia Eagles",19,oti,"Tennessee Titans",37
player,201010240oti,oti,HawkLa00,fumbles_lost,,,,,,
player,201010240oti,oti,StevCr00,pass_cmp,,,,,,
player,201010240oti,oti,StevCr00,pass_att,,,,,,
player,201010240oti,oti,StevCr00,pass_yds,,,,,,
player,201010240oti,oti,StevCr00,pass_td,,,,,,
player,201010240oti,oti,StevCr00,pass_int,,,,,,
player,201010240oti,oti,StevCr00,pass_sacked,,,,,,
player,201010240oti,oti,StevCr00,pass_sacked_yds,,,,,,
player,201010240oti,oti,StevCr00,pass_long,,,,,,
player,201010240oti,oti,StevCr00,pass_rating,,,,,,
player,201010240oti,oti,StevCr00,rush_att,,,,,,
player,201010240oti,oti,StevCr00,rush_yds,,,,,,
player,201010240oti,oti,StevCr00,rush_td,,,,,,
player,201010240oti,oti,StevCr00,rush_long,,,,,,
player,201010240oti,oti,StevCr00,targets,3,,,,,
player,201010240oti,oti,StevCr00,rec,0,,,,,
player,201010240oti,oti,StevCr00,rec_yds,0,,,,,
player,201010240oti,oti,StevCr00,rec_td,0,,,,,
player,201010240oti,oti,StevCr00,rec_long,,,,,,
player,201010240oti,oti,StevCr00,fumbles,,,,,,
player,201010240oti,oti,StevCr00,fumbles_lost,,,,,,
player,201010240oti,phi,MikeQu20,def_int,1,,,,,
player,201010240oti,phi,MikeQu20,def_int_yds,0,,,,,
player,201010240oti,phi,MikeQu20,def_int_td,0,,,,,
player,201010240oti,phi,MikeQu20,def_int_long,0,,,,,
player,201010240oti,phi,MikeQu20,pass_defended,1,,,,,
player,201010240oti,phi,MikeQu20,sacks,1.0,,,,,
player,201010240oti,phi,MikeQu20,tackles_combined,5,,,,,
player,201010240oti,phi,MikeQu20,tackles_solo,4,,,,,
player,201010240oti,phi,MikeQu20,tackles_assists,1,,,,,
player,201010240oti,phi,MikeQu20,tackles_loss,0,,,,,
player,201010240oti,phi,MikeQu20,qb_hits,0,,,,,
player,201010240oti,phi,MikeQu20,fumbles_rec,0,,,,,
player,201010240oti,phi,MikeQu20,fumbles_rec_yds,0,,,,,
player,201010240oti,phi,MikeQu20,fumbles_rec_td,0,,,,,
player,201010240oti,phi,MikeQu20,fumbles_forced,1,,,,,
player,201010240oti,phi,SamuAs20,def_int,1,,,,,
player,201010240oti,phi,SamuAs20,def_int_yds,0,,,,,
player,201010240oti,phi,SamuAs20,def_int_td,0,,,,,
player,201010240oti,phi,SamuAs20,def_int_long,0,,,,,
player,201010240oti,phi,SamuAs20,pass_defended,2,,,,,
player,201010240oti,phi,SamuAs20,sacks,0.0,,,,,
player,201010240oti,phi,SamuAs20,tackles_combined,3,,,,,
player,201010240oti,phi,SamuAs20,tackles_solo,2,,,,,
player,201010240oti,phi,SamuAs20,tackles_assists,1,,,,,
player,201010240oti,phi,SamuAs20,tackles_loss,0,,,,,
player,201010240oti,phi,SamuAs20,qb_hits,0,,,,,
player,201010240oti,phi,SamuAs20,fumbles_rec,0,,,,,
player,201010240oti,phi,SamuAs20,fumbles_rec_yds,0,,,,,
player,201010240oti,phi,SamuAs20,fumbles_rec_td,0,,,,,
player,201010240oti,phi,SamuAs20,fumbles_forced,0,,,,,
player,201010240oti,phi,DixoAn99,def_int,0,,,,,
player,201010240oti,phi,DixoAn99,def_int_yds,0,,,,,
player,201010240oti,phi,DixoAn99,def_int_td,0,,,,,
player,201010240oti,phi,DixoAn99,def_int_long,0,,,,,
player,201010240oti,phi,DixoAn99,pass_defended,2,,,,,
player,201010240oti,phi,DixoAn99,sacks,1.0,,,,,
player,201010240oti,phi,DixoAn99,tackles_combined,7,,,,,
player,201010240oti,phi,DixoAn99,tackles_solo,6,,,,,
player,201010240oti,phi,DixoAn99,tackles_assists,1,,,,,
player,201010240oti,phi,DixoAn99,tackles_loss,2,,,,,
player,201010240oti,phi,DixoAn99,qb_hits,1,,,,,
player,201010240oti,phi,DixoAn99,fumbles_rec,0,,,,,
player,201010240oti,phi,DixoAn99,fumbles_rec_yds,0,,,,,
player,201010240oti,phi,DixoAn99,fumbles_rec_td,0,,,,,
player,201010240oti,phi,DixoAn99,fumbles_forced,0,,,,,
player,201010240oti,phi,ColeTr20,def_int,0,,,,,
player,201010240oti,phi,ColeTr20,def_int_yds,0,,,,,
player,201010240oti,phi,ColeTr20,def_int_td,0,,,,,
player,201010240oti,phi,ColeTr20,def_int_long,0,,,,,
player,201010240oti,phi,ColeTr20,pass_defended,0,,,,,
player,201010240oti,phi,ColeTr20,sacks,1.0,,,,,
player,201010240oti,phi,ColeTr20,tackles_combined,5,,,,,
player,201010240oti,phi,ColeTr20,tackles_solo,5,,,,,
player,201010240oti,phi,ColeTr20,tackles_assists,0,,,,,
player,201010240oti,phi,ColeTr20,tackles_loss,1,,,,,
player,201010240oti,phi,ColeTr20,qb_hits,2,,,,,
player,201010240oti,phi,ColeTr20,fumbles_rec,0,,,,,
player,201010240oti,phi,ColeTr20,fumbles_rec_yds,0,,,,,
player,201010240oti,phi,ColeTr20,fumbles_rec_td,0,,,,,
player,201010240oti,phi,ColeTr20,fumbles_forced,0,,,,,
player,201010240oti,phi,AlleNa99,def_int,0,,,,,
player,201010240oti,phi,AlleNa99,def_int_yds,0,,,,,
player,201010240oti,phi,AlleNa99,def_int_td,0,,,,,
player,201010240oti,phi,AlleNa99,def_int_long,0,,,,,
player,201010240oti,phi,AlleNa99,pass_defended,0,,,,,
player,201010240oti,phi,AlleNa99,sacks,0.0,,,,,
player,201010240oti,phi,AlleNa99,tackles_combined,8,,,,,
player,201010240oti,phi,AlleNa99,tackles_solo,6,,,,,
player,201010240oti,phi,AlleNa99,tackles_assists,2,,,,,
player,201010240oti,phi,AlleNa99,tackles_loss,1,,,,,
player,201010240oti,phi,AlleNa99,qb_hits,0,,,,,
