game,2010,2,20100919,201009190rai,ram,"St. Louis Rams",14,rai,"Oakland Raiders",16
player,201009190rai,ram,DahlCr99,fumbles_rec_td,0,,,,,
player,201009190rai,ram,DahlCr99,fumbles_forced,0,,,,,
player,201009190rai,ram,AtogO.20,def_int,0,,,,,
player,201009190rai,ram,AtogO.20,def_int_yds,0,,,,,
player,201009190rai,ram,AtogO.20,def_int_td,0,,,,,
player,201009190rai,ram,AtogO.20,def_int_long,0,,,,,
player,201009190rai,ram,AtogO.20,pass_defended,0,,,,,
player,201009190rai,ram,AtogO.20,sacks,0.0,,,,,
player,201009190rai,ram,AtogO.20,tackles_combined,7,,,,,
player,201009190rai,ram,AtogO.20,tackles_solo,4,,,,,
player,201009190rai,ram,AtogO.20,tackles_assists,3,,,,,
player,201009190rai,ram,AtogO.20,tackles_loss,0,,,,,
player,201009190rai,ram,AtogO.20,qb_hits,0,,,,,
player,201009190rai,ram,AtogO.20,fumbles_rec,0,,,,,
player,201009190rai,ram,AtogO.20,fumbles_rec_yds,0,,,,,
player,201009190rai,ram,AtogO.20,fumbles_rec_td,0,,,,,
player,201009190rai,ram,AtogO.20,fumbles_forced,0,,,,,
player,201009190rai,ram,FletBr99,def_int,0,,,,,
player,201009190rai,ram,FletBr99,def_int_yds,0,,,,,
player,201009190rai,ram,FletBr99,def_int_td,0,,,,,
player,201009190rai,ram,FletBr99,def_int_long,0,,,,,
player,201009190rai,ram,FletBr99,pass_defended,3,,,,,
player,201009190rai,ram,FletBr99,sacks,0.0,,,,,
player,201009190rai,ram,FletBr99,tackles_combined,7,,,,,
player,201009190rai,ram,FletBr99,tackles_solo,4,,,,,
player,201009190rai,ram,FletBr99,tackles_assists,3,,,,,
player,201009190rai,ram,FletBr99,tackles_loss,0,,,,,
player,201009190rai,ram,FletBr99,qb_hits,0,,,,,
player,201009190rai,ram,FletBr99,fumbles_rec,0,,,,,
player,201009190rai,ram,FletBr99,fumbles_rec_yds,0,,,,,
player,201009190rai,ram,FletBr99,fumbles_rec_td,0,,,,,
player,201009190rai,ram,FletBr99,fumbles_forced,0,,,,,
player,201009190rai,ram,DiggNa20,def_int,0,,,,,
player,201009190rai,ram,DiggNa20,def_int_yds,0,,,,,
player,201009190rai,ram,DiggNa20,def_int_td,0,,,,,
player,201009190rai,ram,DiggNa20,def_int_long,0,,,,,
player,201009190rai,ram,DiggNa20,pass_defended,0,,,,,
player,201009190rai,ram,DiggNa20,sacks,0.0,,,,,
player,201009190rai,ram,DiggNa20,tackles_combined,4,,,,,
player,201009190rai,ram,DiggNa20,tackles_solo,2,,,,,
player,201009190rai,ram,DiggNa20,tackles_assists,2,,,,,
player,201009190rai,ram,DiggNa20,tackles_loss,0,,,,,
player,201009190rai,ram,DiggNa20,qb_hits,1,,,,,
player,201009190rai,ram,DiggNa20,fumbles_rec,0,,,,,
player,201009190rai,ram,DiggNa20,fumbles_rec_yds,0,,,,,
player,201009190rai,ram,DiggNa20,fumbles_rec_td,0,,,,,
player,201009190rai,ram,DiggNa20,fumbles_forced,0,,,,,
player,201009190rai,ram,GranLa99,def_int,0,,,,,
player,201009190rai,ram,GranLa99,def_int_yds,0,,,,,
player,201009190rai,ram,GranLa99,def_int_td,0,,,,,
player,201009190rai,ram,GranLa99,def_int_long,0,,,,,
player,201009190rai,ram,GranLa99,pass_defended,0,,,,,
player,201009190rai,ram,GranLa99,sacks,0.0,,,,,
player,201009190rai,ram,GranLa99,tackles_combined,3,,,,,
player,201009190rai,ram,GranLa99,tackles_solo,3,,,,,
player,201009190rai,ram,GranLa99,tackles_assists,0,,,,,
player,201009190rai,ram,GranLa99,tackles_loss,0,,,,,
player,201009190rai,ram,GranLa99,qb_hits,0,,,,,
player,201009190rai,ram,GranLa99,fumbles_rec,0,,,,,
player,201009190rai,ram,GranLa99,fumbles_rec_yds,0,,,,,
player,201009190rai,ram,GranLa99,fumbles_rec_td,0,,,,,
player,201009190rai,ram,GranLa99,fumbles_forced,0,,,,,
player,201009190rai,ram,LongCh99,def_int,0,,,,,
player,201009190rai,ram,LongCh99,def_int_yds,0,,,,,
player,201009190rai,ram,LongCh99,def_int_td,0,,,,,
player,201009190rai,ram,LongCh99,def_int_long,0,,,,,
player,201009190rai,ram,LongCh99,pass_defended,0,,,,,
player,201009190rai,ram,LongCh99,sacks,0.0,,,,,
player,201009190rai,ram,LongCh99,tackles_combined,3,,,,,
player,201009190rai,ram,LongCh99,tackles_solo,3,,,,,
player,201009190rai,ram,LongCh99,tackles_assists,0,,,,,
player,201009190rai,ram,LongCh99,tackles_loss,0,,,,,
player,201009190rai,ram,LongCh99,qb_hits,0,,,,,
player,201009190rai,ram,LongCh99,fumbles_rec,0,,,,,
player,201009190rai,ram,LongCh99,fumbles_rec_yds,0,,,,,
player,201009190rai,ram,LongCh99,fumbles_rec_td,0,,,,,
player,201009190rai,ram,LongCh99,fumbles_forced,0,,,,,
player,201009190rai,ram,RobbFr20,def_int,0,,,,,
player,201009190rai,ram,RobbFr20,def_int_yds,0,,,,,
player,201009190rai,ram,RobbFr20,def_int_td,0,,,,,
player,201009190rai,ram,RobbFr20,def_int_long,0,,,,,
player,201009190rai,ram,RobbFr20,pass_defended,0,,,,,
player,201009190rai,ram,RobbFr20,sacks,0.0,,,,,
player,201009190rai,ram,RobbFr20,tackles_combined,3,,,,,
player,201009190rai,ram,RobbFr20,tackles_solo,2,,,,,
player,201009190rai,ram,RobbFr20,tackles_assists,1,,,,,
player,201009190rai,ram,RobbFr20,tackles_loss,1,,,,,
player,201009190rai,ram,RobbFr20,qb_hits,0,,,,,
player,201009190rai,ram,RobbFr20,fumbles_rec,0,,,,,
player,201009190rai,ram,RobbFr20,fumbles_rec_yds,0,,,,,
player,201009190rai,ram,RobbFr20,fumbles_rec_td,0,,,,,
player,201009190rai,ram,RobbFr20,fumbles_forced,0,,,,,
player,201009190rai,ram,SelvGe99,def_int,0,,,,,
player,201009190rai,ram,SelvGe99,def_int_yds,0,,,,,
player,201009190rai,ram,SelvGe99,def_int_td,0,,,,,
player,201009190rai,ram,SelvGe99,def_int_long,0,,,,,
player,201009190rai,ram,SelvGe99,pass_defended,0,,,,,
player,201009190rai,ram,SelvGe99,sacks,0.0,,,,,
player,201009190rai,ram,SelvGe99,tackles_combined,3,,,,,
player,201009190rai,ram,SelvGe99,tackles_solo,2,,,,,
player,201009190rai,ram,SelvGe99,tackles_assists,1,,,,,
player,201009190rai,ram,SelvGe99,tackles_loss,0,,,,,
player,201009190rai,ram,SelvGe99,qb_hits,0,,,,,
player,201009190rai,ram,SelvGe99,fumbles_rec,0,,,,,
player,201009190rai,ram,SelvGe99,fumbles_rec_yds,0,,,,,
player,201009190rai,ram,SelvGe99,fumbles_rec_td,0,,,,,
player,201009190rai,ram,SelvGe99,fumbles_forced,0,,,,,
player,201009190rai,ram,BartRo20,def_int,0,,,,,
player,201009190rai,ram,BartRo20,def_int_yds,0,,,,,
player,201009190rai,ram,BartRo20,def_int_td,0,,,,,
player,201009190rai,ram,BartRo20,def_int_long,0,,,,,
player,201009190rai,ram,BartRo20,pass_defended,1,,,,,
player,201009190rai,ram,BartRo20,sacks,0.0,,,,,
player,201009190rai,ram,BartRo20,tackles_combined,2,,,,,
player,201009190rai,ram,BartRo20,tackles_solo,2,,,,,
player,201009190rai,ram,BartRo20,tackles_assists,0,,,,,
player,201009190rai,ram,BartRo20,tackles_loss,0,,,,,
player,201009190rai,ram,BartRo20,qb_hits,0,,,,,
player,201009190rai,ram,BartRo20,fumbles_rec,0,,,,,
player,201009190rai,ram,BartRo20,fumbles_rec_yds,0,,,,,
player,201009190rai,ram,BartRo20,fumbles_rec_td,0,,,,,
player,201009190rai,ram,BartRo20,fumbles_forced,0,,,,,
player,201009190rai,ram,AhYoC.00,def_int,0,,,,,
player,201009190rai,ram,AhYoC.00,def_int_yds,0,,,,,
player,201009190rai,ram,AhYoC.00,def_int_td,0,,,,,
player,201009190rai,ram,AhYoC.00,def_int_long,0,,,,,
player,201009190rai,ram,AhYoC.00,pass_defended,1,,,,,
player,201009190rai,ram,AhYoC.00,sacks,0.0,,,,,
player,201009190rai,ram,AhYoC.00,tackles_combined,1,,,,,
player,201009190rai,ram,AhYoC.00,tackles_solo,1,,,,,
player,201009190rai,ram,AhYoC.00,tackles_assists,0,,,,,
player,201009190rai,ram,AhYoC.00,tackles_loss,0,,,,,
player,201009190rai,ram,AhYoC.00,qb_hits,0,,,,,
player,201009190rai,ram,AhYoC.00,fumbles_rec,0,,,,,
player,201009190rai,ram,AhYoC.00,fumbles_rec_yds,0,,,,,
player,201009190rai,ram,AhYoC.00,fumbles_rec_td,0,,,,,
player,201009190rai,ram,AhYoC.00,fumbles_forced,0,,,,,
player,201009190rai,ram,CurrDo00,def_int,0,,,,,
player,201009190rai,ram,CurrDo00,def_int_yds,0,,,,,
player,201009190rai,ram,CurrDo00,def_int_td,0,,,,,
player,201009190rai,ram,CurrDo00,def_int_long,0,,,,,
player,201009190rai,ram,CurrDo00,pass_defended,0,,,,,
player,201009190rai,ram,CurrDo00,sacks,0.0,,,,,
player,201009190rai,ram,CurrDo00,tackles_combined,1,,,,,
player,201009190rai,ram,CurrDo00,tackles_solo,1,,,,,
player,201009190rai,ram,CurrDo00,tackles_assists,0,,,,,
player,201009190rai,ram,CurrDo00,tackles_loss,0,,,,,
player,201009190rai,ram,CurrDo00,qb_hits,0,,,,,
player,201009190rai,ram,CurrDo00,fumbles_rec,0,,,,,
player,201009190rai,ram,CurrDo00,fumbles_rec_yds,0,,,,,
player,201009190rai,ram,CurrDo00,fumbles_rec_td,0,,,,,
player,201009190rai,ram,CurrDo00,fumbles_forced,0,,,,,
player,201009190rai,ram,JoneDo21,def_int,0,,,,,
player,201009190rai,ram,JoneDo21,def_int_yds,0,,,,,
player,201009190rai,ram,JoneDo21,def_int_td,0,,,,,
player,201009190rai,ram,JoneDo21,def_int_long,0,,,,,
player,201009190rai,ram,JoneDo21,pass_defended,0,,,,,
player,201009190rai,ram,JoneDo21,sacks,0.0,,,,,
player,201009190rai,ram,JoneDo21,tackles_combined,1,,,,,
player,201009190rai,ram,JoneDo21,tackles_solo,1,,,,,
player,201009190rai,ram,JoneDo21,tackles_assists,0,,,,,
player,201009190rai,ram,JoneDo21,tackles_loss,0,,,,,
player,201009190rai,ram,JoneDo21,qb_hits,0,,,,,
player,201009190rai,ram,JoneDo21,fumbles_rec,0,,,,,
player,201009190rai,ram,JoneDo21,fumbles_rec_yds,0,,,,,
player,201009190rai,ram,JoneDo21,fumbles_rec_td,0,,,,,
player,201009190rai,ram,JoneDo21,fumbles_forced,0,,,,,
player,201009190rai,ram,ScotDo99,def_int,0,,,,,
player,201009190rai,ram,ScotDo99,def_int_yds,0,,,,,
player,201009190rai,ram,ScotDo99,def_int_td,0,,,,,
player,201009190rai,ram,ScotDo99,def_int_long,0,,,,,
player,201009190rai,ram,ScotDo99,pass_defended,0,,,,,
player,201009190rai,ram,ScotDo99,sacks,0.0,,,,,
player,201009190rai,ram,ScotDo99,tackles_combined,1,,,,,
player,201009190rai,ram,ScotDo99,tackles_solo,0,,,,,
player,201009190rai,ram,ScotDo99,tackles_assists,1,,,,,
player,201009190rai,ram,ScotDo99,tackles_loss,0,,,,,
player,201009190rai,ram,ScotDo99,qb_hits,0,,,,,
player,201009190rai,ram,ScotDo99,fumbles_rec,0,,,,,
player,201009190rai,ram,ScotDo99,fumbles_rec_yds,0,,,,,
player,201009190rai,ram,ScotDo99,fumbles_rec_td,0,,,,,
player,201009190rai,ram,ScotDo99,fumbles_forced,0,,,,,
player,201009190rai,ram,SimsEu99,def_int,0,,,,,
player,201009190rai,ram,SimsEu99,def_int_yds,0,,,,,
player,201009190rai,ram,SimsEu99,def_int_td,0,,,,,
player,201009190rai,ram,SimsEu99,def_int_long,0,,,,,
player,201009190rai,ram,SimsEu99,pass_defended,0,,,,,
player,201009190rai,ram,SimsEu99,sacks,0.0,,,,,
player,201009190rai,ram,SimsEu99,tackles_combined,1,,,,,
player,201009190rai,ram,SimsEu99,tackles_solo,1,,,,,
player,201009190rai,ram,SimsEu99,tackles_assists,0,,,,,
player,201009190rai,ram,SimsEu99,tackles_loss,0,,,,,
player,201009190rai,ram,SimsEu99,qb_hits,0,,,,,
player,201009190rai,ram,SimsEu99,fumbles_rec,0,,,,,
player,201009190rai,ram,SimsEu99,fumbles_rec_yds,0,,,,,
player,201009190rai,ram,SimsEu99,fumbles_rec_td,0,,,,,
player,201009190rai,ram,SimsEu99,fumbles_forced,0,,,,,
player,201009190rai,ram,VoboDa99,def_int,0,,,,,
player,201009190rai,ram,VoboDa99,def_int_yds,0,,,,,
player,201009190rai,ram,VoboDa99,def_int_td,0,,,,,
player,201009190rai,ram,VoboDa99,def_int_long,0,,,,,
player,201009190rai,ram,VoboDa99,pass_defended,0,,,,,
player,201009190rai,ram,VoboDa99,sacks,0.0,,,,,
player,201009190rai,ram,VoboDa99,tackles_combined,1,,,,,
player,201009190rai,ram,VoboDa99,tackles_solo,1,,,,,
player,201009190rai,ram,VoboDa99,tackles_assists,0,,,,,
player,201009190rai,ram,VoboDa99,tackles_loss,0,,,,,
player,201009190rai,ram,VoboDa99,qb_hits,0,,,,,
player,201009190rai,ram,VoboDa99,fumbles_rec,0,,,,,
player,201009190rai,ram,VoboDa99,fumbles_rec_yds,0,,,,,
player,201009190rai,ram,VoboDa99,fumbles_rec_td,0,,,,,
player,201009190rai,ram,VoboDa99,fumbles_forced,0,,,,,
player,201009190rai,rai,RoutSt20,def_int,1,,,,,
player,201009190rai,rai,RoutSt20,def_int_yds,0,,,,,
player,201009190rai,rai,RoutSt20,def_int_td,0,,,,,
player,201009190rai,rai,RoutSt20,def_int_long,0,,,,,
player,201009190rai,rai,RoutSt20,pass_defended,2,,,,,
player,201009190rai,rai,RoutSt20,sacks,0.0,,,,,
player,201009190rai,rai,RoutSt20,tackles_combined,3,,,,,
player,201009190rai,rai,RoutSt20,tackles_solo,2,,,,,
player,201009190rai,rai,RoutSt20,tackles_assists,1,,,,,
player,201009190rai,rai,RoutSt20,tackles_loss,0,,,,,
player,201009190rai,rai,RoutSt20,qb_hits,0,,,,,
player,201009190rai,rai,RoutSt20,fumbles_rec,0,,,,,
player,201009190rai,rai,RoutSt20,fumbles_rec_yds,0,,,,,
player,201009190rai,rai,RoutSt20,fumbles_rec_td,0,,,,,
player,201009190rai,rai,RoutSt20,fumbles_forced,0,,,,,
player,201009190rai,rai,BranTy99,def_int,0,,,,,
player,201009190rai,rai,BranTy99,def_int_yds,0,,,,,
player,201009190rai,rai,BranTy99,def_int_td,0,,,,,
player,201009190rai,rai,BranTy99,def_int_long,0,,,,,
player,201009190rai,rai,BranTy99,pass_defended,0,,,,,
player,201009190rai,rai,BranTy99,sacks,1.0,,,,,
player,201009190rai,rai,BranTy99,tackles_combined,5,,,,,
player,201009190rai,rai,BranTy99,tackles_solo,4,,,,,
player,201009190rai,rai,BranTy99,tackles_assists,1,,,,,
player,201009190rai,rai,BranTy99,tackles_loss,1,,,,,
player,201009190rai,rai,BranTy99,qb_hits,1,,,,,
player,201009190rai,rai,BranTy99,fumbles_rec,0,,,,,
player,201009190rai,rai,BranTy99,fumbles_rec_yds,0,,,,,
player,201009190rai,rai,BranTy99,fumbles_rec_td,0,,,,,
player,201009190rai,rai,BranTy99,fumbles_forced,0,,,,,
player,201009190rai,rai,WimbKa20,def_int,0,,,,,
player,201009190rai,rai,WimbKa20,def_int_yds,0,,,,,
player,201009190rai,rai,WimbKa20,def_int_td,0,,,,,
player,201009190rai,rai,WimbKa20,def_int_long,0,,,,,
player,201009190rai,rai,WimbKa20,pass_defended,0,,,,,
player,201009190rai,rai,WimbKa20,sacks,1.0,,,,,
player,201009190rai,rai,WimbKa20,tackles_combined,5,,,,,
player,201009190rai,rai,WimbKa20,tackles_solo,4,,,,,
player,201009190rai,rai,WimbKa20,tackles_assists,1,,,,,
player,201009190rai,rai,WimbKa20,tackles_loss,2,,,,,
player,201009190rai,rai,WimbKa20,qb_hits,2,,,,,
player,201009190rai,rai,WimbKa20,fumbles_rec,0,,,,,
player,201009190rai,rai,WimbKa20,fumbles_rec_yds,0,,,,,
player,201009190rai,rai,WimbKa20,fumbles_rec_td,0,,,,,
player,201009190rai,rai,WimbKa20,fumbles_forced,0,,,,,
player,201009190rai,rai,HousLa99,def_int,0,,,,,
player,201009190rai,rai,HousLa99,def_int_yds,0,,,,,
player,201009190rai,rai,HousLa99,def_int_td,0,,,,,
player,201009190rai,rai,HousLa99,def_int_long,0,,,,,
player,201009190rai,rai,HousLa99,pass_defended,0,,,,,
player,201009190rai,rai,HousLa99,sacks,1.0,,,,,
player,201009190rai,rai,HousLa99,tackles_combined,2,,,,,
player,201009190rai,rai,HousLa99,tackles_solo,2,,,,,
player,201009190rai,rai,HousLa99,tackles_assists,0,,,,,
player,201009190rai,rai,HousLa99,tackles_loss,1,,,,,
player,201009190rai,rai,HousLa99,qb_hits,2,,,,,
player,201009190rai,rai,HousLa99,fumbles_rec,0,,,,,
player,201009190rai,rai,HousLa99,fumbles_rec_yds,0,,,,,
player,201009190rai,rai,HousLa99,fumbles_rec_td,0,,,,,
player,201009190rai,rai,HousLa99,fumbles_forced,0,,,,,
player,201009190rai,rai,McClRo00,def_int,0,,,,,
player,201009190rai,rai,McClRo00,def_int_yds,0,,,,,
player,201009190rai,rai,McClRo00,def_int_td,0,,,,,
player,201009190rai,rai,McClRo00,def_int_long,0,,,,,
player,201009190rai,rai,McClRo00,pass_defended,0,,,,,
player,201009190rai,rai,McClRo00,sacks,0.0,,,,,
player,201009190rai,rai,McClRo00,tackles_combined,6,,,,,
player,201009190rai,rai,McClRo00,tackles_solo,3,,,,,
player,201009190rai,rai,McClRo00,tackles_assists,3,,,,,
player,201009190rai,rai,McClRo00,tackles_loss,0,,,,,
player,201009190rai,rai,McClRo00,qb_hits,0,,,,,
player,201009190rai,rai,McClRo00,fumbles_rec,0,,,,,
player,201009190rai,rai,McClRo00,fumbles_rec_yds,0,,,,,
player,201009190rai,rai,McClRo00,fumbles_rec_td,0,,,,,
player,201009190rai,rai,McClRo00,fumbles_forced,0,,,,,
player,201009190rai,rai,HuffMi20,def_int,0,,,,,
player,201009190rai,rai,HuffMi20,def_int_yds,0,,,,,
player,201009190rai,rai,HuffMi20,def_int_td,0,,,,,
player,201009190rai,rai,HuffMi20,def_int_long,0,,,,,
player,201009190rai,rai,HuffMi20,pass_defended,0,,,,,
player,201009190rai,rai,HuffMi20,sacks,0.0,,,,,
player,201009190rai,rai,HuffMi20,tackles_combined,5,,,,,
player,201009190rai,rai,HuffMi20,tackles_solo,3,,,,,
player,201009190rai,rai,HuffMi20,tackles_assists,2,,,,,
player,201009190rai,rai,HuffMi20,tackles_loss,0,,,,,
player,201009190rai,rai,HuffMi20,qb_hits,0,,,,,
player,201009190rai,rai,HuffMi20,fumbles_rec,0,,,,,
player,201009190rai,rai,HuffMi20,fumbles_rec_yds,0,,,,,
player,201009190rai,rai,HuffMi20,fumbles_rec_td,0,,,,,
player,201009190rai,rai,HuffMi20,fumbles_forced,0,,,,,
player,201009190rai,rai,HendJo99,def_int,0,,,,,
player,201009190rai,rai,HendJo99,def_int_yds,0,,,,,
player,201009190rai,rai,HendJo99,def_int_td,0,,,,,
player,201009190rai,rai,HendJo99,def_int_long,0,,,,,
player,201009190rai,rai,HendJo99,pass_defended,0,,,,,
player,201009190rai,rai,HendJo99,sacks,0.0,,,,,
player,201009190rai,rai,HendJo99,tackles_combined,3,,,,,
player,201009190rai,rai,HendJo99,tackles_solo,3,,,,,
player,201009190rai,rai,HendJo99,tackles_assists,0,,,,,
player,201009190rai,rai,HendJo99,tackles_loss,0,,,,,
player,201009190rai,rai,HendJo99,qb_hits,0,,,,,
player,201009190rai,rai,HendJo99,fumbles_rec,0,,,,,
player,201009190rai,rai,HendJo99,fumbles_rec_yds,0,,,,,
player,201009190rai,rai,HendJo99,fumbles_rec_td,0,,,,,
player,201009190rai,rai,HendJo99,fumbles_forced,0,,,,,
player,201009190rai,rai,KellTo21,def_int,0,,,,,
player,201009190rai,rai,KellTo21,def_int_yds,0,,,,,
player,201009190rai,rai,KellTo21,def_int_td,0,,,,,
player,201009190rai,rai,KellTo21,def_int_long,0,,,,,
player,201009190rai,rai,KellTo21,pass_defended,0,,,,,
player,201009190rai,rai,KellTo21,sacks,0.0,,,,,
player,201009190rai,rai,KellTo21,tackles_combined,3,,,,,
player,201009190rai,rai,KellTo21,tackles_solo,3,,,,,
player,201009190rai,rai,KellTo21,tackles_assists,0,,,,,
player,201009190rai,rai,KellTo21,tackles_loss,0,,,,,
player,201009190rai,rai,KellTo21,qb_hits,0,,,,,
player,201009190rai,rai,KellTo21,fumbles_rec,0,,,,,
player,201009190rai,rai,KellTo21,fumbles_rec_yds,0,,,,,
player,201009190rai,rai,KellTo21,fumbles_rec_td,0,,,,,
player,201009190rai,rai,KellTo21,fumbles_forced,0,,,,,
player,201009190rai,rai,BennMi00,def_int,0,,,,,
player,201009190rai,rai,BennMi00,def_int_yds,0,,,,,
player,201009190rai,rai,BennMi00,def_int_td,0,,,,,
player,201009190rai,rai,BennMi00,def_int_long,0,,,,,
player,201009190rai,rai,BennMi00,pass_defended,0,,,,,
player,201009190rai,rai,BennMi00,sacks,0.0,,,,,
player,201009190rai,rai,BennMi00,tackles_combined,2,,,,,
player,201009190rai,rai,BennMi00,tackles_solo,2,,,,,
player,201009190rai,rai,BennMi00,tackles_assists,0,,,,,
player,201009190rai,rai,BennMi00,tackles_loss,0,,,,,
player,201009190rai,rai,BennMi00,qb_hits,0,,,,,
player,201009190rai,rai,BennMi00,fumbles_rec,0,,,,,
player,201009190rai,rai,BennMi00,fumbles_rec_yds,0,,,,,
player,201009190rai,rai,BennMi00,fumbles_rec_td,0,,,,,
player,201009190rai,rai,BennMi00,fumbles_forced,0,,,,,
player,201009190rai,rai,BryaDe00,def_int,0,,,,,
player,201009190rai,rai,BryaDe00,def_int_yds,0,,,,,
player,201009190rai,rai,BryaDe00,def_int_td,0,,,,,
player,201009190rai,rai,BryaDe00,def_int_long,0,,,,,
player,201009190rai,rai,BryaDe00,pass_defended,0,,,,,
player,201009190rai,rai,BryaDe00,sacks,0.0,,,,,
player,201009190rai,rai,BryaDe00,tackles_combined,2,,,,,
player,201009190rai,rai,BryaDe00,tackles_solo,1,,,,,
player,201009190rai,rai,BryaDe00,tackles_assists,1,,,,,
player,201009190rai,rai,BryaDe00,tackles_loss,1,,,,,
player,201009190rai,rai,BryaDe00,qb_hits,0,,,,,
player,201009190rai,rai,BryaDe00,fumbles_rec,0,,,,,
player,201009190rai,rai,BryaDe00,fumbles_rec_yds,0,,,,,
player,201009190rai,rai,BryaDe00,fumbles_rec_td,0,,,,,
player,201009190rai,rai,BryaDe00,fumbles_forced,0,,,,,
player,201009190rai,rai,AsomNn20,def_int,0,,,,,
player,201009190rai,rai,AsomNn20,def_int_yds,0,,,,,
player,201009190rai,rai,AsomNn20,def_int_td,0,,,,,
player,201009190rai,rai,AsomNn20,def_int_long,0,,,,,
player,201009190rai,rai,AsomNn20,pass_defended,0,,,,,
player,201009190rai,rai,AsomNn20,sacks,0.0,,,,,
player,201009190rai,rai,AsomNn20,tackles_combined,1,,,,,
player,201009190rai,rai,AsomNn20,tackles_solo,1,,,,,
player,201009190rai,rai,AsomNn20,tackles_assists,0,,,,,
player,201009190rai,rai,AsomNn20,tackles_loss,0,,,,,
player,201009190rai,rai,AsomNn20,qb_hits,0,,,,,
player,201009190rai,rai,AsomNn20,fumbles_rec,0,,,,,
player,201009190rai,rai,AsomNn20,fumbles_rec_yds,0,,,,,
player,201009190rai,rai,AsomNn20,fumbles_rec_td,0,,,,,
player,201009190rai,rai,AsomNn20,fumbles_forced,0,,,,,
player,201009190rai,rai,BrowSt99,def_int,0,,,,,
player,201009190rai,rai,BrowSt99,def_int_yds,0,,,,,
player,201009190rai,rai,BrowSt99,def_int_td,0,,,,,
player,201009190rai,rai,BrowSt99,def_int_long,0,,,,,
player,201009190rai,rai,BrowSt99,pass_defended,0,,,,,
player,201009190rai,rai,BrowSt99,sacks,0.0,,,,,
player,201009190rai,rai,BrowSt99,tackles_combined,1,,,,,
player,201009190rai,rai,BrowSt99,tackles_solo,1,,,,,
player,201009190rai,rai,BrowSt99,tackles_assists,0,,,,,
player,201009190rai,rai,BrowSt99,tackles_loss,0,,,,,
player,201009190rai,rai,BrowSt99,qb_hits,0,,,,,
player,201009190rai,rai,BrowSt99,fumbles_rec,0,,,,,
player,201009190rai,rai,BrowSt99,fumbles_rec_yds,0,,,,,
player,201009190rai,rai,BrowSt99,fumbles_rec_td,0,,,,,
player,201009190rai,rai,BrowSt99,fumbles_forced,0,,,,,
player,201009190rai,rai,CartRo01,def_int,0,,,,,
player,201009190rai,rai,CartRo01,def_int_yds,0,,,,,
player,201009190rai,rai,CartRo01,def_int_td,0,,,,,
player,201009190rai,rai,CartRo01,def_int_long,0,,,,,
player,201009190rai,rai,CartRo01,pass_defended,0,,,,,
player,201009190rai,rai,CartRo01,sacks,0.0,,,,,
player,201009190rai,rai,CartRo01,tackles_combined,1,,,,,
player,201009190rai,rai,CartRo01,tackles_solo,1,,,,,
player,201009190rai,rai,CartRo01,tackles_assists,0,,,,,
player,201009190rai,rai,CartRo01,tackles_loss,0,,,,,
player,201009190rai,rai,CartRo01,qb_hits,0,,,,,
player,201009190rai,rai,CartRo01,fumbles_rec,0,,,,,
player,201009190rai,rai,CartRo01,fumbles_rec_yds,0,,,,,
player,201009190rai,rai,CartRo01,fumbles_rec_td,0,,,,,
player,201009190rai,rai,CartRo01,fumbles_forced,0,,,,,
player,201009190rai,rai,GrovQu99,def_int,0,,,,,
player,201009190rai,rai,GrovQu99,def_int_yds,0,,,,,
player,201009190rai,rai,GrovQu99,def_int_td,0,,,,,
player,201009190rai,rai,GrovQu99,def_int_long,0,,,,,
player,201009190rai,rai,GrovQu99,pass_defended,0,,,,,
player,201009190rai,rai,GrovQu99,sacks,0.0,,,,,
player,201009190rai,rai,GrovQu99,tackles_combined,1,,,,,
player,201009190rai,rai,GrovQu99,tackles_solo,1,,,,,
player,201009190rai,rai,GrovQu99,tackles_assists,0,,,,,
player,201009190rai,rai,GrovQu99,tackles_loss,0,,,,,
player,201009190rai,rai,GrovQu99,qb_hits,0,,,,,
player,201009190rai,rai,GrovQu99,fumbles_rec,0,,,,,
player,201009190rai,rai,GrovQu99,fumbles_rec_yds,0,,,,,
player,201009190rai,rai,GrovQu99,fumbles_rec_td,0,,,,,
player,201009190rai,rai,GrovQu99,fumbles_forced,0,,,,,
player,201009190rai,rai,HowaTh20,def_int,0,,,,,
player,201009190rai,rai,HowaTh20,def_int_yds,0,,,,,
player,201009190rai,rai,HowaTh20,def_int_td,0,,,,,
player,201009190rai,rai,HowaTh20,def_int_long,0,,,,,
player,201009190rai,rai,HowaTh20,pass_defended,1,,,,,
player,201009190rai,rai,HowaTh20,sacks,0.0,,,,,
player,201009190rai,rai,HowaTh20,tackles_combined,1,,,,,
player,201009190rai,rai,HowaTh20,tackles_solo,1,,,,,
player,201009190rai,rai,HowaTh20,tackles_assists,0,,,,,
player,201009190rai,rai,HowaTh20,tackles_loss,0,,,,,
player,201009190rai,rai,HowaTh20,qb_hits,0,,,,,
player,201009190rai,rai,HowaTh20,fumbles_rec,0,,,,,
player,201009190rai,rai,HowaTh20,fumbles_rec_yds,0,,,,,
player,201009190rai,rai,HowaTh20,fumbles_rec_td,0,,,,,
player,201009190rai,rai,HowaTh20,fumbles_forced,0,,,,,
player,201009190rai,rai,ScotTr99,def_int,0,,,,,
player,201009190rai,rai,ScotTr99,def_int_yds,0,,,,,
