game,2010,7,20101024,201010240den,rai,"Oakland Raiders",59,den,"Denver Broncos",14
player,201010240den,rai,MurpLo00,pass_sacked_yds,,,,,,
player,201010240den,rai,MurpLo00,pass_long,0,,,,,
player,201010240den,rai,MurpLo00,pass_rating,,,,,,
player,201010240den,rai,MurpLo00,rush_att,0,,,,,
player,201010240den,rai,MurpLo00,rush_yds,0,,,,,
player,201010240den,rai,MurpLo00,rush_td,0,,,,,
player,201010240den,rai,MurpLo00,rush_long,0,,,,,
player,201010240den,rai,MurpLo00,targets,4,,,,,
player,201010240den,rai,MurpLo00,rec,2,,,,,
player,201010240den,rai,MurpLo00,rec_yds,29,,,,,
player,201010240den,rai,MurpLo00,rec_td,0,,,,,
player,201010240den,rai,MurpLo00,rec_long,20,,,,,
player,201010240den,rai,MurpLo00,fumbles,0,,,,,
player,201010240den,rai,MurpLo00,fumbles_lost,,,,,,
player,201010240den,den,OrtoKy00,pass_cmp,12,,,,,
player,201010240den,den,OrtoKy00,pass_att,29,,,,,
player,201010240den,den,OrtoKy00,pass_yds,198,,,,,
player,201010240den,den,OrtoKy00,pass_td,2,,,,,
player,201010240den,den,OrtoKy00,pass_int,1,,,,,
player,201010240den,den,OrtoKy00,pass_sacked,4,,,,,
player,201010240den,den,OrtoKy00,pass_sacked_yds,33,,,,,
player,201010240den,den,OrtoKy00,pass_long,46,,,,,
player,201010240den,den,OrtoKy00,pass_rating,73.6,,,,,
player,201010240den,den,OrtoKy00,rush_att,2,,,,,
player,201010240den,den,OrtoKy00,rush_yds,21,,,,,
player,201010240den,den,OrtoKy00,rush_td,0,,,,,
player,201010240den,den,OrtoKy00,rush_long,14,,,,,
player,201010240den,den,OrtoKy00,targets,0,,,,,
player,201010240den,den,OrtoKy00,rec,0,,,,,
player,201010240den,den,OrtoKy00,rec_yds,0,,,,,
player,201010240den,den,OrtoKy00,rec_td,0,,,,,
player,201010240den,den,OrtoKy00,rec_long,0,,,,,
player,201010240den,den,OrtoKy00,fumbles,1,,,,,
player,201010240den,den,OrtoKy00,fumbles_lost,1,,,,,
player,201010240den,den,MoreKn00,pass_cmp,0,,,,,
player,201010240den,den,MoreKn00,pass_att,0,,,,,
player,201010240den,den,MoreKn00,pass_yds,0,,,,,
player,201010240den,den,MoreKn00,pass_td,0,,,,,
player,201010240den,den,MoreKn00,pass_int,0,,,,,
player,201010240den,den,MoreKn00,pass_sacked,,,,,,
player,201010240den,den,MoreKn00,pass_sacked_yds,,,,,,
player,201010240den,den,MoreKn00,pass_long,0,,,,,
player,201010240den,den,MoreKn00,pass_rating,,,,,,
player,201010240den,den,MoreKn00,rush_att,14,,,,,
player,201010240den,den,MoreKn00,rush_yds,53,,,,,
player,201010240den,den,MoreKn00,rush_td,0,,,,,
player,201010240den,den,MoreKn00,rush_long,13,,,,,
player,201010240den,den,MoreKn00,targets,6,,,,,
player,201010240den,den,MoreKn00,rec,3,,,,,
player,201010240den,den,MoreKn00,rec_yds,37,,,,,
player,201010240den,den,MoreKn00,rec_td,2,,,,,
player,201010240den,den,MoreKn00,rec_long,27,,,,,
player,201010240den,den,MoreKn00,fumbles,0,,,,,
player,201010240den,den,MoreKn00,fumbles_lost,,,,,,
player,201010240den,den,ThomDe03,pass_cmp,0,,,,,
player,201010240den,den,ThomDe03,pass_att,0,,,,,
player,201010240den,den,ThomDe03,pass_yds,0,,,,,
player,201010240den,den,ThomDe03,pass_td,0,,,,,
player,201010240den,den,ThomDe03,pass_int,0,,,,,
player,201010240den,den,ThomDe03,pass_sacked,,,,,,
player,201010240den,den,ThomDe03,pass_sacked_yds,,,,,,
player,201010240den,den,ThomDe03,pass_long,0,,,,,
player,201010240den,den,ThomDe03,pass_rating,,,,,,
player,201010240den,den,ThomDe03,rush_att,1,,,,,
player,201010240den,den,ThomDe03,rush_yds,1,,,,,
player,201010240den,den,ThomDe03,rush_td,0,,,,,
player,201010240den,den,ThomDe03,rush_long,1,,,,,
player,201010240den,den,ThomDe03,targets,1,,,,,
player,201010240den,den,ThomDe03,rec,1,,,,,
player,201010240den,den,ThomDe03,rec_yds,6,,,,,
player,201010240den,den,ThomDe03,rec_td,0,,,,,
player,201010240den,den,ThomDe03,rec_long,6,,,,,
player,201010240den,den,ThomDe03,fumbles,1,,,,,
player,201010240den,den,ThomDe03,fumbles_lost,1,,,,,
player,201010240den,den,GaffJa00,pass_cmp,0,,,,,
player,201010240den,den,GaffJa00,pass_att,0,,,,,
player,201010240den,den,GaffJa00,pass_yds,0,,,,,
player,201010240den,den,GaffJa00,pass_td,0,,,,,
player,201010240den,den,GaffJa00,pass_int,0,,,,,
player,201010240den,den,GaffJa00,pass_sacked,,,,,,
player,201010240den,den,GaffJa00,pass_sacked_yds,,,,,,
player,201010240den,den,GaffJa00,pass_long,0,,,,,
player,201010240den,den,GaffJa00,pass_rating,,,,,,
player,201010240den,den,GaffJa00,rush_att,0,,,,,
