game,2010,16,20101226,201012260gnb,nyg,"New York Giants",17,gnb,"Green Bay Packers",45
player,201012260gnb,nyg,BossKe00,rush_td,,,,,,
player,201012260gnb,nyg,BossKe00,rush_long,,,,,,
player,201012260gnb,nyg,BossKe00,targets,3,,,,,
player,201012260gnb,nyg,BossKe00,rec,0,,,,,
player,201012260gnb,nyg,BossKe00,rec_yds,0,,,,,
player,201012260gnb,nyg,BossKe00,rec_td,0,,,,,
player,201012260gnb,nyg,BossKe00,rec_long,,,,,,
player,201012260gnb,nyg,BossKe00,fumbles,,,,,,
player,201012260gnb,nyg,BossKe00,fumbles_lost,,,,,,
player,201012260gnb,gnb,RodgAa00,pass_cmp,25,,,,,
player,201012260gnb,gnb,RodgAa00,pass_att,37,,,,,
player,201012260gnb,gnb,RodgAa00,pass_yds,404,,,,,
player,201012260gnb,gnb,RodgAa00,pass_td,4,,,,,
player,201012260gnb,gnb,RodgAa00,pass_int,0,,,,,
player,201012260gnb,gnb,RodgAa00,pass_sacked,2,,,,,
player,201012260gnb,gnb,RodgAa00,pass_sacked_yds,8,,,,,
player,201012260gnb,gnb,RodgAa00,pass_long,80,,,,,
player,201012260gnb,gnb,RodgAa00,pass_rating,139.9,,,,,
player,201012260gnb,gnb,RodgAa00,rush_att,2,,,,,
player,201012260gnb,gnb,RodgAa00,rush_yds,26,,,,,
player,201012260gnb,gnb,RodgAa00,rush_td,0,,,,,
player,201012260gnb,gnb,RodgAa00,rush_long,15,,,,,
player,201012260gnb,gnb,RodgAa00,targets,0,,,,,
player,201012260gnb,gnb,RodgAa00,rec,0,,,,,
player,201012260gnb,gnb,RodgAa00,rec_yds,0,,,,,
player,201012260gnb,gnb,RodgAa00,rec_td,0,,,,,
player,201012260gnb,gnb,RodgAa00,rec_long,0,,,,,
player,201012260gnb,gnb,RodgAa00,fumbles,1,,,,,
player,201012260gnb,gnb,RodgAa00,fumbles_lost,0,,,,,
player,201012260gnb,gnb,JackBr00,pass_cmp,0,,,,,
player,201012260gnb,gnb,JackBr00,pass_att,0,,,,,
player,201012260gnb,gnb,JackBr00,pass_yds,0,,,,,
player,201012260gnb,gnb,JackBr00,pass_td,0,,,,,
player,201012260gnb,gnb,JackBr00,pass_int,0,,,,,
player,201012260gnb,gnb,JackBr00,pass_sacked,,,,,,
player,201012260gnb,gnb,JackBr00,pass_sacked_yds,,,,,,
player,201012260gnb,gnb,JackBr00,pass_long,0,,,,,
player,201012260gnb,gnb,JackBr00,pass_rating,,,,,,
player,201012260gnb,gnb,JackBr00,rush_att,18,,,,,
player,201012260gnb,gnb,JackBr00,rush_yds,39,,,,,
player,201012260gnb,gnb,JackBr00,rush_td,0,,,,,
player,201012260gnb,gnb,JackBr00,rush_long,6,,,,,
player,201012260gnb,gnb,JackBr00,targets,2,,,,,
player,201012260gnb,gnb,JackBr00,rec,1,,,,,
player,201012260gnb,gnb,JackBr00,rec_yds,10,,,,,
player,201012260gnb,gnb,JackBr00,rec_td,0,,,,,
player,201012260gnb,gnb,JackBr00,rec_long,10,,,,,
player,201012260gnb,gnb,JackBr00,fumbles,0,,,,,
player,201012260gnb,gnb,JackBr00,fumbles_lost,,,,,,
player,201012260gnb,gnb,NancDi00,pass_cmp,0,,,,,
player,201012260gnb,gnb,NancDi00,pass_att,0,,,,,
player,201012260gnb,gnb,NancDi00,pass_yds,0,,,,,
player,201012260gnb,gnb,NancDi00,pass_td,0,,,,,
player,201012260gnb,gnb,NancDi00,pass_int,0,,,,,
player,201012260gnb,gnb,NancDi00,pass_sacked,,,,,,
player,201012260gnb,gnb,NancDi00,pass_sacked_yds,,,,,,
player,201012260gnb,gnb,NancDi00,pass_long,0,,,,,
player,201012260gnb,gnb,NancDi00,pass_rating,,,,,,
player,201012260gnb,gnb,NancDi00,rush_att,9,,,,,
player,201012260gnb,gnb,NancDi00,rush_yds,32,,,,,
player,201012260gnb,gnb,NancDi00,rush_td,0,,,,,
player,201012260gnb,gnb,NancDi00,rush_long,6,,,,,
player,201012260gnb,gnb,NancDi00,targets,0,,,,,
player,201012260gnb,gnb,NancDi00,rec,0,,,,,
player,201012260gnb,gnb,NancDi00,rec_yds,0,,,,,
player,201012260gnb,gnb,NancDi00,rec_td,0,,,,,
player,201012260gnb,gnb,NancDi00,rec_long,0,,,,,
player,201012260gnb,gnb,NancDi00,fumbles,0,,,,,
player,201012260gnb,gnb,NancDi00,fumbles_lost,,,,,,
player,201012260gnb,gnb,KuhnJo00,pass_cmp,0,,,,,
player,201012260gnb,gnb,KuhnJo00,pass_att,0,,,,,
player,201012260gnb,gnb,KuhnJo00,pass_yds,0,,,,,
player,201012260gnb,gnb,KuhnJo00,pass_td,0,,,,,
player,201012260gnb,gnb,KuhnJo00,pass_int,0,,,,,
player,201012260gnb,gnb,KuhnJo00,pass_sacked,,,,,,
player,201012260gnb,gnb,KuhnJo00,pass_sacked_yds,,,,,,
player,201012260gnb,gnb,KuhnJo00,pass_long,0,,,,,
player,201012260gnb,gnb,KuhnJo00,pass_rating,,,,,,
player,201012260gnb,gnb,KuhnJo00,rush_att,6,,,,,
player,201012260gnb,gnb,KuhnJo00,rush_yds,22,,,,,
player,201012260gnb,gnb,KuhnJo00,rush_td,2,,,,,
player,201012260gnb,gnb,KuhnJo00,rush_long,8,,,,,
player,201012260gnb,gnb,KuhnJo00,targets,2,,,,,
player,201012260gnb,gnb,KuhnJo00,rec,2,,,,,
player,201012260gnb,gnb,KuhnJo00,rec_yds,7,,,,,
player,201012260gnb,gnb,KuhnJo00,rec_td,1,,,,,
player,201012260gnb,gnb,KuhnJo00,rec_long,5,,,,,
player,201012260gnb,gnb,KuhnJo00,fumbles,0,,,,,
player,201012260gnb,gnb,KuhnJo00,fumbles_lost,,,,,,
player,201012260gnb,gnb,JennGr00,pass_cmp,0,,,,,
player,201012260gnb,gnb,JennGr00,pass_att,0,,,,,
player,201012260gnb,gnb,JennGr00,pass_yds,0,,,,,
player,201012260gnb,gnb,JennGr00,pass_td,0,,,,,
player,201012260gnb,gnb,JennGr00,pass_int,0,,,,,
player,201012260gnb,gnb,JennGr00,pass_sacked,,,,,,
player,201012260gnb,gnb,JennGr00,pass_sacked_yds,,,,,,
player,201012260gnb,gnb,JennGr00,pass_long,0,,,,,
player,201012260gnb,gnb,JennGr00,pass_rating,,,,,,
player,201012260gnb,gnb,JennGr00,rush_att,0,,,,,
player,201012260gnb,gnb,JennGr00,rush_yds,0,,,,,
player,201012260gnb,gnb,JennGr00,rush_td,0,,,,,
player,201012260gnb,gnb,JennGr00,rush_long,0,,,,,
player,201012260gnb,gnb,JennGr00,targets,10,,,,,
player,201012260gnb,gnb,JennGr00,rec,7,,,,,
player,201012260gnb,gnb,JennGr00,rec_yds,142,,,,,
player,201012260gnb,gnb,JennGr00,rec_td,0,,,,,
player,201012260gnb,gnb,JennGr00,rec_long,36,,,,,
player,201012260gnb,gnb,JennGr00,fumbles,0,,,,,
player,201012260gnb,gnb,JennGr00,fumbles_lost,,,,,,
player,201012260gnb,gnb,NelsJo00,pass_cmp,0,,,,,
player,201012260gnb,gnb,NelsJo00,pass_att,0,,,,,
player,201012260gnb,gnb,NelsJo00,pass_yds,0,,,,,
player,201012260gnb,gnb,NelsJo00,pass_td,0,,,,,
player,201012260gnb,gnb,NelsJo00,pass_int,0,,,,,
player,201012260gnb,gnb,NelsJo00,pass_sacked,,,,,,
player,201012260gnb,gnb,NelsJo00,pass_sacked_yds,,,,,,
player,201012260gnb,gnb,NelsJo00,pass_long,0,,,,,
player,201012260gnb,gnb,NelsJo00,pass_rating,,,,,,
player,201012260gnb,gnb,NelsJo00,rush_att,0,,,,,
player,201012260gnb,gnb,NelsJo00,rush_yds,0,,,,,
player,201012260gnb,gnb,NelsJo00,rush_td,0,,,,,
player,201012260gnb,gnb,NelsJo00,rush_long,0,,,,,
player,201012260gnb,gnb,NelsJo00,targets,7,,,,,
player,201012260gnb,gnb,NelsJo00,rec,4,,,,,
player,201012260gnb,gnb,NelsJo00,rec_yds,124,,,,,
player,201012260gnb,gnb,NelsJo00,rec_td,1,,,,,
player,201012260gnb,gnb,NelsJo00,rec_long,80,,,,,
player,201012260gnb,gnb,NelsJo00,fumbles,1,,,,,
player,201012260gnb,gnb,NelsJo00,fumbles_lost,1,,,,,
player,201012260gnb,gnb,DrivDo00,pass_cmp,0,,,,,
player,201012260gnb,gnb,DrivDo00,pass_att,0,,,,,
player,201012260gnb,gnb,DrivDo00,pass_yds,0,,,,,
player,201012260gnb,gnb,DrivDo00,pass_td,0,,,,,
player,201012260gnb,gnb,DrivDo00,pass_int,0,,,,,
player,201012260gnb,gnb,DrivDo00,pass_sacked,,,,,,
player,201012260gnb,gnb,DrivDo00,pass_sacked_yds,,,,,,
