game,2010,17,20110102,201101020phi,dal,"Dallas Cowboys",14,phi,"Philadelphia Eagles",13
player,201101020phi,phi,AvanJa00,rush_yds,0,,,,,
player,201101020phi,phi,AvanJa00,rush_td,0,,,,,
player,201101020phi,phi,AvanJa00,rush_long,0,,,,,
player,201101020phi,phi,AvanJa00,targets,4,,,,,
player,201101020phi,phi,AvanJa00,rec,1,,,,,
player,201101020phi,phi,AvanJa00,rec_yds,21,,,,,
player,201101020phi,phi,AvanJa00,rec_td,0,,,,,
player,201101020phi,phi,AvanJa00,rec_long,21,,,,,
player,201101020phi,phi,AvanJa00,fumbles,0,,,,,
player,201101020phi,phi,AvanJa00,fumbles_lost,,,,,,
player,201101020phi,phi,CoopRi00,pass_cmp,0,,,,,
player,201101020phi,phi,CoopRi00,pass_att,0,,,,,
player,201101020phi,phi,CoopRi00,pass_yds,0,,,,,
player,201101020phi,phi,CoopRi00,pass_td,0,,,,,
player,201101020phi,phi,CoopRi00,pass_int,0,,,,,
player,201101020phi,phi,CoopRi00,pass_sacked,,,,,,
player,201101020phi,phi,CoopRi00,pass_sacked_yds,,,,,,
player,201101020phi,phi,CoopRi00,pass_long,0,,,,,
player,201101020phi,phi,CoopRi00,pass_rating,,,,,,
player,201101020phi,phi,CoopRi00,rush_att,0,,,,,
player,201101020phi,phi,CoopRi00,rush_yds,0,,,,,
player,201101020phi,phi,CoopRi00,rush_td,0,,,,,
player,201101020phi,phi,CoopRi00,rush_long,0,,,,,
player,201101020phi,phi,CoopRi00,targets,4,,,,,
player,201101020phi,phi,CoopRi00,rec,1,,,,,
player,201101020phi,phi,CoopRi00,rec_yds,5,,,,,
player,201101020phi,phi,CoopRi00,rec_td,0,,,,,
player,201101020phi,phi,CoopRi00,rec_long,5,,,,,
player,201101020phi,phi,CoopRi00,fumbles,0,,,,,
player,201101020phi,phi,CoopRi00,fumbles_lost,,,,,,
player,201101020phi,phi,SchmOw00,pass_cmp,0,,,,,
player,201101020phi,phi,SchmOw00,pass_att,0,,,,,
player,201101020phi,phi,SchmOw00,pass_yds,0,,,,,
player,201101020phi,phi,SchmOw00,pass_td,0,,,,,
player,201101020phi,phi,SchmOw00,pass_int,0,,,,,
player,201101020phi,phi,SchmOw00,pass_sacked,,,,,,
player,201101020phi,phi,SchmOw00,pass_sacked_yds,,,,,,
player,201101020phi,phi,SchmOw00,pass_long,0,,,,,
player,201101020phi,phi,SchmOw00,pass_rating,,,,,,
player,201101020phi,phi,SchmOw00,rush_att,0,,,,,
player,201101020phi,phi,SchmOw00,rush_yds,0,,,,,
player,201101020phi,phi,SchmOw00,rush_td,0,,,,,
player,201101020phi,phi,SchmOw00,rush_long,0,,,,,
player,201101020phi,phi,SchmOw00,targets,1,,,,,
player,201101020phi,phi,SchmOw00,rec,1,,,,,
player,201101020phi,phi,SchmOw00,rec_yds,3,,,,,
player,201101020phi,phi,SchmOw00,rec_td,0,,,,,
player,201101020phi,phi,SchmOw00,rec_long,3,,,,,
player,201101020phi,phi,SchmOw00,fumbles,0,,,,,
player,201101020phi,phi,SchmOw00,fumbles_lost,,,,,,
player,201101020phi,phi,MaclJe00,pass_cmp,,,,,,
player,201101020phi,phi,MaclJe00,pass_att,,,,,,
player,201101020phi,phi,MaclJe00,pass_yds,,,,,,
player,201101020phi,phi,MaclJe00,pass_td,,,,,,
player,201101020phi,phi,MaclJe00,pass_int,,,,,,
player,201101020phi,phi,MaclJe00,pass_sacked,,,,,,
