game,2010,16,20101226,201012260tam,sea,"Seattle Seahawks",15,tam,"Tampa Bay Buccaneers",38
player,201012260tam,sea,MorrCa00,rec_long,9,,,,,
player,201012260tam,sea,MorrCa00,fumbles,0,,,,,
player,201012260tam,sea,MorrCa00,fumbles_lost,,,,,,
player,201012260tam,sea,StokBr00,pass_cmp,0,,,,,
player,201012260tam,sea,StokBr00,pass_att,0,,,,,
player,201012260tam,sea,StokBr00,pass_yds,0,,,,,
player,201012260tam,sea,StokBr00,pass_td,0,,,,,
player,201012260tam,sea,StokBr00,pass_int,0,,,,,
player,201012260tam,sea,StokBr00,pass_sacked,,,,,,
player,201012260tam,sea,StokBr00,pass_sacked_yds,,,,,,
player,201012260tam,sea,StokBr00,pass_long,0,,,,,
player,201012260tam,sea,StokBr00,pass_rating,,,,,,
player,201012260tam,sea,StokBr00,rush_att,0,,,,,
player,201012260tam,sea,StokBr00,rush_yds,0,,,,,
player,201012260tam,sea,StokBr00,rush_td,0,,,,,
player,201012260tam,sea,StokBr00,rush_long,0,,,,,
player,201012260tam,sea,StokBr00,targets,1,,,,,
player,201012260tam,sea,StokBr00,rec,1,,,,,
player,201012260tam,sea,StokBr00,rec_yds,6,,,,,
player,201012260tam,sea,StokBr00,rec_td,0,,,,,
player,201012260tam,sea,StokBr00,rec_long,6,,,,,
player,201012260tam,sea,StokBr00,fumbles,0,,,,,
player,201012260tam,sea,StokBr00,fumbles_lost,,,,,,
player,201012260tam,tam,FreeJo00,pass_cmp,21,,,,,
player,201012260tam,tam,FreeJo00,pass_att,26,,,,,
player,201012260tam,tam,FreeJo00,pass_yds,237,,,,,
player,201012260tam,tam,FreeJo00,pass_td,5,,,,,
player,201012260tam,tam,FreeJo00,pass_int,0,,,,,
player,201012260tam,tam,FreeJo00,pass_sacked,2,,,,,
player,201012260tam,tam,FreeJo00,pass_sacked_yds,21,,,,,
player,201012260tam,tam,FreeJo00,pass_long,29,,,,,
player,201012260tam,tam,FreeJo00,pass_rating,144.2,,,,,
player,201012260tam,tam,FreeJo00,rush_att,4,,,,,
player,201012260tam,tam,FreeJo00,rush_yds,23,,,,,
player,201012260tam,tam,FreeJo00,rush_td,0,,,,,
player,201012260tam,tam,FreeJo00,rush_long,11,,,,,
player,201012260tam,tam,FreeJo00,targets,0,,,,,
player,201012260tam,tam,FreeJo00,rec,0,,,,,
player,201012260tam,tam,FreeJo00,rec_yds,0,,,,,
player,201012260tam,tam,FreeJo00,rec_td,0,,,,,
player,201012260tam,tam,FreeJo00,rec_long,0,,,,,
player,201012260tam,tam,FreeJo00,fumbles,1,,,,,
player,201012260tam,tam,FreeJo00,fumbles_lost,0,,,,,
player,201012260tam,tam,JohnJo05,pass_cmp,2,,,,,
player,201012260tam,tam,JohnJo05,pass_att,2,,,,,
player,201012260tam,tam,JohnJo05,pass_yds,15,,,,,
player,201012260tam,tam,JohnJo05,pass_td,0,,,,,
player,201012260tam,tam,JohnJo05,pass_int,0,,,,,
player,201012260tam,tam,JohnJo05,pass_sacked,0,,,,,
player,201012260tam,tam,JohnJo05,pass_sacked_yds,0,,,,,
player,201012260tam,tam,JohnJo05,pass_long,15,,,,,
player,201012260tam,tam,JohnJo05,pass_rating,97.9,,,,,
player,201012260tam,tam,JohnJo05,rush_att,0,,,,,
player,201012260tam,tam,JohnJo05,rush_yds,0,,,,,
player,201012260tam,tam,JohnJo05,rush_td,0,,,,,
player,201012260tam,tam,JohnJo05,rush_long,0,,,,,
player,201012260tam,tam,JohnJo05,targets,0,,,,,
player,201012260tam,tam,JohnJo05,rec,0,,,,,
player,201012260tam,tam,JohnJo05,rec_yds,0,,,,,
player,201012260tam,tam,JohnJo05,rec_td,0,,,,,
player,201012260tam,tam,JohnJo05,rec_long,0,,,,,
player,201012260tam,tam,JohnJo05,fumbles,0,,,,,
player,201012260tam,tam,JohnJo05,fumbles_lost,,,,,,
player,201012260tam,tam,BlouLe00,pass_cmp,0,,,,,
player,201012260tam,tam,BlouLe00,pass_att,0,,,,,
player,201012260tam,tam,BlouLe00,pass_yds,0,,,,,
player,201012260tam,tam,BlouLe00,pass_td,0,,,,,
player,201012260tam,tam,BlouLe00,pass_int,0,,,,,
player,201012260tam,tam,BlouLe00,pass_sacked,,,,,,
player,201012260tam,tam,BlouLe00,pass_sacked_yds,,,,,,
player,201012260tam,tam,BlouLe00,pass_long,0,,,,,
player,201012260tam,tam,BlouLe00,pass_rating,,,,,,
player,201012260tam,tam,BlouLe00,rush_att,18,,,,,
player,201012260tam,tam,BlouLe00,rush_yds,164,,,,,
player,201012260tam,tam,BlouLe00,rush_td,0,,,,,
player,201012260tam,tam,BlouLe00,rush_long,53,,,,,
player,201012260tam,tam,BlouLe00,targets,1,,,,,
player,201012260tam,tam,BlouLe00,rec,1,,,,,
player,201012260tam,tam,BlouLe00,rec_yds,3,,,,,
player,201012260tam,tam,BlouLe00,rec_td,0,,,,,
player,201012260tam,tam,BlouLe00,rec_long,3,,,,,
player,201012260tam,tam,BlouLe00,fumbles,1,,,,,
player,201012260tam,tam,BlouLe00,fumbles_lost,0,,,,,
player,201012260tam,tam,WillCa02,pass_cmp,0,,,,,
player,201012260tam,tam,WillCa02,pass_att,0,,,,,
player,201012260tam,tam,WillCa02,pass_yds,0,,,,,
player,201012260tam,tam,WillCa02,pass_td,0,,,,,
player,201012260tam,tam,WillCa02,pass_int,0,,,,,
player,201012260tam,tam,WillCa02,pass_sacked,,,,,,
player,201012260tam,tam,WillCa02,pass_sacked_yds,,,,,,
player,201012260tam,tam,WillCa02,pass_long,0,,,,,
player,201012260tam,tam,WillCa02,pass_rating,,,,,,
player,201012260tam,tam,WillCa02,rush_att,4,,,,,
player,201012260tam,tam,WillCa02,rush_yds,21,,,,,
player,201012260tam,tam,WillCa02,rush_td,0,,,,,
player,201012260tam,tam,WillCa02,rush_long,15,,,,,
player,201012260tam,tam,WillCa02,targets,3,,,,,
player,201012260tam,tam,WillCa02,rec,3,,,,,
player,201012260tam,tam,WillCa02,rec_yds,22,,,,,
player,201012260tam,tam,WillCa02,rec_td,0,,,,,
player,201012260tam,tam,WillCa02,rec_long,9,,,,,
player,201012260tam,tam,WillCa02,fumbles,0,,,,,
player,201012260tam,tam,WillCa02,fumbles_lost,,,,,,
player,201012260tam,tam,WinsKe01,pass_cmp,0,,,,,
player,201012260tam,tam,WinsKe01,pass_att,0,,,,,
player,201012260tam,tam,WinsKe01,pass_yds,0,,,,,
player,201012260tam,tam,WinsKe01,pass_td,0,,,,,
player,201012260tam,tam,WinsKe01,pass_int,0,,,,,
player,201012260tam,tam,WinsKe01,pass_sacked,,,,,,
player,201012260tam,tam,WinsKe01,pass_sacked_yds,,,,,,
player,201012260tam,tam,WinsKe01,pass_long,0,,,,,
player,201012260tam,tam,WinsKe01,pass_rating,,,,,,
player,201012260tam,tam,WinsKe01,rush_att,0,,,,,
player,201012260tam,tam,WinsKe01,rush_yds,0,,,,,
player,201012260tam,tam,WinsKe01,rush_td,0,,,,,
player,201012260tam,tam,WinsKe01,rush_long,0,,,,,
player,201012260tam,tam,WinsKe01,targets,7,,,,,
player,201012260tam,tam,WinsKe01,rec,7,,,,,
player,201012260tam,tam,WinsKe01,rec_yds,98,,,,,
player,201012260tam,tam,WinsKe01,rec_td,2,,,,,
player,201012260tam,tam,WinsKe01,rec_long,29,,,,,
player,201012260tam,tam,WinsKe01,fumbles,0,,,,,
player,201012260tam,tam,WinsKe01,fumbles_lost,,,,,,
player,201012260tam,tam,WillMi04,pass_cmp,0,,,,,
player,201012260tam,tam,WillMi04,pass_att,0,,,,,
player,201012260tam,tam,WillMi04,pass_yds,0,,,,,
player,201012260tam,tam,WillMi04,pass_td,0,,,,,
player,201012260tam,tam,WillMi04,pass_int,0,,,,,
player,201012260tam,tam,WillMi04,pass_sacked,,,,,,
player,201012260tam,tam,WillMi04,pass_sacked_yds,,,,,,
player,201012260tam,tam,WillMi04,pass_long,0,,,,,
player,201012260tam,tam,WillMi04,pass_rating,,,,,,
player,201012260tam,tam,WillMi04,rush_att,0,,,,,
player,201012260tam,tam,WillMi04,rush_yds,0,,,,,
player,201012260tam,tam,WillMi04,rush_td,0,,,,,
player,201012260tam,tam,WillMi04,rush_long,0,,,,,
player,201012260tam,tam,WillMi04,targets,7,,,,,
player,201012260tam,tam,WillMi04,rec,3,,,,,
player,201012260tam,tam,WillMi04,rec_yds,44,,,,,
player,201012260tam,tam,WillMi04,rec_td,2,,,,,
player,201012260tam,tam,WillMi04,rec_long,20,,,,,
player,201012260tam,tam,WillMi04,fumbles,0,,,,,
player,201012260tam,tam,WillMi04,fumbles_lost,,,,,,
player,201012260tam,tam,BrisDe00,pass_cmp,0,,,,,
player,201012260tam,tam,BrisDe00,pass_att,0,,,,,
player,201012260tam,tam,BrisDe00,pass_yds,0,,,,,
player,201012260tam,tam,BrisDe00,pass_td,0,,,,,
player,201012260tam,tam,BrisDe00,pass_int,0,,,,,
player,201012260tam,tam,BrisDe00,pass_sacked,,,,,,
player,201012260tam,tam,BrisDe00,pass_sacked_yds,,,,,,
player,201012260tam,tam,BrisDe00,pass_long,0,,,,,
player,201012260tam,tam,BrisDe00,pass_rating,,,,,,
player,201012260tam,tam,BrisDe00,rush_att,0,,,,,
player,201012260tam,tam,BrisDe00,rush_yds,0,,,,,
player,201012260tam,tam,BrisDe00,rush_td,0,,,,,
player,201012260tam,tam,BrisDe00,rush_long,0,,,,,
player,201012260tam,tam,BrisDe00,targets,2,,,,,
player,201012260tam,tam,BrisDe00,rec,2,,,,,
player,201012260tam,tam,BrisDe00,rec_yds,28,,,,,
player,201012260tam,tam,BrisDe00,rec_td,0,,,,,
player,201012260tam,tam,BrisDe00,rec_long,15,,,,,
player,201012260tam,tam,BrisDe00,fumbles,0,,,,,
player,201012260tam,tam,BrisDe00,fumbles_lost,,,,,,
player,201012260tam,tam,SpurMi00,pass_cmp,0,,,,,
player,201012260tam,tam,SpurMi00,pass_att,0,,,,,
player,201012260tam,tam,SpurMi00,pass_yds,0,,,,,
player,201012260tam,tam,SpurMi00,pass_td,0,,,,,
player,201012260tam,tam,SpurMi00,pass_int,0,,,,,
player,201012260tam,tam,SpurMi00,pass_sacked,0,,,,,
player,201012260tam,tam,SpurMi00,pass_sacked_yds,,,,,,
player,201012260tam,tam,SpurMi00,pass_long,0,,,,,
player,201012260tam,tam,SpurMi00,pass_rating,,,,,,
player,201012260tam,tam,SpurMi00,rush_att,0,,,,,
player,201012260tam,tam,SpurMi00,rush_yds,0,,,,,
player,201012260tam,tam,SpurMi00,rush_td,0,,,,,
player,201012260tam,tam,SpurMi00,rush_long,0,,,,,
player,201012260tam,tam,SpurMi00,targets,1,,,,,
player,201012260tam,tam,SpurMi00,rec,1,,,,,
player,201012260tam,tam,SpurMi00,rec_yds,20,,,,,
player,201012260tam,tam,SpurMi00,rec_td,0,,,,,
player,201012260tam,tam,SpurMi00,rec_long,20,,,,,
player,201012260tam,tam,SpurMi00,fumbles,1,,,,,
player,201012260tam,tam,SpurMi00,fumbles_lost,0,,,,,
player,201012260tam,tam,BennAr00,pass_cmp,0,,,,,
player,201012260tam,tam,BennAr00,pass_att,0,,,,,
player,201012260tam,tam,BennAr00,pass_yds,0,,,,,
player,201012260tam,tam,BennAr00,pass_td,0,,,,,
player,201012260tam,tam,BennAr00,pass_int,0,,,,,
player,201012260tam,tam,BennAr00,pass_sacked,,,,,,
player,201012260tam,tam,BennAr00,pass_sacked_yds,,,,,,
player,201012260tam,tam,BennAr00,pass_long,0,,,,,
player,201012260tam,tam,BennAr00,pass_rating,,,,,,
player,201012260tam,tam,BennAr00,rush_att,0,,,,,
player,201012260tam,tam,BennAr00,rush_yds,0,,,,,
player,201012260tam,tam,BennAr00,rush_td,0,,,,,
