game,2010,12,20101128,201011280was,min,"Minnesota Vikings",17,was,"Washington Redskins",13
player,201011280was,was,DaviFr01,pass_sacked,,,,,,
player,201011280was,was,DaviFr01,pass_sacked_yds,,,,,,
player,201011280was,was,DaviFr01,pass_long,0,,,,,
player,201011280was,was,DaviFr01,pass_rating,,,,,,
player,201011280was,was,DaviFr01,rush_att,0,,,,,
player,201011280was,was,DaviFr01,rush_yds,0,,,,,
player,201011280was,was,DaviFr01,rush_td,0,,,,,
player,201011280was,was,DaviFr01,rush_long,0,,,,,
player,201011280was,was,DaviFr01,targets,3,,,,,
player,201011280was,was,DaviFr01,rec,3,,,,,
player,201011280was,was,DaviFr01,rec_yds,25,,,,,
player,201011280was,was,DaviFr01,rec_td,1,,,,,
player,201011280was,was,DaviFr01,rec_long,10,,,,,
player,201011280was,was,DaviFr01,fumbles,0,,,,,
player,201011280was,was,DaviFr01,fumbles_lost,,,,,,
player,201011280was,was,WillRo05,pass_cmp,0,,,,,
player,201011280was,was,WillRo05,pass_att,0,,,,,
player,201011280was,was,WillRo05,pass_yds,0,,,,,
player,201011280was,was,WillRo05,pass_td,0,,,,,
player,201011280was,was,WillRo05,pass_int,0,,,,,
player,201011280was,was,WillRo05,pass_sacked,,,,,,
player,201011280was,was,WillRo05,pass_sacked_yds,,,,,,
player,201011280was,was,WillRo05,pass_long,0,,,,,
player,201011280was,was,WillRo05,pass_rating,,,,,,
player,201011280was,was,WillRo05,rush_att,0,,,,,
player,201011280was,was,WillRo05,rush_yds,0,,,,,
player,201011280was,was,WillRo05,rush_td,0,,,,,
player,201011280was,was,WillRo05,rush_long,0,,,,,
player,201011280was,was,WillRo05,targets,1,,,,,
player,201011280was,was,WillRo05,rec,1,,,,,
player,201011280was,was,WillRo05,rec_yds,19,,,,,
player,201011280was,was,WillRo05,rec_td,0,,,,,
player,201011280was,was,WillRo05,rec_long,19,,,,,
player,201011280was,was,WillRo05,fumbles,0,,,,,
player,201011280was,was,WillRo05,fumbles_lost,,,,,,
player,201011280was,min,HendE.20,def_int,1,,,,,
player,201011280was,min,HendE.20,def_int_yds,0,,,,,
player,201011280was,min,HendE.20,def_int_td,0,,,,,
player,201011280was,min,HendE.20,def_int_long,0,,,,,
player,201011280was,min,HendE.20,pass_defended,1,,,,,
player,201011280was,min,HendE.20,sacks,1.0,,,,,
player,201011280was,min,HendE.20,tackles_combined,4,,,,,
player,201011280was,min,HendE.20,tackles_solo,3,,,,,
player,201011280was,min,HendE.20,tackles_assists,1,,,,,
player,201011280was,min,HendE.20,tackles_loss,1,,,,,
player,201011280was,min,HendE.20,qb_hits,1,,,,,
player,201011280was,min,HendE.20,fumbles_rec,0,,,,,
player,201011280was,min,HendE.20,fumbles_rec_yds,0,,,,,
player,201011280was,min,HendE.20,fumbles_rec_td,0,,,,,
player,201011280was,min,HendE.20,fumbles_forced,0,,,,,
player,201011280was,min,AlleJa22,def_int,0,,,,,
player,201011280was,min,AlleJa22,def_int_yds,0,,,,,
player,201011280was,min,AlleJa22,def_int_td,0,,,,,
player,201011280was,min,AlleJa22,def_int_long,0,,,,,
player,201011280was,min,AlleJa22,pass_defended,0,,,,,
