game,2010,3,20100926,201009260sea,sdg,"San Diego Chargers",20,sea,"Seattle Seahawks",27
player,201009260sea,sea,ForsJu00,pass_cmp,0,,,,,
player,201009260sea,sea,ForsJu00,pass_att,0,,,,,
player,201009260sea,sea,ForsJu00,pass_yds,0,,,,,
player,201009260sea,sea,ForsJu00,pass_td,0,,,,,
player,201009260sea,sea,ForsJu00,pass_int,0,,,,,
player,201009260sea,sea,ForsJu00,pass_sacked,,,,,,
player,201009260sea,sea,ForsJu00,pass_sacked_yds,,,,,,
player,201009260sea,sea,ForsJu00,pass_long,0,,,,,
player,201009260sea,sea,ForsJu00,pass_rating,,,,,,
player,201009260sea,sea,ForsJu00,rush_att,17,,,,,
player,201009260sea,sea,ForsJu00,rush_yds,63,,,,,
player,201009260sea,sea,ForsJu00,rush_td,0,,,,,
player,201009260sea,sea,ForsJu00,rush_long,28,,,,,
player,201009260sea,sea,ForsJu00,targets,4,,,,,
player,201009260sea,sea,ForsJu00,rec,3,,,,,
player,201009260sea,sea,ForsJu00,rec_yds,31,,,,,
player,201009260sea,sea,ForsJu00,rec_td,0,,,,,
player,201009260sea,sea,ForsJu00,rec_long,13,,,,,
player,201009260sea,sea,ForsJu00,fumbles,0,,,,,
player,201009260sea,sea,ForsJu00,fumbles_lost,,,,,,
player,201009260sea,sea,CarlJo00,pass_cmp,0,,,,,
player,201009260sea,sea,CarlJo00,pass_att,0,,,,,
player,201009260sea,sea,CarlJo00,pass_yds,0,,,,,
player,201009260sea,sea,CarlJo00,pass_td,0,,,,,
player,201009260sea,sea,CarlJo00,pass_int,0,,,,,
player,201009260sea,sea,CarlJo00,pass_sacked,,,,,,
player,201009260sea,sea,CarlJo00,pass_sacked_yds,,,,,,
player,201009260sea,sea,CarlJo00,pass_long,0,,,,,
player,201009260sea,sea,CarlJo00,pass_rating,,,,,,
player,201009260sea,sea,CarlJo00,rush_att,0,,,,,
player,201009260sea,sea,CarlJo00,rush_yds,0,,,,,
player,201009260sea,sea,CarlJo00,rush_td,0,,,,,
player,201009260sea,sea,CarlJo00,rush_long,0,,,,,
player,201009260sea,sea,CarlJo00,targets,9,,,,,
player,201009260sea,sea,CarlJo00,rec,5,,,,,
player,201009260sea,sea,CarlJo00,rec_yds,61,,,,,
player,201009260sea,sea,CarlJo00,rec_td,1,,,,,
player,201009260sea,sea,CarlJo00,rec_long,37,,,,,
player,201009260sea,sea,CarlJo00,fumbles,0,,,,,
player,201009260sea,sea,CarlJo00,fumbles_lost,,,,,,
player,201009260sea,sea,BranDe00,pass_cmp,0,,,,,
player,201009260sea,sea,BranDe00,pass_att,0,,,,,
player,201009260sea,sea,BranDe00,pass_yds,0,,,,,
player,201009260sea,sea,BranDe00,pass_td,0,,,,,
player,201009260sea,sea,BranDe00,pass_int,0,,,,,
player,201009260sea,sea,BranDe00,pass_sacked,,,,,,
player,201009260sea,sea,BranDe00,pass_sacked_yds,,,,,,
player,201009260sea,sea,BranDe00,pass_long,0,,,,,
player,201009260sea,sea,BranDe00,pass_rating,,,,,,
player,201009260sea,sea,BranDe00,rush_att,0,,,,,
player,201009260sea,sea,BranDe00,rush_yds,0,,,,,
player,201009260sea,sea,BranDe00,rush_td,0,,,,,
player,201009260sea,sea,BranDe00,rush_long,0,,,,,
player,201009260sea,sea,BranDe00,targets,6,,,,,
player,201009260sea,sea,BranDe00,rec,5,,,,,
player,201009260sea,sea,BranDe00,rec_yds,60,,,,,
player,201009260sea,sea,BranDe00,rec_td,0,,,,,
player,201009260sea,sea,BranDe00,rec_long,41,,,,,
player,201009260sea,sea,BranDe00,fumbles,1,,,,,
player,201009260sea,sea,BranDe00,fumbles_lost,,,,,,
player,201009260sea,sea,WillMi03,pass_cmp,0,,,,,
player,201009260sea,sea,WillMi03,pass_att,0,,,,,
player,201009260sea,sea,WillMi03,pass_yds,0,,,,,
player,201009260sea,sea,WillMi03,pass_td,0,,,,,
player,201009260sea,sea,WillMi03,pass_int,0,,,,,
player,201009260sea,sea,WillMi03,pass_sacked,,,,,,
player,201009260sea,sea,WillMi03,pass_sacked_yds,,,,,,
player,201009260sea,sea,WillMi03,pass_long,0,,,,,
player,201009260sea,sea,WillMi03,pass_rating,,,,,,
player,201009260sea,sea,WillMi03,rush_att,0,,,,,
player,201009260sea,sea,WillMi03,rush_yds,0,,,,,
player,201009260sea,sea,WillMi03,rush_td,0,,,,,
player,201009260sea,sea,WillMi03,rush_long,0,,,,,
player,201009260sea,sea,WillMi03,targets,5,,,,,
player,201009260sea,sea,WillMi03,rec,2,,,,,
player,201009260sea,sea,WillMi03,rec_yds,35,,,,,
player,201009260sea,sea,WillMi03,rec_td,0,,,,,
player,201009260sea,sea,WillMi03,rec_long,22,,,,,
player,201009260sea,sea,WillMi03,fumbles,0,,,,,
player,201009260sea,sea,WillMi03,fumbles_lost,,,,,,
player,201009260sea,sea,TateGo00,pass_cmp,0,,,,,
player,201009260sea,sea,TateGo00,pass_att,0,,,,,
player,201009260sea,sea,TateGo00,pass_yds,0,,,,,
player,201009260sea,sea,TateGo00,pass_td,0,,,,,
player,201009260sea,sea,TateGo00,pass_int,0,,,,,
player,201009260sea,sea,TateGo00,pass_sacked,,,,,,
player,201009260sea,sea,TateGo00,pass_sacked_yds,,,,,,
player,201009260sea,sea,TateGo00,pass_long,0,,,,,
player,201009260sea,sea,TateGo00,pass_rating,,,,,,
player,201009260sea,sea,TateGo00,rush_att,0,,,,,
player,201009260sea,sea,TateGo00,rush_yds,0,,,,,
player,201009260sea,sea,TateGo00,rush_td,0,,,,,
player,201009260sea,sea,TateGo00,rush_long,0,,,,,
player,201009260sea,sea,TateGo00,targets,4,,,,,
player,201009260sea,sea,TateGo00,rec,4,,,,,
player,201009260sea,sea,TateGo00,rec_yds,33,,,,,
player,201009260sea,sea,TateGo00,rec_td,0,,,,,
player,201009260sea,sea,TateGo00,rec_long,11,,,,,
player,201009260sea,sea,TateGo00,fumbles,0,,,,,
player,201009260sea,sea,TateGo00,fumbles_lost,,,,,,
player,201009260sea,sea,WashLe00,pass_cmp,0,,,,,
player,201009260sea,sea,WashLe00,pass_att,0,,,,,
player,201009260sea,sea,WashLe00,pass_yds,0,,,,,
player,201009260sea,sea,WashLe00,pass_td,0,,,,,
player,201009260sea,sea,WashLe00,pass_int,0,,,,,
player,201009260sea,sea,WashLe00,pass_sacked,0,,,,,
player,201009260sea,sea,WashLe00,pass_sacked_yds,,,,,,
player,201009260sea,sea,WashLe00,pass_long,0,,,,,
player,201009260sea,sea,WashLe00,pass_rating,,,,,,
player,201009260sea,sea,WashLe00,rush_att,1,,,,,
player,201009260sea,sea,WashLe00,rush_yds,0,,,,,
player,201009260sea,sea,WashLe00,rush_td,0,,,,,
player,201009260sea,sea,WashLe00,rush_long,0,,,,,
player,201009260sea,sea,WashLe00,targets,0,,,,,
player,201009260sea,sea,WashLe00,rec,0,,,,,
player,201009260sea,sea,WashLe00,rec_yds,0,,,,,
player,201009260sea,sea,WashLe00,rec_td,0,,,,,
player,201009260sea,sea,WashLe00,rec_long,0,,,,,
player,201009260sea,sea,WashLe00,fumbles,0,,,,,
player,201009260sea,sea,WashLe00,fumbles_lost,,,,,,
player,201009260sea,sea,ButlDe00,pass_cmp,,,,,,
player,201009260sea,sea,ButlDe00,pass_att,,,,,,
player,201009260sea,sea,ButlDe00,pass_yds,,,,,,
player,201009260sea,sea,ButlDe00,pass_td,,,,,,
player,201009260sea,sea,ButlDe00,pass_int,,,,,,
player,201009260sea,sea,ButlDe00,pass_sacked,,,,,,
player,201009260sea,sea,ButlDe00,pass_sacked_yds,,,,,,
player,201009260sea,sea,ButlDe00,pass_long,,,,,,
player,201009260sea,sea,ButlDe00,pass_rating,,,,,,
player,201009260sea,sea,ButlDe00,rush_att,,,,,,
player,201009260sea,sea,ButlDe00,rush_yds,,,,,,
player,201009260sea,sea,ButlDe00,rush_td,,,,,,
player,201009260sea,sea,ButlDe00,rush_long,,,,,,
player,201009260sea,sea,ButlDe00,targets,2,,,,,
player,201009260sea,sea,ButlDe00,rec,0,,,,,
player,201009260sea,sea,ButlDe00,rec_yds,0,,,,,
player,201009260sea,sea,ButlDe00,rec_td,0,,,,,
player,201009260sea,sea,ButlDe00,rec_long,,,,,,
player,201009260sea,sea,ButlDe00,fumbles,,,,,,
player,201009260sea,sea,ButlDe00,fumbles_lost,,,,,,
player,201009260sea,sea,BakeCh00,pass_cmp,,,,,,
player,201009260sea,sea,BakeCh00,pass_att,,,,,,
player,201009260sea,sea,BakeCh00,pass_yds,,,,,,
player,201009260sea,sea,BakeCh00,pass_td,,,,,,
player,201009260sea,sea,BakeCh00,pass_int,,,,,,
player,201009260sea,sea,BakeCh00,pass_sacked,,,,,,
player,201009260sea,sea,BakeCh00,pass_sacked_yds,,,,,,
player,201009260sea,sea,BakeCh00,pass_long,,,,,,
player,201009260sea,sea,BakeCh00,pass_rating,,,,,,
player,201009260sea,sea,BakeCh00,rush_att,,,,,,
player,201009260sea,sea,BakeCh00,rush_yds,,,,,,
player,201009260sea,sea,BakeCh00,rush_td,,,,,,
player,201009260sea,sea,BakeCh00,rush_long,,,,,,
player,201009260sea,sea,BakeCh00,targets,1,,,,,
player,201009260sea,sea,BakeCh00,rec,0,,,,,
player,201009260sea,sea,BakeCh00,rec_yds,0,,,,,
player,201009260sea,sea,BakeCh00,rec_td,0,,,,,
player,201009260sea,sea,BakeCh00,rec_long,,,,,,
player,201009260sea,sea,BakeCh00,fumbles,,,,,,
player,201009260sea,sea,BakeCh00,fumbles_lost,,,,,,
player,201009260sea,sdg,JammQu20,def_int,1,,,,,
player,201009260sea,sdg,JammQu20,def_int_yds,0,,,,,
player,201009260sea,sdg,JammQu20,def_int_td,0,,,,,
player,201009260sea,sdg,JammQu20,def_int_long,0,,,,,
player,201009260sea,sdg,JammQu20,pass_defended,2,,,,,
player,201009260sea,sdg,JammQu20,sacks,0.0,,,,,
player,201009260sea,sdg,JammQu20,tackles_combined,3,,,,,
player,201009260sea,sdg,JammQu20,tackles_solo,3,,,,,
player,201009260sea,sdg,JammQu20,tackles_assists,0,,,,,
player,201009260sea,sdg,JammQu20,tackles_loss,0,,,,,
player,201009260sea,sdg,JammQu20,qb_hits,0,,,,,
player,201009260sea,sdg,JammQu20,fumbles_rec,0,,,,,
player,201009260sea,sdg,JammQu20,fumbles_rec_yds,0,,,,,
player,201009260sea,sdg,JammQu20,fumbles_rec_td,0,,,,,
player,201009260sea,sdg,JammQu20,fumbles_forced,0,,,,,
player,201009260sea,sdg,SileBr99,def_int,0,,,,,
player,201009260sea,sdg,SileBr99,def_int_yds,0,,,,,
player,201009260sea,sdg,SileBr99,def_int_td,0,,,,,
player,201009260sea,sdg,SileBr99,def_int_long,0,,,,,
player,201009260sea,sdg,SileBr99,pass_defended,0,,,,,
player,201009260sea,sdg,SileBr99,sacks,1.0,,,,,
player,201009260sea,sdg,SileBr99,tackles_combined,5,,,,,
player,201009260sea,sdg,SileBr99,tackles_solo,5,,,,,
player,201009260sea,sdg,SileBr99,tackles_assists,0,,,,,
player,201009260sea,sdg,SileBr99,tackles_loss,3,,,,,
player,201009260sea,sdg,SileBr99,qb_hits,2,,,,,
player,201009260sea,sdg,SileBr99,fumbles_rec,0,,,,,
player,201009260sea,sdg,SileBr99,fumbles_rec_yds,0,,,,,
player,201009260sea,sdg,SileBr99,fumbles_rec_td,0,,,,,
player,201009260sea,sdg,SileBr99,fumbles_forced,0,,,,,
player,201009260sea,sdg,PhilSh20,def_int,0,,,,,
player,201009260sea,sdg,PhilSh20,def_int_yds,0,,,,,
player,201009260sea,sdg,PhilSh20,def_int_td,0,,,,,
player,201009260sea,sdg,PhilSh20,def_int_long,0,,,,,
player,201009260sea,sdg,PhilSh20,pass_defended,0,,,,,
player,201009260sea,sdg,PhilSh20,sacks,1.0,,,,,
player,201009260sea,sdg,PhilSh20,tackles_combined,4,,,,,
player,201009260sea,sdg,PhilSh20,tackles_solo,3,,,,,
player,201009260sea,sdg,PhilSh20,tackles_assists,1,,,,,
player,201009260sea,sdg,PhilSh20,tackles_loss,2,,,,,
player,201009260sea,sdg,PhilSh20,qb_hits,1,,,,,
player,201009260sea,sdg,PhilSh20,fumbles_rec,0,,,,,
player,201009260sea,sdg,PhilSh20,fumbles_rec_yds,0,,,,,
player,201009260sea,sdg,PhilSh20,fumbles_rec_td,0,,,,,
player,201009260sea,sdg,PhilSh20,fumbles_forced,0,,,,,
player,201009260sea,sdg,ApplAn99,def_int,0,,,,,
