game,2010,11,20101118,201011180mia,chi,"Chicago Bears",16,mia,"Miami Dolphins",0
player,201011180mia,mia,MarsBr00,pass_cmp,0,,,,,
player,201011180mia,mia,MarsBr00,pass_att,0,,,,,
player,201011180mia,mia,MarsBr00,pass_yds,0,,,,,
player,201011180mia,mia,MarsBr00,pass_td,0,,,,,
player,201011180mia,mia,MarsBr00,pass_int,0,,,,,
player,201011180mia,mia,MarsBr00,pass_sacked,0,,,,,
player,201011180mia,mia,MarsBr00,pass_sacked_yds,,,,,,
player,201011180mia,mia,MarsBr00,pass_long,0,,,,,
player,201011180mia,mia,MarsBr00,pass_rating,,,,,,
player,201011180mia,mia,MarsBr00,rush_att,0,,,,,
player,201011180mia,mia,MarsBr00,rush_yds,0,,,,,
player,201011180mia,mia,MarsBr00,rush_td,0,,,,,
player,201011180mia,mia,MarsBr00,rush_long,0,,,,,
player,201011180mia,mia,MarsBr00,targets,6,,,,,
player,201011180mia,mia,MarsBr00,rec,3,,,,,
player,201011180mia,mia,MarsBr00,rec_yds,41,,,,,
player,201011180mia,mia,MarsBr00,rec_td,0,,,,,
player,201011180mia,mia,MarsBr00,rec_long,18,,,,,
player,201011180mia,mia,MarsBr00,fumbles,0,,,,,
player,201011180mia,mia,MarsBr00,fumbles_lost,,,,,,
player,201011180mia,mia,MoorMa02,pass_cmp,0,,,,,
player,201011180mia,mia,MoorMa02,pass_att,0,,,,,
player,201011180mia,mia,MoorMa02,pass_yds,0,,,,,
player,201011180mia,mia,MoorMa02,pass_td,0,,,,,
player,201011180mia,mia,MoorMa02,pass_int,0,,,,,
player,201011180mia,mia,MoorMa02,pass_sacked,,,,,,
player,201011180mia,mia,MoorMa02,pass_sacked_yds,,,,,,
player,201011180mia,mia,MoorMa02,pass_long,0,,,,,
player,201011180mia,mia,MoorMa02,pass_rating,,,,,,
player,201011180mia,mia,MoorMa02,rush_att,0,,,,,
player,201011180mia,mia,MoorMa02,rush_yds,0,,,,,
player,201011180mia,mia,MoorMa02,rush_td,0,,,,,
player,201011180mia,mia,MoorMa02,rush_long,0,,,,,
player,201011180mia,mia,MoorMa02,targets,3,,,,,
player,201011180mia,mia,MoorMa02,rec,2,,,,,
player,201011180mia,mia,MoorMa02,rec_yds,20,,,,,
player,201011180mia,mia,MoorMa02,rec_td,0,,,,,
player,201011180mia,mia,MoorMa02,rec_long,13,,,,,
player,201011180mia,mia,MoorMa02,fumbles,0,,,,,
player,201011180mia,mia,MoorMa02,fumbles_lost,,,,,,
player,201011180mia,mia,FasaAn00,pass_cmp,0,,,,,
player,201011180mia,mia,FasaAn00,pass_att,0,,,,,
player,201011180mia,mia,FasaAn00,pass_yds,0,,,,,
player,201011180mia,mia,FasaAn00,pass_td,0,,,,,
player,201011180mia,mia,FasaAn00,pass_int,0,,,,,
player,201011180mia,mia,FasaAn00,pass_sacked,,,,,,
player,201011180mia,mia,FasaAn00,pass_sacked_yds,,,,,,
player,201011180mia,mia,FasaAn00,pass_long,0,,,,,
player,201011180mia,mia,FasaAn00,pass_rating,,,,,,
player,201011180mia,mia,FasaAn00,rush_att,0,,,,,
player,201011180mia,mia,FasaAn00,rush_yds,0,,,,,
player,201011180mia,mia,FasaAn00,rush_td,0,,,,,
player,201011180mia,mia,FasaAn00,rush_long,0,,,,,
player,201011180mia,mia,FasaAn00,targets,1,,,,,
player,201011180mia,mia,FasaAn00,rec,1,,,,,
player,201011180mia,mia,FasaAn00,rec_yds,16,,,,,
player,201011180mia,mia,FasaAn00,rec_td,0,,,,,
player,201011180mia,mia,FasaAn00,rec_long,16,,,,,
player,201011180mia,mia,FasaAn00,fumbles,0,,,,,
player,201011180mia,mia,FasaAn00,fumbles_lost,,,,,,
player,201011180mia,mia,BessDa00,pass_cmp,0,,,,,
player,201011180mia,mia,BessDa00,pass_att,0,,,,,
player,201011180mia,mia,BessDa00,pass_yds,0,,,,,
player,201011180mia,mia,BessDa00,pass_td,0,,,,,
player,201011180mia,mia,BessDa00,pass_int,0,,,,,
player,201011180mia,mia,BessDa00,pass_sacked,,,,,,
player,201011180mia,mia,BessDa00,pass_sacked_yds,,,,,,
player,201011180mia,mia,BessDa00,pass_long,0,,,,,
player,201011180mia,mia,BessDa00,pass_rating,,,,,,
player,201011180mia,mia,BessDa00,rush_att,0,,,,,
player,201011180mia,mia,BessDa00,rush_yds,0,,,,,
player,201011180mia,mia,BessDa00,rush_td,0,,,,,
player,201011180mia,mia,BessDa00,rush_long,0,,,,,
player,201011180mia,mia,BessDa00,targets,5,,,,,
player,201011180mia,mia,BessDa00,rec,1,,,,,
player,201011180mia,mia,BessDa00,rec_yds,9,,,,,
player,201011180mia,mia,BessDa00,rec_td,0,,,,,
player,201011180mia,mia,BessDa00,rec_long,9,,,,,
player,201011180mia,mia,BessDa00,fumbles,0,,,,,
player,201011180mia,mia,BessDa00,fumbles_lost,,,,,,
player,201011180mia,chi,TillCh20,def_int,1,,,,,
player,201011180mia,chi,TillCh20,def_int_yds,5,,,,,
player,201011180mia,chi,TillCh20,def_int_td,0,,,,,
player,201011180mia,chi,TillCh20,def_int_long,5,,,,,
player,201011180mia,chi,TillCh20,pass_defended,1,,,,,
player,201011180mia,chi,TillCh20,sacks,0.0,,,,,
player,201011180mia,chi,TillCh20,tackles_combined,6,,,,,
player,201011180mia,chi,TillCh20,tackles_solo,5,,,,,
player,201011180mia,chi,TillCh20,tackles_assists,1,,,,,
player,201011180mia,chi,TillCh20,tackles_loss,0,,,,,
player,201011180mia,chi,TillCh20,qb_hits,0,,,,,
player,201011180mia,chi,TillCh20,fumbles_rec,0,,,,,
player,201011180mia,chi,TillCh20,fumbles_rec_yds,0,,,,,
player,201011180mia,chi,TillCh20,fumbles_rec_td,0,,,,,
player,201011180mia,chi,TillCh20,fumbles_forced,0,,,,,
player,201011180mia,chi,PeppJu99,def_int,0,,,,,
player,201011180mia,chi,PeppJu99,def_int_yds,0,,,,,
player,201011180mia,chi,PeppJu99,def_int_td,0,,,,,
player,201011180mia,chi,PeppJu99,def_int_long,0,,,,,
player,201011180mia,chi,PeppJu99,pass_defended,1,,,,,
player,201011180mia,chi,PeppJu99,sacks,3.0,,,,,
player,201011180mia,chi,PeppJu99,tackles_combined,6,,,,,
player,201011180mia,chi,PeppJu99,tackles_solo,5,,,,,
player,201011180mia,chi,PeppJu99,tackles_assists,1,,,,,
player,201011180mia,chi,PeppJu99,tackles_loss,3,,,,,
player,201011180mia,chi,PeppJu99,qb_hits,3,,,,,
player,201011180mia,chi,PeppJu99,fumbles_rec,0,,,,,
player,201011180mia,chi,PeppJu99,fumbles_rec_yds,0,,,,,
player,201011180mia,chi,PeppJu99,fumbles_rec_td,0,,,,,
player,201011180mia,chi,PeppJu99,fumbles_forced,0,,,,,
player,201011180mia,chi,UrlaBr00,def_int,0,,,,,
player,201011180mia,chi,UrlaBr00,def_int_yds,0,,,,,
player,201011180mia,chi,UrlaBr00,def_int_td,0,,,,,
player,201011180mia,chi,UrlaBr00,def_int_long,0,,,,,
player,201011180mia,chi,UrlaBr00,pass_defended,0,,,,,
player,201011180mia,chi,UrlaBr00,sacks,1.0,,,,,
player,201011180mia,chi,UrlaBr00,tackles_combined,5,,,,,
player,201011180mia,chi,UrlaBr00,tackles_solo,4,,,,,
player,201011180mia,chi,UrlaBr00,tackles_assists,1,,,,,
player,201011180mia,chi,UrlaBr00,tackles_loss,1,,,,,
player,201011180mia,chi,UrlaBr00,qb_hits,1,,,,,
player,201011180mia,chi,UrlaBr00,fumbles_rec,0,,,,,
player,201011180mia,chi,UrlaBr00,fumbles_rec_yds,0,,,,,
player,201011180mia,chi,UrlaBr00,fumbles_rec_td,0,,,,,
player,201011180mia,chi,UrlaBr00,fumbles_forced,0,,,,,
player,201011180mia,chi,MeltHe99,def_int,0,,,,,
player,201011180mia,chi,MeltHe99,def_int_yds,0,,,,,
player,201011180mia,chi,MeltHe99,def_int_td,0,,,,,
player,201011180mia,chi,MeltHe99,def_int_long,0,,,,,
player,201011180mia,chi,MeltHe99,pass_defended,0,,,,,
player,201011180mia,chi,MeltHe99,sacks,1.0,,,,,
player,201011180mia,chi,MeltHe99,tackles_combined,3,,,,,
player,201011180mia,chi,MeltHe99,tackles_solo,3,,,,,
player,201011180mia,chi,MeltHe99,tackles_assists,0,,,,,
player,201011180mia,chi,MeltHe99,tackles_loss,1,,,,,
player,201011180mia,chi,MeltHe99,qb_hits,1,,,,,
player,201011180mia,chi,MeltHe99,fumbles_rec,0,,,,,
player,201011180mia,chi,MeltHe99,fumbles_rec_yds,0,,,,,
player,201011180mia,chi,MeltHe99,fumbles_rec_td,0,,,,,
player,201011180mia,chi,MeltHe99,fumbles_forced,0,,,,,
player,201011180mia,chi,IdonIs20,def_int,0,,,,,
player,201011180mia,chi,IdonIs20,def_int_yds,0,,,,,
player,201011180mia,chi,IdonIs20,def_int_td,0,,,,,
player,201011180mia,chi,IdonIs20,def_int_long,0,,,,,
player,201011180mia,chi,IdonIs20,pass_defended,0,,,,,
player,201011180mia,chi,IdonIs20,sacks,1.0,,,,,
player,201011180mia,chi,IdonIs20,tackles_combined,1,,,,,
player,201011180mia,chi,IdonIs20,tackles_solo,1,,,,,
player,201011180mia,chi,IdonIs20,tackles_assists,0,,,,,
player,201011180mia,chi,IdonIs20,tackles_loss,1,,,,,
player,201011180mia,chi,IdonIs20,qb_hits,1,,,,,
player,201011180mia,chi,IdonIs20,fumbles_rec,0,,,,,
player,201011180mia,chi,IdonIs20,fumbles_rec_yds,0,,,,,
player,201011180mia,chi,IdonIs20,fumbles_rec_td,0,,,,,
player,201011180mia,chi,IdonIs20,fumbles_forced,0,,,,,
player,201011180mia,chi,BrigLa99,def_int,0,,,,,
player,201011180mia,chi,BrigLa99,def_int_yds,0,,,,,
player,201011180mia,chi,BrigLa99,def_int_td,0,,,,,
player,201011180mia,chi,BrigLa99,def_int_long,0,,,,,
player,201011180mia,chi,BrigLa99,pass_defended,1,,,,,
player,201011180mia,chi,BrigLa99,sacks,0.0,,,,,
player,201011180mia,chi,BrigLa99,tackles_combined,7,,,,,
player,201011180mia,chi,BrigLa99,tackles_solo,7,,,,,
player,201011180mia,chi,BrigLa99,tackles_assists,0,,,,,
player,201011180mia,chi,BrigLa99,tackles_loss,0,,,,,
player,201011180mia,chi,BrigLa99,qb_hits,0,,,,,
player,201011180mia,chi,BrigLa99,fumbles_rec,0,,,,,
player,201011180mia,chi,BrigLa99,fumbles_rec_yds,0,,,,,
