game,2010,11,20101121,201011210nor,sea,"Seattle Seahawks",19,nor,"New Orleans Saints",34
player,201011210nor,nor,GrahJi00,pass_sacked,,,,,,
player,201011210nor,nor,GrahJi00,pass_sacked_yds,,,,,,
player,201011210nor,nor,GrahJi00,pass_long,0,,,,,
player,201011210nor,nor,GrahJi00,pass_rating,,,,,,
player,201011210nor,nor,GrahJi00,rush_att,0,,,,,
player,201011210nor,nor,GrahJi00,rush_yds,0,,,,,
player,201011210nor,nor,GrahJi00,rush_td,0,,,,,
player,201011210nor,nor,GrahJi00,rush_long,0,,,,,
player,201011210nor,nor,GrahJi00,targets,8,,,,,
player,201011210nor,nor,GrahJi00,rec,5,,,,,
player,201011210nor,nor,GrahJi00,rec_yds,72,,,,,
player,201011210nor,nor,GrahJi00,rec_td,0,,,,,
player,201011210nor,nor,GrahJi00,rec_long,27,,,,,
player,201011210nor,nor,GrahJi00,fumbles,0,,,,,
player,201011210nor,nor,GrahJi00,fumbles_lost,,,,,,
player,201011210nor,nor,MoorLa00,pass_cmp,0,,,,,
player,201011210nor,nor,MoorLa00,pass_att,0,,,,,
player,201011210nor,nor,MoorLa00,pass_yds,0,,,,,
player,201011210nor,nor,MoorLa00,pass_td,0,,,,,
player,201011210nor,nor,MoorLa00,pass_int,0,,,,,
player,201011210nor,nor,MoorLa00,pass_sacked,,,,,,
player,201011210nor,nor,MoorLa00,pass_sacked_yds,,,,,,
player,201011210nor,nor,MoorLa00,pass_long,0,,,,,
player,201011210nor,nor,MoorLa00,pass_rating,,,,,,
player,201011210nor,nor,MoorLa00,rush_att,0,,,,,
player,201011210nor,nor,MoorLa00,rush_yds,0,,,,,
player,201011210nor,nor,MoorLa00,rush_td,0,,,,,
player,201011210nor,nor,MoorLa00,rush_long,0,,,,,
player,201011210nor,nor,MoorLa00,targets,4,,,,,
player,201011210nor,nor,MoorLa00,rec,3,,,,,
player,201011210nor,nor,MoorLa00,rec_yds,43,,,,,
player,201011210nor,nor,MoorLa00,rec_td,0,,,,,
player,201011210nor,nor,MoorLa00,rec_long,29,,,,,
player,201011210nor,nor,MoorLa00,fumbles,0,,,,,
player,201011210nor,nor,MoorLa00,fumbles_lost,,,,,,
player,201011210nor,nor,BettLa00,pass_cmp,0,,,,,
player,201011210nor,nor,BettLa00,pass_att,0,,,,,
player,201011210nor,nor,BettLa00,pass_yds,0,,,,,
player,201011210nor,nor,BettLa00,pass_td,0,,,,,
player,201011210nor,nor,BettLa00,pass_int,0,,,,,
