game,2010,17,20110102,201101020gnb,chi,"Chicago Bears",3,gnb,"Green Bay Packers",10
player,201101020gnb,gnb,JoneJa04,rec_yds,8,,,,,
player,201101020gnb,gnb,JoneJa04,rec_td,0,,,,,
player,201101020gnb,gnb,JoneJa04,rec_long,8,,,,,
player,201101020gnb,gnb,JoneJa04,fumbles,0,,,,,
player,201101020gnb,gnb,JoneJa04,fumbles_lost,,,,,,
player,201101020gnb,gnb,KuhnJo00,pass_cmp,0,,,,,
player,201101020gnb,gnb,KuhnJo00,pass_att,0,,,,,
player,201101020gnb,gnb,KuhnJo00,pass_yds,0,,,,,
player,201101020gnb,gnb,KuhnJo00,pass_td,0,,,,,
player,201101020gnb,gnb,KuhnJo00,pass_int,0,,,,,
player,201101020gnb,gnb,KuhnJo00,pass_sacked,,,,,,
player,201101020gnb,gnb,KuhnJo00,pass_sacked_yds,,,,,,
player,201101020gnb,gnb,KuhnJo00,pass_long,0,,,,,
player,201101020gnb,gnb,KuhnJo00,pass_rating,,,,,,
player,201101020gnb,gnb,KuhnJo00,rush_att,4,,,,,
player,201101020gnb,gnb,KuhnJo00,rush_yds,0,,,,,
player,201101020gnb,gnb,KuhnJo00,rush_td,0,,,,,
player,201101020gnb,gnb,KuhnJo00,rush_long,1,,,,,
player,201101020gnb,gnb,KuhnJo00,targets,1,,,,,
player,201101020gnb,gnb,KuhnJo00,rec,1,,,,,
player,201101020gnb,gnb,KuhnJo00,rec_yds,7,,,,,
player,201101020gnb,gnb,KuhnJo00,rec_td,0,,,,,
player,201101020gnb,gnb,KuhnJo00,rec_long,7,,,,,
player,201101020gnb,gnb,KuhnJo00,fumbles,0,,,,,
player,201101020gnb,gnb,KuhnJo00,fumbles_lost,,,,,,
player,201101020gnb,gnb,QuarAn00,pass_cmp,0,,,,,
player,201101020gnb,gnb,QuarAn00,pass_att,0,,,,,
player,201101020gnb,gnb,QuarAn00,pass_yds,0,,,,,
player,201101020gnb,gnb,QuarAn00,pass_td,0,,,,,
player,201101020gnb,gnb,QuarAn00,pass_int,0,,,,,
player,201101020gnb,gnb,QuarAn00,pass_sacked,,,,,,
player,201101020gnb,gnb,QuarAn00,pass_sacked_yds,,,,,,
player,201101020gnb,gnb,QuarAn00,pass_long,0,,,,,
player,201101020gnb,gnb,QuarAn00,pass_rating,,,,,,
player,201101020gnb,gnb,QuarAn00,rush_att,0,,,,,
player,201101020gnb,gnb,QuarAn00,rush_yds,0,,,,,
player,201101020gnb,gnb,QuarAn00,rush_td,0,,,,,
player,201101020gnb,gnb,QuarAn00,rush_long,0,,,,,
player,201101020gnb,gnb,QuarAn00,targets,1,,,,,
player,201101020gnb,gnb,QuarAn00,rec,1,,,,,
player,201101020gnb,gnb,QuarAn00,rec_yds,5,,,,,
player,201101020gnb,gnb,QuarAn00,rec_td,0,,,,,
player,201101020gnb,gnb,QuarAn00,rec_long,5,,,,,
player,201101020gnb,gnb,QuarAn00,fumbles,0,,,,,
player,201101020gnb,gnb,QuarAn00,fumbles_lost,,,,,,
player,201101020gnb,gnb,LeexDo00,pass_cmp,0,,,,,
player,201101020gnb,gnb,LeexDo00,pass_att,0,,,,,
player,201101020gnb,gnb,LeexDo00,pass_yds,0,,,,,
player,201101020gnb,gnb,LeexDo00,pass_td,0,,,,,
player,201101020gnb,gnb,LeexDo00,pass_int,0,,,,,
player,201101020gnb,gnb,LeexDo00,pass_sacked,,,,,,
player,201101020gnb,gnb,LeexDo00,pass_sacked_yds,,,,,,
player,201101020gnb,gnb,LeexDo00,pass_long,0,,,,,
player,201101020gnb,gnb,LeexDo00,pass_rating,,,,,,
player,201101020gnb,gnb,LeexDo00,rush_att,0,,,,,
player,201101020gnb,gnb,LeexDo00,rush_yds,0,,,,,
player,201101020gnb,gnb,LeexDo00,rush_td,0,,,,,
player,201101020gnb,gnb,LeexDo00,rush_long,0,,,,,
player,201101020gnb,gnb,LeexDo00,targets,1,,,,,
player,201101020gnb,gnb,LeexDo00,rec,1,,,,,
player,201101020gnb,gnb,LeexDo00,rec_yds,1,,,,,
player,201101020gnb,gnb,LeexDo00,rec_td,1,,,,,
player,201101020gnb,gnb,LeexDo00,rec_long,1,,,,,
player,201101020gnb,gnb,LeexDo00,fumbles,0,,,,,
player,201101020gnb,gnb,LeexDo00,fumbles_lost,,,,,,
player,201101020gnb,chi,TillCh20,def_int,1,,,,,
player,201101020gnb,chi,TillCh20,def_int_yds,42,,,,,
player,201101020gnb,chi,TillCh20,def_int_td,0,,,,,
player,201101020gnb,chi,TillCh20,def_int_long,42,,,,,
player,201101020gnb,chi,TillCh20,pass_defended,1,,,,,
player,201101020gnb,chi,TillCh20,sacks,0.0,,,,,
player,201101020gnb,chi,TillCh20,tackles_combined,3,,,,,
player,201101020gnb,chi,TillCh20,tackles_solo,2,,,,,
player,201101020gnb,chi,TillCh20,tackles_assists,1,,,,,
player,201101020gnb,chi,TillCh20,tackles_loss,0,,,,,
player,201101020gnb,chi,TillCh20,qb_hits,0,,,,,
player,201101020gnb,chi,TillCh20,fumbles_rec,1,,,,,
player,201101020gnb,chi,TillCh20,fumbles_rec_yds,0,,,,,
player,201101020gnb,chi,TillCh20,fumbles_rec_td,0,,,,,
player,201101020gnb,chi,TillCh20,fumbles_forced,0,,,,,
player,201101020gnb,chi,HarrTo99,def_int,0,,,,,
player,201101020gnb,chi,HarrTo99,def_int_yds,0,,,,,
player,201101020gnb,chi,HarrTo99,def_int_td,0,,,,,
player,201101020gnb,chi,HarrTo99,def_int_long,0,,,,,
player,201101020gnb,chi,HarrTo99,pass_defended,0,,,,,
player,201101020gnb,chi,HarrTo99,sacks,1.0,,,,,
player,201101020gnb,chi,HarrTo99,tackles_combined,2,,,,,
player,201101020gnb,chi,HarrTo99,tackles_solo,2,,,,,
player,201101020gnb,chi,HarrTo99,tackles_assists,0,,,,,
player,201101020gnb,chi,HarrTo99,tackles_loss,1,,,,,
player,201101020gnb,chi,HarrTo99,qb_hits,1,,,,,
player,201101020gnb,chi,HarrTo99,fumbles_rec,0,,,,,
player,201101020gnb,chi,HarrTo99,fumbles_rec_yds,0,,,,,
player,201101020gnb,chi,HarrTo99,fumbles_rec_td,0,,,,,
player,201101020gnb,chi,HarrTo99,fumbles_forced,0,,,,,
