game,2010,2,20100919,201009190sdg,jax,"Jacksonville Jaguars",13,sdg,"San Diego Chargers",38
player,201009190sdg,sdg,CrayPa00,rec_td,0,,,,,
player,201009190sdg,sdg,CrayPa00,rec_long,15,,,,,
player,201009190sdg,sdg,CrayPa00,fumbles,0,,,,,
player,201009190sdg,sdg,CrayPa00,fumbles_lost,,,,,,
player,201009190sdg,sdg,NaanLe00,pass_cmp,0,,,,,
player,201009190sdg,sdg,NaanLe00,pass_att,0,,,,,
player,201009190sdg,sdg,NaanLe00,pass_yds,0,,,,,
player,201009190sdg,sdg,NaanLe00,pass_td,0,,,,,
player,201009190sdg,sdg,NaanLe00,pass_int,0,,,,,
player,201009190sdg,sdg,NaanLe00,pass_sacked,,,,,,
player,201009190sdg,sdg,NaanLe00,pass_sacked_yds,,,,,,
player,201009190sdg,sdg,NaanLe00,pass_long,0,,,,,
player,201009190sdg,sdg,NaanLe00,pass_rating,,,,,,
player,201009190sdg,sdg,NaanLe00,rush_att,0,,,,,
player,201009190sdg,sdg,NaanLe00,rush_yds,0,,,,,
