game,2010,8,20101101,201011010clt,htx,"Houston Texans",17,clt,"Indianapolis Colts",30
player,201011010clt,clt,HartMi00,rush_td,0,,,,,
player,201011010clt,clt,HartMi00,rush_long,35,,,,,
player,201011010clt,clt,HartMi00,targets,3,,,,,
player,201011010clt,clt,HartMi00,rec,3,,,,,
player,201011010clt,clt,HartMi00,rec_yds,19,,,,,
player,201011010clt,clt,HartMi00,rec_td,0,,,,,
player,201011010clt,clt,HartMi00,rec_long,10,,,,,
player,201011010clt,clt,HartMi00,fumbles,0,,,,,
player,201011010clt,clt,HartMi00,fumbles_lost,,,,,,
player,201011010clt,clt,BrowDo00,pass_cmp,0,,,,,
player,201011010clt,clt,BrowDo00,pass_att,0,,,,,
player,201011010clt,clt,BrowDo00,pass_yds,0,,,,,
player,201011010clt,clt,BrowDo00,pass_td,0,,,,,
player,201011010clt,clt,BrowDo00,pass_int,0,,,,,
player,201011010clt,clt,BrowDo00,pass_sacked,,,,,,
player,201011010clt,clt,BrowDo00,pass_sacked_yds,,,,,,
player,201011010clt,clt,BrowDo00,pass_long,0,,,,,
player,201011010clt,clt,BrowDo00,pass_rating,,,,,,
player,201011010clt,clt,BrowDo00,rush_att,9,,,,,
player,201011010clt,clt,BrowDo00,rush_yds,16,,,,,
player,201011010clt,clt,BrowDo00,rush_td,0,,,,,
player,201011010clt,clt,BrowDo00,rush_long,5,,,,,
player,201011010clt,clt,BrowDo00,targets,2,,,,,
player,201011010clt,clt,BrowDo00,rec,2,,,,,
player,201011010clt,clt,BrowDo00,rec_yds,13,,,,,
player,201011010clt,clt,BrowDo00,rec_td,0,,,,,
player,201011010clt,clt,BrowDo00,rec_long,10,,,,,
player,201011010clt,clt,BrowDo00,fumbles,0,,,,,
player,201011010clt,clt,BrowDo00,fumbles_lost,,,,,,
player,201011010clt,clt,JameJa00,pass_cmp,0,,,,,
player,201011010clt,clt,JameJa00,pass_att,0,,,,,
player,201011010clt,clt,JameJa00,pass_yds,0,,,,,
player,201011010clt,clt,JameJa00,pass_td,0,,,,,
player,201011010clt,clt,JameJa00,pass_int,0,,,,,
player,201011010clt,clt,JameJa00,pass_sacked,,,,,,
player,201011010clt,clt,JameJa00,pass_sacked_yds,,,,,,
player,201011010clt,clt,JameJa00,pass_long,0,,,,,
