game,2010,15,20101219,201012190tam,det,"Detroit Lions",23,tam,"Tampa Bay Buccaneers",20
player,201012190tam,tam,BennAr00,pass_td,0,,,,,
player,201012190tam,tam,BennAr00,pass_int,0,,,,,
player,201012190tam,tam,BennAr00,pass_sacked,,,,,,
player,201012190tam,tam,BennAr00,pass_sacked_yds,,,,,,
player,201012190tam,tam,BennAr00,pass_long,0,,,,,
player,201012190tam,tam,BennAr00,pass_rating,,,,,,
player,201012190tam,tam,BennAr00,rush_att,0,,,,,
player,201012190tam,tam,BennAr00,rush_yds,0,,,,,
player,201012190tam,tam,BennAr00,rush_td,0,,,,,
player,201012190tam,tam,BennAr00,rush_long,0,,,,,
player,201012190tam,tam,BennAr00,targets,4,,,,,
player,201012190tam,tam,BennAr00,rec,3,,,,,
player,201012190tam,tam,BennAr00,rec_yds,34,,,,,
player,201012190tam,tam,BennAr00,rec_td,0,,,,,
player,201012190tam,tam,BennAr00,rec_long,13,,,,,
player,201012190tam,tam,BennAr00,fumbles,0,,,,,
player,201012190tam,tam,BennAr00,fumbles_lost,,,,,,
player,201012190tam,tam,SpurMi00,pass_cmp,0,,,,,
player,201012190tam,tam,SpurMi00,pass_att,0,,,,,
player,201012190tam,tam,SpurMi00,pass_yds,0,,,,,
player,201012190tam,tam,SpurMi00,pass_td,0,,,,,
player,201012190tam,tam,SpurMi00,pass_int,0,,,,,
player,201012190tam,tam,SpurMi00,pass_sacked,0,,,,,
player,201012190tam,tam,SpurMi00,pass_sacked_yds,,,,,,
player,201012190tam,tam,SpurMi00,pass_long,0,,,,,
player,201012190tam,tam,SpurMi00,pass_rating,,,,,,
player,201012190tam,tam,SpurMi00,rush_att,0,,,,,
player,201012190tam,tam,SpurMi00,rush_yds,0,,,,,
player,201012190tam,tam,SpurMi00,rush_td,0,,,,,
player,201012190tam,tam,SpurMi00,rush_long,0,,,,,
player,201012190tam,tam,SpurMi00,targets,1,,,,,
player,201012190tam,tam,SpurMi00,rec,1,,,,,
player,201012190tam,tam,SpurMi00,rec_yds,19,,,,,
player,201012190tam,tam,SpurMi00,rec_td,0,,,,,
player,201012190tam,tam,SpurMi00,rec_long,19,,,,,
player,201012190tam,tam,SpurMi00,fumbles,0,,,,,
player,201012190tam,tam,SpurMi00,fumbles_lost,,,,,,
player,201012190tam,tam,GilmJo00,pass_cmp,0,,,,,
player,201012190tam,tam,GilmJo00,pass_att,0,,,,,
player,201012190tam,tam,GilmJo00,pass_yds,0,,,,,
player,201012190tam,tam,GilmJo00,pass_td,0,,,,,
player,201012190tam,tam,GilmJo00,pass_int,0,,,,,
player,201012190tam,tam,GilmJo00,pass_sacked,,,,,,
player,201012190tam,tam,GilmJo00,pass_sacked_yds,,,,,,
player,201012190tam,tam,GilmJo00,pass_long,0,,,,,
player,201012190tam,tam,GilmJo00,pass_rating,,,,,,
player,201012190tam,tam,GilmJo00,rush_att,0,,,,,
player,201012190tam,tam,GilmJo00,rush_yds,0,,,,,
player,201012190tam,tam,GilmJo00,rush_td,0,,,,,
player,201012190tam,tam,GilmJo00,rush_long,0,,,,,
player,201012190tam,tam,GilmJo00,targets,2,,,,,
player,201012190tam,tam,GilmJo00,rec,1,,,,,
player,201012190tam,tam,GilmJo00,rec_yds,9,,,,,
player,201012190tam,tam,GilmJo00,rec_td,0,,,,,
player,201012190tam,tam,GilmJo00,rec_long,9,,,,,
player,201012190tam,tam,GilmJo00,fumbles,0,,,,,
player,201012190tam,tam,GilmJo00,fumbles_lost,,,,,,
player,201012190tam,tam,StroSa00,pass_cmp,0,,,,,
player,201012190tam,tam,StroSa00,pass_att,0,,,,,
player,201012190tam,tam,StroSa00,pass_yds,0,,,,,
player,201012190tam,tam,StroSa00,pass_td,0,,,,,
player,201012190tam,tam,StroSa00,pass_int,0,,,,,
player,201012190tam,tam,StroSa00,pass_sacked,,,,,,
player,201012190tam,tam,StroSa00,pass_sacked_yds,,,,,,
player,201012190tam,tam,StroSa00,pass_long,0,,,,,
player,201012190tam,tam,StroSa00,pass_rating,,,,,,
player,201012190tam,tam,StroSa00,rush_att,0,,,,,
player,201012190tam,tam,StroSa00,rush_yds,0,,,,,
player,201012190tam,tam,StroSa00,rush_td,0,,,,,
player,201012190tam,tam,StroSa00,rush_long,0,,,,,
player,201012190tam,tam,StroSa00,targets,2,,,,,
player,201012190tam,tam,StroSa00,rec,1,,,,,
player,201012190tam,tam,StroSa00,rec_yds,1,,,,,
player,201012190tam,tam,StroSa00,rec_td,0,,,,,
player,201012190tam,tam,StroSa00,rec_long,1,,,,,
player,201012190tam,tam,StroSa00,fumbles,0,,,,,
player,201012190tam,tam,StroSa00,fumbles_lost,,,,,,
player,201012190tam,tam,PurvRy00,pass_cmp,0,,,,,
player,201012190tam,tam,PurvRy00,pass_att,0,,,,,
player,201012190tam,tam,PurvRy00,pass_yds,0,,,,,
player,201012190tam,tam,PurvRy00,pass_td,0,,,,,
player,201012190tam,tam,PurvRy00,pass_int,0,,,,,
player,201012190tam,tam,PurvRy00,pass_sacked,,,,,,
player,201012190tam,tam,PurvRy00,pass_sacked_yds,,,,,,
player,201012190tam,tam,PurvRy00,pass_long,0,,,,,
player,201012190tam,tam,PurvRy00,pass_rating,,,,,,
player,201012190tam,tam,PurvRy00,rush_att,0,,,,,
player,201012190tam,tam,PurvRy00,rush_yds,0,,,,,
player,201012190tam,tam,PurvRy00,rush_td,0,,,,,
player,201012190tam,tam,PurvRy00,rush_long,0,,,,,
player,201012190tam,tam,PurvRy00,targets,1,,,,,
player,201012190tam,tam,PurvRy00,rec,1,,,,,
player,201012190tam,tam,PurvRy00,rec_yds,0,,,,,
player,201012190tam,tam,PurvRy00,rec_td,0,,,,,
player,201012190tam,tam,PurvRy00,rec_long,0,,,,,
player,201012190tam,tam,PurvRy00,fumbles,0,,,,,
player,201012190tam,tam,PurvRy00,fumbles_lost,,,,,,
player,201012190tam,tam,GrahEa00,pass_cmp,0,,,,,
player,201012190tam,tam,GrahEa00,pass_att,0,,,,,
player,201012190tam,tam,GrahEa00,pass_yds,0,,,,,
player,201012190tam,tam,GrahEa00,pass_td,0,,,,,
player,201012190tam,tam,GrahEa00,pass_int,0,,,,,
player,201012190tam,tam,GrahEa00,pass_sacked,0,,,,,
player,201012190tam,tam,GrahEa00,pass_sacked_yds,,,,,,
player,201012190tam,tam,GrahEa00,pass_long,0,,,,,
player,201012190tam,tam,GrahEa00,pass_rating,,,,,,
player,201012190tam,tam,GrahEa00,rush_att,1,,,,,
player,201012190tam,tam,GrahEa00,rush_yds,-1,,,,,
player,201012190tam,tam,GrahEa00,rush_td,0,,,,,
player,201012190tam,tam,GrahEa00,rush_long,-1,,,,,
player,201012190tam,tam,GrahEa00,targets,3,,,,,
player,201012190tam,tam,GrahEa00,rec,3,,,,,
player,201012190tam,tam,GrahEa00,rec_yds,21,,,,,
player,201012190tam,tam,GrahEa00,rec_td,0,,,,,
player,201012190tam,tam,GrahEa00,rec_long,14,,,,,
player,201012190tam,tam,GrahEa00,fumbles,0,,,,,
player,201012190tam,tam,GrahEa00,fumbles_lost,,,,,,
player,201012190tam,det,JackLa98,def_int,0,,,,,
player,201012190tam,det,JackLa98,def_int_yds,0,,,,,
player,201012190tam,det,JackLa98,def_int_td,0,,,,,
player,201012190tam,det,JackLa98,def_int_long,0,,,,,
player,201012190tam,det,JackLa98,pass_defended,0,,,,,
player,201012190tam,det,JackLa98,sacks,1.0,,,,,
player,201012190tam,det,JackLa98,tackles_combined,4,,,,,
player,201012190tam,det,JackLa98,tackles_solo,3,,,,,
player,201012190tam,det,JackLa98,tackles_assists,1,,,,,
player,201012190tam,det,JackLa98,tackles_loss,1,,,,,
player,201012190tam,det,JackLa98,qb_hits,1,,,,,
player,201012190tam,det,JackLa98,fumbles_rec,0,,,,,
player,201012190tam,det,JackLa98,fumbles_rec_yds,0,,,,,
player,201012190tam,det,JackLa98,fumbles_rec_td,0,,,,,
player,201012190tam,det,JackLa98,fumbles_forced,0,,,,,
player,201012190tam,det,HillSa99,def_int,0,,,,,
player,201012190tam,det,HillSa99,def_int_yds,0,,,,,
player,201012190tam,det,HillSa99,def_int_td,0,,,,,
player,201012190tam,det,HillSa99,def_int_long,0,,,,,
player,201012190tam,det,HillSa99,pass_defended,0,,,,,
