game,2010,16,20101226,201012260kan,oti,"Tennessee Titans",14,kan,"Kansas City Chiefs",34
player,201012260kan,kan,ChamCh00,fumbles,0,,,,,
player,201012260kan,kan,ChamCh00,fumbles_lost,,,,,,
player,201012260kan,kan,PopeLe00,pass_cmp,0,,,,,
player,201012260kan,kan,PopeLe00,pass_att,0,,,,,
player,201012260kan,kan,PopeLe00,pass_yds,0,,,,,
player,201012260kan,kan,PopeLe00,pass_td,0,,,,,
player,201012260kan,kan,PopeLe00,pass_int,0,,,,,
player,201012260kan,kan,PopeLe00,pass_sacked,,,,,,
player,201012260kan,kan,PopeLe00,pass_sacked_yds,,,,,,
player,201012260kan,kan,PopeLe00,pass_long,0,,,,,
player,201012260kan,kan,PopeLe00,pass_rating,,,,,,
player,201012260kan,kan,PopeLe00,rush_att,0,,,,,
player,201012260kan,kan,PopeLe00,rush_yds,0,,,,,
player,201012260kan,kan,PopeLe00,rush_td,0,,,,,
player,201012260kan,kan,PopeLe00,rush_long,0,,,,,
player,201012260kan,kan,PopeLe00,targets,1,,,,,
player,201012260kan,kan,PopeLe00,rec,1,,,,,
player,201012260kan,kan,PopeLe00,rec_yds,10,,,,,
player,201012260kan,kan,PopeLe00,rec_td,0,,,,,
player,201012260kan,kan,PopeLe00,rec_long,10,,,,,
player,201012260kan,kan,PopeLe00,fumbles,0,,,,,
player,201012260kan,kan,PopeLe00,fumbles_lost,,,,,,
player,201012260kan,kan,CastTi20,pass_cmp,0,,,,,
player,201012260kan,kan,CastTi20,pass_att,0,,,,,
player,201012260kan,kan,CastTi20,pass_yds,0,,,,,
player,201012260kan,kan,CastTi20,pass_td,0,,,,,
player,201012260kan,kan,CastTi20,pass_int,0,,,,,
player,201012260kan,kan,CastTi20,pass_sacked,,,,,,
player,201012260kan,kan,CastTi20,pass_sacked_yds,,,,,,
player,201012260kan,kan,CastTi20,pass_long,0,,,,,
player,201012260kan,kan,CastTi20,pass_rating,,,,,,
player,201012260kan,kan,CastTi20,rush_att,0,,,,,
player,201012260kan,kan,CastTi20,rush_yds,0,,,,,
player,201012260kan,kan,CastTi20,rush_td,0,,,,,
player,201012260kan,kan,CastTi20,rush_long,0,,,,,
player,201012260kan,kan,CastTi20,targets,3,,,,,
player,201012260kan,kan,CastTi20,rec,3,,,,,
player,201012260kan,kan,CastTi20,rec_yds,8,,,,,
player,201012260kan,kan,CastTi20,rec_td,0,,,,,
player,201012260kan,kan,CastTi20,rec_long,6,,,,,
player,201012260kan,kan,CastTi20,fumbles,0,,,,,
player,201012260kan,kan,CastTi20,fumbles_lost,,,,,,
player,201012260kan,kan,CoppTe00,pass_cmp,0,,,,,
player,201012260kan,kan,CoppTe00,pass_att,0,,,,,
player,201012260kan,kan,CoppTe00,pass_yds,0,,,,,
