game,2010,6,20101017,201010170ram,sdg,"San Diego Chargers",17,ram,"St. Louis Rams",20
player,201010170ram,sdg,GoodRi00,pass_rating,,,,,,
player,201010170ram,sdg,GoodRi00,rush_att,0,,,,,
player,201010170ram,sdg,GoodRi00,rush_yds,0,,,,,
player,201010170ram,sdg,GoodRi00,rush_td,0,,,,,
player,201010170ram,sdg,GoodRi00,rush_long,0,,,,,
player,201010170ram,sdg,GoodRi00,targets,1,,,,,
player,201010170ram,sdg,GoodRi00,rec,0,,,,,
player,201010170ram,sdg,GoodRi00,rec_yds,0,,,,,
player,201010170ram,sdg,GoodRi00,rec_td,0,,,,,
player,201010170ram,sdg,GoodRi00,rec_long,0,,,,,
player,201010170ram,sdg,GoodRi00,fumbles,0,,,,,
player,201010170ram,sdg,GoodRi00,fumbles_lost,,,,,,
player,201010170ram,ram,BradSa00,pass_cmp,18,,,,,
player,201010170ram,ram,BradSa00,pass_att,31,,,,,
player,201010170ram,ram,BradSa00,pass_yds,198,,,,,
player,201010170ram,ram,BradSa00,pass_td,1,,,,,
player,201010170ram,ram,BradSa00,pass_int,0,,,,,
player,201010170ram,ram,BradSa00,pass_sacked,3,,,,,
player,201010170ram,ram,BradSa00,pass_sacked_yds,15,,,,,
player,201010170ram,ram,BradSa00,pass_long,38,,,,,
player,201010170ram,ram,BradSa00,pass_rating,87.8,,,,,
player,201010170ram,ram,BradSa00,rush_att,6,,,,,
player,201010170ram,ram,BradSa00,rush_yds,8,,,,,
player,201010170ram,ram,BradSa00,rush_td,0,,,,,
player,201010170ram,ram,BradSa00,rush_long,11,,,,,
player,201010170ram,ram,BradSa00,targets,0,,,,,
player,201010170ram,ram,BradSa00,rec,0,,,,,
player,201010170ram,ram,BradSa00,rec_yds,0,,,,,
player,201010170ram,ram,BradSa00,rec_td,0,,,,,
player,201010170ram,ram,BradSa00,rec_long,0,,,,,
player,201010170ram,ram,BradSa00,fumbles,0,,,,,
player,201010170ram,ram,BradSa00,fumbles_lost,0,,,,,
player,201010170ram,ram,JackSt00,pass_cmp,0,,,,,
player,201010170ram,ram,JackSt00,pass_att,0,,,,,
player,201010170ram,ram,JackSt00,pass_yds,0,,,,,
player,201010170ram,ram,JackSt00,pass_td,0,,,,,
player,201010170ram,ram,JackSt00,pass_int,0,,,,,
player,201010170ram,ram,JackSt00,pass_sacked,,,,,,
player,201010170ram,ram,JackSt00,pass_sacked_yds,,,,,,
player,201010170ram,ram,JackSt00,pass_long,0,,,,,
player,201010170ram,ram,JackSt00,pass_rating,,,,,,
player,201010170ram,ram,JackSt00,rush_att,29,,,,,
player,201010170ram,ram,JackSt00,rush_yds,109,,,,,
player,201010170ram,ram,JackSt00,rush_td,1,,,,,
player,201010170ram,ram,JackSt00,rush_long,13,,,,,
player,201010170ram,ram,JackSt00,targets,2,,,,,
player,201010170ram,ram,JackSt00,rec,1,,,,,
player,201010170ram,ram,JackSt00,rec_yds,2,,,,,
player,201010170ram,ram,JackSt00,rec_td,0,,,,,
player,201010170ram,ram,JackSt00,rec_long,2,,,,,
player,201010170ram,ram,JackSt00,fumbles,0,,,,,
player,201010170ram,ram,JackSt00,fumbles_lost,,,,,,
player,201010170ram,ram,AlexDa00,pass_cmp,0,,,,,
player,201010170ram,ram,AlexDa00,pass_att,0,,,,,
player,201010170ram,ram,AlexDa00,pass_yds,0,,,,,
player,201010170ram,ram,AlexDa00,pass_td,0,,,,,
player,201010170ram,ram,AlexDa00,pass_int,0,,,,,
player,201010170ram,ram,AlexDa00,pass_sacked,,,,,,
player,201010170ram,ram,AlexDa00,pass_sacked_yds,,,,,,
player,201010170ram,ram,AlexDa00,pass_long,0,,,,,
player,201010170ram,ram,AlexDa00,pass_rating,,,,,,
player,201010170ram,ram,AlexDa00,rush_att,0,,,,,
player,201010170ram,ram,AlexDa00,rush_yds,0,,,,,
player,201010170ram,ram,AlexDa00,rush_td,0,,,,,
player,201010170ram,ram,AlexDa00,rush_long,0,,,,,
player,201010170ram,ram,AlexDa00,targets,5,,,,,
player,201010170ram,ram,AlexDa00,rec,4,,,,,
