game,2010,17,20110102,201101020den,sdg,"San Diego Chargers",33,den,"Denver Broncos",28
player,201101020den,sdg,WilsKi00,rush_td,,,,,,
player,201101020den,sdg,WilsKi00,rush_long,,,,,,
player,201101020den,sdg,WilsKi00,targets,2,,,,,
player,201101020den,sdg,WilsKi00,rec,0,,,,,
player,201101020den,sdg,WilsKi00,rec_yds,0,,,,,
player,201101020den,sdg,WilsKi00,rec_td,0,,,,,
player,201101020den,sdg,WilsKi00,rec_long,,,,,,
player,201101020den,sdg,WilsKi00,fumbles,,,,,,
player,201101020den,sdg,WilsKi00,fumbles_lost,,,,,,
player,201101020den,den,TeboTi00,pass_cmp,16,,,,,
player,201101020den,den,TeboTi00,pass_att,36,,,,,
player,201101020den,den,TeboTi00,pass_yds,205,,,,,
player,201101020den,den,TeboTi00,pass_td,2,,,,,
player,201101020den,den,TeboTi00,pass_int,2,,,,,
player,201101020den,den,TeboTi00,pass_sacked,3,,,,,
player,201101020den,den,TeboTi00,pass_sacked_yds,14,,,,,
player,201101020den,den,TeboTi00,pass_long,25,,,,,
player,201101020den,den,TeboTi00,pass_rating,58.2,,,,,
player,201101020den,den,TeboTi00,rush_att,13,,,,,
player,201101020den,den,TeboTi00,rush_yds,94,,,,,
player,201101020den,den,TeboTi00,rush_td,1,,,,,
player,201101020den,den,TeboTi00,rush_long,30,,,,,
player,201101020den,den,TeboTi00,targets,0,,,,,
player,201101020den,den,TeboTi00,rec,0,,,,,
player,201101020den,den,TeboTi00,rec_yds,0,,,,,
player,201101020den,den,TeboTi00,rec_td,0,,,,,
player,201101020den,den,TeboTi00,rec_long,0,,,,,
player,201101020den,den,TeboTi00,fumbles,0,,,,,
player,201101020den,den,TeboTi00,fumbles_lost,,,,,,
player,201101020den,den,MoreKn00,pass_cmp,0,,,,,
player,201101020den,den,MoreKn00,pass_att,0,,,,,
player,201101020den,den,MoreKn00,pass_yds,0,,,,,
player,201101020den,den,MoreKn00,pass_td,0,,,,,
player,201101020den,den,MoreKn00,pass_int,0,,,,,
player,201101020den,den,MoreKn00,pass_sacked,,,,,,
player,201101020den,den,MoreKn00,pass_sacked_yds,,,,,,
player,201101020den,den,MoreKn00,pass_long,0,,,,,
player,201101020den,den,MoreKn00,pass_rating,,,,,,
player,201101020den,den,MoreKn00,rush_att,6,,,,,
player,201101020den,den,MoreKn00,rush_yds,41,,,,,
player,201101020den,den,MoreKn00,rush_td,0,,,,,
player,201101020den,den,MoreKn00,rush_long,35,,,,,
player,201101020den,den,MoreKn00,targets,1,,,,,
player,201101020den,den,MoreKn00,rec,1,,,,,
player,201101020den,den,MoreKn00,rec_yds,2,,,,,
player,201101020den,den,MoreKn00,rec_td,0,,,,,
player,201101020den,den,MoreKn00,rec_long,2,,,,,
player,201101020den,den,MoreKn00,fumbles,0,,,,,
player,201101020den,den,MoreKn00,fumbles_lost,,,,,,
player,201101020den,den,BallLa00,pass_cmp,0,,,,,
player,201101020den,den,BallLa00,pass_att,0,,,,,
player,201101020den,den,BallLa00,pass_yds,0,,,,,
player,201101020den,den,BallLa00,pass_td,0,,,,,
player,201101020den,den,BallLa00,pass_int,0,,,,,
player,201101020den,den,BallLa00,pass_sacked,,,,,,
player,201101020den,den,BallLa00,pass_sacked_yds,,,,,,
player,201101020den,den,BallLa00,pass_long,0,,,,,
player,201101020den,den,BallLa00,pass_rating,,,,,,
player,201101020den,den,BallLa00,rush_att,6,,,,,
player,201101020den,den,BallLa00,rush_yds,21,,,,,
player,201101020den,den,BallLa00,rush_td,0,,,,,
player,201101020den,den,BallLa00,rush_long,17,,,,,
player,201101020den,den,BallLa00,targets,1,,,,,
player,201101020den,den,BallLa00,rec,1,,,,,
player,201101020den,den,BallLa00,rec_yds,6,,,,,
player,201101020den,den,BallLa00,rec_td,0,,,,,
player,201101020den,den,BallLa00,rec_long,6,,,,,
player,201101020den,den,BallLa00,fumbles,0,,,,,
player,201101020den,den,BallLa00,fumbles_lost,,,,,,
player,201101020den,den,BuckCo00,pass_cmp,0,,,,,
player,201101020den,den,BuckCo00,pass_att,0,,,,,
player,201101020den,den,BuckCo00,pass_yds,0,,,,,
player,201101020den,den,BuckCo00,pass_td,0,,,,,
player,201101020den,den,BuckCo00,pass_int,0,,,,,
player,201101020den,den,BuckCo00,pass_sacked,,,,,,
player,201101020den,den,BuckCo00,pass_sacked_yds,,,,,,
player,201101020den,den,BuckCo00,pass_long,0,,,,,
player,201101020den,den,BuckCo00,pass_rating,,,,,,
player,201101020den,den,BuckCo00,rush_att,3,,,,,
player,201101020den,den,BuckCo00,rush_yds,8,,,,,
player,201101020den,den,BuckCo00,rush_td,0,,,,,
player,201101020den,den,BuckCo00,rush_long,4,,,,,
player,201101020den,den,BuckCo00,targets,4,,,,,
player,201101020den,den,BuckCo00,rec,4,,,,,
player,201101020den,den,BuckCo00,rec_yds,49,,,,,
player,201101020den,den,BuckCo00,rec_td,0,,,,,
player,201101020den,den,BuckCo00,rec_long,17,,,,,
player,201101020den,den,BuckCo00,fumbles,0,,,,,
player,201101020den,den,BuckCo00,fumbles_lost,,,,,,
player,201101020den,den,GrahDa00,pass_cmp,0,,,,,
player,201101020den,den,GrahDa00,pass_att,0,,,,,
player,201101020den,den,GrahDa00,pass_yds,0,,,,,
player,201101020den,den,GrahDa00,pass_td,0,,,,,
player,201101020den,den,GrahDa00,pass_int,0,,,,,
player,201101020den,den,GrahDa00,pass_sacked,,,,,,
player,201101020den,den,GrahDa00,pass_sacked_yds,,,,,,
player,201101020den,den,GrahDa00,pass_long,0,,,,,
player,201101020den,den,GrahDa00,pass_rating,,,,,,
player,201101020den,den,GrahDa00,rush_att,0,,,,,
player,201101020den,den,GrahDa00,rush_yds,0,,,,,
player,201101020den,den,GrahDa00,rush_td,0,,,,,
player,201101020den,den,GrahDa00,rush_long,0,,,,,
player,201101020den,den,GrahDa00,targets,5,,,,,
player,201101020den,den,GrahDa00,rec,2,,,,,
player,201101020den,den,GrahDa00,rec_yds,41,,,,,
player,201101020den,den,GrahDa00,rec_td,0,,,,,
player,201101020den,den,GrahDa00,rec_long,25,,,,,
player,201101020den,den,GrahDa00,fumbles,0,,,,,
player,201101020den,den,GrahDa00,fumbles_lost,,,,,,
player,201101020den,den,DeckEr00,pass_cmp,0,,,,,
player,201101020den,den,DeckEr00,pass_att,0,,,,,
player,201101020den,den,DeckEr00,pass_yds,0,,,,,
player,201101020den,den,DeckEr00,pass_td,0,,,,,
player,201101020den,den,DeckEr00,pass_int,0,,,,,
player,201101020den,den,DeckEr00,pass_sacked,,,,,,
player,201101020den,den,DeckEr00,pass_sacked_yds,,,,,,
player,201101020den,den,DeckEr00,pass_long,0,,,,,
player,201101020den,den,DeckEr00,pass_rating,,,,,,
player,201101020den,den,DeckEr00,rush_att,0,,,,,
player,201101020den,den,DeckEr00,rush_yds,0,,,,,
player,201101020den,den,DeckEr00,rush_td,0,,,,,
player,201101020den,den,DeckEr00,rush_long,0,,,,,
player,201101020den,den,DeckEr00,targets,3,,,,,
player,201101020den,den,DeckEr00,rec,2,,,,,
player,201101020den,den,DeckEr00,rec_yds,22,,,,,
player,201101020den,den,DeckEr00,rec_td,1,,,,,
