game,2010,5,20101010,201010100rav,den,"Denver Broncos",17,rav,"Baltimore Ravens",31
player,201010100rav,den,WillD.20,def_int,0,,,,,
player,201010100rav,den,WillD.20,def_int_yds,0,,,,,
player,201010100rav,den,WillD.20,def_int_td,0,,,,,
player,201010100rav,den,WillD.20,def_int_long,0,,,,,
player,201010100rav,den,WillD.20,pass_defended,0,,,,,
player,201010100rav,den,WillD.20,sacks,0.0,,,,,
player,201010100rav,den,WillD.20,tackles_combined,15,,,,,
player,201010100rav,den,WillD.20,tackles_solo,10,,,,,
player,201010100rav,den,WillD.20,tackles_assists,5,,,,,
player,201010100rav,den,WillD.20,tackles_loss,1,,,,,
player,201010100rav,den,WillD.20,qb_hits,0,,,,,
player,201010100rav,den,WillD.20,fumbles_rec,0,,,,,
player,201010100rav,den,WillD.20,fumbles_rec_yds,0,,,,,
player,201010100rav,den,WillD.20,fumbles_rec_td,0,,,,,
player,201010100rav,den,WillD.20,fumbles_forced,0,,,,,
player,201010100rav,den,DawkBr00,def_int,0,,,,,
player,201010100rav,den,DawkBr00,def_int_yds,0,,,,,
player,201010100rav,den,DawkBr00,def_int_td,0,,,,,
player,201010100rav,den,DawkBr00,def_int_long,0,,,,,
player,201010100rav,den,DawkBr00,pass_defended,1,,,,,
player,201010100rav,den,DawkBr00,sacks,0.0,,,,,
player,201010100rav,den,DawkBr00,tackles_combined,8,,,,,
player,201010100rav,den,DawkBr00,tackles_solo,5,,,,,
player,201010100rav,den,DawkBr00,tackles_assists,3,,,,,
player,201010100rav,den,DawkBr00,tackles_loss,0,,,,,
player,201010100rav,den,DawkBr00,qb_hits,0,,,,,
player,201010100rav,den,DawkBr00,fumbles_rec,0,,,,,
player,201010100rav,den,DawkBr00,fumbles_rec_yds,0,,,,,
player,201010100rav,den,DawkBr00,fumbles_rec_td,0,,,,,
player,201010100rav,den,DawkBr00,fumbles_forced,0,,,,,
player,201010100rav,den,HaggMa20,def_int,0,,,,,
player,201010100rav,den,HaggMa20,def_int_yds,0,,,,,
player,201010100rav,den,HaggMa20,def_int_td,0,,,,,
player,201010100rav,den,HaggMa20,def_int_long,0,,,,,
player,201010100rav,den,HaggMa20,pass_defended,0,,,,,
player,201010100rav,den,HaggMa20,sacks,0.0,,,,,
player,201010100rav,den,HaggMa20,tackles_combined,8,,,,,
player,201010100rav,den,HaggMa20,tackles_solo,4,,,,,
player,201010100rav,den,HaggMa20,tackles_assists,4,,,,,
player,201010100rav,den,HaggMa20,tackles_loss,0,,,,,
player,201010100rav,den,HaggMa20,qb_hits,0,,,,,
player,201010100rav,den,HaggMa20,fumbles_rec,0,,,,,
